Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,64.5,65.19,63.94,64.87,17.5746149886,4018200
1999-11-02,64.94,65.75,64.19,64.25,17.406644258,3909800
1999-11-03,64.75,64.75,62.94,63.0,17.0679935915,4876700
1999-11-04,63.88,64.5,63.5,63.5,17.2034538581,5136800
1999-11-05,65.5,66.87,65.0,65.06,17.6260898899,4981800
1999-11-08,65.44,67.0,65.25,66.0,17.8807551911,3555500
1999-11-09,66.31,66.44,63.38,63.94,17.3226588927,4434000
1999-11-10,63.25,64.81,62.81,64.0,17.3389141247,4485800
1999-11-11,64.0,64.0,62.5,63.0,17.0679935915,3173400
1999-11-12,63.5,66.81,63.5,66.5,18.0162154577,4980800
1999-11-15,66.06,66.44,65.56,65.75,17.8130250578,4167200
1999-11-16,66.06,67.5,65.87,67.5,18.2871359909,5426300
1999-11-17,66.87,67.12,66.12,66.56,18.0324706897,3513500
1999-11-18,66.5,66.94,65.25,65.37,17.7100752552,4635800
1999-11-19,65.44,66.12,64.81,65.12,17.6423451219,2960100
1999-11-22,64.37,64.69,63.81,64.25,17.406644258,4653100
1999-11-23,63.63,63.88,62.19,62.63,16.9677529942,3817000
1999-11-24,61.25,61.56,59.75,60.0,16.2552319919,6184300
1999-11-26,59.94,61.38,59.81,60.5,16.3906922585,2333300
1999-11-29,60.13,60.19,56.31,56.94,15.4262151603,7984500
1999-11-30,57.5,59.5,57.44,58.61,15.8786524508,7492700
1999-12-01,57.13,59.0,57.13,57.88,15.8163407281,4690100
1999-12-02,57.38,58.19,55.5,56.38,15.4064493824,6197800
1999-12-03,57.38,58.25,57.13,57.44,15.6961059334,7211900
1999-12-06,56.13,56.88,54.5,55.34,15.1222580493,6910000
1999-12-07,54.81,54.94,52.25,52.5,14.3461971014,10122600
1999-12-08,50.13,51.56,50.13,50.69,13.8515948775,10318900
1999-12-09,50.94,51.31,49.0,50.94,13.9199101018,9630000
1999-12-10,52.0,54.5,52.0,53.63,14.6549819152,8036500
1999-12-13,53.0,53.13,52.0,52.64,14.384453627,5364200
1999-12-14,52.0,52.25,50.63,51.13,13.9718296722,5939200
1999-12-15,51.06,51.5,49.69,50.66,13.8433970506,7240200
1999-12-16,49.94,50.44,48.81,50.19,13.7149644289,8177400
1999-12-17,50.0,50.44,48.38,48.75,13.321468737,12621200
1999-12-20,48.94,49.63,47.94,48.0,13.1165230641,6203500
1999-12-21,47.81,51.06,47.63,49.31,13.4744948394,7993100
1999-12-22,49.5,50.13,48.44,48.5,13.2531535127,6098100
1999-12-23,49.19,49.5,49.13,49.38,13.4936231022,5265000
1999-12-27,49.75,50.63,49.0,49.0,13.3897839613,5414500
1999-12-28,49.06,49.69,49.0,49.31,13.4744948394,3632700
1999-12-29,49.5,50.25,49.19,49.88,13.6302535508,4057600
1999-12-30,50.0,50.88,49.75,50.69,13.8515948775,3368100
1999-12-31,50.56,50.94,50.0,50.19,13.7149644289,2643800
2000-01-03,50.25,50.25,48.0,48.44,13.2367578589,6852900
2000-01-04,47.75,47.94,44.94,45.56,12.449766475,13646700
2000-01-05,45.06,46.44,44.5,46.06,12.5863969236,11427800
2000-01-06,46.94,50.0,46.75,50.0,13.6630448584,8653500
2000-01-07,49.63,49.63,48.0,48.69,13.3050730831,5816400
2000-01-10,48.94,48.94,46.69,47.0,12.8432621669,5576400
2000-01-11,45.56,46.94,45.56,46.0,12.5700012698,5532200
2000-01-12,46.0,47.06,46.0,46.5,12.7066317183,5533800
2000-01-13,47.0,47.88,46.88,47.56,12.9962882693,6161000
2000-01-14,49.94,50.56,48.81,50.5,13.799675307,10219300
2000-01-18,50.0,50.0,47.81,48.0,13.1165230641,8558000
2000-01-19,47.88,49.19,46.69,48.0,13.1165230641,7734200
2000-01-20,47.5,48.0,46.0,47.08,12.8651230387,6124500
2000-01-21,46.5,46.69,45.56,45.69,12.4852903916,6419700
2000-01-24,45.75,46.25,44.5,44.56,12.1765055778,6307400
2000-01-25,44.94,45.69,44.69,45.13,12.3322642892,7815500
2000-01-26,45.75,47.31,45.38,47.13,12.8787860836,7720600
2000-01-27,47.56,48.38,47.06,48.13,13.1520469807,6384700
2000-01-28,47.88,47.88,45.75,45.75,12.5016860455,6758500
2000-01-31,46.5,48.44,46.31,48.44,13.2367578589,8455000
2000-02-01,48.13,49.0,48.0,49.0,13.3897839613,4482600
2000-02-02,47.5,48.5,47.38,47.75,13.0482078398,5858700
2000-02-03,47.69,48.06,45.44,46.44,12.6902360645,11399000
2000-02-04,46.94,47.13,45.31,45.88,12.5372099621,6700000
2000-02-07,45.31,45.5,44.88,45.31,12.3814512507,5182200
2000-02-08,45.81,47.25,45.69,47.13,12.8787860836,5410900
2000-02-09,47.13,47.25,46.06,46.06,12.5863969236,4647100
2000-02-10,46.06,46.5,44.69,44.88,12.2639490649,5789700
2000-02-11,45.0,46.63,45.0,45.19,12.3486599431,6755200
2000-02-14,45.69,45.94,44.06,44.25,12.0917946997,6713400
2000-02-15,44.06,46.0,44.06,45.63,12.4688947378,6917000
2000-02-16,46.25,46.5,45.13,45.19,12.3486599431,5969800
2000-02-17,45.44,46.31,44.31,44.63,12.1956338406,6128400
2000-02-18,44.56,44.69,43.38,43.75,11.9551642511,7499000
2000-02-22,43.19,45.88,43.0,44.75,12.2284251483,6581400
2000-02-23,45.0,46.63,44.44,45.75,12.5016860455,6866000
2000-02-24,45.88,46.25,43.88,44.81,12.2448208021,5733900
2000-02-25,44.75,45.81,44.13,44.13,12.0590033921,5301900
2000-02-28,44.75,46.94,44.56,45.94,12.5536056159,6880000
2000-02-29,45.94,46.44,45.06,46.0,12.5700012698,5896400
2000-03-01,46.0,46.19,44.81,45.56,12.5863969236,4898300
2000-03-02,45.56,45.56,44.63,45.06,12.4482670188,5306500
2000-03-03,45.75,46.13,44.63,45.0,12.4316914302,6412900
2000-03-06,45.0,45.94,44.0,44.5,12.2935615255,4913900
2000-03-07,45.0,45.19,43.75,44.0,12.1554316207,4455600
2000-03-08,44.0,44.63,43.56,43.63,12.0532154911,4063200
2000-03-09,43.63,44.0,42.81,43.06,11.8957473997,6546800
2000-03-10,42.94,43.25,42.31,42.88,11.846020634,6067200
2000-03-13,42.88,44.06,42.5,43.19,11.9316611749,5325400
2000-03-14,43.56,43.81,42.5,42.63,11.7769556816,4116600
2000-03-15,42.88,46.06,42.63,45.88,12.6748000627,10210900
2000-03-16,47.0,49.5,46.63,49.25,13.6057956209,13603600
2000-03-17,49.38,50.75,49.0,50.0,13.812990478,10419900
2000-03-20,50.0,50.25,48.38,49.63,13.7107743485,5374900
2000-03-21,49.63,51.75,49.5,51.0,14.0892502876,6895600
2000-03-22,51.44,51.94,50.06,51.44,14.2108046038,5593100
2000-03-23,52.25,54.19,51.13,54.19,14.9705190801,7712700
2000-03-24,53.94,55.19,53.25,54.63,15.0920733963,8288100
2000-03-27,54.5,55.0,53.19,54.13,14.9539434915,5343400
2000-03-28,52.63,54.69,52.63,53.56,14.7964754001,5366500
2000-03-29,53.0,53.13,51.88,52.0,14.3655100972,5814300
2000-03-30,52.25,52.44,50.44,50.81,14.0367609238,5195100
2000-03-31,51.0,53.25,50.63,52.44,14.4870644134,5120900
2000-04-03,52.06,55.56,52.06,55.5,15.3324194306,8549500
2000-04-04,55.63,56.56,53.31,54.19,14.9705190801,9230800
2000-04-05,53.94,55.25,53.63,54.0,14.9180297163,4593400
2000-04-06,54.25,54.56,53.0,53.44,14.7633242229,4035500
2000-04-07,53.06,53.81,52.0,52.31,14.4511506381,3876400
2000-04-10,52.31,53.88,52.13,52.81,14.5892805429,5147600
2000-04-11,52.75,53.38,51.81,52.34,14.4594384324,3794300
2000-04-12,53.13,56.0,53.13,54.56,15.0727352096,7845000
2000-04-13,54.63,55.25,52.56,52.81,14.5892805429,6083500
2000-04-14,51.88,51.88,48.63,49.94,13.7964148895,9945200
2000-04-17,49.94,51.0,48.13,50.31,13.898631019,6973700
2000-04-18,51.0,51.19,49.75,51.0,14.0892502876,5653200
2000-04-19,50.94,50.94,48.94,49.44,13.6582849847,3956800
2000-04-20,50.13,50.19,49.44,49.56,13.6914361618,3219200
2000-04-24,49.56,51.5,49.38,51.5,14.2273801924,4356800
2000-04-25,51.06,53.69,51.0,53.44,14.7633242229,4883900
2000-04-26,52.69,52.94,51.19,51.75,14.2964451448,3871200
2000-04-27,50.5,51.63,50.06,51.25,14.15831524,4480700
2000-04-28,51.13,51.38,48.38,49.0,13.5367306685,6915600
2000-05-01,49.06,50.94,48.31,50.0,13.812990478,4712400
2000-05-02,49.31,50.94,49.31,49.63,13.7107743485,4426700
2000-05-03,49.63,50.81,48.31,49.0,13.5367306685,3886100
2000-05-04,48.69,48.94,47.69,48.0,13.2604708589,5013200
2000-05-05,47.25,48.56,47.13,47.56,13.1389165427,4136100
2000-05-08,47.19,48.81,47.19,48.19,13.3129602227,4727200
2000-05-09,48.5,49.69,47.63,48.19,13.3129602227,4813700
2000-05-10,47.94,48.44,46.38,46.5,12.8460811446,6742200
2000-05-11,47.75,47.94,46.56,47.38,13.089189777,6767800
2000-05-12,47.38,48.94,46.31,48.59,13.4234641466,5874900
2000-05-15,48.63,50.88,48.56,50.63,13.9870341581,5379600
2000-05-16,50.94,51.63,49.19,49.69,13.7273499371,5354200
2000-05-17,49.06,49.81,48.56,49.31,13.6223712094,3047400
2000-05-18,49.38,50.81,49.31,50.31,13.898631019,4653300
2000-05-19,49.56,50.19,49.13,49.75,13.7439255257,4563100
2000-05-22,49.75,50.31,48.75,50.25,13.8820554304,4091400
2000-05-23,50.44,53.13,50.25,52.56,14.5202155905,7225500
2000-05-24,53.5,56.13,53.38,55.94,15.4539737468,11224800
2000-05-25,55.0,56.06,54.5,55.31,15.2799300668,7277800
2000-05-26,55.0,55.25,53.88,54.63,15.0920733963,5307700
2000-05-30,54.94,55.19,54.31,54.94,15.1777139373,4040200
2000-05-31,54.13,55.94,54.13,55.44,15.4539737468,5541100
2000-06-01,55.5,57.75,55.31,56.81,15.8358630692,6873500
2000-06-02,59.94,61.0,59.25,61.0,17.0038311428,8994200
2000-06-05,59.25,59.5,58.0,59.25,16.5160163149,4458800
2000-06-06,57.38,57.69,56.13,56.75,15.8191379894,6425500
2000-06-07,56.69,57.94,56.13,57.81,16.1146143994,4050100
2000-06-08,57.44,57.44,56.63,56.75,15.8191379894,3449500
2000-06-09,56.94,57.44,55.69,56.0,15.6100744918,3056800
2000-06-12,56.0,56.75,55.94,56.47,15.741087617,2605600
2000-06-13,56.44,56.56,55.56,55.69,15.5236615794,3777700
2000-06-14,55.69,56.0,54.94,55.31,15.4177360739,4494000
2000-06-15,55.56,55.56,51.19,51.94,14.4783440911,10636500
2000-06-16,52.19,52.25,46.5,48.0,13.3800638501,17353800
2000-06-19,47.63,49.31,47.44,48.38,13.4859893556,10351700
2000-06-20,49.19,49.63,48.0,48.5,13.5194395152,5107200
2000-06-21,48.38,48.56,46.25,47.63,13.2769258579,5406100
2000-06-22,47.06,47.5,46.13,47.0,13.1013125199,3710600
2000-06-23,48.5,48.56,47.25,47.38,13.2072380253,4518200
2000-06-26,48.31,48.75,47.19,47.94,13.3633387703,3763600
2000-06-27,47.13,47.75,46.0,47.0,13.1013125199,7495500
2000-06-28,47.06,47.13,45.25,45.42,12.6608854181,5752100
2000-06-29,45.38,46.25,45.13,45.44,12.6664604447,3974800
2000-06-30,45.19,45.38,42.98,43.0,11.986307199,7345500
2000-07-03,43.75,45.25,43.63,45.0,12.5438098594,2998900
2000-07-05,45.06,46.25,45.06,45.31,12.6302227718,4468400
2000-07-06,46.06,46.19,44.75,45.81,12.7695984369,3998800
2000-07-07,46.44,47.69,46.13,47.44,13.2239631052,4751000
2000-07-10,47.75,48.0,47.31,47.44,13.2239631052,3228800
2000-07-11,47.44,47.69,46.75,46.94,13.0845874401,3989000
2000-07-12,47.5,47.88,46.69,47.0,13.1013125199,3741900
2000-07-13,47.0,47.13,45.81,46.19,12.8755239424,4117100
2000-07-14,46.44,47.81,46.31,47.5,13.240688185,5115600
2000-07-17,47.63,48.56,46.75,46.88,13.0678623602,6331000
2000-07-18,47.25,47.31,45.94,46.25,12.8922490222,5269300
2000-07-19,46.56,46.56,45.75,46.19,12.8755239424,4186200
2000-07-20,46.13,48.5,46.13,48.38,13.4859893556,6745900
2000-07-21,48.38,49.13,47.44,48.75,13.5891273477,4783300
2000-07-24,47.13,48.31,46.69,47.44,13.2239631052,3354200
2000-07-25,48.0,48.44,47.69,48.25,13.4497516826,3080000
2000-07-26,48.0,48.06,46.63,47.06,13.1180375997,5780900
2000-07-27,47.06,47.69,46.0,46.75,13.0316246873,3738300
2000-07-28,47.13,47.19,45.81,46.5,12.9619368548,4257500
2000-07-31,46.44,47.44,46.06,47.38,13.2072380253,5486500
2000-08-01,47.69,48.13,47.0,47.69,13.2936509377,3782800
2000-08-02,47.69,48.5,47.13,47.19,13.1542752726,5156400
2000-08-03,46.81,49.31,46.69,49.06,13.6755402601,6381900
2000-08-04,50.5,52.69,50.06,52.5,14.634444836,10250200
2000-08-07,52.56,52.81,51.56,52.38,14.6009946764,4615000
2000-08-08,52.06,52.5,51.63,51.94,14.4783440911,4096400
2000-08-09,51.94,53.75,50.75,53.06,14.7905455809,5264200
2000-08-10,53.19,54.56,52.75,53.44,14.8964710864,4221500
2000-08-11,53.38,54.31,53.0,54.06,15.0692969111,3245500
2000-08-14,53.5,55.0,53.0,55.0,15.3313231615,3695100
2000-08-15,54.81,54.88,54.19,54.31,15.1389847437,4838600
2000-08-16,54.38,54.69,53.0,53.5,14.9131961662,3061900
2000-08-17,53.56,54.19,53.38,53.56,14.929921246,3274200
2000-08-18,53.31,54.0,53.31,53.75,14.9828839988,3394100
2000-08-21,53.75,54.56,53.25,53.88,15.0191216717,3658300
2000-08-22,53.88,54.94,53.5,54.44,15.1752224166,3942200
2000-08-23,54.44,54.88,53.38,54.06,15.0692969111,3027100
2000-08-24,53.75,53.94,52.25,52.5,14.634444836,4196500
2000-08-25,52.5,53.13,51.56,51.75,14.4253813384,3712800
2000-08-28,51.69,52.88,51.38,51.69,14.4086562586,3830100
2000-08-29,51.88,51.88,50.19,50.88,14.1828676811,4637600
2000-08-30,50.38,51.88,50.25,50.88,14.3222433462,4096000
2000-08-31,51.0,53.75,50.88,53.58,15.0822680521,5654200
2000-09-01,53.56,53.75,52.25,52.5,14.7782581697,3601400
2000-09-05,52.13,53.69,52.0,53.5,15.0597488015,3998400
2000-09-06,53.19,54.94,53.19,53.63,15.0963425836,4397000
2000-09-07,54.13,54.81,53.75,54.38,15.3074605575,2904900
2000-09-08,54.13,56.0,54.13,55.94,15.7465859431,4711600
2000-09-11,56.0,57.44,55.94,56.56,15.9211101348,5345500
2000-09-12,57.5,57.56,56.44,57.0,16.0449660128,4281000
2000-09-13,57.0,57.63,56.56,56.81,15.9914827928,3736100
2000-09-14,56.56,57.38,55.63,56.33,15.8563672895,3696500
2000-09-15,56.25,56.5,54.69,54.88,15.4482058734,5840600
2000-09-18,55.19,55.19,53.5,53.69,15.1132320216,4433100
2000-09-19,53.63,55.06,53.38,54.88,15.4482058734,3782000
2000-09-20,54.81,54.88,53.25,53.81,15.1470108974,3720200
2000-09-21,53.88,54.19,52.25,53.0,14.9190034856,4453200
2000-09-22,52.69,55.0,52.31,55.0,15.4819847492,5711800
2000-09-25,55.19,56.19,54.75,55.0,15.4819847492,4060300
2000-09-26,54.75,55.44,53.69,53.81,15.1470108974,4823400
2000-09-27,53.88,54.13,51.88,52.69,14.8317413898,5326000
2000-09-28,53.13,54.38,52.19,54.0,15.2004941174,4074900
2000-09-29,53.25,53.81,52.0,52.38,14.7444792939,4643800
2000-10-02,52.63,53.13,51.81,53.06,14.9358929235,3019300
2000-10-03,53.38,54.5,52.81,54.19,15.2539773375,4622400
2000-10-04,54.31,54.75,52.19,52.75,14.8486308277,4359900
2000-10-05,52.75,53.94,52.69,53.88,15.1667152416,3627600
2000-10-06,54.13,54.13,51.5,51.63,14.53336132,4434700
2000-10-09,52.0,52.13,50.19,50.56,14.232166344,3075800
2000-10-10,50.63,50.75,47.94,48.69,13.7057788625,6304500
2000-10-11,48.69,48.75,45.5,47.06,13.2469491327,8764400
2000-10-12,47.25,47.5,44.06,44.56,12.5432225532,6730600
2000-10-13,45.38,47.75,45.19,46.56,13.1062038168,4975300
2000-10-16,46.0,46.06,44.56,45.19,12.7205616512,8267800
2000-10-17,45.13,45.13,42.38,42.75,12.0337245096,8177200
2000-10-18,41.5,43.38,40.25,42.19,11.8760897558,8509200
2000-10-19,42.88,44.94,42.81,44.06,12.4024772373,5515200
2000-10-20,44.13,44.69,43.5,43.75,12.3152151414,4431100
2000-10-23,43.56,43.94,42.69,43.75,12.3152151414,3790500
2000-10-24,43.81,45.38,43.44,44.5,12.5263331153,4170600
2000-10-25,44.56,45.69,43.81,44.06,12.4024772373,4785700
2000-10-26,44.19,44.81,42.25,43.38,12.2110636077,6254900
2000-10-27,44.0,44.94,43.19,44.94,12.6501889933,4993500
2000-10-30,44.63,47.38,44.63,47.0,13.2300596948,6686000
