Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,55.31,55.5,50.0,51.56,15.432337868,2910267
1999-11-02,51.63,53.81,50.19,50.88,15.2288081987,4395600
1999-11-03,51.94,53.31,51.0,51.63,15.4532894516,2474978
1999-11-04,53.94,54.31,51.69,52.0,15.5640335364,2052444
1999-11-05,54.25,54.5,50.0,50.63,15.1539811144,3824000
1999-11-08,50.0,50.44,47.13,49.0,14.6661085247,4679778
1999-11-09,48.0,49.63,45.88,48.5,14.5164543561,3498400
1999-11-10,48.5,49.56,48.0,48.5,14.5164543561,1523867
1999-11-11,49.13,54.44,49.06,54.38,16.276387379,5191867
1999-11-12,54.56,55.25,50.88,52.75,15.7885147893,2138000
1999-11-15,52.69,53.44,52.06,52.06,15.5819920367,1246844
1999-11-16,52.88,53.94,51.25,52.38,15.6777707046,1356578
1999-11-17,52.5,53.63,50.94,51.13,15.303635283,1295778
1999-11-18,51.0,51.81,49.5,49.75,14.8905897776,2056667
1999-11-19,49.63,50.56,49.0,50.25,15.0402439462,1872044
1999-11-22,50.75,52.13,50.13,51.5,15.4143793678,1795378
1999-11-23,52.0,56.44,51.94,53.94,16.1446917107,4222267
1999-11-24,55.5,56.0,53.56,55.56,16.629571217,2317644
1999-11-26,56.0,58.94,55.88,57.88,17.3239665594,1633200
1999-11-29,61.94,67.0,61.75,66.63,19.9429145102,5910400
1999-11-30,65.88,65.88,62.25,62.5,18.7067710774,3078178
1999-12-01,63.0,66.56,62.75,66.5,19.9040044264,2560667
1999-12-02,61.25,62.81,60.0,62.0,18.5571169088,5758444
1999-12-03,60.88,63.25,56.25,56.5,16.910921054,4892178
1999-12-06,56.56,57.0,50.25,53.0,15.8633418737,9910400
1999-12-07,51.0,51.81,50.0,50.81,15.2078566151,3813067
1999-12-08,50.5,50.56,46.0,47.63,14.2560561027,7012000
1999-12-09,48.0,49.63,42.88,43.75,13.0947397542,7325200
1999-12-10,44.38,48.25,44.13,48.13,14.4057102713,6948844
1999-12-13,47.5,51.56,47.06,51.56,15.432337868,5265778
1999-12-14,50.0,50.0,46.44,49.0,14.6661085247,10839378
1999-12-15,46.06,48.38,45.69,47.25,14.1423189345,3591200
1999-12-16,51.94,51.94,48.88,50.44,15.0971125303,5742400
1999-12-17,48.69,49.19,46.62,47.25,14.1423189345,4347778
1999-12-20,46.63,48.75,45.06,45.56,13.6364878446,2914178
1999-12-21,45.38,45.38,43.0,44.5,13.3192210071,3098978
1999-12-22,43.94,45.81,42.56,44.31,13.2623524231,3486667
