Date,Open,High,Low,Close,Adj Close,Volume
2005-08-05,66.0,151.21,60.0,122.54,12.254,22681100
2005-08-08,137.75,153.98,115.24,115.5,11.55,15488900
2005-08-09,120.5,125.3,95.69,96.1,9.61,8667700
2005-08-10,101.0,103.5,88.3,91.75,9.175,4963800
2005-08-11,91.2,100.5,90.6,97.9,9.79,7324800
2005-08-12,98.0,99.75,94.58,95.0,9.5,2994900
2005-08-15,96.75,97.98,92.5,93.0,9.3,1929000
2005-08-16,93.89,95.61,90.8,91.51,9.151,1857900
2005-08-17,92.79,92.99,85.11,85.81,8.581,2016600
2005-08-18,88.15,88.36,81.65,82.48,8.248,2216600
2005-08-19,82.1,84.86,79.39,79.55,7.955,1818800
2005-08-22,79.0,80.33,72.13,72.69,7.269,2517100
2005-08-23,71.7,82.0,71.54,82.0,8.2,6657400
2005-08-24,77.53,85.0,75.0,77.8,7.78,8765100
2005-08-25,79.67,81.4,78.02,79.0,7.9,2696500
2005-08-26,79.15,81.85,78.31,78.88,7.888,2468300
2005-08-29,78.8,80.64,77.62,78.6,7.86,1339200
2005-08-30,81.42,84.17,80.62,81.0,8.1,3813200
2005-08-31,81.8,82.65,80.5,81.0,8.1,1088400
2005-09-01,81.2,81.95,78.51,78.92,7.892,1067300
2005-09-02,80.08,80.2,76.5,78.02,7.802,731300
2005-09-06,78.98,79.37,77.01,77.8,7.78,712200
2005-09-07,78.3,83.7,77.3,82.58,8.258,4039400
2005-09-08,82.0,84.5,81.57,83.54,8.354,2508100
2005-09-09,84.0,97.85,83.48,96.3,9.63,5902200
2005-09-12,100.34,115.28,99.8,112.25,11.225,18177400
2005-09-13,113.89,122.5,108.51,113.59,11.359,16118500
2005-09-14,87.22,94.21,80.99,81.32,8.132,16660700
2005-09-15,83.6,86.94,80.01,82.0,8.2,7783300
2005-09-16,82.9,84.27,77.68,78.35,7.835,4988600
2005-09-19,78.04,82.94,77.73,79.53,7.953,3886000
2005-09-20,80.77,82.96,79.55,80.5,8.05,2351100
2005-09-21,79.6,81.12,78.59,80.3,8.03,2052000
2005-09-22,80.52,82.25,78.97,79.19,7.919,1857900
2005-09-23,79.94,80.29,78.79,79.15,7.915,971300
2005-09-26,80.8,80.89,76.14,77.28,7.728,2042000
2005-09-27,77.25,78.19,71.73,72.5,7.25,3183100
2005-09-28,72.62,73.0,65.12,65.71,6.571,4797800
2005-09-29,65.9,68.98,63.76,65.0,6.5,3179500
2005-09-30,65.0,66.25,63.35,64.02,6.402,1528400
2005-10-03,64.44,66.98,63.8,66.11,6.611,2034600
2005-10-04,68.5,73.25,68.12,70.39,7.039,3900300
2005-10-05,73.33,74.37,68.18,68.3,6.83,3191900
2005-10-06,70.01,70.08,66.8,68.26,6.826,1172600
2005-10-07,69.0,69.5,66.59,67.2,6.72,924100
2005-10-10,67.7,67.7,64.48,65.45,6.545,810800
2005-10-11,65.77,66.29,64.29,65.25,6.525,687600
2005-10-12,65.44,65.79,63.1,63.6,6.36,836300
2005-10-13,63.45,63.74,60.08,62.22,6.222,881800
2005-10-14,63.42,67.8,63.21,67.27,6.727,1327100
2005-10-17,68.0,68.2,64.644,66.6,6.66,1151800
2005-10-18,66.5,70.09,65.3,67.37,6.737,1433500
2005-10-19,67.77,67.77,65.03,65.8,6.58,1063400
2005-10-20,65.56,68.49,65.52,66.0,6.6,812500
2005-10-21,70.6,72.95,69.25,70.0,7.0,1808600
2005-10-24,73.05,83.0,71.2,80.99,8.099,4682100
2005-10-25,84.44,89.7,74.57,79.81,7.981,6054100
2005-10-26,79.7,84.5,76.31,81.05,8.105,4419100
2005-10-27,69.53,74.23,69.0,70.35,7.035,3964800
2005-10-28,71.15,71.97,67.5,68.09,6.809,1179600
2005-10-31,69.71,70.34,68.44,69.44,6.944,1086800
2005-11-01,69.63,70.98,67.98,68.7,6.87,932600
2005-11-02,69.39,70.2,67.82,68.5,6.85,597000
2005-11-03,69.55,69.69,67.5,68.25,6.825,610300
2005-11-04,68.6,69.25,67.67,68.3,6.83,394600
2005-11-07,68.6,74.24,68.3,72.6,7.26,2588400
2005-11-08,73.8,74.7,70.55,71.79,7.179,868900
2005-11-09,72.11,73.65,69.32,69.99,6.999,667300
2005-11-10,70.86,71.0,69.04,70.43,7.043,405700
2005-11-11,71.47,71.55,69.49,70.051,7.0051,323100
2005-11-14,70.45,71.05,69.56,70.0,7.0,267100
2005-11-15,70.0,70.015,68.33,68.82,6.882,395200
2005-11-16,69.5,69.5,68.38,69.5,6.95,319300
2005-11-17,70.62,73.75,69.75,73.18,7.318,1026600
2005-11-18,73.18,73.5,70.3,70.92,7.092,666100
2005-11-21,71.75,73.3899,69.75,71.5999,7.15999,718200
2005-11-22,71.66,75.8,70.89,74.72,7.472,1424900
2005-11-23,74.4,82.61,73.33,80.49,8.049,2656300
2005-11-25,81.87,85.15,81.87,83.77,8.377,1369200
2005-11-28,84.09,85.48,78.0,78.46,7.846,1553300
2005-11-29,78.5,80.35,75.68,76.39,7.639,1032200
2005-11-30,77.0,79.2,76.0,77.98,7.798,1110800
2005-12-01,79.98,80.98,78.55,79.72,7.972,775200
2005-12-02,79.95,81.5,78.55,78.9,7.89,662500
2005-12-05,79.89,80.3,77.66,77.999,7.7999,337100
2005-12-06,78.5,80.28,77.36,78.18,7.818,519800
2005-12-07,78.67,79.26,77.02,77.68,7.768,276500
2005-12-08,78.08,78.19,76.2,77.22,7.722,265500
2005-12-09,77.25,77.85,75.29,75.84,7.584,310700
2005-12-12,76.47,77.38,75.38,75.87,7.587,234100
2005-12-13,75.7,75.99,73.75,74.18,7.418,584800
2005-12-14,69.3,71.38,68.93,69.4,6.94,1312900
2005-12-15,70.09,70.5,68.51,68.85,6.885,431700
2005-12-16,69.3,69.87,65.7092,65.71,6.571,843500
2005-12-19,64.79,68.66,64.03,66.54,6.654,1406100
2005-12-20,67.0,68.13,65.0,65.06,6.506,680600
2005-12-21,65.8,66.1,64.0,64.49,6.449,583500
2005-12-22,64.73,65.47,64.0,64.72,6.472,392100
2005-12-23,64.38,68.0,64.12,66.75,6.675,933200
2005-12-27,66.44,67.08,65.21,65.4,6.54,408300
2005-12-28,65.14,66.2,64.52,64.7674,6.47674,463000
2005-12-29,65.99,65.99,63.5,63.65,6.365,552700
2005-12-30,63.43,63.75,62.7,62.92,6.292,613800
2006-01-03,64.25,64.48,62.75,63.5,6.35,501000
2006-01-04,62.69,67.2,62.66,66.3,6.63,1749300
2006-01-05,66.67,67.5,65.5,66.2,6.62,494700
2006-01-06,66.58,67.28,65.53,65.839,6.5839,504700
2006-01-09,66.0,69.9,65.06,66.1301,6.61301,1474300
2006-01-10,66.16,67.86,66.16,66.68,6.668,640000
2006-01-11,66.98,68.5,65.3,65.35,6.535,795300
2006-01-12,65.505,66.5,64.5,64.65,6.465,383500
2006-01-13,64.51,68.36,63.99,65.53,6.553,1350600
2006-01-17,65.0,67.0,64.3,64.74,6.474,672500
2006-01-18,61.52,63.85,61.32,62.499,6.2499,672000
2006-01-19,63.475,63.6374,62.26,62.3,6.23,440700
2006-01-20,62.55,63.0,60.78,60.86,6.086,679300
2006-01-23,61.5,61.53,56.0,56.3,5.63,1245700
2006-01-24,57.5,58.88,56.35,56.42,5.642,727200
2006-01-25,55.065,55.75,52.0,52.5,5.25,1019400
2006-01-26,53.22,53.65,51.51,51.86,5.186,525900
2006-01-27,52.0,53.5,51.49,51.72,5.172,406500
2006-01-30,51.04,52.97,50.49,52.51,5.251,390400
2006-01-31,52.98,54.51,52.6801,54.51,5.451,596800
2006-02-01,53.7,53.7,50.68,51.01,5.101,1088900
2006-02-02,51.1,51.485,48.59,49.05,4.905,926100
2006-02-03,48.85,49.495,46.06,46.12,4.612,874400
2006-02-06,46.75,46.79,44.44,45.63,4.563,816200
2006-02-07,46.68,47.84,44.85,45.15,4.515,625700
2006-02-08,45.27,49.9,44.55,49.21,4.921,953800
2006-02-09,49.74,52.0,48.52,49.32,4.932,927000
2006-02-10,49.55,50.5,48.1,48.5,4.85,342100
2006-02-13,47.25,50.0,47.05,49.16,4.916,259400
2006-02-14,49.2,49.85,48.22,48.93,4.893,239900
2006-02-15,48.48,51.36,48.48,49.25,4.925,676100
2006-02-16,50.99,50.99,49.01,49.01,4.901,387000
2006-02-17,49.5,50.48,48.51,50.06,5.006,484700
2006-02-21,50.4,52.69,50.25,51.69,5.169,1950700
2006-02-22,60.07,61.5,54.5,54.73,5.473,5632600
2006-02-23,53.58,54.45,52.2999,52.3,5.23,1410000
2006-02-24,51.77,53.41,51.6,52.86,5.286,851900
2006-02-27,53.18,54.44,52.51,54.3,5.43,1046300
2006-02-28,53.9,53.9,50.5,51.42,5.142,1030600
2006-03-01,52.48,52.48,50.9,51.24,5.124,308900
2006-03-02,51.1,53.0,50.45,52.6,5.26,681500
2006-03-03,53.0,54.85,52.1,52.21,5.221,1186800
2006-03-06,52.34,54.09,52.23,53.76,5.376,553800
2006-03-07,53.86,53.86,52.52,53.41,5.341,263100
2006-03-08,52.6,53.22,51.37,51.49,5.149,452500
2006-03-09,50.6,50.6,46.83,48.32,4.832,1600300
2006-03-10,47.9,49.59,46.0,49.1,4.91,921900
2006-03-13,50.1,50.79,48.58,49.66,4.966,561400
2006-03-14,49.64,50.0,48.146,48.7,4.87,592200
2006-03-15,49.41,49.49,48.15,48.5,4.85,529400
2006-03-16,48.3,49.25,48.18,48.319,4.8319,360700
2006-03-17,49.75,50.25,48.3,49.02,4.902,617500
2006-03-20,49.0,51.7,48.51,50.78,5.078,1285800
2006-03-21,50.7,51.02,49.1,49.4,4.94,578100
2006-03-22,49.5,52.0,49.13,51.0,5.1,658100
2006-03-23,51.0,52.0,50.5,50.6,5.06,372400
2006-03-24,51.0,51.87,50.11,50.2,5.02,331700
2006-03-27,51.5,53.07,50.3,52.11,5.211,823000
2006-03-28,51.91,52.49,50.85,51.1,5.11,424800
2006-03-29,51.87,55.0,51.4,54.46,5.446,1147500
2006-03-30,57.0,58.45,55.1,58.0,5.8,2359900
2006-03-31,58.0,58.0,55.5,56.07,5.607,987300
2006-04-03,57.55,57.9,54.77,54.9,5.49,1176600
2006-04-04,54.75,55.81,54.25,55.73,5.573,611600
2006-04-05,55.99,57.0,55.3,55.5,5.55,419000
2006-04-06,56.57,58.28,55.36,57.27,5.727,814700
2006-04-07,58.1,59.37,56.5,57.4,5.74,1024600
2006-04-10,56.8,60.18,56.25,59.14,5.914,1750700
2006-04-11,58.96,59.14,54.86,55.58,5.558,972100
2006-04-12,56.0,57.3,55.07,56.8,5.68,592000
2006-04-13,59.0,59.71,57.2,57.46,5.746,1452500
2006-04-17,58.0,58.465,56.43,56.8,5.68,693800
2006-04-18,56.88,58.09,56.433,57.55,5.755,669600
2006-04-19,58.5,61.9,58.2,61.33,6.133,1954000
2006-04-20,61.33,62.93,60.5,60.6,6.06,988300
2006-04-21,63.0,63.0,60.0,60.5,6.05,891200
2006-04-24,61.19,61.25,58.18,60.05,6.005,717400
2006-04-25,59.6,60.95,59.01,59.13,5.913,567300
2006-04-26,59.37,59.57,58.04,58.145,5.8145,464600
2006-04-27,58.0,58.75,57.0,57.28,5.728,543400
2006-04-28,57.5,58.4,57.0,57.96,5.796,507000
2006-05-01,58.4,59.98,57.96,59.26,5.926,612200
2006-05-02,59.8,59.9399,58.17,58.94,5.894,472700
2006-05-03,58.6,60.27,58.6,60.0,6.0,352100
2006-05-04,59.7,63.9,59.5,63.3,6.33,975500
2006-05-05,63.76,63.95,62.0,62.89,6.289,759700
2006-05-08,63.0,63.8,62.29,63.67,6.367,686100
2006-05-09,63.41,65.0,61.25,61.38,6.138,3227800
2006-05-10,77.01,84.19,75.64,83.98,8.398,14982600
2006-05-11,87.87,91.25,79.81,81.51,8.151,11971800
2006-05-12,82.22,83.32,77.4,78.51,7.851,4509300
2006-05-15,78.1,85.8,75.8101,84.35,8.435,4255300
2006-05-16,85.0,87.45,81.611,82.67,8.267,4188100
2006-05-17,81.69,85.45,80.25,84.0,8.4,3119400
2006-05-18,83.1,84.8,76.57,78.04,7.804,2481100
2006-05-19,79.61,83.0,76.0,82.0,8.2,3985000
2006-05-22,80.67,82.05,77.02,78.84,7.884,2482100
2006-05-23,80.92,83.44,80.03,82.41,8.241,2571100
2006-05-24,82.05,84.03,79.01,83.98,8.398,2859800
2006-05-25,85.01,85.8,79.14,79.33,7.933,3051400
2006-05-26,81.08,81.23,77.85,79.45,7.945,1830800
2006-05-30,78.02,81.2,77.43,77.6583,7.76583,1659600
2006-05-31,78.045,79.58,76.33,77.82,7.782,1794800
2006-06-01,78.44,83.75,77.27,83.43,8.343,2837100
2006-06-02,83.45,85.13,82.01,82.83,8.283,2148300
2006-06-05,82.25,84.59,80.51,83.26,8.326,1760600
2006-06-06,83.5,90.0,82.04,89.85,8.985,5503400
2006-06-07,89.945,94.03,87.62,87.65,8.765,6396500
2006-06-08,88.14,89.95,82.5,86.27,8.627,5345500
2006-06-09,87.5,89.8,85.21,87.056,8.7056,2927800
2006-06-12,87.3,88.39,84.02,84.19,8.419,2665300
2006-06-13,82.68,84.87,77.59,78.2,7.82,4415800
2006-06-14,79.23,80.35,76.29,79.4,7.94,3111600
2006-06-15,79.95,83.0001,79.6,82.48,8.248,2445700
2006-06-16,82.205,84.04,81.52,82.7,8.27,1859300
2006-06-19,81.8,82.76,77.05,78.75,7.875,2163600
2006-06-20,78.98,80.74,77.95,79.15,7.915,1501900
2006-06-21,79.8,86.0,79.28,84.4,8.44,3098500
2006-06-22,80.66,82.6,78.64,80.2,8.02,4901800
2006-06-23,80.001,82.2,79.9,80.9993,8.09993,2217200
2006-06-26,82.08,83.07,80.5,81.88,8.188,1406500
2006-06-27,83.53,84.24,81.53,81.96,8.196,1873000
2006-06-28,82.45,83.09,77.7,80.05,8.005,1842700
2006-06-29,81.2,83.79,80.34,83.57,8.357,1510600
2006-06-30,83.89,83.89,81.62,82.53,8.253,980300
2006-07-03,83.45,85.97,83.15,85.89,8.589,952700
2006-07-05,84.49,84.6,83.06,83.99,8.399,1168400
2006-07-06,84.42,89.3,84.42,87.54,8.754,2903400
2006-07-07,87.735,91.79,85.77,87.18,8.718,4328100
2006-07-10,88.29,88.75,83.24,84.15,8.415,2658000
2006-07-11,83.57,86.45,81.02,86.08,8.608,3554300
2006-07-12,86.3,86.51,84.35,85.0,8.5,2226100
2006-07-13,83.15,85.8,82.3001,83.41,8.341,2371200
2006-07-14,87.19,88.57,85.21,87.7,8.77,5013900
2006-07-17,86.5,93.43,86.5,93.04,9.304,5606500
2006-07-18,93.85,96.67,90.33,92.66,9.266,6071800
2006-07-19,90.97,93.08,90.04,91.62,9.162,2680300
2006-07-20,92.39,93.58,88.05,88.76,8.876,2506200
2006-07-21,88.48,90.0,86.25,88.65,8.865,2334800
2006-07-24,91.95,92.18,87.45,89.4,8.94,2514900
2006-07-25,89.6,91.45,88.11,89.76,8.976,1867000
2006-07-26,89.97,93.0,85.55,91.97,9.197,6113100
2006-07-27,77.5,78.71,72.64,72.78,7.278,9935100
2006-07-28,71.4,73.64,70.27,72.62,7.262,3076000
2006-07-31,72.96,74.4,71.3,71.7,7.17,1967000
2006-08-01,70.97,73.0,69.97,70.71,7.071,1707200
2006-08-02,70.85,71.53,67.92,68.7,6.87,2113500
2006-08-03,68.11,73.75,68.11,73.5,7.35,2788400
2006-08-04,74.3,74.96,73.2,74.74,7.474,1760900
2006-08-07,73.3,74.81,73.11,74.02,7.402,1045000
2006-08-08,74.5,74.75,72.84,73.48,7.348,1078600
2006-08-09,73.98,74.5,69.79,70.24,7.024,1138700
2006-08-10,69.71,72.0,69.3,70.96,7.096,861400
2006-08-11,72.0,72.54,70.8,72.0,7.2,758900
2006-08-14,71.97,72.2,70.7001,70.95,7.095,956000
2006-08-15,71.7,77.24,71.0,76.7,7.67,2986600
2006-08-16,76.7,78.48,75.18,78.18,7.818,3433700
2006-08-17,77.55,82.0,77.45,81.09,8.109,2173500
2006-08-18,79.77,81.19,79.5,80.2,8.02,1041300
2006-08-21,79.3,79.8299,77.51,78.9,7.89,1127600
2006-08-22,79.02,80.08,78.31,79.4101,7.94101,928600
2006-08-23,80.24,80.24,76.01,76.86,7.686,1214700
2006-08-24,76.55,77.43,75.35,76.64,7.664,786400
2006-08-25,76.7,78.44,76.46,76.8,7.68,807900
2006-08-28,76.6,78.3,76.6,77.4,7.74,529100
2006-08-29,77.12,78.0,74.9,76.82,7.682,1422700
2006-08-30,76.85,78.58,76.41,77.76,7.776,823500
2006-08-31,78.085,78.39,77.19,77.71,7.771,314400
2006-09-01,77.79,78.93,77.41,78.07,7.807,409400
2006-09-05,79.22,79.22,77.51,77.796,7.7796,591300
2006-09-06,77.43,78.0,76.88,77.27,7.727,655100
