Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,15.0,15.0,14.63,14.75,9.78159303858,41800
1999-11-02,14.75,14.88,14.31,14.75,9.78159303858,66600
1999-11-03,14.69,14.88,14.69,14.75,9.78159303858,18500
1999-11-04,14.88,15.13,14.5,14.94,9.90759322009,72100
1999-11-05,15.0,15.88,14.88,15.75,10.4447518887,122900
1999-11-08,15.88,17.38,15.81,16.63,11.0283316767,240000
1999-11-09,16.75,16.75,16.13,16.13,10.6967522517,42400
1999-11-10,16.0,16.13,15.81,16.06,10.6503311322,59900
1999-11-11,16.06,16.25,16.06,16.13,10.6967522517,20000
1999-11-12,16.25,18.5,16.25,18.0,11.9368593013,248500
1999-11-15,18.19,18.19,17.5,17.69,11.7312800578,99200
1999-11-16,17.69,17.69,17.38,17.44,11.5654903453,95300
1999-11-17,17.69,18.25,17.25,17.5,11.6052798763,107900
1999-11-18,17.5,17.5,17.25,17.25,11.4394901638,67500
1999-11-19,17.25,17.75,17.19,17.63,11.6914905268,31200
1999-11-22,17.56,17.88,17.56,17.81,11.8108591198,36500
1999-11-23,17.81,19.38,17.81,19.13,12.6862288019,65500
1999-11-24,19.0,19.0,18.38,18.56,12.3082282574,53800
1999-11-26,18.5,18.5,18.38,18.44,12.2286491954,2600
1999-11-29,18.38,18.38,17.88,18.13,12.0230699518,20200
1999-11-30,18.19,18.5,18.19,18.38,12.1888596643,38100
1999-12-01,18.38,18.63,18.25,18.56,12.3082282574,43800
1999-12-02,18.56,19.0,18.56,19.0,12.6000181514,33200
1999-12-03,19.13,19.38,19.06,19.19,12.7260183329,62000
1999-12-06,19.19,19.19,18.25,18.38,12.1888596643,38200
1999-12-07,18.5,19.0,18.44,18.63,12.3546493769,112500
1999-12-08,18.5,18.5,18.0,18.19,12.0628594828,27700
1999-12-09,18.25,18.38,18.13,18.25,12.1026490138,15500
1999-12-10,18.13,18.13,17.63,17.63,11.6914905268,22400
1999-12-13,17.75,18.0,17.44,17.44,11.5654903453,44500
1999-12-14,17.25,17.25,17.06,17.13,11.3599111018,19400
1999-12-15,17.13,17.13,16.88,17.13,11.3599111018,11100
1999-12-16,17.06,17.25,16.81,16.81,11.1477002697,90700
1999-12-17,16.69,17.25,16.69,17.12,11.3532795133,37300
1999-12-20,17.0,17.0,16.81,16.94,11.2339109202,31300
1999-12-21,16.94,17.06,16.88,17.0,11.2737004512,11800
1999-12-22,17.13,17.38,17.13,17.19,11.3997006328,6300
1999-12-23,17.19,17.25,17.0,17.13,11.3599111018,3700
1999-12-27,17.06,17.13,17.06,17.13,11.3599111018,2400
1999-12-28,17.06,17.63,17.06,17.38,11.5257008143,65600
1999-12-29,17.44,17.44,17.13,17.25,11.4394901638,9600
1999-12-30,17.13,17.38,17.13,17.31,11.4792796948,5100
1999-12-31,17.25,17.38,17.19,17.19,11.3997006328,13000
2000-01-03,17.44,17.5,16.62,16.62,11.0217000882,64600
2000-01-04,16.63,16.63,15.63,15.88,10.5309625392,81900
2000-01-05,15.63,15.63,15.0,15.31,10.1529619946,38100
2000-01-06,15.75,16.25,15.75,16.0,10.6105416012,41200
2000-01-07,15.88,16.25,15.75,15.88,10.5309625392,34700
2000-01-10,16.5,16.5,16.0,16.0,10.6105416012,94200
2000-01-11,16.13,16.88,16.0,16.44,10.9023314952,39700
2000-01-12,16.5,17.13,16.5,17.13,11.3599111018,25100
2000-01-13,17.25,17.5,16.88,16.94,11.2339109202,62000
2000-01-14,17.0,17.75,16.88,17.5,11.6052798763,183100
2000-01-18,17.75,18.25,17.75,18.0,11.9368593013,77300
2000-01-19,18.0,18.38,17.94,18.25,12.1026490138,34500
2000-01-20,18.25,18.25,17.38,17.5,11.6052798763,42200
2000-01-21,17.44,17.5,17.25,17.38,11.5257008143,16000
2000-01-24,17.5,17.5,17.0,17.13,11.3599111018,10700
2000-01-25,17.13,17.5,17.06,17.25,11.4394901638,19200
2000-01-26,17.25,17.5,17.25,17.44,11.5654903453,16600
2000-01-27,17.44,18.0,17.44,17.5,11.6052798763,33600
2000-01-28,17.63,17.63,17.31,17.38,11.5257008143,3900
2000-01-31,17.13,17.5,17.13,17.5,11.6052798763,53900
2000-02-01,17.38,17.75,17.38,17.75,11.7710695888,15400
2000-02-02,18.0,18.13,17.88,17.94,11.8970697703,92700
2000-02-03,18.06,18.13,17.94,18.0,11.9368593013,35200
2000-02-04,18.13,18.56,18.13,18.38,12.1888596643,51500
2000-02-07,18.44,18.56,18.38,18.5,12.2684387264,25200
2000-02-08,18.5,18.88,18.5,18.56,12.3082282574,45300
2000-02-09,18.75,18.75,18.38,18.38,12.1888596643,9100
2000-02-10,18.5,18.5,17.88,17.88,11.8572802393,9700
2000-02-11,17.88,18.0,17.88,17.94,11.8970697703,24700
2000-02-14,18.06,18.06,17.88,18.0,11.9368593013,7100
2000-02-15,17.88,18.0,17.88,17.88,11.8572802393,4900
2000-02-16,17.88,18.5,17.88,18.5,12.2684387264,69000
2000-02-17,18.5,18.69,18.31,18.38,12.1888596643,28100
2000-02-18,18.38,18.56,18.38,18.5,12.2684387264,5000
2000-02-22,18.63,18.81,18.56,18.56,12.3082282574,10700
2000-02-23,18.56,18.94,18.56,18.81,12.4740179699,5700
2000-02-24,18.88,19.13,18.88,19.0,12.6000181514,61800
2000-02-25,19.0,19.25,19.0,19.25,12.7658078639,41400
2000-02-28,19.25,20.13,19.25,20.13,13.349387652,35700
2000-02-29,21.75,21.88,21.63,21.88,14.5099156396,79900
2000-03-01,22.5,22.75,21.75,21.75,14.4237049891,140600
2000-03-02,22.0,22.25,22.0,22.06,14.6292842326,26600
2000-03-03,22.13,22.13,22.06,22.13,14.6757053521,17300
2000-03-06,22.06,22.25,22.06,22.06,14.6292842326,9900
2000-03-07,22.13,22.13,21.75,22.0,14.5894947016,26200
2000-03-08,22.0,22.19,22.0,22.0,14.5894947016,31700
2000-03-09,21.88,22.0,21.75,22.0,14.5894947016,7800
2000-03-10,22.0,22.13,21.94,22.13,14.6757053521,5200
2000-03-13,22.38,23.13,22.25,22.88,15.1730744897,27900
2000-03-14,22.88,23.0,22.88,22.88,15.1730744897,1300
2000-03-15,23.13,24.13,22.63,24.13,16.0020230523,29000
2000-03-16,24.13,25.0,24.13,24.38,16.1678127648,19500
2000-03-17,23.38,24.75,23.38,24.75,16.4131815393,73300
2000-03-20,24.0,24.25,23.88,24.0,15.9158124018,134700
2000-03-21,23.75,24.0,23.75,24.0,15.9158124018,172200
2000-03-22,23.75,23.75,22.63,22.63,15.0072847772,35900
2000-03-23,22.63,22.63,22.5,22.5,14.9210741266,1300
2000-03-24,22.5,22.5,22.38,22.44,14.8812845956,5600
2000-03-27,22.19,22.19,22.0,22.06,14.6292842326,19600
2000-03-28,22.06,22.06,19.75,20.0,13.2631770015,42600
2000-03-29,19.75,19.88,19.75,19.75,13.0973872889,77000
2000-03-30,19.81,20.5,19.81,20.44,13.5549668955,18700
2000-03-31,20.44,20.44,20.25,20.25,13.428966714,23500
2000-04-03,20.25,20.69,20.25,20.63,13.680967077,4000
2000-04-04,20.63,20.88,20.63,20.75,13.760546139,77700
2000-04-05,20.75,21.44,20.63,21.44,14.2181257456,32700
2000-04-06,21.38,22.44,21.13,22.38,14.8414950646,12500
2000-04-07,22.25,24.44,22.25,24.25,16.0816021143,44500
2000-04-10,24.25,24.25,24.0,24.0,15.9158124018,16100
2000-04-11,24.13,24.13,24.0,24.06,15.9556019328,6300
2000-04-12,24.0,24.0,23.81,23.88,15.8362333397,3800
2000-04-13,23.75,23.75,23.38,23.38,15.5046539147,4900
2000-04-14,23.25,23.25,23.0,23.0,15.2526535517,10200
2000-04-17,22.88,22.88,22.38,22.44,14.8812845956,15500
2000-04-18,22.31,22.31,21.88,21.94,14.5497051706,2900
2000-04-19,21.81,21.94,21.0,21.0,13.9263358515,20400
2000-04-20,21.0,21.16,20.94,21.13,14.012546502,78800
2000-04-24,21.06,21.63,21.0,21.63,14.3441259271,15100
2000-04-25,21.88,24.5,21.69,24.0,15.9158124018,74600
2000-04-26,24.25,24.25,23.81,24.13,16.0020230523,67700
2000-04-27,24.0,24.38,24.0,24.31,16.1213916453,12600
2000-04-28,24.5,26.0,24.38,26.0,17.2421301019,43100
2000-05-01,26.25,26.5,24.0,24.0,15.9158124018,97500
2000-05-02,24.13,24.13,23.75,23.81,15.7898122202,6100
2000-05-03,23.56,24.38,23.56,24.25,16.0816021143,23000
2000-05-04,24.0,24.0,23.63,23.63,15.6704436272,6300
2000-05-05,23.5,23.88,23.5,23.69,15.7102331582,6200
2000-05-08,23.56,24.13,23.5,24.0,15.9158124018,20400
2000-05-09,24.13,24.38,24.06,24.38,16.1678127648,19900
2000-05-10,24.5,25.06,24.38,25.06,16.6187607828,23400
2000-05-11,25.13,25.75,25.13,25.25,16.7447609643,30200
2000-05-12,25.0,25.75,24.88,25.75,17.0763403894,32300
2000-05-15,25.75,26.5,25.63,25.75,17.0763403894,73700
2000-05-16,25.81,26.5,25.63,26.25,17.4079198144,26100
2000-05-17,26.38,26.5,26.25,26.38,17.4941304649,5300
2000-05-18,26.38,26.38,26.06,26.19,17.3681302834,9400
2000-05-19,26.19,26.19,26.0,26.13,17.3283407524,38200
2000-05-22,26.0,26.0,25.81,25.81,17.1161299204,6700
2000-05-23,25.38,25.38,23.75,23.75,15.7500226892,63200
2000-05-24,23.25,23.63,23.0,23.25,15.4184432642,33100
2000-05-25,23.38,23.5,23.38,23.38,15.5046539147,12500
2000-05-26,23.38,23.63,23.25,23.25,15.4184432642,64800
2000-05-30,23.25,23.25,22.81,23.25,15.4184432642,89000
2000-05-31,23.25,23.5,23.25,23.5,15.5842329767,68300
2000-06-01,24.06,24.75,24.06,24.38,16.1678127648,38200
2000-06-02,24.5,26.0,24.5,25.75,17.0763403894,62400
2000-06-05,25.63,27.0,25.38,26.88,17.82570989,145400
2000-06-06,26.88,26.88,26.38,26.44,17.5339199959,61200
2000-06-07,26.44,26.44,25.94,25.94,17.2023405709,16400
2000-06-08,25.81,25.81,25.38,25.44,16.8707611459,32200
2000-06-09,25.38,25.44,25.25,25.44,16.8707611459,29700
2000-06-12,25.44,25.44,24.5,25.25,16.7447609643,75500
2000-06-13,24.75,26.0,24.75,26.0,17.2421301019,185700
2000-06-14,26.0,26.94,26.0,26.81,17.7792887705,162900
2000-06-15,27.06,28.0,27.06,27.5,18.236868377,104300
2000-06-16,27.5,29.25,27.5,29.0,19.2316066521,222700
