Date,Open,High,Low,Close,Adj Close,Volume
2007-06-22,36.45,38.0,34.25,35.06,15.2871175269,113095700
2007-06-25,35.74,35.77,31.9,32.44,14.1447259719,35668600
2007-06-26,32.28,32.49,30.32,30.75,13.4078398161,29614000
2007-06-27,30.4,30.75,29.13,29.92,13.0459371479,18087600
2007-06-28,29.61,30.98,29.54,29.69,12.9456508664,8660300
2007-06-29,30.0,30.2,28.75,29.27,12.7625193957,7559700
2007-07-02,29.27,29.74,29.08,29.27,12.7625193957,3175900
2007-07-03,29.5,29.88,29.42,29.72,12.9587316857,2763700
2007-07-05,30.95,30.97,30.2,30.63,13.3555165388,6950900
2007-07-06,30.9,31.7,30.8,31.5,13.7348602994,7652900
2007-07-09,31.9,31.99,31.39,31.48,13.7261397532,4301400
2007-07-10,31.28,31.34,29.84,29.93,13.050297421,6388700
2007-07-11,29.94,30.08,28.96,29.18,12.7232769377,5982800
2007-07-12,29.5,30.29,29.31,30.0,13.0808193328,5144200
2007-07-13,29.88,30.0,29.28,29.85,13.0154152361,3318400
2007-07-16,29.85,29.98,29.33,29.69,12.9456508664,3109000
2007-07-17,29.69,29.85,29.11,29.21,12.736357757,2666800
2007-07-18,29.0,29.1,28.0,28.4,12.383175635,5156100
2007-07-19,28.4,28.5,27.0,27.33,11.9166264122,9902100
2007-07-20,27.0,27.11,25.63,25.95,11.3149087229,9614600
2007-07-23,25.83,26.9,25.51,26.37,11.4980401935,6372700
2007-07-24,25.91,26.45,25.6,25.71,11.2102621682,5614800
2007-07-25,25.76,26.05,25.25,25.51,11.123056706,4737600
2007-07-26,25.18,25.95,23.27,25.7,11.2059018951,11174800
2007-07-27,24.66,24.85,23.68,24.3,10.5954636596,9253500
2007-07-30,24.42,24.88,23.55,24.48,10.6739485756,5226600
2007-07-31,24.97,25.21,23.81,24.01,10.4690157393,5088700
2007-08-01,24.34,24.5,23.6,24.31,10.5998239327,6489200
2007-08-02,25.25,25.58,24.43,25.33,11.04457179,8273800
2007-08-03,25.39,25.47,24.2,24.39,10.6347061176,5322900
2007-08-06,24.68,24.68,22.76,24.53,10.6957499411,7314800
2007-08-07,24.5,25.98,24.01,24.9,10.8570800462,5855100
2007-08-08,25.64,25.9,25.0,25.27,11.0184101513,4775000
2007-08-09,24.99,25.39,24.5,24.92,10.8658005924,4345000
2007-08-10,24.5,25.79,23.98,25.28,11.0227704244,4781400
