Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,40.81,43.88,40.62,42.88,24.2630258599,1264200
1999-11-02,42.31,43.31,41.44,41.81,23.6575818844,936300
1999-11-03,41.81,41.81,40.12,40.81,23.0917463933,683800
1999-11-04,41.0,41.5,40.56,40.56,22.9502875205,728100
1999-11-05,41.12,41.38,40.06,40.25,22.7748785182,454000
1999-11-08,40.38,41.25,40.25,40.31,22.8088286477,395200
1999-11-09,43.75,44.5,42.5,43.12,24.3988263778,1816600
1999-11-10,44.0,46.5,43.94,45.94,25.9944824628,1936100
1999-11-11,46.0,47.0,45.06,45.12,25.5304973601,1520900
1999-11-12,45.31,45.56,44.0,45.06,25.4965472306,537800
1999-11-15,45.31,45.81,44.5,45.38,25.6776145878,567000
1999-11-16,46.38,47.56,46.31,47.31,26.7696770856,747600
1999-11-17,47.25,50.31,47.25,49.0,27.7259390657,1451900
1999-11-18,49.31,49.38,46.75,47.19,26.7017768267,1247300
1999-11-19,45.62,45.69,44.12,45.0,25.4625971011,1410100
1999-11-22,45.25,45.25,43.62,44.25,25.0382204828,1417500
1999-11-23,44.75,45.5,44.25,44.69,25.2871880989,857100
1999-11-24,45.12,45.25,44.56,45.0,25.4625971011,796500
1999-11-26,44.75,44.81,44.25,44.38,25.1117790966,307700
1999-11-29,43.25,43.69,42.94,43.44,24.579893735,979900
1999-11-30,44.0,45.25,44.0,44.56,25.213629485,1128800
1999-12-01,44.81,45.25,44.31,44.31,25.0721706122,794100
1999-12-02,45.0,45.25,44.25,44.75,25.3211382283,498000
1999-12-03,45.31,47.44,45.12,46.81,26.4867593401,1480200
1999-12-06,50.0,50.0,48.0,48.19,27.2676123178,2269500
1999-12-07,48.19,49.5,47.94,49.5,28.0088568112,1099200
1999-12-08,49.5,49.5,48.81,49.06,27.7598891951,1006800
1999-12-09,49.06,49.31,48.12,49.12,27.7938393246,527000
1999-12-10,49.25,49.38,48.25,48.56,27.4769714496,1207200
1999-12-13,49.0,49.88,49.0,49.44,27.9749066818,1334500
1999-12-14,50.12,53.0,49.94,51.25,28.9990689207,2197400
1999-12-15,51.31,52.25,50.5,51.38,29.0726275346,1309700
1999-12-16,51.12,51.12,49.5,50.25,28.4332334296,1280300
1999-12-17,51.12,52.5,50.25,52.06,29.4573956685,1387200
1999-12-20,51.81,51.81,47.88,50.38,28.5067920434,2152300
1999-12-21,50.0,52.06,49.5,51.88,29.3555452801,1203800
1999-12-22,51.62,56.0,50.62,54.12,30.6230167803,1442300
1999-12-23,53.94,53.94,50.5,53.5,30.2721987758,977300
1999-12-27,53.12,53.25,50.62,51.12,28.9255103069,1154900
1999-12-28,51.06,51.44,49.5,49.81,28.1842658135,858400
1999-12-29,49.94,51.0,49.25,50.88,28.789709789,435100
1999-12-30,50.62,52.25,50.31,50.75,28.7161511752,422300
1999-12-31,50.75,50.75,49.62,50.38,28.5067920434,142400
2000-01-03,49.75,49.88,48.75,49.19,27.833447809,721300
2000-01-04,48.75,49.0,47.56,47.88,27.0922033156,614000
2000-01-05,48.12,50.25,47.5,49.12,27.7938393246,743400
2000-01-06,47.56,50.5,47.06,49.56,28.0428069407,1038500
2000-01-07,49.75,52.88,49.19,52.31,29.5988545413,1013300
2000-01-10,52.81,53.25,51.38,51.75,29.2819866663,445400
2000-01-11,50.94,52.75,50.38,52.25,29.5649044119,882600
2000-01-12,52.0,52.62,51.0,52.19,29.5309542824,657500
2000-01-13,52.81,56.38,52.0,55.0,31.1209520125,2040300
2000-01-14,54.12,55.5,53.75,54.25,30.6965753941,938500
2000-01-18,52.88,53.75,52.19,52.75,29.8478221574,733900
2000-01-19,53.25,53.25,50.25,51.94,29.3894954096,1142200
2000-01-20,53.5,53.5,50.62,52.0,29.4234455391,851000
2000-01-21,52.0,52.0,49.88,50.62,28.6425925613,1225200
2000-01-24,50.5,50.56,48.5,48.88,27.6580388067,1138800
2000-01-25,48.88,49.94,45.94,47.25,26.7357269562,1151600
2000-01-26,47.44,48.12,47.38,47.81,27.0525948312,579500
2000-01-27,49.75,49.75,46.75,47.25,26.8488940544,1877800
