Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,52.5,52.88,49.38,50.19,39.5303465083,1882000
1999-11-02,50.0,52.94,50.0,51.0,40.1683138459,1329000
1999-11-03,51.19,51.94,50.5,50.75,39.9714103466,728100
1999-11-04,50.75,52.19,50.69,51.69,40.7117675038,1028300
1999-11-05,54.5,54.88,53.06,53.13,41.8459316594,2151800
1999-11-08,53.06,53.13,49.5,49.94,39.3334430091,2952500
1999-11-09,50.75,51.19,49.06,49.44,38.9396360106,1022400
1999-11-10,49.06,49.56,45.5,45.5,35.8364368625,1346200
1999-11-11,46.0,46.69,45.5,45.75,36.0333403617,2689400
1999-11-12,46.88,51.06,46.88,50.63,39.876896667,1298300
1999-11-15,50.63,51.0,49.38,50.19,39.5303465083,815200
1999-11-16,50.5,52.56,50.5,51.81,40.8272789726,996800
1999-11-17,51.63,51.63,49.19,49.38,38.9123921186,1016400
1999-11-18,50.0,50.25,48.69,49.88,39.3064017594,855700
1999-11-19,49.63,50.31,49.06,50.0,39.4009640731,604100
1999-11-22,50.0,50.0,47.75,48.06,37.8722066671,683400
1999-11-23,47.94,48.0,46.5,47.25,37.2339110491,673600
1999-11-24,46.88,47.25,46.31,47.06,37.0841873856,317800
1999-11-26,46.81,47.63,46.69,47.31,37.281192206,207100
1999-11-29,47.06,47.06,45.44,45.88,36.1543246335,758800
1999-11-30,45.63,47.5,45.31,46.56,36.6901777449,1566700
1999-12-01,47.13,47.31,45.94,46.4,36.5640946599,1384700
1999-12-02,45.75,48.13,45.75,47.94,37.7776443533,1079400
1999-12-03,49.75,50.94,49.56,50.75,39.9919785342,1167600
1999-12-06,51.5,51.5,49.5,50.69,39.9446973773,1094200
1999-12-07,51.0,51.0,47.56,49.19,38.7626684551,1297600
1999-12-08,49.44,49.81,48.31,48.5,38.2189351509,564000
1999-12-09,49.38,50.19,46.94,48.25,38.0219303306,1351300
1999-12-10,49.0,49.94,48.38,49.44,38.9596732755,1413000
1999-12-13,49.25,50.0,49.13,49.94,39.3536829162,729500
1999-12-14,49.75,50.0,47.69,48.38,38.1243728372,1569600
1999-12-15,48.38,48.5,46.81,46.94,36.9896250719,886500
1999-12-16,46.69,46.88,44.69,46.44,36.5956154311,1128700
1999-12-17,46.5,47.5,46.38,46.5,36.642896588,912600
1999-12-20,46.56,47.44,46.13,46.19,36.3986106108,463900
1999-12-21,46.19,46.69,45.31,46.13,36.3513294539,826000
1999-12-22,45.94,46.25,45.69,45.94,36.2016057904,415600
1999-12-23,46.13,46.69,45.88,46.13,36.3513294539,471500
1999-12-27,46.0,47.38,46.0,46.25,36.4458917676,977700
1999-12-28,46.25,47.0,46.25,46.63,36.7453390946,528400
1999-12-29,46.63,47.13,46.63,46.81,36.8871825653,320100
1999-12-30,46.69,48.0,46.69,47.69,37.580639533,298400
1999-12-31,47.63,48.44,47.56,48.19,37.9746491737,296200
2000-01-03,48.12,48.19,45.12,46.19,36.3986106108,886900
2000-01-04,45.25,45.31,42.88,43.31,34.1291150801,1221700
2000-01-05,43.31,43.38,41.75,42.38,33.3962571484,1361900
2000-01-06,42.31,44.44,42.06,44.25,34.8698532047,2482300
2000-01-07,44.25,46.19,43.13,45.5,35.8548773065,1206500
2000-01-10,45.5,46.06,44.88,44.94,35.4135865089,855800
2000-01-11,44.75,45.5,43.25,43.5,34.2788387436,1511400
2000-01-12,43.5,44.5,43.38,44.06,34.7201295412,1151400
2000-01-13,44.38,45.44,43.94,45.19,35.6105913293,417700
2000-01-14,46.19,48.0,45.88,46.81,36.8871825653,1260600
2000-01-18,44.0,45.31,42.0,42.5,33.4908194622,2612600
2000-01-19,43.75,43.81,42.75,43.38,34.1842764298,1942600
2000-01-20,43.19,43.5,42.0,42.38,33.3962571484,1163600
2000-01-21,43.19,43.25,40.81,41.38,32.6082378669,1324500
2000-01-24,41.31,41.5,40.88,41.13,32.4112330466,1058900
2000-01-25,41.0,41.06,40.0,40.06,31.5680524154,986100
2000-01-26,40.13,42.63,40.13,41.94,33.0495286645,1009300
2000-01-27,42.0,43.13,40.69,41.5,32.7028001807,1583200
2000-01-28,41.25,41.25,39.81,40.06,31.5680524154,539500
2000-01-31,39.25,41.19,39.19,41.0,32.30879054,500800
2000-02-01,41.5,41.56,40.0,40.19,31.670494922,628200
2000-02-02,40.75,40.81,39.25,39.81,31.371047595,534400
2000-02-03,40.5,40.81,38.63,39.13,30.8351944836,865700
2000-02-04,40.13,40.13,38.5,38.56,30.3860234932,611000
2000-02-07,38.44,39.31,37.38,37.94,29.9184601327,910600
