Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,45.06,45.81,44.63,45.75,24.7933161528,654400
1999-11-02,45.75,45.88,44.63,45.56,24.6903493754,923600
1999-11-03,45.56,46.31,45.13,46.31,25.0967971812,652500
1999-11-04,46.06,46.31,44.69,44.88,24.3218366981,320500
1999-11-05,44.81,45.44,44.56,44.81,24.2839015696,405500
1999-11-08,45.0,46.06,44.88,46.0,24.9287987548,466700
1999-11-09,45.63,45.75,44.56,45.0,24.3868683471,365200
1999-11-10,44.56,45.0,43.88,45.0,24.3868683471,524700
1999-11-11,44.75,44.94,44.38,44.69,24.2188699207,306200
1999-11-12,44.56,44.94,44.38,44.81,24.2839015696,275100
1999-11-15,44.81,45.06,43.94,44.63,24.1863540962,390700
1999-11-16,46.0,47.0,45.75,46.38,25.1347323097,1535100
1999-11-17,46.06,47.0,45.75,46.5,25.1997639586,710000
1999-11-18,46.25,46.81,46.06,46.63,25.2702149116,428300
1999-11-19,46.31,46.31,45.5,45.88,24.8637671058,508100
1999-11-22,45.38,45.69,45.0,45.19,24.4898351245,376100
1999-11-23,45.0,45.44,44.69,45.25,24.522350949,297500
1999-11-24,45.19,45.88,44.56,45.44,24.6253177264,286800
1999-11-26,45.19,45.44,45.0,45.13,24.4573193001,123600
1999-11-29,44.5,44.81,43.94,44.81,24.2839015696,405000
1999-11-30,44.38,44.75,44.31,44.63,24.1863540962,432500
1999-12-01,44.13,45.19,44.13,44.44,24.0833873187,459200
1999-12-02,44.44,44.94,44.19,44.38,24.0508714943,329300
1999-12-03,44.13,45.88,44.13,45.44,24.6253177264,484900
1999-12-06,45.5,46.0,45.25,45.81,24.8258319773,559100
1999-12-07,45.5,45.56,44.56,44.56,24.1484189677,399900
1999-12-08,44.44,44.63,42.56,42.88,23.2379758827,806100
1999-12-09,41.0,42.06,40.56,41.56,22.5226277445,1048900
1999-12-10,41.63,41.75,41.0,41.19,22.3221134937,347900
1999-12-13,41.0,41.06,40.25,40.69,22.0511482898,451100
1999-12-14,40.06,40.25,39.63,40.06,21.709732133,501200
1999-12-15,39.81,39.94,38.75,39.06,21.1678017252,857500
1999-12-16,39.19,39.19,38.38,38.75,20.9998032988,606000
1999-12-17,38.31,39.0,38.06,39.0,21.1352859008,1514700
1999-12-20,38.75,38.75,38.31,38.54,20.8859979132,506700
1999-12-21,38.38,38.56,37.44,37.63,20.3928412422,585400
1999-12-22,37.56,39.25,37.56,38.88,21.0702542519,882200
1999-12-23,39.06,39.44,38.56,39.31,21.3032843272,504700
1999-12-27,39.25,40.44,39.0,40.06,21.709732133,568000
1999-12-28,39.81,40.25,39.06,39.06,21.1678017252,433400
1999-12-29,39.19,39.25,38.63,39.13,21.2057368538,337200
1999-12-30,39.13,39.19,38.63,38.81,21.0323191233,339600
1999-12-31,38.81,38.81,38.19,38.69,20.9672874744,199200
2000-01-03,39.63,39.63,37.0,37.25,20.1869076873,982600
2000-01-04,37.0,37.31,35.69,35.88,19.4444630287,1007000
2000-01-05,35.81,37.0,35.13,35.44,19.3279479911,1016800
2000-01-06,35.13,36.5,35.06,36.31,19.8024207549,743500
2000-01-07,36.63,37.19,36.38,37.0,20.1787267401,526700
2000-01-10,36.75,37.5,35.56,35.81,19.5297352585,562600
2000-01-11,35.63,37.0,35.63,36.19,19.7369762358,902500
2000-01-12,36.19,36.63,35.31,35.75,19.4970129989,693800
