Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,43.44,43.5,39.94,40.36,14.8394158436,2974100
1999-11-02,39.75,40.44,37.81,39.38,14.4790930605,5228400
1999-11-03,39.38,39.81,38.75,38.75,14.2474569856,2018600
1999-11-04,39.56,39.75,38.06,38.31,14.0856794095,2120600
1999-11-05,38.25,38.75,37.0,38.0,13.9716997536,3556200
1999-11-08,38.38,38.63,37.19,37.25,13.6959425216,2132800
1999-11-09,37.75,37.94,37.19,37.19,13.6738819431,1735700
1999-11-10,37.13,37.13,35.25,35.63,13.1003069006,4106000
1999-11-11,35.63,35.81,32.94,35.5,13.0525089803,6005700
1999-11-12,35.75,36.06,34.06,36.06,13.2584077136,4356600
1999-11-15,36.5,38.94,36.06,38.81,14.2695175642,3428500
1999-11-16,40.25,40.75,39.31,39.75,14.6151332949,3435700
1999-11-17,39.63,40.63,39.63,40.38,14.8467693698,2131100
1999-11-18,40.38,40.56,39.19,39.44,14.501153639,2540100
1999-11-19,39.81,40.31,39.69,40.06,14.7291129508,1573000
1999-11-22,40.0,40.13,39.0,40.13,14.7548502924,2658300
1999-11-23,39.75,40.06,39.25,39.81,14.6371938735,1767300
1999-11-24,39.69,40.0,39.0,39.06,14.3614366415,1409100
1999-11-26,39.06,39.94,39.06,39.69,14.5930727163,354300
1999-11-29,39.63,40.38,38.94,40.19,14.776910871,1960000
1999-11-30,39.94,40.31,39.69,39.69,14.5930727163,1396000
1999-12-01,39.56,40.19,38.81,39.63,14.5710121378,2206700
1999-12-02,39.56,39.56,37.75,38.0,13.9716997536,2365000
1999-12-03,38.0,39.13,38.0,38.88,14.2952549058,2518600
1999-12-06,39.19,40.0,37.0,37.5,13.787861599,2634100
1999-12-07,37.44,37.44,35.81,36.06,13.2584077136,3048300
1999-12-08,36.06,36.06,35.56,35.69,13.1223674791,1835500
1999-12-09,36.25,37.5,35.13,35.56,13.0745695589,1916800
1999-12-10,35.88,36.81,35.69,35.94,13.2142865564,1919700
1999-12-13,37.5,37.5,35.06,35.56,13.0745695589,1841900
1999-12-14,35.25,35.31,33.31,33.94,12.4789339378,4027600
1999-12-15,34.13,34.88,33.5,34.06,12.5230550949,1883400
1999-12-16,34.0,34.13,31.69,31.69,11.6516622419,2706700
1999-12-17,31.94,32.06,30.25,31.81,11.695783399,7151000
1999-12-20,32.13,32.13,30.0,30.31,11.1442689351,5508200
1999-12-21,30.63,32.5,30.56,32.0,11.7656418978,4921500
1999-12-22,32.0,32.19,31.44,31.88,11.7215207407,3479400
1999-12-23,32.38,34.94,32.19,34.63,12.7326305913,3657900
1999-12-27,34.75,36.44,34.69,35.88,13.1922259779,3007900
1999-12-28,36.0,36.81,35.5,35.69,13.1223674791,1956600
1999-12-29,36.5,36.88,36.19,36.63,13.4679832099,1917700
1999-12-30,36.81,38.63,36.75,38.5,14.1555379083,1883400
1999-12-31,38.75,40.0,38.63,39.88,14.6629312151,1901900
2000-01-03,40.0,40.19,36.94,37.81,13.9018412548,3251500
2000-01-04,37.5,38.19,36.88,37.5,13.787861599,2833500
2000-01-05,37.63,39.94,37.56,39.75,14.6151332949,2847000
2000-01-06,39.38,39.38,36.19,36.75,13.512104367,3601600
2000-01-07,37.0,37.75,35.31,37.63,13.8356595192,3483500
2000-01-10,39.38,39.94,36.38,37.56,13.8099221775,4393200
2000-01-11,37.63,38.88,37.44,37.69,13.8577200977,3254200
2000-01-12,37.75,38.06,36.63,37.63,13.8356595192,2311900
2000-01-13,37.63,37.69,36.56,36.88,13.5599022872,2561500
2000-01-14,36.81,36.81,34.63,35.88,13.1922259779,6575100
2000-01-18,35.63,36.44,35.38,36.0,13.236347135,2743500
2000-01-19,35.94,36.25,35.44,35.81,13.1664886362,2135400
