Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,90.56,92.38,90.56,91.44,20.7688669998,1385300
1999-11-02,91.25,91.31,88.63,88.75,20.1578843639,1582900
1999-11-03,89.94,89.94,88.38,89.06,20.2282950022,1224600
1999-11-04,89.06,89.13,87.94,88.25,20.0443188181,1256700
1999-11-05,88.75,89.0,85.5,85.5,19.4197083167,1564900
1999-11-08,86.19,89.38,86.19,89.38,20.3009769515,1447700
1999-11-09,89.63,90.31,88.5,89.25,20.2714499096,1214400
1999-11-10,89.31,91.88,89.31,91.56,20.7961227308,1708000
1999-11-11,91.5,91.5,89.81,90.5,20.5553637738,1524800
1999-11-12,90.25,92.44,89.25,91.38,20.7552391343,1450400
1999-11-15,91.38,91.94,90.56,91.38,20.7552391343,841900
1999-11-16,91.69,93.75,91.69,93.69,21.2799119555,1335700
1999-11-17,93.56,96.94,93.5,96.56,22.0794133973,2974400
1999-11-18,95.0,96.38,94.69,95.25,21.7798687458,2005100
1999-11-19,94.0,94.44,92.25,93.19,21.3088290648,1132300
1999-11-22,93.19,93.63,90.88,91.13,20.8377893838,1375400
1999-11-23,90.94,90.94,89.13,89.63,20.4947993248,1262400
1999-11-24,89.63,90.69,89.06,90.25,20.6365685492,1594800
1999-11-26,90.19,90.19,89.0,89.0,20.3507435,676300
1999-11-29,88.38,89.19,87.81,88.56,20.2501330827,1349800
1999-11-30,87.25,90.5,87.19,88.56,20.2501330827,1262100
1999-12-01,88.75,92.5,87.88,92.5,21.1510536376,1414800
1999-12-02,91.88,92.44,90.0,90.94,20.7943439763,1364900
1999-12-03,91.75,92.75,90.06,90.94,20.7943439763,1001000
1999-12-06,90.31,91.69,90.31,91.0,20.8080635786,817700
1999-12-07,91.06,91.13,89.56,89.75,20.5222385295,1824900
1999-12-08,88.25,91.19,87.5,90.5,20.693733559,1678700
1999-12-09,91.0,92.5,91.0,92.19,21.0801690254,1209300
1999-12-10,91.5,91.75,90.5,90.75,20.7508985688,1342600
1999-12-13,90.69,90.75,88.56,89.56,20.478793122,1590900
1999-12-14,87.88,89.88,87.81,87.81,20.0786380532,1808300
1999-12-15,88.38,91.75,88.38,89.94,20.565683937,1258300
1999-12-16,89.94,89.94,88.81,89.44,20.4513539173,1232800
1999-12-17,87.5,89.94,87.5,87.5,20.007753441,2283400
1999-12-20,87.5,88.0,85.0,86.14,19.6967757875,1187900
1999-12-21,85.31,87.0,85.13,85.44,19.53671376,1210300
1999-12-22,85.63,85.88,84.31,84.75,19.3789383329,1090800
1999-12-23,85.5,86.69,84.0,86.44,19.7653737993,876600
1999-12-27,85.5,86.44,83.94,84.63,19.3514991281,1226900
1999-12-28,84.94,86.75,84.94,86.5,19.7790934017,1018400
1999-12-29,87.25,87.81,86.0,86.0,19.664763382,755200
1999-12-30,86.13,87.63,85.44,85.5,19.5504333624,901100
1999-12-31,85.69,86.69,84.75,86.63,19.8088192068,559200
2000-01-03,85.88,85.88,82.56,83.63,19.1228390888,2193800
2000-01-04,82.94,84.13,82.5,83.63,19.1228390888,1851200
2000-01-05,83.06,86.56,83.06,85.44,19.53671376,2783800
2000-01-06,85.31,89.19,85.31,88.75,20.2935784902,2176700
2000-01-07,90.0,90.88,89.0,90.31,20.6502881515,2243700
2000-01-10,90.06,90.06,87.69,87.88,20.094644256,1052400
2000-01-11,87.88,88.88,86.94,87.06,19.9071430237,1395600
2000-01-12,87.06,87.63,85.88,86.75,19.8362584115,1496300
2000-01-13,86.5,89.25,86.13,87.56,20.0214730434,1626700
2000-01-14,85.81,87.44,85.56,87.0,19.8934234213,1836500
2000-01-18,87.5,89.5,86.94,89.31,20.4216281122,2158700
2000-01-19,89.0,89.0,87.75,87.94,20.1083638583,2513500
2000-01-20,88.19,88.19,86.81,87.5,20.007753441,1709900
2000-01-21,87.88,89.88,87.81,88.56,20.2501330827,1973900
2000-01-24,89.5,90.38,87.94,88.81,20.3072980925,1768300
2000-01-25,88.81,90.5,87.63,88.56,20.2501330827,1927300
2000-01-26,89.25,89.75,86.5,87.75,20.0649184508,1340500
2000-01-27,87.31,87.63,83.56,84.31,19.2783279156,1775400
2000-01-28,83.56,83.69,81.88,82.56,18.8781728467,2033000
2000-01-31,82.06,83.94,80.75,83.63,19.1228390888,1830300
2000-02-01,83.38,84.44,82.5,83.19,19.0222286715,1305800
2000-02-02,82.69,83.94,82.44,82.63,18.8941790495,1709400
2000-02-03,82.13,82.5,80.63,81.44,18.6220736027,1756400
2000-02-04,81.25,81.25,78.38,78.56,17.9635326894,2112100
2000-02-07,79.13,80.0,78.44,79.06,18.0778627091,1567800
2000-02-08,80.13,80.69,78.31,78.31,17.9063676796,1783700
2000-02-09,78.44,78.69,74.94,75.0,17.1495029494,2401200
2000-02-10,75.56,77.44,74.88,76.81,17.5633776206,1916300
2000-02-11,77.38,77.63,72.19,74.0,16.9208429101,2509900
2000-02-14,74.19,75.44,73.63,73.81,16.8773975026,2519900
2000-02-15,74.44,77.69,74.44,77.5,17.7211530478,3071700
2000-02-16,77.75,78.94,77.31,77.81,17.9406666855,2374600
2000-02-17,78.13,78.19,76.56,77.75,17.9268324739,1867900
2000-02-18,77.5,77.75,75.81,76.19,17.5671429735,1785200
2000-02-22,75.06,76.19,74.25,75.69,17.4518578772,1763200
2000-02-23,75.0,75.06,72.81,73.25,16.8892666073,1885000
2000-02-24,73.31,73.56,71.38,71.44,16.4719345587,2707800
2000-02-25,72.0,72.75,69.94,71.06,16.3843178855,3226700
2000-02-28,71.06,74.94,70.88,74.56,17.1913135596,2548900
2000-02-29,74.56,75.44,73.44,74.69,17.2212876846,2148300
2000-03-01,74.56,75.63,72.63,75.25,17.3504069925,2316700
2000-03-02,75.38,77.44,74.94,75.69,17.4518578772,2025200
2000-03-03,74.56,75.38,73.56,74.56,17.1913135596,2318800
2000-03-06,74.44,74.75,73.69,74.0,17.0621942517,1407200
2000-03-07,74.56,82.0,74.5,81.0,18.6761855999,2800000
2000-03-08,80.13,84.38,79.75,81.06,18.6900198114,3631400
2000-03-09,80.31,84.0,79.75,83.25,19.1949685332,2153600
2000-03-10,83.56,84.81,79.44,80.38,18.5332320805,2692300
2000-03-13,80.94,83.75,79.75,79.81,18.4018070707,2085400
2000-03-14,80.0,83.13,79.31,82.88,19.1096575619,2104700
2000-03-15,82.88,84.0,80.88,83.94,19.3540619661,1878100
2000-03-16,83.19,87.0,81.69,84.13,19.3978703027,2597200
2000-03-17,83.94,84.0,82.31,83.31,19.2088027448,2125500
2000-03-20,83.56,84.06,81.69,82.94,19.1234917735,1140200
2000-03-21,83.0,86.5,83.0,86.0,19.8290365628,1773000
2000-03-22,84.5,85.75,82.44,84.0,19.3678961776,1397100
2000-03-23,83.0,85.81,82.25,84.63,19.513155399,2098900
2000-03-24,84.75,85.94,84.75,85.63,19.7437255916,1407600
2000-03-27,84.19,85.88,82.44,84.56,19.4970154855,1887100
2000-03-28,83.56,85.75,83.25,84.88,19.5707979471,1630400
2000-03-29,84.81,89.0,84.69,88.5,20.4054620443,2653100
2000-03-30,89.19,92.25,89.06,92.19,21.256266055,3911600
2000-03-31,92.25,94.25,91.88,92.44,21.3139086031,3141000
2000-04-03,92.63,93.75,91.5,92.31,21.2839344781,1788600
2000-04-04,92.56,93.25,89.38,89.81,20.7075089966,3821700
2000-04-05,89.63,90.69,87.38,87.5,20.1748918517,1479600
2000-04-06,88.0,89.81,87.31,88.94,20.506912929,1149500
2000-04-07,88.94,88.94,86.31,86.44,19.9304874476,1438000
2000-04-10,85.44,87.44,85.13,86.06,19.8428707744,1208800
2000-04-11,86.56,89.5,86.56,88.69,20.4492703809,1721700
2000-04-12,89.31,90.44,88.44,89.0,20.5207471406,1397700
2000-04-13,88.94,88.94,86.94,86.94,20.0457725439,2506600
2000-04-14,87.0,87.06,85.44,85.69,19.7575598031,1884700
2000-04-17,85.0,85.69,82.31,82.94,19.1234917735,1991500
2000-04-18,82.75,84.94,82.31,84.56,19.4970154855,1505200
2000-04-19,84.31,86.13,83.94,84.75,19.5408238221,1513500
2000-04-20,83.13,86.31,83.13,86.31,19.9005133225,1112600
2000-04-24,85.31,87.31,84.94,85.25,19.6561089184,1499200
2000-04-25,85.38,86.19,84.06,84.81,19.5546580336,1603000
2000-04-26,86.19,86.56,85.44,86.31,19.9005133225,1027800
2000-04-27,86.31,89.0,86.31,88.44,20.3916278327,1447800
2000-04-28,87.44,88.44,85.13,85.13,19.6284404953,1405100
2000-05-01,85.5,88.5,85.5,86.31,19.9005133225,1480600
2000-05-02,87.19,89.94,87.13,89.31,20.5922239003,1778900
2000-05-03,89.44,89.44,87.31,87.31,20.1310835151,1396900
2000-05-04,87.56,89.13,87.56,88.38,20.3777936212,964100
2000-05-05,88.63,90.75,88.06,90.75,20.9242449776,1204800
2000-05-08,91.06,92.94,90.75,91.81,21.1686493818,1646000
2000-05-09,91.69,91.75,88.88,90.13,20.7812914582,996000
2000-05-10,89.44,91.88,89.44,90.88,20.9542191027,1337800
2000-05-11,90.88,93.44,90.88,93.38,21.5306445841,1697500
2000-05-12,93.0,94.31,92.63,94.27,21.7358520556,1660200
2000-05-15,93.81,94.75,93.44,94.0,21.6735981036,1668800
2000-05-16,94.0,94.0,92.06,92.94,21.4291936994,1539900
2000-05-17,90.75,91.69,90.06,91.31,21.2032349107,1501600
2000-05-18,91.56,92.06,90.38,90.88,21.1033839523,884200
2000-05-19,91.0,93.94,90.69,93.31,21.667657973,1383900
2000-05-22,93.81,94.88,93.31,94.06,21.8418166214,1679800
2000-05-23,93.69,93.69,91.56,93.25,21.6537252811,1218100
2000-05-24,93.38,94.44,92.75,94.25,21.8859368123,1715300
2000-05-25,93.88,93.88,91.44,93.19,21.6397925893,1472400
2000-05-26,93.81,94.0,91.13,91.38,21.2194897178,1149900
2000-05-30,91.44,91.69,90.56,91.31,21.2032349107,1027200
2000-05-31,91.81,92.44,91.56,92.38,21.451701249,1288900
2000-06-01,92.44,92.44,89.44,91.0,21.131249336,1227600
2000-06-02,90.0,90.56,88.81,90.56,21.0290762623,2274200
2000-06-05,90.75,91.25,90.25,90.44,21.0012108786,1351600
2000-06-06,90.5,93.19,90.44,92.88,21.5678070146,1291000
2000-06-07,93.88,93.94,91.69,92.38,21.451701249,1513100
2000-06-08,92.44,93.0,91.81,92.56,21.4934993246,1044900
2000-06-09,93.0,93.19,91.5,92.0,21.3634608672,1623900
2000-06-12,92.81,94.5,92.75,92.88,21.5678070146,2201700
2000-06-13,92.0,92.31,91.44,91.75,21.3054079844,1863300
2000-06-14,92.06,94.44,92.06,93.25,21.6537252811,2068000
2000-06-15,93.06,93.94,92.0,93.13,21.6258598974,1470900
2000-06-16,92.63,94.69,92.63,92.75,21.5376195155,2445100
2000-06-19,93.31,93.44,90.44,91.38,21.2194897178,1527700
2000-06-20,91.38,91.38,89.69,90.25,20.9570906876,1769400
2000-06-21,90.13,91.88,89.5,91.27,21.1939464494,1755700
2000-06-22,91.81,92.56,89.38,89.56,20.7968647311,1261400
2000-06-23,89.56,90.5,89.44,89.75,20.840984922,1031300
2000-06-26,89.69,90.5,88.69,88.73,20.6041291603,1096600
2000-06-27,88.88,88.88,88.25,88.44,20.5367878162,1544400
2000-06-28,88.25,88.38,87.06,87.57,20.3347637841,1449100
2000-06-29,86.88,87.94,86.5,86.64,20.1188070601,1191600
2000-06-30,86.63,87.13,84.56,84.81,19.6938599581,2605300
2000-07-03,85.0,86.63,84.88,85.92,19.9516147577,852200
2000-07-05,85.06,85.06,82.06,82.5,19.1574513211,2260100
