Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,107.5,107.6,106.5,106.5,65.8651650883,559800
1999-11-02,107.0,107.7,105.7,105.7,65.3704032848,975300
1999-11-03,106.8,106.8,105.8,106.2,65.679629412,1025500
1999-11-04,107.0,107.4,106.1,106.6,65.9270103137,578600
1999-11-05,108.0,108.3,106.9,107.5,66.4836173427,1139100
1999-11-08,106.4,107.6,106.4,107.4,66.4217721172,628600
1999-11-09,107.9,107.9,106.0,106.3,65.7414746374,668000
1999-11-10,105.6,106.8,105.4,106.0,65.5559389611,825600
1999-11-11,106.3,106.6,105.6,106.1,65.6177841866,727400
1999-11-12,107.0,108.1,105.5,108.1,66.8546886953,818200
1999-11-15,107.9,108.2,107.3,107.8,66.669153019,573400
1999-11-16,108.4,110.0,107.6,109.9,67.9679027531,1382000
1999-11-17,109.4,109.7,109.0,109.2,67.5349861751,433900
1999-11-18,109.9,110.7,109.6,110.5,68.3389741057,645300
1999-11-19,109.9,110.5,109.6,110.0,68.1475093276,327800
1999-11-22,110.0,111.2,109.8,111.1,68.8289844209,324000
1999-11-23,111.2,111.2,109.8,110.1,68.2094616088,362000
1999-11-24,109.6,110.5,109.5,110.1,68.2094616088,251600
1999-11-26,110.7,110.7,109.4,109.4,67.7757956404,165100
1999-11-29,109.6,109.9,109.0,109.5,67.8377479216,390700
1999-11-30,109.5,110.5,108.2,108.7,67.342129672,620000
1999-12-01,108.7,110.1,108.7,110.1,68.2094616088,435500
1999-12-02,110.2,110.8,110.1,110.6,68.5192230149,266100
1999-12-03,111.8,113.4,111.8,113.0,70.0060777639,862700
1999-12-06,113.0,113.1,112.0,112.3,69.5724117954,304000
1999-12-07,112.6,112.8,111.2,111.2,68.8909367021,505300
1999-12-08,111.0,111.9,110.5,110.5,68.4572707337,454800
1999-12-09,111.5,112.2,110.5,111.4,69.0148412645,832800
1999-12-10,112.2,113.0,111.2,112.5,69.6963163578,472000
1999-12-13,111.7,112.7,111.6,112.2,69.5104595142,570900
1999-12-14,111.6,112.6,111.5,111.8,69.2626503894,536300
1999-12-15,111.4,112.9,111.3,112.3,69.5724117954,465700
1999-12-16,112.7,112.7,111.4,112.4,69.6343640766,623500
1999-12-17,112.8,114.0,112.8,112.8,69.949323279,472700
1999-12-20,113.3,113.3,111.1,111.4,69.0811579192,521700
1999-12-21,111.1,112.7,110.9,112.1,69.5152405991,773700
1999-12-22,112.3,112.7,111.9,112.2,69.5772524105,407800
1999-12-23,113.0,114.5,113.0,114.5,71.0035240731,524600
1999-12-27,114.6,114.9,113.9,114.1,70.7554768275,450400
1999-12-28,113.8,115.3,113.8,115.1,71.3755949416,769600
1999-12-29,115.5,115.6,114.7,114.9,71.2515713188,273900
1999-12-30,115.5,115.7,114.4,114.5,71.0035240731,494700
1999-12-31,114.7,115.6,114.4,115.2,71.4376067531,549000
2000-01-03,116.03,116.03,113.0,113.5,70.383405959,1278800
2000-01-04,112.3,113.0,109.8,109.8,68.0889689365,1535700
2000-01-05,110.0,112.0,109.0,111.8,69.3292051649,2007000
2000-01-06,111.4,113.2,111.2,111.8,69.3292051649,2639500
2000-01-07,113.3,115.6,113.2,115.5,71.6236421873,3767400
2000-01-10,116.8,116.8,115.4,116.0,71.9337012444,762900
2000-01-11,115.2,116.8,115.0,115.1,71.3755949416,1658700
2000-01-12,115.5,116.2,115.2,115.4,71.5616303759,813300
2000-01-13,116.0,116.6,115.2,115.9,71.871689433,1192200
2000-01-14,117.5,117.5,116.1,117.5,72.8638784157,1935500
2000-01-18,116.4,116.9,115.5,115.7,71.7476658101,656500
2000-01-19,115.6,115.8,114.6,115.6,71.6856539987,1003400
2000-01-20,115.9,116.0,112.7,113.7,70.5074295818,887000
2000-01-21,114.2,114.2,112.3,112.8,69.9955177377,783200
2000-01-24,113.3,113.6,109.1,110.0,68.2580403471,2066100
2000-01-25,110.6,110.9,108.8,110.3,68.4441986389,1728200
2000-01-26,110.2,111.4,110.1,110.5,68.5683041668,1001400
2000-01-27,111.1,111.6,109.2,110.5,68.5683041668,853900
