Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,39.0,39.13,38.81,38.88,14.6160455583,393300
1999-11-02,38.94,39.13,38.5,38.88,14.6160455583,537700
1999-11-03,39.13,39.63,38.63,38.69,14.5446194097,412700
1999-11-04,38.94,39.0,38.5,38.94,14.6386011841,128200
1999-11-05,38.94,39.0,38.0,38.19,14.3566558609,716800
1999-11-08,38.13,39.19,37.63,38.44,14.4506376353,455900
1999-11-09,38.88,39.5,38.69,39.06,14.6837124359,313500
1999-11-10,39.56,41.0,39.5,39.81,14.9656577591,428200
1999-11-11,39.81,40.5,39.69,39.94,15.0145282818,706100
1999-11-12,40.38,40.38,39.25,39.63,14.8979908815,241400
1999-11-15,40.0,40.25,39.63,40.0,15.0370839077,247600
1999-11-16,39.75,40.38,39.56,40.06,15.0596395335,706000
1999-11-17,40.19,41.63,40.19,41.31,15.5295484057,827800
1999-11-18,41.44,41.75,40.75,41.44,15.5784189284,743600
1999-11-19,41.44,41.75,40.06,40.88,15.3678997537,393400
1999-11-22,40.88,40.88,38.88,39.25,14.7551385844,415900
1999-11-23,38.25,38.38,36.5,37.63,14.1461366862,1102100
1999-11-24,38.0,38.0,36.81,37.25,14.003284389,380600
1999-11-26,37.25,37.25,37.0,37.13,13.9581731373,77300
1999-11-29,36.75,36.88,35.25,36.0,13.5333755169,728700
1999-11-30,35.69,35.75,34.81,35.25,13.2514301936,546400
1999-12-01,35.0,36.31,34.88,36.25,13.6273572913,451000
1999-12-02,36.44,36.63,35.44,36.31,13.6499129172,399400
1999-12-03,36.06,36.5,34.81,35.0,13.1574484192,368000
1999-12-06,34.94,34.94,32.5,32.94,12.383038598,1028100
1999-12-07,32.88,32.88,30.38,31.25,11.7477218029,1296800
1999-12-08,31.25,32.25,29.5,31.63,11.8905741,1012600
1999-12-09,31.63,32.13,30.0,30.94,11.6311844026,735200
1999-12-10,30.81,31.69,30.25,30.56,11.4883321055,713500
1999-12-13,30.25,33.25,30.25,32.56,12.2589826557,1066100
1999-12-14,32.25,32.31,31.5,31.63,11.9088335811,487100
1999-12-15,31.75,33.25,31.75,33.25,12.5187706788,326800
1999-12-16,33.81,34.63,33.38,34.13,12.8500945344,342100
1999-12-17,34.5,34.5,32.81,33.5,12.6128967742,407100
1999-12-20,33.25,33.5,32.0,33.5,12.6128967742,228000
1999-12-21,34.0,35.0,33.25,35.0,13.1776533462,502700
1999-12-22,34.75,35.0,33.63,33.69,12.6844326066,389400
1999-12-23,33.88,34.0,32.69,33.13,12.4735901531,316600
1999-12-27,33.0,33.44,32.13,32.5,12.2363923929,409600
1999-12-28,32.69,33.5,32.5,33.0,12.4246445835,354000
1999-12-29,32.75,34.25,32.75,34.13,12.8500945344,171700
1999-12-30,33.88,34.44,33.44,33.75,12.7070228695,176600
1999-12-31,34.0,34.19,32.88,32.88,12.3794640578,170300
2000-01-03,33.12,33.5,32.06,32.38,12.1912118671,358800
2000-01-04,32.69,32.69,31.38,31.69,11.931423844,740100
2000-01-05,31.88,32.0,31.5,31.81,11.9766043698,427000
2000-01-06,31.88,34.5,31.75,33.88,12.7559684391,260500
2000-01-07,34.0,35.25,33.75,34.06,12.8237392277,272600
2000-01-10,34.13,34.25,32.94,33.63,12.6618423438,190900
2000-01-11,33.63,34.19,33.38,34.13,12.8500945344,270200
2000-01-12,34.0,34.0,33.5,33.63,12.6618423438,185400
2000-01-13,33.81,34.56,33.75,34.38,12.9442206297,403700
2000-01-14,34.38,34.75,33.5,34.56,13.0119914184,357200
2000-01-18,34.56,37.38,34.56,37.38,14.0737337737,482300
2000-01-19,37.38,38.5,37.38,38.38,14.450238155,546900
2000-01-20,38.13,39.75,38.13,38.94,14.6610806086,595700
2000-01-21,39.5,41.75,39.5,41.31,15.5533959923,593600
