Date,Open,High,Low,Close,Adj Close,Volume
2003-04-14,100.3,101.0,100.3,101.0,8.11092246636,10400
2003-04-15,101.62,102.5,101.62,102.2,8.207289862,46800
2003-04-16,103.3,103.8,103.3,103.38,8.30205113438,1000
2003-04-17,103.95,104.15,103.77,104.12,8.36147769503,1900
2003-04-21,104.24,104.25,104.0,104.08,8.35826544851,8100
2003-04-22,104.07,104.43,103.75,104.43,8.38637260557,2200
2003-04-23,104.5,104.92,104.15,104.92,8.42572262545,3500
2003-04-24,104.1,104.1,102.6,102.85,8.25948886798,10000
2003-04-25,101.41,101.41,101.0,101.15,8.12296839082,11400
2003-04-28,101.41,102.82,101.4,102.82,8.25707968308,10200
2003-04-29,104.41,105.8,104.41,105.75,8.49237674077,8500
2003-04-30,105.5,105.59,105.18,105.45,8.46828489186,25400
2003-05-01,105.15,105.57,105.0,105.04,8.43535936502,26100
2003-05-02,105.38,106.65,105.38,106.65,8.5646522875,7500
2003-05-05,107.05,107.82,107.05,107.8,8.65700437499,5300
2003-05-06,107.8,108.48,107.7,108.35,8.70117276466,12200
2003-05-07,107.9,108.17,107.81,108.15,8.68511153205,34800
2003-05-08,107.5,107.56,107.1,107.2,8.60882067717,46400
2003-05-09,107.35,108.54,107.35,108.46,8.71000644259,7000
2003-05-12,108.95,109.97,108.9,109.97,8.83126874877,83600
2003-05-13,109.58,109.58,109.05,109.35,8.78147892769,30700
2003-05-14,109.35,109.35,108.59,108.8,8.73731053802,22900
2003-05-15,109.02,109.02,108.75,109.02,8.75497789389,37500
2003-05-16,109.1,109.5,108.8,109.1,8.76140238693,28500
2003-05-19,108.4,108.4,106.1,106.5,8.55260636305,14300
2003-05-20,106.75,107.16,106.45,107.03,8.59516862945,5900
2003-05-21,106.84,107.15,106.28,107.12,8.60239618413,5100
2003-05-22,107.15,108.09,107.15,108.09,8.68029316227,9400
2003-05-23,108.85,109.46,108.85,109.2,8.76943300324,8300
2003-05-27,109.46,113.18,109.46,113.11,9.0834301007,96000
2003-05-28,113.11,113.76,113.11,113.6,9.12278012058,44000
2003-05-29,113.5,113.98,113.3,113.75,9.13482604504,34100
2003-05-30,114.0,115.07,113.77,115.07,9.24083018024,40900
2003-06-02,115.4,117.2,115.4,115.9,9.30748429556,65300
2003-06-03,116.0,116.0,114.07,115.02,9.23681487209,27200
2003-06-04,115.0,116.51,115.0,116.5,9.35566799338,26800
2003-06-05,116.92,116.92,115.86,116.62,9.36530473294,56600
2003-06-06,117.25,118.9,117.24,117.71,9.45283845065,67600
2003-06-09,117.86,117.86,116.33,116.7,9.37172922599,23200
2003-06-10,116.74,117.9,116.74,117.9,9.46809662163,25900
2003-06-11,117.85,118.09,117.0,118.0,9.47612723793,32700
