Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,14.06,14.06,13.81,14.0,9.39306060425,7900
1999-11-02,14.0,14.25,13.94,14.19,9.52053785531,10800
1999-11-03,14.44,14.94,14.44,14.69,9.85600430546,47600
1999-11-04,14.94,15.06,14.69,14.69,9.85600430546,2900
1999-11-05,14.94,14.94,14.75,14.94,10.0237375305,16100
1999-11-08,15.19,15.38,15.13,15.13,10.1512147816,45900
1999-11-09,15.5,15.5,14.88,14.88,9.98348155652,20200
1999-11-10,15.0,15.31,15.0,15.25,10.2317267296,19300
1999-11-11,15.25,15.56,15.25,15.38,10.3189480067,17500
1999-11-12,15.75,15.75,15.31,15.5,10.3994599547,20200
1999-11-15,15.5,15.69,15.44,15.5,10.3994599547,13500
1999-11-16,15.38,15.75,15.38,15.75,10.5671931798,18900
1999-11-17,15.75,15.81,15.5,15.63,10.4866812317,14300
1999-11-18,16.0,16.0,15.75,15.88,10.6544144568,43100
1999-11-19,16.13,16.38,16.0,16.25,10.9026596299,17400
1999-11-22,16.44,16.5,15.94,16.13,10.8221476819,30700
1999-11-23,15.94,15.94,15.5,15.75,10.5671931798,18500
1999-11-24,15.69,16.0,15.63,15.88,10.6544144568,79700
1999-11-26,16.75,16.75,16.19,16.19,10.8624036559,8900
1999-11-29,16.31,16.38,16.13,16.19,10.8624036559,5500
1999-11-30,15.94,16.19,15.94,15.94,10.6946704308,34000
1999-12-01,15.5,15.94,15.5,15.75,10.5671931798,15400
1999-12-02,15.88,16.25,15.88,16.19,10.8624036559,18500
1999-12-03,16.5,16.63,16.44,16.5,11.070392855,26800
1999-12-06,16.25,16.88,16.25,16.5,11.070392855,46700
1999-12-07,16.75,16.75,16.38,16.38,10.989880907,20600
1999-12-08,16.56,17.0,16.38,17.0,11.4058593052,96200
1999-12-09,17.38,17.69,17.13,17.19,11.5333365562,38100
1999-12-10,17.56,17.56,17.13,17.38,11.6608138073,11600
1999-12-13,17.44,17.44,17.0,17.0,11.4058593052,42000
1999-12-14,17.25,17.25,16.81,16.88,11.3253473571,17600
1999-12-15,16.94,17.44,16.94,17.19,11.5333365562,17700
1999-12-16,17.25,17.56,17.19,17.38,11.6608138073,24700
1999-12-17,17.31,17.94,17.31,17.75,11.9090589804,22200
1999-12-20,17.81,17.81,17.56,17.81,11.9493149544,10100
1999-12-21,17.63,18.0,17.63,18.0,12.0767922055,29300
1999-12-22,17.75,18.06,17.31,17.38,11.6608138073,46900
1999-12-23,17.5,17.75,17.5,17.5,11.7413257553,43500
1999-12-27,17.63,17.63,17.44,17.56,11.7815817293,18000
1999-12-28,17.44,17.56,17.38,17.5,11.7413257553,1900
1999-12-29,17.5,17.94,17.5,17.75,11.9090589804,54400
1999-12-30,18.13,18.13,17.75,17.94,12.0365362315,39600
1999-12-31,18.06,18.06,18.0,18.06,12.1170481795,14100
2000-01-03,18.5,18.5,18.06,18.25,12.2445254305,42800
2000-01-04,17.75,17.75,16.63,16.63,11.1576141321,37400
