Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,133.63,134.38,129.25,129.38,183.523247242,6795500
1999-11-02,129.69,133.13,128.19,129.0,182.984223947,6340600
1999-11-03,132.88,132.94,130.0,131.38,186.360211955,4589000
1999-11-04,132.5,133.56,130.5,131.88,187.069453133,4353600
1999-11-05,133.19,134.81,133.19,133.75,189.722015139,4688900
1999-11-08,133.81,134.69,132.81,134.0,190.076635728,3515900
1999-11-09,134.56,134.56,132.5,133.38,189.197176667,3340300
1999-11-10,132.63,134.31,131.81,134.0,190.076635728,3693600
1999-11-11,134.0,134.56,133.25,134.0,190.076635728,2181100
1999-11-12,135.44,135.81,133.25,135.38,192.034141379,3694500
1999-11-15,135.25,136.38,134.19,135.5,192.204359262,4389900
1999-11-16,135.88,139.69,135.0,139.63,198.062691393,5488200
1999-11-17,138.69,141.31,138.06,141.19,200.275523869,5742800
1999-11-18,140.0,140.94,137.69,139.38,197.708070804,5409900
1999-11-19,139.5,140.25,137.38,137.69,195.310835622,4793700
1999-11-22,137.81,140.38,135.75,140.19,198.857041513,5039100
1999-11-23,139.63,139.63,137.06,137.63,195.225726681,4115000
1999-11-24,137.63,138.38,136.5,136.88,194.161864914,3232800
1999-11-26,136.63,137.63,135.63,135.63,192.388761969,1779700
1999-11-29,135.0,135.0,132.56,133.13,188.842556078,4433000
1999-11-30,131.75,133.0,129.88,130.13,184.58710901,5131000
1999-12-01,130.25,134.94,130.06,134.5,190.785876906,5486600
1999-12-02,136.13,136.13,133.31,134.69,191.055388554,3711400
1999-12-03,135.69,138.88,135.56,136.25,193.268221029,5618700
1999-12-06,136.31,138.56,136.0,137.23,194.658333738,3352600
1999-12-07,138.5,140.0,136.5,140.0,198.587529865,5660800
1999-12-08,138.5,143.0,138.5,141.27,200.389002457,6518000
1999-12-09,144.25,144.94,141.13,143.56,203.637327053,6443300
1999-12-10,143.56,147.88,143.5,147.44,209.141038595,5728200
1999-12-13,147.13,149.25,145.69,148.81,211.084359423,6105500
1999-12-14,149.0,150.5,147.88,149.88,212.602135544,7733700
1999-12-15,149.88,150.38,144.06,144.31,204.70118882,6551400
1999-12-16,146.13,147.63,143.75,147.63,209.410550243,5914700
1999-12-17,147.75,154.75,147.63,151.88,215.439100256,21184800
1999-12-20,153.25,154.25,151.81,153.27,217.410790732,7713800
1999-12-21,153.69,158.25,153.25,157.81,223.850700629,6410600
1999-12-22,158.38,159.13,155.13,157.88,224.53157216,6185400
1999-12-23,158.88,159.25,156.0,157.5,223.99114907,4018600
1999-12-27,157.75,159.5,155.94,159.5,226.835481121,4099900
1999-12-28,158.44,158.5,156.06,157.25,223.635607563,3878600
1999-12-29,158.0,158.0,156.25,156.56,222.654313005,2973600
1999-12-30,157.25,157.25,154.44,155.0,220.435734005,2790600
1999-12-31,154.75,155.63,153.81,154.75,220.080192499,1961300
2000-01-03,153.0,153.69,149.19,150.0,213.324903876,7356600
2000-01-04,147.25,148.0,144.0,144.0,204.791907721,7373800
2000-01-05,143.75,147.0,142.56,143.75,204.436366214,9097600
2000-01-06,143.13,146.94,142.63,145.67,207.166924984,6624400
2000-01-07,148.0,151.88,147.0,151.31,215.18794137,6713800
2000-01-10,152.69,154.06,151.13,151.25,215.102611408,5075500
2000-01-11,151.0,152.69,150.63,151.5,215.458152915,5041000
2000-01-12,151.06,153.25,150.56,152.0,216.169235928,6114100
2000-01-13,153.13,154.94,153.0,153.75,218.658026473,4984500
2000-01-14,153.38,154.63,149.56,151.0,214.747069902,6160100
2000-01-18,149.63,149.63,146.75,148.0,210.480571824,6098900
2000-01-19,146.5,150.94,146.25,148.72,211.504531363,4949900
2000-01-20,149.06,149.75,142.63,145.94,207.550909811,10253000
2000-01-21,147.94,148.25,143.94,144.13,204.976789304,8001800
2000-01-24,145.31,145.94,136.44,138.13,196.443793149,9038700
2000-01-25,138.06,140.38,137.0,138.5,196.969994579,8462500
2000-01-26,140.5,142.19,138.88,141.44,201.151162695,5285600
2000-01-27,141.56,141.75,137.06,141.75,201.592034163,6414500
2000-01-28,140.31,140.5,133.63,134.0,190.570247462,9948900
2000-01-31,134.0,135.94,133.06,134.0,190.570247462,7260900
2000-02-01,134.25,137.0,134.0,136.0,193.414579514,9113000
2000-02-02,137.13,137.63,134.06,134.06,190.655577424,7273400
2000-02-03,135.94,139.81,135.25,139.25,198.036619098,6744000
