Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,35.5,36.44,35.13,36.19,24.0360616443,2847000
1999-11-02,36.44,37.69,36.0,36.13,23.9962118598,2470200
1999-11-03,36.38,36.44,34.75,35.5,23.5777891233,2296800
1999-11-04,35.0,35.0,32.69,33.75,22.4155037439,5710400
1999-11-05,34.19,34.44,32.38,32.75,21.7513406701,4502900
1999-11-08,32.56,32.75,32.06,32.06,21.2930681491,4320300
1999-11-09,32.0,33.0,32.0,33.0,21.9173814385,5041300
1999-11-10,33.0,34.69,32.94,34.19,22.7077354965,4964400
1999-11-11,35.25,35.38,33.44,34.25,22.7475852809,5505400
1999-11-12,35.0,36.81,34.56,36.63,24.3282933968,5454900
1999-11-15,37.63,38.13,36.63,37.88,25.1584972391,3654900
1999-11-16,38.56,39.19,38.06,38.75,25.7363191134,4191200
1999-11-17,38.75,39.44,37.5,38.38,25.4905787761,3870500
1999-11-18,38.5,38.5,36.25,36.81,24.4478427501,4189100
1999-11-19,36.88,37.69,36.44,37.56,24.9459650555,3480800
1999-11-22,37.25,37.31,36.63,36.88,24.4943341652,3356400
1999-11-23,37.25,38.19,36.81,37.5,24.9061152711,4187400
1999-11-24,38.25,38.44,37.75,38.25,25.4042375765,2390200
1999-11-26,38.31,39.75,37.94,38.94,25.8625100975,1405700
1999-11-29,39.94,42.25,39.75,41.38,27.4830679978,5283000
1999-11-30,41.38,42.44,40.44,40.56,26.9384542772,3808700
1999-12-01,41.25,44.75,40.63,44.0,29.2231752514,6305200
1999-12-02,44.06,44.06,39.75,43.13,28.6453533771,8551500
1999-12-03,43.44,44.0,41.88,42.13,27.9811903032,4251800
1999-12-06,42.06,43.69,41.56,43.38,28.8113941456,2096400
1999-12-07,43.75,43.88,42.56,42.75,28.392971409,2340300
1999-12-08,43.19,45.56,42.88,44.94,29.8474885408,3834400
1999-12-09,44.94,45.63,44.13,44.5,29.5552567883,2860000
1999-12-10,44.0,45.75,43.06,45.25,30.0533790937,2243700
1999-12-13,44.13,44.75,43.94,44.06,29.2630250358,1494200
1999-12-14,44.0,44.63,43.25,43.75,29.0571344829,2624500
1999-12-15,43.56,45.88,43.25,45.88,30.4718018303,3582900
1999-12-16,46.19,46.75,45.25,46.44,30.8437331517,3050500
1999-12-17,46.44,46.44,45.0,45.25,30.0533790937,3068100
1999-12-20,45.31,45.31,42.0,42.31,28.1154840767,3830600
1999-12-21,42.19,43.75,41.44,43.44,28.8663821388,2024800
1999-12-22,43.06,43.19,41.69,42.25,28.0756133832,1644300
1999-12-23,42.63,44.19,42.5,43.75,29.0723807222,1494800
1999-12-27,44.13,45.88,44.13,45.88,30.4877903437,1728500
1999-12-28,45.5,46.88,44.69,46.88,31.152301903,2925100
1999-12-29,46.75,46.88,45.69,46.31,30.7735303142,1429000
1999-12-30,46.25,46.88,45.88,46.25,30.7336596206,858800
1999-12-31,46.25,46.25,44.63,46.0,30.5675317308,1112200
2000-01-03,44.38,44.69,41.81,43.12,28.6537384398,3908500
2000-01-04,42.88,42.88,41.44,41.56,27.6171004072,2468700
2000-01-05,40.0,40.0,39.13,39.75,26.4143344848,4486200
2000-01-06,43.88,45.0,43.0,44.44,29.5308936982,5454800
2000-01-07,45.06,46.75,44.5,46.56,30.939658204,3577200
2000-01-10,47.44,48.0,47.0,47.75,31.7304269597,3890400
2000-01-11,48.0,49.88,48.0,49.44,32.853451495,4715900
2000-01-12,49.25,50.31,48.31,49.94,33.1857072747,4199800
2000-01-13,49.38,49.63,48.31,49.19,32.6873236052,3074200
2000-01-14,48.56,48.75,47.69,47.81,31.7702976532,2287700
2000-01-18,47.25,47.88,46.94,47.81,31.7702976532,2388800
2000-01-19,47.63,48.25,47.44,47.81,31.7702976532,2728600
2000-01-20,47.81,47.81,46.38,47.0,31.2320432902,2087000
2000-01-21,46.75,46.94,45.06,45.13,29.9894066741,2085800
2000-01-24,45.19,45.5,42.31,42.56,28.2816119666,2469000
2000-01-25,43.13,44.44,43.0,44.31,29.4445071955,2815900
2000-01-26,44.19,45.94,43.75,45.13,29.9894066741,2446600
2000-01-27,46.0,46.19,44.13,45.0,29.9030201714,2130200
2000-01-28,44.44,45.31,43.44,43.5,28.9062528324,2666600
2000-01-31,43.63,44.94,42.75,44.69,29.697021588,2555100
2000-02-01,44.94,46.63,44.88,46.0,30.5675317308,2413800
2000-02-02,45.63,47.44,44.94,46.81,31.1057860939,1648300
2000-02-03,49.88,53.5,49.69,52.88,35.1393712592,8402700
2000-02-04,53.06,53.75,51.63,51.69,34.3486025036,5117300
2000-02-07,50.13,50.81,48.25,50.0,33.2255779682,3890300
2000-02-08,50.44,50.5,49.63,50.06,33.2654486618,2552700
2000-02-09,49.81,50.19,49.19,49.19,32.6873236052,1885300
2000-02-10,49.44,49.88,48.38,49.0,32.5610664089,1661100
2000-02-11,48.25,48.94,47.63,48.56,32.2686813228,1272100
2000-02-14,48.63,50.25,48.56,50.13,33.311964471,1527800
2000-02-15,50.25,50.81,49.69,50.69,33.6840909442,1980500
2000-02-16,49.69,49.69,48.44,49.0,32.5610664089,2851300
2000-02-17,49.19,49.25,41.06,42.13,27.995871996,5680300
2000-02-18,42.13,43.44,41.06,43.0,28.5739970527,7828000
2000-02-22,43.13,44.88,43.06,44.69,29.697021588,3167400
2000-02-23,44.19,44.25,42.88,42.94,28.5488785157,3262200
2000-02-24,42.81,42.94,41.56,42.94,28.5488785157,5456300
2000-02-25,44.81,47.69,44.31,46.81,31.1218677998,4504800
2000-02-28,46.44,46.94,45.63,46.13,30.6697663235,2128100
2000-02-29,46.56,48.38,46.13,48.31,32.119150468,2151700
2000-03-01,47.81,47.88,46.25,47.88,31.8332627698,1571800
2000-03-02,42.56,45.06,41.75,44.25,29.4198387127,6736700
2000-03-03,44.88,46.13,44.13,45.5,30.2509076029,2646500
2000-03-06,45.5,45.5,44.5,45.0,29.9184800468,1571800
2000-03-07,44.75,45.31,42.25,43.0,28.5887698225,3111400
2000-03-08,42.75,44.56,41.5,43.94,29.2137336279,2305500
2000-03-09,43.25,45.63,42.63,45.63,30.3373387674,1991900
2000-03-10,44.88,46.81,44.5,46.13,30.6697663235,2283700
2000-03-13,45.63,45.94,45.25,45.94,30.5434438522,992700
2000-03-14,44.5,44.81,43.75,43.94,29.2137336279,1765600
2000-03-15,44.0,45.88,43.56,45.0,29.9184800468,3673100
2000-03-16,45.5,49.0,45.5,48.75,32.4116867173,3352700
2000-03-17,48.31,48.44,46.44,46.44,30.8758714083,2706900
2000-03-20,46.94,48.38,46.56,47.69,31.7069402985,2355700
2000-03-21,48.31,50.06,48.13,49.25,32.7441142734,3142500
2000-03-22,48.88,48.88,46.88,47.38,31.5008352137,2511100
2000-03-23,46.81,48.06,44.69,47.81,31.7867229119,2490100
2000-03-24,47.81,47.81,46.44,46.75,31.081976493,1782000
2000-03-27,46.81,47.25,45.88,46.38,30.8359801015,1539700
2000-03-28,46.0,47.75,45.75,46.06,30.6232264657,1279000
2000-03-29,47.13,49.38,46.94,48.94,32.5380091887,2557900
2000-03-30,48.94,50.0,48.56,50.0,33.2427556075,2670700
2000-03-31,49.94,50.19,47.94,49.81,33.1164331362,2629100
2000-04-03,48.5,50.81,48.13,50.0,33.2427556075,2688800
2000-04-04,50.63,53.13,48.5,51.05,33.9408534753,5302500
2000-04-05,51.0,51.81,43.0,43.38,28.8414147651,4824800
2000-04-06,42.5,44.75,42.5,44.06,29.2935162414,11991200
2000-04-07,43.81,45.69,43.31,45.63,30.3373387674,4821300
2000-04-10,45.0,46.69,44.44,44.88,29.8386974333,3830900
2000-04-11,43.5,44.31,43.13,43.5,28.9211973786,3216500
2000-04-12,44.0,45.19,43.75,43.88,29.1738423212,3639600
2000-04-13,43.63,43.63,41.5,41.69,27.7178096256,3765700
2000-04-14,40.25,41.0,37.06,38.88,25.8495667604,5343800
2000-04-17,37.31,39.25,36.88,39.0,25.9293493739,4203700
2000-04-18,37.63,38.06,36.94,37.25,24.7658529276,3757300
2000-04-19,38.38,40.13,37.81,39.25,26.0955631519,3844500
2000-04-20,38.75,39.44,37.56,38.75,25.7631355958,2248500
2000-04-24,38.38,39.75,38.19,39.5,26.2617769299,1911600
2000-04-25,39.0,39.5,38.56,38.63,25.6833529824,3556300
2000-04-26,38.5,39.56,37.25,39.38,26.1819943165,4780200
2000-04-27,39.0,39.0,36.56,36.88,24.5198565361,4835100
2000-04-28,36.75,36.88,35.0,36.75,24.4334253715,4546500
2000-05-01,38.5,38.94,37.13,38.06,25.3043855685,4370600
2000-05-02,37.0,39.81,36.75,39.0,25.9293493739,4581000
2000-05-03,37.75,38.0,36.75,37.25,24.7658529276,3170200
2000-05-04,35.0,36.0,34.0,36.0,23.9347840374,12967100
2000-05-05,35.5,35.5,34.06,34.44,22.8976100625,3751900
2000-05-08,34.19,34.25,32.88,33.25,22.106432479,4440500
2000-05-09,33.5,34.88,33.5,34.0,22.6050738131,2845400
2000-05-10,33.75,33.94,32.81,33.13,22.0266498655,4262600
2000-05-11,34.0,35.38,34.0,35.31,23.47603401,6072400
2000-05-12,36.0,36.63,35.88,36.09,23.9946209975,4007800
2000-05-15,36.38,36.75,35.94,36.25,24.1009978155,3403700
2000-05-16,37.19,37.19,36.0,36.63,24.3536427581,2394200
2000-05-17,36.19,37.88,36.0,37.0,24.5996391496,2380200
2000-05-18,37.13,37.31,36.31,36.94,24.5597478428,1711200
2000-05-19,36.0,36.88,35.63,36.44,24.2273202868,3153400
2000-05-22,36.5,36.5,34.81,35.0,23.2699289253,2253500
2000-05-23,35.13,35.5,34.75,35.06,23.309820232,2687100
2000-05-24,34.5,34.81,32.75,33.75,22.4536198186,2236700
2000-05-25,33.75,34.44,33.44,34.38,22.8727540552,2492400
2000-05-26,34.13,34.56,33.94,34.5,22.9525891479,1696000
2000-05-30,34.0,34.63,33.88,34.44,22.9126716015,1760700
2000-05-31,34.38,35.38,34.13,35.38,23.5380464943,2219200
2000-06-01,34.31,35.5,34.13,34.69,23.0789947113,5396000
2000-06-02,35.5,35.5,33.81,34.25,22.7862660381,4752100
2000-06-05,34.75,35.0,34.25,34.69,23.0789947113,4614000
2000-06-06,34.56,35.31,34.19,34.38,22.8727540552,3844300
2000-06-07,34.13,35.06,34.13,34.5,22.9525891479,1999400
2000-06-08,34.5,34.5,33.38,33.44,22.2473791625,2671200
2000-06-09,33.5,33.88,32.94,33.06,21.9945680356,2685400
2000-06-12,33.19,33.25,32.06,32.25,21.45568116,2579200
2000-06-13,32.44,32.5,31.06,31.38,20.876876738,5130600
2000-06-14,31.38,32.81,31.06,32.38,21.542169177,5250300
2000-06-15,32.31,33.31,31.5,31.88,21.2095229575,4426200
2000-06-16,31.0,31.44,30.75,30.88,20.5442305184,3919600
2000-06-19,31.06,31.19,30.13,30.69,20.417824955,3534100
2000-06-20,30.0,30.44,29.75,30.13,20.0452611891,4603800
2000-06-21,29.81,30.0,28.0,29.63,19.7126149696,5257900
2000-06-22,29.63,29.69,28.88,28.94,19.2535631867,3257100
2000-06-23,29.0,29.0,28.5,28.69,19.0872400769,1954100
2000-06-26,29.38,29.94,28.88,29.75,19.7924500623,3079400
2000-06-27,29.75,32.19,29.63,31.88,21.2095229575,5059300
2000-06-28,31.75,32.25,30.38,31.53,20.9766706038,4815800
2000-06-29,31.0,31.06,29.38,30.0,19.9587731721,4115200
2000-06-30,30.25,31.56,30.19,31.25,20.7903887209,5233800
2000-07-03,30.38,30.63,29.94,30.38,20.2115842989,2183900
2000-07-05,30.38,30.5,29.88,29.88,19.8789380794,3289300
2000-07-06,29.94,34.38,29.63,33.38,22.2074616161,10937100
2000-07-07,34.25,35.69,33.19,35.5,23.6178815869,6650300
2000-07-10,35.63,38.44,35.06,37.88,25.2012775919,8945300
2000-07-11,37.38,38.75,37.0,38.63,25.7002469212,7077100
2000-07-12,38.38,39.0,37.75,37.88,25.2012775919,6048500
2000-07-13,37.63,37.88,36.75,37.25,24.7821433553,2604600
2000-07-14,37.31,38.19,36.56,38.19,25.407518248,2401800
2000-07-17,37.69,39.13,37.44,38.34,25.5073121139,3899800
2000-07-18,38.0,38.25,37.13,37.25,24.7821433553,1588600
2000-07-19,37.31,37.5,36.0,36.0,23.9505278065,1894200
2000-07-20,36.06,36.19,35.63,35.94,23.9106102601,3201500
2000-07-21,35.63,37.13,35.5,36.94,24.5759026992,2388300
2000-07-24,36.63,37.5,36.38,36.94,24.5759026992,1866300
2000-07-25,36.69,36.75,35.38,36.0,23.9505278065,3218000
2000-07-26,36.0,37.63,35.63,36.63,24.3696620431,3052300
2000-07-27,37.13,38.13,37.06,38.13,25.3676007017,3735600
2000-07-28,38.13,38.63,37.25,37.56,24.9883840114,3435000
2000-07-31,37.19,37.31,35.38,35.81,23.8241222431,3654800
2000-08-01,36.5,37.06,35.5,37.0,24.6158202455,12519100
2000-08-02,37.0,38.0,32.0,32.13,21.3758460673,3684500
2000-08-03,31.25,31.25,29.69,30.38,20.2115842989,14215500
2000-08-04,30.19,30.19,29.75,30.06,19.9986907184,7472600
2000-08-07,30.19,30.5,30.0,30.25,20.1250962818,5383600
2000-08-08,30.13,31.69,30.06,31.69,21.0831173941,7714200
2000-08-09,30.5,31.63,30.5,31.5,20.9567118307,6134100
2000-08-10,28.25,28.25,26.13,27.0,17.9628958549,38297100
2000-08-11,26.75,27.25,25.94,27.06,18.0028134012,9492600
2000-08-14,26.06,26.63,25.56,26.44,17.590332089,6989500
2000-08-15,26.94,27.63,26.25,26.44,17.590332089,5252500
2000-08-16,26.5,26.63,25.06,25.56,17.0048747426,5645300
2000-08-17,25.5,26.19,25.13,26.0,17.2976034158,3578500
2000-08-18,25.56,27.19,25.56,27.0,17.9628958549,3432200
2000-08-21,26.56,27.31,26.25,27.13,18.0493838719,3230800
2000-08-22,27.44,29.13,27.38,28.38,18.8809994208,5632100
2000-08-23,28.25,29.38,28.13,28.88,19.2136456403,3331200
2000-08-24,27.56,28.31,27.19,27.56,18.3354596207,3748300
2000-08-25,26.5,26.94,26.25,26.44,17.590332089,3809400
2000-08-28,26.56,26.69,25.81,25.94,17.2576858694,3338600
2000-08-29,25.69,26.75,25.5,26.75,17.7965727451,3186800
2000-08-30,26.0,26.0,21.69,22.5,14.969079879,5544900
2000-08-31,21.88,22.5,21.13,22.25,14.8027567693,25967000
2000-09-01,22.44,23.88,22.19,23.5,15.6343723181,5856200
2000-09-05,23.44,24.0,22.88,22.94,15.2618085522,4649800
2000-09-06,22.94,23.75,22.94,23.31,15.5079667547,3171100
2000-09-07,23.38,23.75,22.81,22.94,15.2618085522,5393700
2000-09-08,23.25,23.94,23.13,23.88,15.887183445,3972900
2000-09-11,23.88,25.0,23.63,23.81,15.8406129742,4249700
2000-09-12,24.13,24.69,23.88,24.69,16.4260703206,2698700
2000-09-13,24.69,25.25,24.63,25.0,16.6323109767,4678500
2000-09-14,25.25,25.5,25.0,25.25,16.8134035786,3693700
2000-09-15,25.06,25.13,23.94,23.94,15.9411042247,4537700
2000-09-18,23.63,24.0,23.0,23.0,15.3151794974,3509200
2000-09-19,23.38,23.38,22.94,23.06,15.3551321395,2713100
2000-09-20,23.0,24.0,22.94,24.0,15.9810568668,2603100
2000-09-21,23.0,23.88,23.0,23.25,15.4816488397,2130100
2000-09-22,22.88,23.63,22.81,23.19,15.4416961976,2751200
