Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,75.63,77.06,75.56,76.25,33.0639035194,3602800
1999-11-02,77.0,77.5,75.75,77.0,33.3891222425,3789400
1999-11-03,76.75,76.94,74.88,75.25,32.6302785552,3053000
1999-11-04,76.31,76.94,75.69,76.0,32.9554972783,2250667
1999-11-05,77.0,78.75,77.0,78.0,33.8227472067,3704400
1999-11-08,78.0,79.44,77.56,79.13,34.3127434162,3963267
1999-11-09,78.56,80.0,76.31,80.0,34.6899971351,6376000
1999-11-10,77.75,78.0,76.94,77.19,33.4715109857,4324667
1999-11-11,77.38,78.94,77.06,78.81,34.1739834277,2483667
1999-11-12,79.44,80.63,78.81,80.44,34.8807921193,3155067
1999-11-15,80.81,80.81,77.94,78.75,34.1479659298,4470000
1999-11-16,78.75,80.38,77.88,80.38,34.8547746215,4448067
1999-11-17,80.13,81.63,79.81,79.94,34.6639796372,3999667
1999-11-18,80.25,83.5,80.06,83.0,35.9908720277,6823800
1999-11-19,82.44,83.0,81.44,82.25,35.6656533045,4187667
1999-11-22,82.88,82.88,80.44,81.5,35.3404345814,3649267
1999-11-23,80.06,81.25,79.81,80.69,34.9891983604,3493400
1999-11-24,80.44,80.75,79.06,79.5,34.473184653,2912667
1999-11-26,79.88,80.5,79.75,80.5,34.9068096172,1236200
1999-11-29,80.31,80.63,79.56,80.0,34.6899971351,2724200
1999-11-30,80.81,81.0,79.0,79.19,34.3647784119,3068800
1999-12-01,79.69,81.38,79.38,81.31,35.2847598519,3446667
1999-12-02,81.25,82.5,80.25,81.27,35.2674017116,3595067
1999-12-03,83.0,84.38,82.81,84.25,36.5605831697,4721800
1999-12-06,84.19,84.19,82.75,83.35,36.1700250112,2636800
1999-12-07,83.44,83.88,82.63,83.25,36.1266296602,2950000
1999-12-08,83.69,85.5,83.06,84.29,36.57794131,3799667
1999-12-09,83.25,87.38,83.25,87.25,37.862443698,6136067
1999-12-10,88.0,89.44,87.81,89.0,38.6218623395,5247800
1999-12-13,89.94,93.0,89.63,91.11,39.5375042444,6056400
