Date,Open,High,Low,Close,Adj Close,Volume
2001-02-12,100.5,104.0,100.5,103.5,33.5250779114,32400
2001-02-13,105.0,106.2,100.1,100.5,32.5533365226,17200
2001-02-14,100.7,100.7,96.35,98.7,31.9702916894,8200
2001-02-15,100.0,100.0,98.8,99.75,32.3104011754,7800
2001-02-16,97.4,98.45,96.3,96.75,31.3386597867,8100
2001-02-20,97.25,97.25,94.25,95.45,30.9175718516,10900
2001-02-21,95.35,98.25,94.44,94.45,30.5936580553,19600
2001-02-22,94.65,95.35,91.0,91.0,29.4761554583,7000
2001-02-23,91.9,94.85,91.55,94.85,30.7232235738,5700
2001-02-26,96.2,99.95,96.2,99.55,32.2456184162,43500
2001-02-27,100.0,100.0,96.8,97.0,31.4196382358,20400
2001-02-28,97.4,99.3,95.05,96.9,31.3872468561,7400
2001-03-01,95.9,95.9,91.8,95.2,30.8365934025,10800
2001-03-02,93.6,97.94,93.5,95.75,31.0147459905,10000
2001-03-05,96.05,96.55,94.15,94.85,30.7232235738,15100
2001-03-06,95.95,96.4,94.25,94.7,30.6746365044,6500
2001-03-07,94.8,94.8,91.75,92.05,29.8162649444,12200
2001-03-08,91.3,91.31,88.51,88.95,28.812132176,15100
2001-03-09,87.8,89.9,86.5,86.5,28.0185433752,12100
2001-03-12,85.25,85.25,79.0,79.0,25.5891899034,16500
2001-03-13,79.6,82.4,78.85,81.9,26.5285399125,10700
2001-03-14,78.5,83.95,78.5,80.35,26.0264735283,14300
2001-03-15,82.6,82.6,80.55,80.55,26.0912562875,7200
2001-03-16,80.4,80.4,75.95,75.95,24.6012528248,8000
2001-03-19,76.8,79.25,76.1,79.25,25.6701683524,9100
2001-03-20,80.0,80.0,75.2,75.2,24.3583174776,10800
2001-03-21,75.6,75.6,68.8,69.25,22.43103039,24200
2001-03-22,67.5,67.9,61.0,67.9,21.993746765,68900
2001-03-23,69.5,71.4,68.65,71.4,23.1274450519,8900
2001-03-26,73.3,75.97,73.3,74.65,24.1801648897,64000
2001-03-27,75.0,76.95,74.3,76.95,24.9251666211,16100
2001-03-28,74.55,76.6,74.55,75.1,24.325926098,6900
2001-03-29,74.95,77.95,74.3,75.02,24.3000129943,9600
2001-03-30,76.8,76.9,75.25,76.4,24.7470140331,59900
2001-04-02,75.6,75.65,71.46,71.5,23.1598364315,204200
