Date,Open,High,Low,Close,Adj Close,Volume
2000-05-26,91.06,91.44,90.63,91.44,34.7352396895,37400
2000-05-30,92.75,94.81,92.75,94.81,36.015398895,28800
2000-05-31,95.13,96.38,95.13,95.75,36.3724759434,18000
2000-06-01,97.11,97.31,97.11,97.31,36.9650718961,3500
2000-06-02,101.7,102.4,101.7,102.4,38.8986061264,14700
2000-06-05,102.1,103.1,101.9,102.0,38.7466584462,24200
2000-06-06,103.6,104.8,102.7,103.0,39.1265276467,75900
2000-06-07,102.4,103.1,101.4,103.1,39.1645145667,65500
2000-06-08,104.3,104.3,102.9,102.9,39.0885407267,45700
2000-06-09,103.9,104.7,103.8,104.7,39.7723052875,20800
2000-06-12,105.0,105.0,101.5,101.6,38.5947107661,42600
2000-06-13,101.3,102.9,100.4,102.9,39.0885407267,84100
2000-06-14,103.7,103.7,102.4,102.4,38.8986061264,21600
2000-06-15,101.8,102.5,100.8,102.5,38.9365930465,13400
2000-06-16,102.9,103.0,101.9,101.9,38.7086715262,15100
2000-06-19,102.5,104.5,102.0,104.5,39.6963314474,29600
2000-06-20,104.7,105.3,104.3,105.2,39.9622398877,23500
2000-06-21,104.3,105.9,104.3,105.7,40.174928653,33400
2000-06-22,106.0,106.0,102.5,102.5,38.9586583438,69800
2000-06-23,103.5,103.5,101.0,101.8,38.6925992136,117900
2000-06-26,102.2,103.1,101.8,103.1,39.1867090268,46800
2000-06-27,103.2,104.1,101.4,101.4,38.540565425,56400
2000-06-28,101.9,104.4,101.9,104.0,39.5287850512,85300
2000-06-29,103.5,103.7,102.1,102.4,38.9206498966,106100
2000-06-30,102.4,103.4,101.6,103.4,39.3007343682,585900
2000-07-03,103.1,104.8,103.0,104.8,39.8328526286,7900
2000-07-05,104.2,104.3,103.3,103.6,39.3767512626,69400
2000-07-06,103.7,104.8,102.7,104.8,39.8328526286,77300
2000-07-07,104.9,105.9,104.9,105.5,40.0989117587,35900
2000-07-10,105.4,106.6,105.4,106.2,40.3649708889,22400
2000-07-11,106.0,106.6,105.7,106.1,40.3269624417,126600
2000-07-12,106.6,108.2,106.5,108.2,41.1251398321,22600
2000-07-13,108.3,108.5,108.0,108.5,41.2391651736,51300
2000-07-14,109.1,109.1,107.8,108.6,41.2771736208,27400
2000-07-17,108.7,109.2,108.4,109.0,41.4292074095,23300
2000-07-18,108.3,108.3,107.1,107.1,40.7070469133,117700
2000-07-19,106.8,106.8,105.3,105.3,40.0228948644,17700
2000-07-20,106.3,107.0,106.3,107.0,40.6690384662,75200
2000-07-21,106.4,106.4,104.1,104.1,39.5667934984,75300
2000-07-24,104.6,104.6,102.3,102.5,38.9586583438,18500
2000-07-25,103.4,103.4,102.1,102.8,39.0726836853,18400
2000-07-26,102.0,102.6,100.9,102.6,38.9966667909,7900
2000-07-27,102.4,102.4,99.75,99.75,37.9134260467,137500
2000-07-28,100.3,100.3,97.75,98.0,37.2482782214,85800
2000-07-31,98.5,100.5,97.38,100.5,38.1984894005,83200
2000-08-01,99.75,100.1,99.28,99.84,37.9476336492,131700
2000-08-02,99.25,100.6,99.0,100.0,38.0084471646,194300
2000-08-03,98.06,100.1,98.06,99.94,37.9856420963,542100
2000-08-04,101.1,101.2,99.84,100.4,38.1604809533,285200
2000-08-07,100.8,102.3,100.8,102.3,38.8826414494,44100
2000-08-08,102.0,102.3,101.8,101.8,38.6925992136,24800
2000-08-09,102.6,102.6,101.1,101.1,38.4265400835,11500
2000-08-10,101.1,101.2,100.2,100.5,38.1984894005,21500
2000-08-11,99.5,102.3,99.5,102.3,38.8826414494,88000
2000-08-14,101.9,103.3,101.9,103.3,39.2627259211,28400
2000-08-15,103.1,103.3,101.8,101.8,38.6925992136,94600
2000-08-16,102.3,103.1,102.3,102.4,38.9206498966,109700
2000-08-17,102.7,103.7,102.4,103.3,39.2627259211,179400
