Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,86.62,87.12,83.37,83.56,28.5293592428,4510867
1999-11-02,84.5,86.25,83.25,83.69,28.5737443158,3541600
1999-11-03,83.62,84.0,82.19,82.44,28.1469647676,2648800
1999-11-04,83.88,85.94,83.5,84.12,28.7205564804,3869600
1999-11-05,86.13,87.38,85.62,86.25,29.4477888307,3433267
1999-11-08,86.31,86.62,84.12,84.38,28.8093266265,2393600
1999-11-09,84.31,84.69,82.0,83.06,28.3586474235,3235267
1999-11-10,82.06,82.25,80.56,80.56,27.505088327,3180067
1999-11-11,80.81,82.62,80.31,81.12,27.6962855646,2292867
1999-11-12,82.56,85.0,82.5,85.0,29.0210092824,3423267
1999-11-15,84.06,84.81,82.5,82.56,28.1879356042,3742000
1999-11-16,83.37,86.44,82.88,86.0,29.362432921,4490200
1999-11-17,85.06,85.19,81.63,81.87,27.9523532935,3606800
1999-11-18,82.38,84.12,81.94,83.37,28.4644887515,3071600
1999-11-19,83.5,84.38,82.5,83.0,28.3381620052,1998867
1999-11-22,82.5,82.56,80.69,81.87,27.9523532935,2514267
1999-11-23,81.87,82.25,79.5,79.94,27.293405671,3029267
1999-11-24,79.75,79.94,78.75,79.56,27.1636646883,2521400
1999-11-26,80.88,80.88,79.06,79.06,26.992952869,794200
1999-11-29,78.81,78.81,76.31,76.94,26.2691347552,3480867
1999-11-30,76.62,79.25,76.56,77.25,26.3749760831,4031467
1999-12-01,77.13,78.0,76.56,77.39,26.4227753925,3046200
1999-12-02,78.0,79.25,76.0,79.06,26.992952869,3261800
1999-12-03,80.94,83.37,80.81,82.0,27.9967383666,3844467
1999-12-06,82.0,82.0,77.37,78.87,26.9280823777,3321667
1999-12-07,78.5,79.19,77.37,78.63,26.8461407044,3702400
1999-12-08,78.38,78.63,76.88,77.72,26.5354451933,3171400
1999-12-09,78.0,79.38,76.06,77.88,26.5900729755,3158800
1999-12-10,79.62,79.62,78.12,78.94,26.9519820324,3209067
1999-12-13,78.12,79.25,77.75,78.53,26.8119983406,1701867
1999-12-14,78.06,78.06,76.06,76.56,26.1393937725,2228000
1999-12-15,76.56,77.37,74.75,75.5,25.7774847156,3057600
1999-12-16,76.19,76.19,73.81,75.0,25.6067728962,2703400
1999-12-17,73.25,74.88,72.06,72.75,24.8385697094,6655667
1999-12-20,73.38,73.94,72.25,72.25,24.6678578901,4137067
1999-12-21,72.38,76.5,72.12,75.0,25.6067728962,5240000
1999-12-22,75.0,75.63,74.0,74.88,25.5658020596,2252267
1999-12-23,76.25,77.94,76.06,77.5,26.4603319928,2891600
1999-12-27,77.5,79.19,76.5,76.5,26.1189083542,2541200
1999-12-28,76.69,77.37,76.31,76.44,26.0984229359,1502200
1999-12-29,77.19,78.19,76.94,77.56,26.4808174111,1533467
1999-12-30,77.56,78.69,76.75,78.06,26.6515292304,1277400
1999-12-31,78.0,78.38,77.69,77.69,26.5252024841,773600
2000-01-03,74.75,75.38,72.12,72.87,24.879540546,8012800
2000-01-04,70.62,71.19,69.19,70.88,24.340091197,7815600
2000-01-05,70.25,72.56,69.0,70.44,24.1889958227,5809667
2000-01-06,70.12,72.94,69.75,71.44,24.5323944006,5579467
2000-01-07,72.63,73.5,71.0,72.75,24.9822465375,4381267
2000-01-10,72.75,73.38,71.5,71.5,24.5529983152,3149000
2000-01-11,70.0,70.44,68.25,69.81,23.9726547187,5603667
2000-01-12,69.69,70.88,69.5,70.25,24.1237500929,4847867
2000-01-13,71.13,72.5,70.56,71.31,24.4877525854,4612600
2000-01-14,73.94,75.75,72.81,73.88,25.3702869305,6487867
2000-01-18,73.94,74.5,70.25,71.0,24.3812990263,3531067
2000-01-19,72.25,75.38,72.25,74.13,25.4561365749,10489800
2000-01-20,75.38,76.0,72.75,74.06,25.4320986745,5180200
2000-01-21,73.88,74.0,72.63,72.94,25.0474922673,3440400
2000-01-24,74.37,74.56,72.19,73.0,25.068096182,4306067
2000-01-25,73.0,75.75,73.0,74.62,25.6244018781,5053267
2000-01-26,75.38,79.0,75.0,78.44,26.9361844454,5591067
2000-01-27,79.44,81.5,78.56,80.69,27.7088312455,5443867
2000-01-28,79.56,79.56,76.62,76.69,26.3352369342,5000000
2000-01-31,76.81,81.5,76.81,80.69,27.7088312455,4773467
2000-02-01,82.44,84.5,81.31,83.75,28.7596308937,6434000
2000-02-02,83.0,84.19,81.38,82.38,28.2891748421,4750800
2000-02-03,83.5,84.87,80.25,83.19,28.5673276901,6133467
2000-02-04,82.5,83.31,81.56,81.75,28.0728337381,3410067
2000-02-07,82.19,83.37,81.75,82.19,28.2239291123,3122800
2000-02-08,84.06,86.13,84.0,85.06,29.2094830307,4212400
2000-02-09,84.94,86.37,82.44,82.88,28.460874131,6545667
2000-02-10,83.13,83.75,81.38,83.13,28.5467237755,4587000
2000-02-11,83.25,85.0,82.0,82.62,28.3715905008,4701667
2000-02-14,82.25,83.44,79.06,79.06,27.1490915637,3936467
2000-02-15,80.06,82.5,79.62,81.06,27.8358887193,5977000
2000-02-16,81.0,82.19,79.0,79.5,27.3001869379,3219800
2000-02-17,80.62,81.5,77.81,78.38,26.9155805307,3810800
2000-02-18,78.06,78.56,74.56,74.75,25.6690436932,5414200
2000-02-22,76.0,78.87,75.12,77.25,26.5275401378,4712400
2000-02-23,77.37,79.19,76.56,77.37,26.5687479671,2968600
2000-02-24,77.25,77.56,74.62,76.0,26.0982919155,3466600
2000-02-25,76.62,78.75,74.88,75.87,26.0536501004,3096200
2000-02-28,76.75,80.25,76.38,77.94,26.7644851565,4034000
2000-02-29,77.69,81.0,77.69,79.62,27.3413947673,4111267
2000-03-01,79.88,82.0,78.87,82.0,28.1586833825,3244200
2000-03-02,80.5,81.12,79.75,80.56,27.6641894304,2389200
2000-03-03,82.0,82.38,79.38,81.12,27.856492634,3987600
2000-03-06,82.94,84.38,82.25,83.44,28.6531773346,3794267
2000-03-07,83.44,84.19,81.0,81.81,28.0934376527,3044600
2000-03-08,80.75,81.44,78.63,79.0,27.128487649,3498467
2000-03-09,78.75,81.25,78.06,81.12,27.856492634,2653000
2000-03-10,80.0,81.56,77.75,78.69,27.0220340899,3540867
2000-03-13,77.62,81.19,77.13,80.06,27.4924901415,3148867
2000-03-14,80.5,80.94,78.5,79.0,27.128487649,2753067
2000-03-15,77.88,84.19,77.19,83.13,28.5467237755,5907800
2000-03-16,84.94,90.38,84.19,90.12,30.9470798345,10423267
2000-03-17,89.25,92.25,88.5,91.0,31.249270583,7926067
2000-03-20,90.0,90.5,84.5,86.56,29.7245808974,5384067
2000-03-21,86.44,92.5,85.5,92.0,31.5926691609,5563667
2000-03-22,90.63,92.13,88.75,91.56,31.4415737866,5736067
2000-03-23,91.0,99.19,90.94,98.5,33.8247599168,6954267
2000-03-24,97.0,100.75,96.0,96.19,33.031509202,6326000
2000-03-27,96.0,96.87,93.56,94.69,32.5164113352,3219267
2000-03-28,93.75,95.75,93.12,94.25,32.365315961,4883800
2000-03-29,94.25,94.5,89.31,90.38,31.0363634648,6058867
2000-03-30,89.44,90.75,85.94,87.0,29.8756762717,5344800
2000-03-31,88.0,88.38,86.0,87.19,29.9409220015,4536667
2000-04-03,87.94,93.0,87.81,92.5,31.7643684498,5673000
2000-04-04,91.5,91.88,83.0,86.75,29.9546579446,8425800
2000-04-05,84.25,86.94,84.25,86.37,29.8234444573,4873800
2000-04-06,87.0,88.25,86.81,87.44,30.1929140135,3235600
2000-04-07,88.25,88.25,86.0,86.37,29.8234444573,3276067
2000-04-10,85.5,89.06,85.12,88.12,30.427717096,5243267
2000-04-11,87.0,87.87,85.0,86.0,29.6956839566,5478067
2000-04-12,87.94,90.94,86.5,86.81,29.9753758636,6088867
2000-04-13,86.0,86.75,84.25,84.5,29.1777359806,4520667
2000-04-14,82.0,82.38,75.75,78.87,27.2337045774,8723000
2000-04-17,77.5,79.44,74.94,78.63,27.1508329012,5805800
2000-04-18,78.25,80.94,78.06,80.5,27.796541378,4555600
2000-04-19,80.75,81.0,75.63,78.0,26.9332947513,6038067
2000-04-20,78.12,78.19,76.25,77.31,26.6950386824,3027067
2000-04-24,76.0,76.44,74.44,74.75,25.8110741367,5195200
2000-04-25,75.75,78.56,75.25,78.06,26.9540126704,4218067
2000-04-26,78.75,78.75,76.19,76.44,26.3946288563,3667000
2000-04-27,75.12,75.5,73.31,73.88,25.5106643106,6198800
2000-04-28,74.25,74.69,71.75,72.12,24.9029386855,5735467
2000-05-01,72.5,75.38,71.56,73.75,25.465775486,5626467
2000-05-02,73.81,77.0,73.38,76.12,26.2841332881,5607467
2000-05-03,75.19,76.75,74.25,74.25,25.6384248114,6213667
2000-05-04,75.12,75.44,72.87,73.25,25.2931261607,4114800
2000-05-05,72.0,72.75,70.5,72.19,24.927109591,9670067
2000-05-08,71.62,73.19,71.31,72.0,24.8615028474,3665067
2000-05-09,72.25,72.69,70.88,70.88,24.4747683586,4252000
2000-05-10,70.69,70.69,68.75,68.75,23.7392822327,4410667
2000-05-11,70.06,70.69,68.5,70.0,24.1709055461,5235400
2000-05-12,69.12,72.87,68.13,71.62,24.7302893601,8147867
2000-05-15,72.75,75.19,72.06,74.62,25.7661853121,4468800
2000-05-16,76.62,76.69,73.69,74.25,25.6384248114,5283400
2000-05-17,73.25,74.94,73.06,74.0,25.5521001487,2900400
2000-05-18,73.75,76.38,73.75,75.12,25.9388346374,3437467
2000-05-19,74.62,74.94,72.25,72.5,25.0341521727,3409667
2000-05-22,73.25,73.25,70.5,72.19,24.927109591,2776400
2000-05-23,71.94,74.56,71.94,73.12,25.2482373361,3472467
2000-05-24,72.5,73.44,70.5,71.62,24.7302893601,5715400
2000-05-25,72.0,73.75,69.75,70.25,24.2572302087,5147600
2000-05-26,70.38,71.25,69.38,70.5,24.3435548714,4109267
2000-05-30,71.62,73.5,71.13,73.5,25.3794508234,2798467
2000-05-31,73.0,75.38,73.0,74.69,25.7903562177,3322067
2000-06-01,75.87,78.25,75.44,77.13,26.6328849253,5853067
2000-06-02,82.38,82.38,80.0,80.69,27.8621481216,5911600
2000-06-05,80.5,81.12,79.25,79.38,27.4098068892,3260267
2000-06-06,79.38,79.38,76.5,77.0,26.5879961007,3697867
2000-06-07,77.44,78.44,76.62,76.88,26.5465602626,3934067
2000-06-08,77.69,77.69,75.38,76.5,26.4153467753,2650067
2000-06-09,77.0,78.63,71.37,73.31,25.3138440797,6863267
2000-06-12,49.38,49.75,48.19,48.59,25.1670921532,3428400
2000-06-13,48.38,48.5,47.62,48.19,24.9599129628,5649900
2000-06-14,48.88,50.38,48.25,50.06,25.9284756779,5920600
2000-06-15,49.81,49.88,46.62,48.81,25.2810407079,9911800
2000-06-16,46.75,46.94,44.12,45.44,23.5355560289,16619900
2000-06-19,45.38,47.38,45.12,46.88,24.2814011143,7731000
2000-06-20,48.0,48.56,47.5,47.94,24.8304259688,5643600
2000-06-21,47.69,47.94,46.38,47.0,24.3435548714,4059300
2000-06-22,47.25,47.31,46.0,46.38,24.0224271263,3268600
2000-06-23,46.62,48.06,46.44,46.88,24.2814011143,3662500
2000-06-26,46.56,48.44,46.56,47.56,24.6336057379,3195000
2000-06-27,48.38,48.75,47.81,47.94,24.8304259688,5146100
2000-06-28,48.12,48.94,46.69,47.05,24.3694522702,4898400
2000-06-29,47.44,48.88,46.62,47.62,24.6646826165,4679500
2000-06-30,47.69,48.25,45.62,46.06,23.856683774,6995300
2000-07-03,45.88,48.0,45.88,47.56,24.7993490903,2746100
2000-07-05,48.44,49.69,47.38,47.75,24.8984213427,5083900
2000-07-06,47.81,48.19,46.62,48.0,25.0287795697,3497600
2000-07-07,48.25,50.69,48.25,50.06,26.1029313595,6245000
2000-07-10,50.19,51.0,49.69,49.75,25.9412871581,3393600
2000-07-11,50.38,51.94,49.81,50.69,26.4314340914,4641900
2000-07-12,51.69,52.19,50.5,50.56,26.3636478134,4531400
2000-07-13,51.38,51.81,50.62,50.75,26.4627200658,4588500
2000-07-14,51.44,52.75,51.0,52.5,27.3752276543,4532300
2000-07-17,53.75,53.75,51.81,52.03,27.1301541877,5069900
2000-07-18,51.25,51.5,50.12,50.94,26.5617923183,3273200
2000-07-19,51.0,51.5,50.12,50.69,26.4314340914,4287100
2000-07-20,50.75,53.25,50.5,51.31,26.7547224941,6117400
2000-07-21,53.0,53.75,51.62,52.73,27.4951572231,5470100
2000-07-24,52.44,52.62,50.75,51.56,26.8850807211,3232600
2000-07-25,51.62,51.75,50.88,51.25,26.7234365197,2697100
2000-07-26,51.0,51.0,48.62,49.38,25.7483569823,4654000
2000-07-27,49.38,50.38,48.38,49.88,26.0090734361,3556100
2000-07-28,50.06,50.12,48.06,48.38,25.2269240746,2880800
2000-07-31,49.0,49.81,48.25,49.81,25.9725731326,3650700
2000-08-01,49.88,53.38,49.62,51.62,26.9163666955,10556800
2000-08-02,51.94,52.38,50.69,51.44,26.8225087721,6692900
2000-08-03,51.0,51.94,50.0,50.25,26.202003612,5914200
2000-08-04,51.88,52.75,50.62,52.44,27.3439416798,8546500
2000-08-07,53.06,54.12,52.56,53.56,27.9279465365,6924000
2000-08-08,53.81,53.88,52.62,53.5,27.896660562,3458500
2000-08-09,53.44,53.62,52.12,52.31,27.2761554018,6305600
2000-08-10,52.31,53.19,51.75,51.88,27.0519392515,4979200
2000-08-11,51.56,52.44,51.31,52.0,27.1145112005,4492200
2000-08-14,52.75,53.0,51.56,52.75,27.5055858812,4970100
2000-08-15,53.0,53.38,51.62,51.81,27.015438948,7236200
2000-08-16,51.25,51.81,50.06,50.38,26.26978989,5305600
2000-08-17,50.06,51.12,50.06,50.69,26.4314340914,4514400
2000-08-18,50.81,51.25,50.25,50.75,26.4627200658,3694100
2000-08-21,51.0,51.62,50.62,50.94,26.5617923183,3502300
2000-08-22,51.44,53.5,51.0,52.75,27.5055858812,7456800
2000-08-23,52.94,54.38,52.75,54.31,28.3190212172,6868200
2000-08-24,53.38,54.88,53.0,53.25,27.7663023351,4508200
2000-08-25,53.12,53.69,51.88,52.06,27.1457971749,4746600
2000-08-28,52.0,53.31,52.0,52.69,27.4742999068,5261600
2000-08-29,53.06,53.19,51.62,51.88,27.0519392515,7020300
2000-08-30,52.5,53.88,52.31,53.25,27.7663023351,8367100
2000-08-31,53.69,56.56,53.5,55.88,29.1376708823,8450600
2000-09-01,56.69,56.81,55.12,56.31,29.3618870326,5478500
2000-09-05,56.44,57.56,56.19,57.12,29.7842476879,4851200
2000-09-06,57.25,58.25,55.75,56.0,29.2002428313,6821900
2000-09-07,56.56,57.31,55.94,57.25,29.8520339659,3495800
2000-09-08,56.88,58.31,56.75,57.81,30.1440363942,4496500
2000-09-11,57.5,58.38,56.5,57.5,29.9823921928,5219500
2000-09-12,57.75,57.94,52.0,52.81,27.5368718557,7314600
2000-09-13,50.38,51.19,49.62,50.69,26.4314340914,42585300
2000-09-14,52.0,52.0,49.94,50.0,26.0716453851,20361300
2000-09-15,50.31,50.31,48.44,49.12,25.6127844263,14822300
2000-09-18,49.12,49.12,46.56,46.56,24.2779161826,15120400
2000-09-19,46.69,47.75,46.44,46.88,24.444774713,15642000
2000-09-20,46.81,47.06,45.62,46.5,24.2466302081,12493000
2000-09-21,46.5,46.56,44.62,44.62,23.7877692493,12166800
2000-09-22,44.75,47.56,44.56,47.25,25.189872188,17425600
2000-09-25,47.5,48.69,47.0,47.0,25.056592441,11709900
2000-09-26,47.38,47.94,45.75,46.06,24.5554605922,8176500
2000-09-27,46.44,46.94,45.25,45.5,24.2569139589,7879200
2000-09-28,45.31,47.06,45.12,46.88,24.9926181624,9307900
2000-09-29,46.38,47.62,46.19,46.19,24.6247660607,8576500
2000-10-02,46.62,47.5,46.31,47.5,25.3231519351,7138200
2000-10-03,47.62,48.12,46.56,46.75,24.923312694,9742300
2000-10-04,46.38,46.69,45.44,45.56,24.4594991743,6363900
2000-10-05,45.62,46.44,44.25,44.44,23.8582121007,9189200
2000-10-06,44.5,45.0,41.75,42.88,23.0207051053,13400700
2000-10-09,43.12,43.25,41.94,42.06,22.5804770692,6499500
2000-10-10,42.06,42.5,40.25,40.81,21.9093977459,11926200
2000-10-11,40.12,40.94,38.88,40.69,21.8449741309,16885900
2000-10-12,40.12,40.25,37.44,37.81,20.2988073701,14847200
2000-10-13,37.88,40.12,37.75,39.69,21.3081106723,14143700
2000-10-16,40.19,40.69,38.75,39.56,21.2383184227,8405600
2000-10-17,40.0,40.5,37.75,37.94,20.3685996197,8318700
2000-10-18,33.5,38.12,32.38,36.88,19.7995243536,29641500
2000-10-19,38.12,40.12,38.12,38.94,20.9054630783,14981100
2000-10-20,38.69,39.38,38.12,38.38,20.6048195415,7559300
2000-10-23,38.19,38.75,37.94,38.38,20.6048195415,5240100
2000-10-24,38.19,40.31,38.12,40.06,21.506750152,10595900
2000-10-25,40.06,41.44,39.75,40.0,21.4745383445,9256100
2000-10-26,40.69,40.94,38.88,40.0,21.4745383445,10398700
