Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,39.56,39.69,37.63,38.38,19.8278597988,834700
1999-11-02,38.38,38.38,37.38,37.56,19.4042317364,580300
1999-11-03,37.5,37.75,36.88,36.94,19.0839275916,653300
1999-11-04,36.75,37.13,35.56,35.56,18.3709925598,935000
1999-11-05,35.63,36.5,35.25,35.38,18.2780010339,596600
1999-11-08,35.44,36.31,35.38,36.31,18.758457251,701600
1999-11-09,36.38,36.44,35.13,35.56,18.3709925598,484800
1999-11-10,35.13,35.25,34.5,35.0,18.0816855904,569800
1999-11-11,34.94,35.44,34.0,35.13,18.1488461368,539900
1999-11-12,35.38,35.63,34.63,35.13,18.1488461368,352800
1999-11-15,35.0,35.44,34.19,34.94,18.0506884151,551900
1999-11-16,34.94,36.0,34.81,35.63,18.407155931,455300
1999-11-17,35.5,36.38,35.31,36.0,18.5983051786,336500
1999-11-18,35.94,36.13,35.0,35.06,18.1126827656,502100
1999-11-19,34.88,34.88,34.0,34.38,17.7613814456,938200
1999-11-22,33.5,33.53,33.0,33.31,17.2085984861,813600
1999-11-23,34.0,34.5,33.75,33.88,17.5030716515,811600
1999-11-24,34.5,34.94,34.13,34.75,17.9525306933,516300
1999-11-26,34.38,34.38,33.56,34.0,17.6916378012,216700
1999-11-29,34.0,34.63,33.31,34.5,17.9518089453,508100
1999-11-30,34.38,34.75,33.5,33.88,17.6291967266,879800
1999-12-01,33.75,33.81,32.81,33.13,17.2389400104,1069500
1999-12-02,32.81,33.0,32.69,32.75,17.0412099409,306700
1999-12-03,32.69,34.19,32.69,33.56,17.4626871943,473500
1999-12-06,32.63,33.38,32.56,32.94,17.1400749756,512200
1999-12-07,32.56,32.81,32.38,32.38,16.8486832942,570000
1999-12-08,32.38,32.56,32.13,32.44,16.8799038315,267300
1999-12-09,32.38,32.69,32.38,32.69,17.0099894036,402400
1999-12-10,32.5,32.69,32.25,32.5,16.9111243688,256100
1999-12-13,32.31,32.38,31.5,31.63,16.458426578,846400
1999-12-14,32.0,32.38,31.63,31.88,16.5885121501,914500
1999-12-15,32.25,33.0,31.88,32.81,17.0724304781,684100
1999-12-16,32.69,32.81,32.06,32.5,16.9111243688,699400
1999-12-17,32.44,32.75,31.81,32.31,16.812259334,967000
1999-12-20,32.38,32.75,32.25,32.31,16.812259334,522900
1999-12-21,32.44,33.0,32.0,32.75,17.0412099409,656100
1999-12-22,32.63,33.25,32.31,32.81,17.0724304781,352500
1999-12-23,32.56,33.25,32.38,32.44,16.8799038315,1121600
1999-12-27,32.44,32.5,32.0,32.0,16.6509532246,1223700
1999-12-28,32.13,32.44,32.13,32.25,16.7810387967,851300
1999-12-29,32.25,32.44,31.13,31.19,16.2294759711,430600
1999-12-30,31.06,31.06,30.0,30.19,15.7091336829,836100
1999-12-31,30.31,31.0,30.06,30.81,16.0317459016,282800
2000-01-03,30.12,30.5,29.5,29.88,15.5478275735,768600
2000-01-04,29.63,29.75,28.69,28.81,14.9910613251,694100
2000-01-05,28.75,29.13,28.5,28.56,14.860975753,862900
