Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,58.25,59.38,57.88,59.0,16.3970506723,4212600
1999-11-02,58.63,58.94,57.31,57.75,16.0496555309,3226800
1999-11-03,57.19,57.75,56.06,56.88,15.8078685125,3958700
1999-11-04,57.5,57.5,56.06,56.69,15.755064451,3768500
1999-11-05,57.94,58.44,57.63,58.13,16.1552636539,4104800
1999-11-08,57.94,58.94,57.69,58.81,16.3442466108,2735000
1999-11-09,58.81,58.81,57.25,57.69,16.0329805641,2228200
1999-11-10,57.06,58.25,57.0,57.88,16.0857846256,2574500
1999-11-11,57.81,57.94,56.5,56.75,15.7717394178,2422300
1999-11-12,57.0,57.5,56.56,57.5,15.9801765027,2416300
1999-11-15,57.5,58.31,57.5,58.25,16.1886135875,2770900
1999-11-16,58.31,59.25,57.75,59.25,16.4665297006,3279400
1999-11-17,58.69,60.0,58.5,59.94,16.6582918186,3952500
1999-11-18,60.0,60.81,59.25,60.44,16.7972498751,3298200
1999-11-19,60.5,60.69,59.69,60.5,16.8139248419,3750900
1999-11-22,61.5,66.06,61.5,65.38,18.1701554738,12510900
1999-11-23,66.0,66.94,65.81,66.63,18.5175506152,9632900
1999-11-24,66.44,68.44,66.19,67.94,18.8816207233,5825600
1999-11-26,67.13,67.88,66.56,66.56,18.4980964872,1653300
1999-11-29,65.88,67.19,65.75,67.06,18.6815211219,4260100
1999-11-30,66.63,67.94,66.5,67.19,18.7177364178,3775500
1999-12-01,66.69,69.0,66.69,68.19,18.9963156174,5430800
1999-12-02,67.0,67.94,67.0,67.44,18.7873812177,2376800
1999-12-03,68.25,69.0,67.81,68.31,19.0297451213,3834100
1999-12-06,68.19,68.19,62.63,64.6,17.996216291,13263800
1999-12-07,62.5,62.75,58.75,59.0,16.4361727735,18069100
1999-12-08,60.13,60.88,59.38,60.0,16.7147519731,10011400
1999-12-09,61.0,62.19,60.06,62.13,17.3081256681,6862700
1999-12-10,62.5,63.38,62.13,63.25,17.6201343716,5859500
1999-12-13,63.0,63.0,61.38,62.0,17.2719103722,2793100
1999-12-14,61.56,61.94,61.06,61.25,17.0629759725,3560600
1999-12-15,61.0,61.19,59.38,59.88,16.6813224691,4527100
1999-12-16,60.38,60.38,57.88,58.5,16.2968831737,5302600
1999-12-17,58.5,59.88,57.38,59.75,16.6451071732,8015000
1999-12-20,59.75,60.38,58.5,59.56,16.5921771253,3791800
1999-12-21,59.69,60.0,58.13,58.44,16.2801684218,3173200
1999-12-22,60.25,60.75,58.5,58.5,16.2968831737,4526700
1999-12-23,59.5,60.25,58.81,59.25,16.5058175734,3369700
1999-12-27,59.25,59.94,58.56,59.5,16.5754623733,3091200
1999-12-28,59.38,59.63,58.69,59.13,16.4723880694,2366100
1999-12-29,59.88,59.88,58.63,58.94,16.4194580215,1827800
1999-12-30,59.19,59.44,58.44,58.44,16.2801684218,1984600
1999-12-31,58.88,58.88,58.06,58.25,16.2272383738,1414900
2000-01-03,57.31,58.0,55.25,56.25,15.6700799747,5498500
2000-01-04,55.75,56.81,55.63,56.44,15.7230100227,3654000
2000-01-05,56.44,57.44,56.06,57.06,15.8957291264,4728700
2000-01-06,57.06,57.69,56.56,57.0,15.8790143744,3564600
2000-01-07,58.5,60.75,57.88,60.75,16.9236863727,5737000
2000-01-10,60.5,60.94,58.75,58.81,16.3832427256,4361900
2000-01-11,60.94,61.25,60.13,60.81,16.9404011247,4699000
2000-01-12,60.81,61.81,60.44,61.5,17.1326207724,4194900
2000-01-13,61.44,61.44,60.44,60.56,16.8707563248,3053000
2000-01-14,61.94,61.94,60.69,61.06,17.0100459246,3756600
2000-01-18,61.31,65.0,61.06,65.0,18.1076479708,9175400
2000-01-19,65.0,65.25,63.75,65.25,18.1772927707,6406700
2000-01-20,65.31,65.94,65.13,65.88,18.3527976664,5769900
2000-01-21,66.75,66.88,65.75,66.88,18.631376866,5692900
2000-01-24,66.0,66.75,63.56,64.88,18.0742184669,5653000
2000-01-25,64.0,66.06,62.88,65.88,18.3527976664,4859300
