Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,51.0,52.88,51.0,52.0,10.3366877568,389500
1999-11-02,52.38,54.0,52.25,53.25,10.5851658279,329200
1999-11-03,53.38,53.94,53.38,53.81,10.6964840037,276100
1999-11-04,53.63,54.5,53.5,54.0,10.7342526705,156400
1999-11-05,54.13,54.56,53.75,53.81,10.6964840037,175500
1999-11-08,54.06,54.31,53.88,54.13,10.7600943899,124600
1999-11-09,54.13,54.44,53.44,54.38,10.8097900041,199300
1999-11-10,54.38,54.38,52.94,53.0,10.5354702136,140400
1999-11-11,53.0,53.63,52.63,53.63,10.6607031615,133800
1999-11-12,54.25,54.25,53.0,53.44,10.6229344947,158500
1999-11-15,53.13,53.31,46.81,47.25,9.3924710867,2710900
1999-11-16,48.81,50.75,48.69,50.69,10.0762827383,914500
1999-11-17,50.0,50.0,47.81,47.88,9.51770403452,467900
1999-11-18,48.25,50.0,46.56,49.88,9.91526894824,641400
1999-11-19,49.88,49.88,48.69,49.56,9.85165856205,439000
1999-11-22,49.5,49.75,49.25,49.5,9.83973161463,428200
1999-11-23,49.75,49.81,48.94,49.75,9.88942722885,93200
1999-11-24,49.63,50.06,49.0,49.63,9.86557333403,307100
1999-11-26,49.13,49.25,48.63,48.88,9.71648649138,39000
1999-11-29,48.63,49.31,48.63,48.94,9.72841343879,131000
1999-11-30,49.06,49.56,48.75,49.38,9.81587771981,220800
1999-12-01,49.38,49.5,48.0,48.06,9.55348487675,160600
1999-12-02,48.31,48.75,48.25,48.31,9.60318049097,170600
1999-12-03,48.5,49.19,48.38,48.94,9.72841343879,193900
1999-12-06,48.69,48.69,47.25,47.63,9.4680084203,156000
1999-12-07,47.5,50.0,47.5,49.75,9.88942722885,205800
1999-12-08,49.81,49.94,49.38,49.94,9.92719589565,128200
1999-12-09,49.75,50.38,48.13,49.25,9.79003600042,223000
1999-12-10,49.25,49.25,46.75,47.75,9.49186231513,251300
1999-12-13,47.63,47.69,45.75,46.38,9.21953034923,622600
1999-12-14,48.0,48.75,47.38,47.38,9.41831280609,579300
1999-12-15,47.38,48.88,47.38,48.69,9.67871782458,202400
1999-12-16,48.88,49.25,48.81,49.0,9.7403403862,172800
1999-12-17,48.56,49.31,48.5,48.56,9.65287610518,223400
1999-12-20,48.31,49.75,48.25,49.69,9.87750028144,123800
1999-12-21,49.69,49.75,48.56,49.0,9.7403403862,86700
1999-12-22,49.0,49.38,48.75,48.94,9.72841343879,40700
1999-12-23,48.94,50.25,48.94,49.75,9.88942722885,120100
1999-12-27,49.63,49.69,48.0,48.94,9.72841343879,62600
1999-12-28,48.75,50.13,48.75,49.38,9.81587771981,73000
1999-12-29,49.5,49.63,48.81,48.81,9.7025717194,33000
1999-12-30,48.69,52.0,48.69,51.5,10.2372965284,167100
1999-12-31,51.13,51.19,50.13,50.31,10.0007454047,152400
2000-01-03,50.31,50.31,47.19,47.25,9.3924710867,255500
2000-01-04,47.25,47.69,46.25,46.81,9.30500680568,102000
2000-01-05,46.75,46.75,45.75,46.06,9.15591996303,125400
2000-01-06,45.25,48.0,44.81,47.75,9.49186231513,335300
2000-01-07,47.75,48.38,47.25,47.25,9.3924710867,115600
2000-01-10,47.38,48.75,46.0,48.31,9.60318049097,157100
2000-01-11,48.38,48.38,45.88,45.88,9.1201391208,147300
2000-01-12,45.94,47.25,44.75,46.75,9.29307985827,343100
2000-01-13,46.88,46.94,45.56,45.63,9.07044350658,154300
2000-01-14,45.88,46.63,45.5,46.13,9.16983473501,84000
2000-01-18,46.38,46.75,45.63,46.13,9.16983473501,97300
2000-01-19,45.88,47.63,45.75,47.56,9.45409364832,277900
2000-01-20,48.75,49.56,47.38,47.44,9.4302397535,549000
2000-01-21,46.5,46.5,44.75,46.06,9.15591996303,483600
2000-01-24,46.25,46.56,43.63,43.81,8.70865943509,186800
2000-01-25,43.81,43.81,42.94,43.5,8.64703687347,360400
2000-01-26,43.94,43.94,43.0,43.13,8.57348736443,193600
2000-01-27,43.06,43.31,41.38,41.94,8.33693624076,509400
