Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,110.0,112.62,109.12,110.62,31.5036366103,2501800
1999-11-02,110.62,113.06,109.75,110.12,31.3612408563,1842100
1999-11-03,110.12,110.12,107.69,108.88,31.0080993865,1935900
1999-11-04,110.19,113.75,110.0,113.19,32.2355507858,2254900
1999-11-05,116.12,117.38,115.25,115.81,32.9817045366,2413400
1999-11-08,115.75,116.38,113.0,114.0,32.4662319072,1145500
1999-11-09,114.0,114.12,109.31,110.56,31.4865491198,1991500
1999-11-10,110.19,112.38,109.12,110.19,31.3811762619,1488200
1999-11-11,110.62,112.88,110.5,112.31,31.9849342588,1396700
1999-11-12,114.94,121.0,114.69,120.0,34.174980955,2641700
1999-11-15,122.0,122.19,118.12,121.06,34.4768599534,2148400
1999-11-16,122.19,127.5,121.38,127.25,36.2397193877,3019200
1999-11-17,124.5,124.88,121.12,121.44,34.5850807264,3012300
1999-11-18,123.0,125.0,121.12,124.12,35.3483219678,2579000
1999-11-19,124.12,124.75,123.0,124.38,35.4223677598,1080900
1999-11-22,121.88,123.25,119.5,122.81,34.9752450923,1916900
1999-11-23,123.0,123.0,119.69,120.5,34.3173767089,1026600
1999-11-24,121.0,121.0,118.06,118.62,33.781968674,1284400
1999-11-26,119.38,119.75,117.88,118.0,33.605397939,329600
1999-11-29,116.75,118.0,115.94,117.0,33.3206064311,1604800
1999-11-30,116.69,121.25,116.56,120.62,34.3515516899,2132300
1999-12-01,119.5,121.56,119.25,119.94,34.1578934645,1830500
1999-12-02,119.94,123.0,119.94,121.81,34.6904535844,1210100
1999-12-03,124.81,129.0,124.56,128.19,36.5074234051,2397100
1999-12-06,126.81,127.88,125.19,127.88,36.4191380377,1787000
1999-12-07,128.69,134.5,128.25,131.62,37.4842582774,3807200
1999-12-08,131.94,133.0,127.88,132.44,37.717787314,1729300
1999-12-09,135.0,135.5,131.25,132.88,37.8430955775,2576400
1999-12-10,134.56,135.19,132.5,134.5,38.3044578204,1625200
1999-12-13,133.62,133.69,130.75,131.69,37.504193683,1306900
1999-12-14,128.69,129.31,127.0,127.06,36.1856090011,1691100
1999-12-15,127.06,128.88,125.5,126.36,35.9862549456,1680100
1999-12-16,125.94,127.62,124.38,125.0,35.5989384948,1600900
1999-12-17,126.0,131.88,125.88,128.06,36.4704005091,3378600
1999-12-20,131.75,132.62,128.25,130.33,37.1168772322,2315700
1999-12-21,128.5,131.5,126.75,128.88,36.7039295456,1874300
1999-12-22,130.0,130.38,128.88,129.88,36.9887210536,1013300
1999-12-23,131.0,132.0,130.81,131.5,37.4500832965,1097700
1999-12-27,132.5,134.75,131.62,131.62,37.4842582774,1326800
1999-12-28,132.12,135.44,132.12,134.25,38.2332599434,1066900
1999-12-29,134.0,140.19,133.94,138.94,39.5689321157,969200
1999-12-30,138.94,142.38,138.88,141.25,40.2268004991,832200
1999-12-31,141.25,142.88,140.5,142.75,40.653987761,285000
2000-01-03,137.25,138.0,132.12,135.0,38.4468535743,2654500
2000-01-04,132.0,132.25,123.0,125.0,35.5989384948,3117200
2000-01-05,124.0,124.19,117.25,120.44,34.3002892185,3872100
2000-01-06,120.38,124.94,120.25,122.75,34.9581576018,3293000
2000-01-07,120.5,126.94,119.44,126.56,36.0432132472,3162400
2000-01-10,126.88,131.0,126.56,130.62,37.3133833727,2305100
2000-01-11,132.0,132.12,129.5,130.62,37.3133833727,1972800
2000-01-12,130.88,134.62,130.5,131.62,37.5990470028,2145800
2000-01-13,132.0,133.19,130.0,132.44,37.8332911796,1659600
2000-01-14,135.25,137.62,133.44,137.31,39.2244730585,1817900
2000-01-18,137.31,138.75,133.69,133.75,38.2075105351,1730200
2000-01-19,134.62,137.19,134.5,135.69,38.7616979776,1726100
2000-01-20,134.12,137.25,133.25,134.81,38.5103139831,2240500
2000-01-21,134.75,134.75,131.5,132.5,37.8504309974,1982500
2000-01-24,133.5,134.5,125.44,128.0,36.5649446616,2095500
2000-01-25,127.75,131.38,127.0,129.44,36.9763002891,2030700
2000-01-26,130.5,132.88,128.25,132.88,37.9589831768,2751600
2000-01-27,66.0,68.38,65.62,67.56,38.5988697084,1504950
2000-01-28,66.0,67.69,62.88,63.31,36.170728852,3565800
2000-01-31,63.5,66.25,62.5,66.25,37.8504309974,2606800
2000-02-01,65.62,65.88,63.56,64.0,36.5649446616,3177500
2000-02-02,63.75,67.25,62.62,65.12,37.2048311932,3001000
2000-02-03,66.0,66.62,64.25,66.0,37.7075991823,4021700
2000-02-04,65.62,65.88,64.06,65.69,37.5304877316,2411100
2000-02-07,64.5,65.38,64.0,65.12,37.2048311932,2611500
2000-02-08,67.0,68.69,66.5,67.81,38.7417015235,2829000
2000-02-09,68.81,68.94,66.5,67.19,38.3874786221,3247900
2000-02-10,67.25,68.0,65.81,66.81,38.1703742632,2029600
2000-02-11,66.88,69.06,66.38,66.75,38.1360946275,2970400
2000-02-14,67.5,67.75,65.75,66.0,37.7075991823,1858800
2000-02-15,64.81,65.69,64.5,65.56,37.4562151877,2999100
2000-02-16,65.56,66.44,64.25,65.56,37.4562151877,2455100
2000-02-17,65.19,65.5,62.88,63.25,36.1364492164,2658800
2000-02-18,63.25,64.25,60.12,61.25,34.9937946957,3347800
2000-02-22,62.25,62.69,60.5,62.31,35.5994015916,3025700
2000-02-23,62.06,67.25,61.62,65.75,37.5647673672,3966300
2000-02-24,67.5,70.25,66.12,69.06,39.4558605989,5636000
2000-02-25,69.12,71.19,67.75,69.88,39.9243489524,4249800
2000-02-28,68.5,69.75,68.0,69.19,39.5301331428,3657500
2000-02-29,68.94,70.44,68.12,70.44,40.2442922182,3836300
2000-03-01,71.88,75.5,71.5,75.25,42.9923763404,4900700
2000-03-02,74.75,77.25,74.06,76.56,43.7408150515,3321500
2000-03-03,78.25,79.19,75.88,79.19,45.2434057462,3503000
2000-03-06,79.31,81.19,79.25,80.88,46.2089488161,2856400
2000-03-07,81.25,82.38,80.12,81.0,46.2775080874,4255700
2000-03-08,80.94,81.0,77.88,79.0,45.1348535667,3068100
2000-03-09,79.75,83.38,79.0,83.38,47.637266967,2876600
2000-03-10,84.38,89.75,83.94,86.62,49.4883672905,4306600
2000-03-13,83.0,85.62,80.62,82.5,47.1344989779,2818300
2000-03-14,82.0,84.94,78.31,79.94,45.6719011914,2935800
2000-03-15,80.44,80.62,77.75,78.0,44.5635263063,4110900
2000-03-16,76.5,81.0,73.75,80.75,46.1346762723,5975900
2000-03-17,82.31,88.94,82.06,88.88,50.7795668988,5726800
2000-03-20,90.0,91.88,87.5,87.69,50.099687459,4139200
2000-03-21,85.56,89.0,83.38,88.69,50.6710147194,6144000
2000-03-22,90.0,90.94,89.44,90.14,51.4994392468,4404400
2000-03-23,90.31,95.0,86.25,94.75,54.133257917,7123900
2000-03-24,93.38,97.38,93.38,95.81,54.738864813,4861600
2000-03-27,94.38,94.38,89.38,90.0,51.4194534304,3073500
2000-03-28,87.0,89.62,86.56,88.0,50.2767989097,4902000
2000-03-29,88.5,89.19,83.81,86.75,49.5626398343,3079000
2000-03-30,85.56,88.25,82.81,84.14,48.0714756848,3842200
2000-03-31,83.5,84.12,79.5,82.88,47.3516033368,4280200
2000-04-03,83.44,86.75,83.44,85.38,48.7799214876,3947200
2000-04-04,86.25,86.25,74.12,78.62,44.9177492078,8308000
2000-04-05,78.38,80.81,75.81,79.75,45.5633490119,5648200
2000-04-06,81.0,85.5,81.0,85.31,48.7399285794,4009600
2000-04-07,87.19,87.19,84.56,84.56,48.3114331342,3310900
2000-04-10,86.0,90.06,85.75,88.75,50.705294355,4620900
2000-04-11,88.88,90.19,84.5,86.06,49.1684240247,4020800
2000-04-12,88.75,88.75,79.5,79.75,45.677614464,5398400
2000-04-13,80.0,80.12,75.0,75.5,43.2433842261,5821500
2000-04-14,71.0,71.94,64.75,66.88,38.3061925436,9867100
2000-04-17,66.75,69.38,65.25,68.94,39.4860782589,6798900
2000-04-18,69.0,76.81,68.69,75.75,43.3865742401,6230100
2000-04-19,76.62,76.62,73.12,75.0,42.9570041981,2862300
2000-04-20,74.75,75.0,73.06,75.0,42.9570041981,2884500
2000-04-24,75.0,77.81,73.38,77.62,44.4576355448,4779200
2000-04-25,77.81,80.94,76.38,79.88,45.7520732713,4381900
2000-04-26,80.06,82.75,78.81,80.62,46.1759157127,3405300
2000-04-27,77.0,80.5,76.25,80.5,46.107184506,3252400
2000-04-28,81.5,81.56,75.88,76.75,43.9593342961,2409500
2000-05-01,76.5,82.62,75.56,79.75,45.677614464,3554500
2000-05-02,77.56,79.25,75.5,75.75,43.3865742401,3337200
2000-05-03,75.5,76.62,72.5,73.0,41.8114840862,3720000
2000-05-04,74.5,74.5,70.31,71.62,41.0210752089,3061200
2000-05-05,71.06,74.5,70.38,71.12,40.7346951809,3523400
2000-05-08,71.06,72.88,70.5,71.81,41.1298996196,2437500
2000-05-09,72.25,73.44,70.25,71.12,40.7346951809,2491600
2000-05-10,70.38,70.56,65.0,66.12,37.8708949011,6080000
2000-05-11,68.5,68.75,66.25,67.0,38.3749237503,3779500
2000-05-12,67.0,69.88,66.0,69.41,39.7552754852,2938500
2000-05-15,69.62,75.0,69.5,74.06,42.4186097455,3909700
2000-05-16,75.75,79.38,74.19,75.25,43.1001942121,5151900
2000-05-17,75.5,76.94,73.12,76.0,43.5297642541,2955000
2000-05-18,75.75,77.81,74.06,74.69,42.7794485808,3444200
2000-05-19,71.88,72.62,68.25,69.44,39.7724582869,3938700
2000-05-22,68.75,69.75,65.81,67.5,38.6613037783,3407400
2000-05-23,67.5,69.62,67.25,68.25,39.0908738203,2409000
2000-05-24,69.25,70.19,67.25,68.25,39.0908738203,3413600
2000-05-25,68.25,71.0,63.56,64.0,36.6566435824,6233200
2000-05-26,62.38,64.44,62.38,63.69,36.479087965,3930900
2000-05-30,64.0,67.06,63.88,67.0,38.3749237503,3462400
2000-05-31,66.75,71.94,66.38,71.5,40.9523440022,4396300
2000-06-01,72.0,76.0,70.12,75.25,43.1001942121,4860400
2000-06-02,84.0,84.0,79.62,83.06,47.5734502493,5189900
2000-06-05,81.0,82.88,80.31,82.12,47.0350557967,2643600
2000-06-06,81.25,81.38,79.25,79.75,45.677614464,2111200
2000-06-07,79.12,82.0,79.12,79.94,45.7864388746,3866200
2000-06-08,79.94,79.94,78.12,78.75,45.104854408,1709000
2000-06-09,80.12,81.75,79.06,79.25,45.391234436,1801400
2000-06-12,79.25,81.44,79.25,80.81,46.2847401233,1852500
2000-06-13,80.81,84.0,79.94,83.38,47.7567334672,2733800
2000-06-14,83.38,86.25,82.81,85.5,48.9709847859,3130900
2000-06-15,84.62,84.88,80.25,83.94,48.0774790985,2789200
2000-06-16,82.12,84.06,81.0,81.12,46.4622957407,4140100
2000-06-19,83.0,86.0,82.06,84.44,48.3638591265,2802800
2000-06-20,84.5,87.25,84.12,86.56,49.5781104452,2496600
2000-06-21,87.25,87.94,84.69,85.62,49.0397159926,2832600
2000-06-22,84.12,84.56,82.56,83.19,47.6479090566,2875000
2000-06-23,83.0,84.44,80.69,81.12,46.4622957407,2390500
2000-06-26,82.38,83.12,80.62,82.19,47.0751490006,2839600
2000-06-27,81.5,84.25,81.31,83.0,47.5390846459,3507500
2000-06-28,82.88,84.44,81.88,83.5,47.8254646739,3009100
2000-06-29,83.0,85.12,81.56,84.38,48.3294935232,3229400
2000-06-30,84.56,87.25,83.23,83.25,47.6822746599,4752100
2000-07-03,83.75,85.25,83.5,85.0,48.6846047579,1200900
2000-07-05,85.62,89.12,84.81,86.88,49.8759456743,4212800
2000-07-06,86.94,89.62,85.81,89.5,51.380031513,3809300
2000-07-07,88.88,91.12,88.31,90.62,52.0229995051,3450700
2000-07-10,90.5,93.62,90.06,93.38,53.6074563428,3778800
2000-07-11,92.12,94.94,91.81,94.88,54.4685741894,3266700
2000-07-12,95.0,96.25,94.56,95.5,54.8245028994,3528300
2000-07-13,95.75,96.75,94.69,96.38,55.329692036,2563400
2000-07-14,96.56,97.0,95.62,96.0,55.1115421816,2286500
2000-07-17,96.5,96.5,91.75,92.12,52.8841173517,2500800
2000-07-18,91.88,92.88,90.69,91.25,52.3846690007,2278800
2000-07-19,90.31,90.69,87.5,88.25,50.6624333075,2251000
2000-07-20,89.25,92.0,89.19,91.25,52.3846690007,2605200
2000-07-21,92.25,95.12,91.75,94.69,54.3594992622,3438100
2000-07-24,94.75,95.75,93.06,94.12,54.0322744805,1888200
2000-07-25,93.75,95.5,93.0,94.47,54.233201978,2447700
2000-07-26,93.69,94.88,92.69,93.0,53.3893064884,2652300
2000-07-27,94.38,95.25,90.62,92.5,53.1022672062,2071900
2000-07-28,92.25,92.25,87.69,88.25,50.6624333075,2553000
2000-07-31,88.19,91.44,86.5,91.25,52.3846690007,2712300
2000-08-01,92.12,92.56,90.44,90.94,52.2067046457,2189400
2000-08-02,91.31,93.44,90.75,92.19,52.9243028512,1960200
2000-08-03,91.0,94.5,90.94,93.88,53.894495625,2389800
2000-08-04,95.0,98.44,94.88,97.75,56.1161796692,3421600
2000-08-07,98.12,99.0,96.0,98.69,56.6558135198,3821900
2000-08-08,98.56,99.06,96.31,96.75,55.5421011048,2225100
2000-08-09,96.0,100.19,95.69,98.38,56.4778491648,3130100
2000-08-10,98.56,99.88,96.56,96.62,55.4674708915,2373000
2000-08-11,96.94,101.75,96.81,101.62,58.3378637134,2995000
2000-08-14,101.62,104.81,99.62,104.06,59.7386154105,3322300
2000-08-15,103.75,104.19,100.81,101.5,58.2689742857,2477900
2000-08-16,101.25,102.38,96.88,98.5,56.5467385925,2839900
2000-08-17,97.88,102.5,97.88,102.19,58.6650884951,3369300
2000-08-18,102.0,102.62,100.06,100.44,57.6604510074,2212600
2000-08-21,101.44,102.06,99.0,101.88,58.4871241402,2480400
2000-08-22,101.38,103.88,101.12,102.88,59.0612027046,2880700
2000-08-23,103.0,103.69,101.0,101.59,58.3206413565,2453400
2000-08-24,101.62,103.5,101.0,103.12,59.19898156,2448800
2000-08-25,102.25,103.69,100.31,101.25,58.1254546446,1717500
2000-08-28,100.5,103.94,100.31,102.88,59.0612027046,1885900
2000-08-29,102.62,104.81,101.19,104.5,59.9912099789,2689100
2000-08-30,104.0,106.31,103.25,105.88,60.7834383977,3293700
2000-08-31,104.88,108.5,104.56,107.58,61.7593719572,2825900
2000-09-01,107.56,108.0,106.38,107.69,61.8225205993,1994200
2000-09-05,107.69,109.5,106.0,106.94,61.391961676,2470100
2000-09-06,107.19,109.94,106.0,106.19,60.9614027527,3079500
2000-09-07,106.62,106.62,104.25,105.0,60.2782492611,2198700
2000-09-08,104.88,107.0,104.06,105.5,60.5652885433,2833700
2000-09-11,104.75,109.69,104.75,109.38,62.7927133731,2543500
2000-09-12,108.44,110.0,106.12,107.94,61.9660402404,2685900
2000-09-13,105.62,107.56,103.0,104.5,59.9912099789,3274400
2000-09-14,104.75,107.5,104.06,104.94,60.2438045472,3002500
2000-09-15,103.06,104.12,97.56,98.5,56.5467385925,5830000
2000-09-18,97.94,98.25,93.5,93.5,53.6763457706,4981300
2000-09-19,95.25,98.69,93.88,97.5,55.9726600281,4355000
2000-09-20,98.25,99.5,93.75,95.94,55.0770974677,4095400
2000-09-21,89.0,89.75,85.5,89.31,51.2709565858,11499300
2000-09-22,86.75,91.69,86.75,90.56,51.9885547913,4058700
2000-09-25,91.88,94.5,91.88,92.44,53.0678224923,3602800
2000-09-26,92.56,92.75,87.88,88.69,50.9150278759,4660400
