Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,55.75,56.38,55.25,56.31,5.35657987373,896200
1999-11-02,55.5,55.94,52.5,52.5,4.99414745819,1542600
1999-11-03,51.5,51.56,47.75,50.19,4.77440497003,3235000
1999-11-04,50.06,51.25,49.88,50.38,4.7924790275,1494300
1999-11-05,50.19,50.81,47.0,47.94,4.56037007897,1653700
1999-11-08,47.13,47.44,45.38,46.88,4.45953586362,2252400
1999-11-09,46.88,48.13,46.25,47.44,4.51280676984,1284600
1999-11-10,47.19,48.56,46.63,47.0,4.47095105781,1015400
1999-11-11,47.25,47.31,46.0,46.13,4.38819089993,951000
1999-11-12,46.38,46.75,45.5,46.13,4.38819089993,679100
1999-11-15,46.25,47.69,45.63,47.31,4.50044030947,1095200
1999-11-16,47.06,47.75,44.06,44.31,4.21506045472,1616100
1999-11-17,44.25,45.25,44.06,44.25,4.20935285762,2818400
1999-11-18,45.0,47.38,44.75,47.0,4.47095105781,2740500
1999-11-19,49.5,49.63,48.0,49.25,4.68498594888,2086800
1999-11-22,49.0,49.38,47.81,48.56,4.61934858228,934100
1999-11-23,48.44,48.5,47.13,47.38,4.50709917275,892100
1999-11-24,47.44,47.5,46.19,46.56,4.42909534578,516600
1999-11-26,47.0,47.38,46.63,47.0,4.47095105781,182500
1999-11-29,45.81,46.63,45.81,46.38,4.4119725545,714500
1999-11-30,46.38,46.75,45.88,46.0,4.37582443956,1062000
1999-12-01,45.75,47.19,45.63,47.0,4.47095105781,665900
1999-12-02,47.25,47.25,44.5,45.59,4.33682252608,1560700
1999-12-03,45.19,46.94,45.19,46.38,4.4119725545,1474400
1999-12-06,46.25,47.63,45.56,47.06,4.47665865491,907300
1999-12-07,46.38,46.88,45.75,46.44,4.41768015159,1005400
1999-12-08,46.25,46.38,44.69,45.21,4.30067441114,2145400
1999-12-09,45.0,46.25,45.0,45.75,4.352042785,710500
1999-12-10,45.75,45.75,43.88,43.88,4.17415600887,2057600
1999-12-13,43.88,43.88,41.81,42.79,4.07046799497,1382700
1999-12-14,42.13,42.13,39.81,40.19,3.82313878752,2482900
1999-12-15,40.75,41.94,40.63,41.88,3.98390277237,2157700
1999-12-16,41.88,46.0,41.69,45.69,4.35775038209,1403500
1999-12-17,49.75,55.88,49.31,52.44,5.00154147597,5717100
1999-12-20,52.5,53.13,50.25,51.19,4.88232090303,1452000
1999-12-21,51.0,51.0,48.25,49.13,4.68584539882,1204900
1999-12-22,49.88,50.13,49.0,49.5,4.72113468841,632500
1999-12-23,49.69,51.94,49.56,51.88,4.94813065929,741800
1999-12-27,51.63,51.63,49.69,49.69,4.7392562155,484600
1999-12-28,49.75,50.25,49.63,50.0,4.76882291759,562400
1999-12-29,50.06,50.13,49.63,49.81,4.7507013905,263500
1999-12-30,49.75,50.0,49.13,49.19,4.69156798632,244500
1999-12-31,49.5,49.75,49.25,49.56,4.72685727591,225300
2000-01-03,49.31,49.56,47.75,48.12,4.58951517589,1001800
2000-01-04,47.0,47.31,45.38,45.5,4.33962885501,1226300
2000-01-05,45.75,48.13,45.75,48.13,4.59046894047,817800
2000-01-06,47.88,47.88,46.56,47.88,4.56662482588,611400
2000-01-07,47.69,48.0,47.0,47.88,4.56662482588,499200
2000-01-10,48.13,48.94,48.0,48.69,4.64387975715,493300
2000-01-11,49.38,52.25,49.25,51.13,4.87659831553,1372000
2000-01-12,50.88,51.0,49.13,49.38,4.70968951341,1256300
2000-01-13,49.06,50.44,48.44,50.0,4.76882291759,643100
2000-01-14,50.63,51.88,50.38,51.31,4.89376607803,960100
2000-01-18,50.75,51.63,50.06,50.63,4.82891008635,1044500
2000-01-19,51.75,53.5,51.44,52.81,5.03683076556,1287400
2000-01-20,53.25,53.38,51.25,51.56,4.91761019262,637900
2000-01-21,51.56,51.56,50.5,50.69,4.83463267385,1283200
2000-01-24,49.63,50.25,49.25,49.69,4.7392562155,716700
2000-01-25,49.56,50.13,48.5,48.88,4.66200128424,477900
2000-01-26,46.13,49.75,46.13,49.5,4.72113468841,1610800
2000-01-27,48.0,48.63,46.38,47.25,4.50653765712,788000
2000-01-28,47.0,47.0,46.0,46.88,4.47124836753,444500
2000-01-31,46.0,46.19,45.44,45.5,4.33962885501,578400
2000-02-01,45.44,47.13,45.25,46.69,4.45312684045,746400
2000-02-02,46.63,48.13,46.19,47.44,4.52465918421,696600
2000-02-03,47.31,47.88,46.56,47.88,4.56662482588,496700
2000-02-04,47.88,47.88,46.63,46.69,4.45312684045,1560700
2000-02-07,46.63,46.63,44.69,45.25,4.31578474042,806900
2000-02-08,45.0,45.0,26.5,37.0,3.52892895902,8213400
2000-02-09,36.5,36.5,32.38,33.75,3.21895546937,7821400
2000-02-10,33.38,34.81,32.88,33.75,3.21895546937,3129100
2000-02-11,34.13,34.5,33.13,34.0,3.24279958396,1580600
2000-02-14,33.5,34.06,32.13,32.31,3.08161336935,2232400
2000-02-15,32.06,32.13,30.25,30.44,2.90325939223,3757000
2000-02-16,30.44,30.75,29.25,29.5,2.81360552138,2834800
2000-02-17,29.31,29.88,28.81,29.0,2.7659172922,1872200
2000-02-18,28.88,29.13,27.38,28.0,2.67054083385,3260900
2000-02-22,28.63,28.75,27.0,27.0,2.5751643755,1605900
2000-02-23,28.25,28.5,27.94,28.06,2.67626342135,1578100
