Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,39.5,40.0,38.5,38.5,17.5109234897,7053200
1999-11-02,38.62,39.25,38.12,38.12,17.3380884007,6623800
1999-11-03,39.0,39.31,38.38,38.56,17.5382132406,7114400
1999-11-04,38.63,39.06,37.0,37.25,16.9423870128,14065500
1999-11-05,36.25,36.25,34.25,34.75,15.8053140589,44375100
1999-11-08,34.75,35.5,34.5,34.75,15.8053140589,21420300
1999-11-09,35.0,35.25,34.69,35.0,15.9554076888,21135900
1999-11-10,35.0,35.4,34.06,35.0,15.9554076888,15382800
1999-11-11,35.94,35.94,35.0,35.38,16.1286378294,9028900
1999-11-12,35.69,35.75,34.94,35.13,16.0146706316,10357400
1999-11-15,35.13,35.38,34.56,35.0,15.9554076888,12646700
1999-11-16,35.38,35.84,33.88,33.88,15.4448346428,18769000
1999-11-17,34.25,34.75,33.56,33.81,15.4129238274,18863000
1999-11-18,34.63,34.69,33.31,33.69,15.3582195724,17206900
1999-11-19,33.56,34.19,33.44,33.75,15.3855716999,14101800
1999-11-22,34.13,35.13,33.75,35.0,15.9554076888,14198300
1999-11-23,35.38,35.81,34.25,35.69,16.2699571547,14981400
1999-11-24,36.25,36.44,35.88,36.38,16.5845066205,12508800
1999-11-26,36.69,36.75,36.0,36.0,16.4112764799,5049200
1999-11-29,36.88,37.63,36.5,37.44,17.0677275391,14345000
1999-11-30,36.94,37.06,36.13,36.25,16.5252436777,10705600
1999-12-01,36.13,36.31,35.56,35.9,16.3656896008,9106500
1999-12-02,36.0,36.19,35.81,36.01,16.4158351678,10907500
1999-12-03,36.31,36.5,35.75,35.75,16.2973092821,14162800
1999-12-06,35.69,35.88,34.44,35.06,15.9827598163,13634400
1999-12-07,34.56,34.81,33.38,33.81,15.4129238274,17475500
1999-12-08,33.88,34.38,33.63,34.0,15.4995388977,11810800
1999-12-09,34.0,34.13,33.56,33.75,15.3855716999,9636900
1999-12-10,33.63,34.25,33.38,33.88,15.4448346428,10260900
1999-12-13,33.5,33.81,33.0,33.13,15.1029330494,20098700
1999-12-14,33.0,33.5,32.56,33.38,15.2169002472,15333900
1999-12-15,33.13,34.44,33.06,34.25,15.6135060955,13274900
1999-12-16,34.38,34.38,33.5,34.0,15.4995388977,16047900
1999-12-17,34.19,34.25,33.25,33.25,15.1576373044,18638500
1999-12-20,33.31,33.38,32.56,32.91,15.0026419154,10083200
1999-12-21,32.56,32.88,32.38,32.63,14.8749986539,12031100
1999-12-22,32.63,34.0,32.5,33.75,15.3855716999,11841300
1999-12-23,34.0,34.38,33.75,34.13,15.5588018405,7767600
1999-12-27,34.0,34.5,33.75,34.5,15.7274732932,7835200
1999-12-28,34.0,34.13,33.06,33.63,15.330867445,6334100
1999-12-29,33.0,33.19,32.63,32.88,14.9889658516,7325800
1999-12-30,32.63,32.81,32.5,32.69,14.9023507813,7615000
1999-12-31,32.5,32.63,32.19,32.44,14.7883835836,5635500
2000-01-03,32.06,32.38,31.63,31.88,14.5330970605,12213800
2000-01-04,31.25,31.5,30.0,30.69,13.9906131991,13481000
2000-01-05,30.88,31.88,30.81,31.25,14.2458997221,12316500
2000-01-06,31.25,32.75,31.19,32.31,14.7291206407,10545800
2000-01-07,34.0,34.88,32.31,34.5,15.7274732932,17041900
2000-01-10,35.0,35.0,34.06,34.44,15.7001211658,9880200
2000-01-11,34.25,35.0,34.13,34.38,15.6727690383,9247700
2000-01-12,34.5,35.31,34.44,35.13,16.0146706316,10838000
2000-01-13,34.94,37.13,34.63,37.0,16.867145271,26286400
2000-01-14,37.44,37.63,37.0,37.0,16.867145271,16182000
2000-01-18,37.13,37.25,35.81,36.5,16.6392108755,10872500
2000-01-19,36.75,37.06,36.31,37.0,16.867145271,10053500
2000-01-20,36.75,36.88,35.81,36.39,16.5890653084,7980400
2000-01-21,36.56,36.56,35.0,35.06,15.9827598163,12355600
2000-01-24,35.0,35.25,33.38,34.38,15.6727690383,13030800
2000-01-25,34.5,35.44,34.31,34.88,15.9007034339,9396200
2000-01-26,34.81,35.0,34.38,34.88,15.9007034339,7332800
2000-01-27,34.56,35.44,34.5,34.5,15.7274732932,8594600
2000-01-28,34.5,35.69,33.88,35.19,16.0420227591,11228300
2000-01-31,34.0,36.5,34.0,36.19,16.4978915502,10089700
2000-02-01,35.56,37.19,35.5,37.0,16.867145271,11713200
2000-02-02,36.94,37.0,36.0,36.0,16.4112764799,7141500
2000-02-03,36.06,36.63,35.31,35.63,16.2426050272,8794000
2000-02-04,36.13,36.13,35.31,35.75,16.2973092821,6609100
2000-02-07,35.88,37.0,35.56,37.0,16.867145271,12713400
2000-02-08,37.06,37.94,36.88,37.81,17.2363989918,15360700
2000-02-09,37.63,37.69,36.13,36.13,16.4705394227,11207200
2000-02-10,36.5,36.5,35.0,35.0,15.9554076888,10577500
2000-02-11,35.56,35.56,34.0,35.0,15.9554076888,10172000
2000-02-14,33.56,35.31,33.56,35.0,15.9554076888,8393400
2000-02-15,35.06,35.88,34.75,35.56,16.2106942118,7832700
2000-02-16,35.0,35.06,33.75,33.75,15.4265998911,9873900
2000-02-17,34.13,34.38,33.63,34.0,15.5408710014,8495100
2000-02-18,34.0,34.0,32.88,34.0,15.5408710014,10314100
2000-02-22,33.44,33.81,33.13,33.5,15.3123287808,8735300
2000-02-23,33.81,34.0,32.94,34.0,15.5408710014,9090200
2000-02-24,32.88,33.31,32.56,33.06,15.1112116267,9286600
2000-02-25,33.0,33.25,32.0,32.38,14.8003942066,8255000
2000-02-28,32.13,32.44,31.94,32.19,14.7135481628,8108300
2000-02-29,32.88,32.88,31.63,32.13,14.6861230963,11809600
2000-03-01,32.13,32.44,31.5,31.88,14.571851986,10993200
2000-03-02,32.0,32.0,31.5,32.0,14.626702119,8352200
2000-03-03,33.5,33.5,31.5,32.63,14.9146653169,10046100
2000-03-06,32.06,32.56,31.5,31.69,14.4850059422,10581200
2000-03-07,31.38,31.5,30.0,30.0,13.7125332365,14535400
2000-03-08,31.0,33.13,30.19,32.44,14.8278192731,18806400
2000-03-09,32.63,34.38,32.25,34.38,15.7145630891,18199200
