Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,131.5,133.1,130.6,130.8,56.8510484401,4840900
1999-11-02,131.5,133.1,130.4,130.9,56.8945125444,6417400
1999-11-03,132.8,134.3,132.4,133.5,58.0245792565,9376300
1999-11-04,135.4,135.6,133.6,135.0,58.6765408212,10024300
1999-11-05,137.8,138.4,136.4,136.4,59.2850382815,7567300
1999-11-08,136.9,139.6,136.4,139.1,60.458569098,5445400
1999-11-09,140.3,140.5,137.0,138.2,60.0673921592,7314900
1999-11-10,138.3,141.2,137.6,140.0,60.8497460368,8280500
1999-11-11,141.5,142.7,140.3,142.5,61.9363486446,9250700
1999-11-12,143.3,144.5,138.8,144.4,62.7621666265,14323300
1999-11-15,144.5,145.0,143.4,144.1,62.6317743136,5454700
1999-11-16,144.6,148.4,144.0,147.8,64.2399461731,9563200
1999-11-17,147.8,148.4,145.0,145.8,63.3706640869,10841800
1999-11-18,146.8,150.2,145.9,150.2,65.2830846766,8869200
1999-11-19,149.6,151.8,149.0,151.6,65.891582137,8969700
1999-11-22,151.9,155.0,149.3,149.3,64.8919077378,9420900
1999-11-23,152.9,153.0,148.5,149.9,65.1526923637,12023800
1999-11-24,150.4,155.5,148.8,154.9,67.3258975793,9308900
1999-11-26,156.8,157.6,154.8,155.4,67.5432181008,4022600
1999-11-29,155.1,156.4,152.6,152.8,66.4131513887,10242600
1999-11-30,153.1,153.4,147.5,148.0,64.3268743817,11851200
1999-12-01,148.6,150.9,147.5,150.2,65.2830846766,11602900
1999-12-02,150.8,155.3,150.7,155.0,67.3693616836,8614600
1999-12-03,158.6,160.4,157.8,158.3,68.8036771259,10722300
1999-12-06,158.9,161.0,157.4,159.7,69.4121745862,8009200
1999-12-07,160.2,160.8,157.7,159.7,69.4121745862,11698500
1999-12-08,159.7,161.0,157.4,157.8,68.5863566043,9781500
1999-12-09,160.0,160.9,154.5,158.5,68.8906053345,14222700
1999-12-10,159.8,160.4,156.3,159.8,69.4556386906,10214200
1999-12-13,159.3,162.7,158.6,162.0,70.4118489854,8104600
1999-12-14,161.5,162.4,158.0,159.1,69.1513899604,13880100
1999-12-15,157.3,162.1,155.9,162.1,70.4553130897,15898600
1999-12-16,164.3,166.5,163.5,166.1,72.1938772622,13609800
1999-12-17,169.0,169.75,166.86,167.56,72.8284531852,11946200
1999-12-20,168.8,170.5,167.4,169.8,73.8020491218,7696000
1999-12-21,170.3,178.9,169.3,178.9,77.7572826141,13001900
1999-12-22,178.4,178.6,174.9,178.3,77.4964979883,11156800
1999-12-23,179.7,181.5,178.0,180.4,78.4092441788,8771800
1999-12-27,180.6,180.7,175.8,179.4,77.9746031357,9640900
1999-12-28,179.5,181.0,177.1,178.3,77.4964979883,7673200
1999-12-29,180.0,185.0,179.8,185.0,80.4085929772,8256300
1999-12-30,187.3,187.5,183.0,183.0,79.5393108909,10943500
1999-12-31,185.3,186.4,182.8,182.8,79.4523826823,7232200
2000-01-03,192.38,192.38,181.5,189.5,82.3644776712,18172600
2000-01-04,184.0,187.0,175.9,176.5,76.7141441107,16893300
2000-01-05,175.0,178.3,168.5,176.6,76.757608215,21248300
2000-01-06,173.8,176.0,159.5,160.2,69.6294951078,18567400
2000-01-07,165.9,180.0,165.0,180.0,78.2353877616,14069100
2000-01-10,182.0,187.9,179.9,185.0,80.4085929772,14837800
2000-01-11,183.5,185.8,175.3,176.8,76.8445364236,16273300
2000-01-12,178.0,178.5,172.0,172.1,74.8017235209,14525000
2000-01-13,177.0,183.0,174.2,182.5,79.3219903694,12582600
2000-01-14,186.0,187.3,184.0,186.8,81.1909468548,10949300
2000-01-18,184.1,188.9,182.9,187.8,81.6255878979,8376200
2000-01-19,187.0,192.0,184.9,192.0,83.451080279,9503000
2000-01-20,191.0,193.8,188.0,190.1,82.6252622971,12979000
2000-01-21,193.0,193.1,190.1,192.5,83.6684008006,9349100
2000-01-24,194.9,195.3,181.9,183.3,79.6697032039,14170200
2000-01-25,183.8,188.2,178.8,186.0,80.8432340203,16638100
2000-01-26,186.5,186.6,178.0,178.5,77.5834261969,11547800
2000-01-27,183.5,185.0,175.3,181.1,78.713492909,15369600
2000-01-28,180.0,180.9,169.5,172.0,74.7582594166,17656900
2000-01-31,171.8,180.0,167.0,179.4,77.9746031357,18007300
2000-02-01,179.1,185.0,176.9,184.2,80.0608801427,13208800
2000-02-02,184.5,189.4,184.2,185.8,80.7563058117,13084600
2000-02-03,188.6,193.3,184.6,193.0,83.8857213221,15289900
2000-02-04,194.0,196.5,192.4,194.3,84.4507546782,13320000
2000-02-07,194.5,197.3,192.5,197.0,85.6242854946,8880500
2000-02-08,198.8,205.8,198.8,205.3,89.2318061525,10999700
2000-02-09,204.1,204.4,197.5,198.0,86.0589265377,13629100
2000-02-10,199.6,204.5,197.1,204.5,88.884093318,13170800
2000-02-11,204.1,204.1,196.0,199.8,86.8412804153,12438000
2000-02-14,200.0,200.0,195.5,199.5,86.7108881024,11407300
2000-02-15,197.9,201.3,191.8,200.9,87.3193855628,15286400
2000-02-16,199.8,203.4,198.6,200.0,86.928208624,12655300
2000-02-17,202.4,206.5,199.3,204.3,88.7971651094,15040100
2000-02-18,205.3,206.0,196.9,196.9,85.5808213903,12635600
2000-02-22,198.0,199.9,192.5,197.5,85.8416060162,18613100
2000-02-23,199.4,210.0,198.3,208.5,90.6226574905,16085400
2000-02-24,209.8,213.6,204.0,213.0,92.5785421845,24434100
2000-02-25,212.4,215.0,207.8,208.1,90.4488010732,16308800
2000-02-28,206.5,211.4,201.0,208.0,90.4053369689,19108100
