Date,Open,High,Low,Close,Adj Close,Volume
2015-10-21,60.0,60.97,55.0,55.0,52.4148344955,22497204
2015-10-22,57.07,58.2,55.7,56.75,54.0825792294,4544483
2015-10-23,57.77,58.0,56.27,56.38,53.7299703428,1967749
2015-10-26,57.0,57.0,54.535,55.02,52.4338944353,1466277
2015-10-27,54.8,54.99,49.36,53.85,51.318887956,5949011
2015-10-28,54.02,54.16,50.1,51.87,49.4319539142,2411335
2015-10-29,51.87,52.47,50.757,51.02,48.621906472,1362776
2015-10-30,51.56,51.8,49.66,50.43,48.0596382474,1355141
2015-11-02,50.86,53.17,49.89,53.08,50.5850802731,890164
2015-11-03,53.09,55.0,52.12,52.38,49.9179823795,1022909
2015-11-04,52.96,54.04,52.75,53.44,50.9281591898,753333
2015-11-05,53.45,53.85,51.61,51.74,49.3080643054,820228
2015-11-06,52.2,52.43,51.8,52.43,49.9656322291,513473
2015-11-09,52.82,53.65,52.0,53.2,50.699439912,442763
2015-11-10,53.7,54.0,53.09,54.0,51.4618375047,376897
2015-11-11,54.0,54.5,53.03,54.34,51.7858564815,472541
2015-11-12,54.33,54.4,53.26,54.12,51.5761971435,379346
2015-11-13,53.95,53.95,50.52,51.4,48.9840453285,1337040
2015-11-16,51.95,51.95,48.83,49.51,47.1828810158,1297619
2015-11-17,50.28,50.7699,48.81,48.98,46.6777926107,897287
2015-11-18,49.39,49.4736,47.21,47.28,45.0576977263,1102515
2015-11-19,47.46,47.86,45.83,47.6,45.3626567634,2164214
2015-11-20,47.87,48.49,47.6201,48.08,45.820095319,542692
2015-11-23,48.1,48.2899,45.98,46.0,43.837861578,1389115
2015-11-24,46.0,46.46,44.65,46.28,44.1047007355,1036697
2015-11-25,46.5,46.83,45.5,45.66,43.5138426012,868893
2015-11-27,45.59,46.42,45.4,46.06,43.8950413975,285304
2015-11-30,46.3,46.87,45.88,46.35,44.1714105248,566401
2015-12-01,46.5,48.26,46.44,47.64,45.400776643,667107
2015-12-02,47.88,48.128,46.85,47.21,44.9909879369,614830
2015-12-03,47.44,47.86,46.25,47.06,44.8480383883,528504
2015-12-04,47.34,48.85,47.09,48.55,46.2680039046,583181
2015-12-07,48.65,50.39,47.51,47.99,45.7343255898,861394
2015-12-08,48.49,49.0,47.0,47.62,45.3817167032,842515
2015-12-09,47.44,49.44,47.14,47.75,45.505606312,507606
2015-12-10,48.07,49.36,47.88,48.98,46.6777926107,526825
2015-12-11,48.01,49.22,47.5935,48.79,46.4967231824,480320
2015-12-14,48.05,48.7,46.0,46.93,44.7241487795,698837
2015-12-15,46.93,49.09,46.9,47.55,45.3150069138,760842
2015-12-16,48.32,48.97,47.2901,48.5,46.2203540551,534452
2015-12-17,48.65,48.99,47.02,47.48,45.2482971245,547134
2015-12-18,46.96,47.48,46.0,46.36,44.1809404947,461167
2015-12-21,46.25,47.8,46.09,47.41,45.1815873351,623108
2015-12-22,47.48,48.73,46.56,46.62,44.4287197123,448854
2015-12-23,47.04,47.99,46.8101,47.05,44.8385084184,232171
2015-12-24,46.62,47.51,46.61,46.75,44.5526093212,150583
2015-12-28,47.29,47.5,46.275,46.43,44.2476502841,269347
2015-12-29,46.84,48.14,46.705,47.93,45.6771457703,505537
2015-12-30,47.93,48.55,47.5,48.41,46.1345843259,296968
2015-12-31,48.26,48.885,47.43,48.0,45.7438555597,390523
2016-01-04,47.29,47.81,46.41,47.39,45.1625273953,2507000
2016-01-05,48.6,48.73,47.45,48.49,46.2108240852,1934423
2016-01-06,47.75,47.86,46.58,47.07,44.8575683582,2555013
2016-01-07,46.42,47.08,46.16,46.65,44.4573096221,1775301
2016-01-08,46.6,46.63,43.11,43.11,41.0837002745,5116849
2016-01-11,43.2,43.86,42.1,43.38,41.3410094621,2307651
2016-01-12,43.95,44.09,42.86,43.66,41.6078486195,1933833
2016-01-13,43.43,43.58,42.2,42.67,40.6643815986,1441197
2016-01-14,42.47,42.56,40.57,41.99,40.0163436448,3631266
2016-01-15,40.47,40.74,39.66,40.02,38.1389395729,1878269
2016-01-19,40.69,42.3,40.56,41.67,39.7113846078,1396808
2016-01-20,40.98,40.98,38.36,39.9,38.024579934,2620799
2016-01-21,40.28,40.87,39.61,40.54,38.6344980081,1573221
2016-01-22,41.21,41.995,41.03,41.85,39.8829240661,1244007
2016-01-25,41.47,41.61,39.7299,40.24,38.3485989109,1388283
2016-01-26,40.28,42.31,40.23,41.45,39.5017252698,967450
2016-01-27,41.31,41.81,40.495,40.61,38.7012077975,1125069
2016-01-28,40.82,40.9,39.16,39.96,38.0817597534,1155097
2016-01-29,39.48,40.06,38.95,39.77,37.9006903252,1480501
2016-02-01,38.92,40.05,38.85,39.93,38.0531698437,1185462
2016-02-02,39.84,40.0,34.031,34.98,33.3358347391,7485135
2016-02-03,37.24,37.57,35.35,37.09,35.3466583898,4631556
2016-02-04,36.25,39.47,36.0,38.88,37.0525230033,1902698
2016-02-05,38.73,38.74,37.185,37.7,35.9279865542,861393
2016-02-08,37.04,37.14,34.86,35.95,34.2602418202,1537796
2016-02-09,34.44,35.39,33.596,33.96,32.3637778085,1653293
2016-02-10,35.03,35.08,33.08,33.27,31.7062098848,1481838
2016-02-11,32.29,32.48,31.66,32.0,30.4959037065,1447647
2016-02-12,32.34,34.33,32.17,34.15,32.5448472367,1950320
2016-02-16,34.62,35.8,34.1107,35.65,33.974342723,1263451
2016-02-17,36.37,39.3299,36.36,39.1,37.2621823413,1762469
2016-02-18,38.76,38.9,38.04,38.76,36.9381633644,1327771
2016-02-19,37.9,38.77,37.68,38.51,36.6999141167,507425
2016-02-22,39.42,40.15,39.25,39.94,38.0626998136,1045540
2016-02-23,39.25,39.4489,38.68,38.94,37.1097028228,578073
2016-02-24,37.27,38.65,37.17,38.57,36.7570939362,583141
2016-02-25,38.21,38.79,37.92,38.7,36.880983545,376312
