Date,Open,High,Low,Close,Adj Close,Volume
2007-04-30,39.23,40.62,38.82,38.85,26.4577827343,135700
2007-05-01,38.95,40.76,38.86,39.21,26.7029513774,121000
2007-05-02,38.89,39.8,38.85,39.1,26.6280387364,109900
2007-05-03,39.42,39.84,39.13,39.38,26.8187254588,165800
2007-05-04,39.49,39.7,39.3,39.3,26.7642435381,250700
2007-05-07,39.52,39.63,39.45,39.56,26.9413097804,131100
2007-05-08,38.89,39.1,38.76,39.1,26.6280387364,118700
2007-05-09,38.77,39.1,38.71,39.04,26.5871772959,93100
2007-05-10,38.73,38.87,38.24,38.2455,26.0461037211,137500
2007-05-11,38.31,38.4,37.66,38.4,26.1513219304,148400
2007-05-14,39.0,39.0,38.01,38.23,26.0355478489,153600
2007-05-15,37.79,38.22,37.7,37.87,25.7903792058,129600
2007-05-16,38.3,38.53,38.17,38.52,26.2330448114,154600
2007-05-17,38.42,38.42,37.94,38.15,25.9810659283,148800
2007-05-18,38.36,38.49,38.26,38.34,26.1104604899,115700
2007-05-21,38.47,38.51,38.25,38.45,26.1853731308,115000
2007-05-22,38.35,38.39,38.2,38.24,26.042358089,66700
2007-05-23,37.4485,38.2,37.2,37.3,25.4021955209,122800
2007-05-24,37.01,37.11,36.38,36.55,24.8914275145,274200
2007-05-25,37.39,37.73,37.35,37.71,25.6814153645,159700
2007-05-29,36.5,37.56,36.5,36.77,25.0412527964,152900
2007-05-30,36.47,37.17,36.2,37.12,25.2796111994,130800
2007-05-31,37.45,38.0,37.34,37.61,25.6133129636,209100
2007-06-01,38.04,38.82,38.04,38.8,26.4237315338,346900
2007-06-04,38.63,38.95,38.5,38.93,26.512264655,112500
2007-06-05,38.9,38.98,38.6,38.82,26.437352014,199300
2007-06-06,38.5,38.58,38.14,38.3,26.0832195295,133300
2007-06-07,38.17,38.26,37.51,37.7,25.6746051244,169500
2007-06-08,37.89,38.18,37.7,38.1,25.9470147278,81300
2007-06-11,38.08,38.9,38.0,38.43,26.1717526507,237600
2007-06-12,38.13,38.47,37.78,37.85,25.7767587257,84300
2007-06-13,38.06,39.08,38.06,39.08,26.6144182563,188300
2007-06-14,39.42,39.88,39.42,39.76,27.0775145821,186400
2007-06-15,40.05,40.4,40.03,40.39,27.5065597075,257500
2007-06-18,40.5,40.56,40.33,40.4,27.5133699476,93600
2007-06-19,40.2,40.34,40.0,40.27,27.4248368265,75600
2007-06-20,40.47,40.56,39.76,40.2,27.3771651459,108100
2007-06-21,40.1,40.49,39.84,40.45,27.547421148,118600
2007-06-22,40.2,40.23,39.59,39.75,27.070704342,82900
2007-06-25,39.9,40.08,39.37,39.48,26.8868278597,96000
2007-06-26,39.77,40.28,39.77,39.95,27.2069091437,77200
2007-06-27,39.8,40.27,39.61,40.2,27.3771651459,70300
2007-06-28,40.1,40.28,39.94,39.98,27.227339864,111700
2007-06-29,39.99,40.17,39.62,39.96,27.2137193838,93100
2007-07-02,39.82,40.8,39.82,40.8,27.7857795511,93400
2007-07-03,41.4,41.4899,41.22,41.3,28.1262915554,62600
2007-07-05,41.42,42.22,41.15,42.15,28.7051619627,113900
2007-07-06,42.33,42.61,42.18,42.55,28.9775715661,122100
2007-07-09,43.0,43.09,42.88,42.97,29.2636016497,141200
2007-07-10,43.2,44.0,41.92,42.0162,28.6140409503,134600
2007-07-11,42.46,42.98,42.45,42.96,29.2567914096,139000
2007-07-12,44.05,44.58,43.87,44.5565,30.3440462394,285800
