Date,Open,High,Low,Close,Adj Close,Volume
2008-05-22,70.18,71.71,70.11,70.89,273.73162922,160400
2008-05-23,70.3,70.39,69.57,70.1,270.681156839,125600
2008-05-27,71.0,71.3,70.6,71.1301,274.658741142,110400
2008-05-28,72.35,72.78,71.94,72.7,280.720686194,160000
2008-05-29,73.34,74.58,73.0001,73.59,284.157294319,326400
2008-05-30,72.82,72.99,72.2301,72.72,280.797913343,170000
2008-06-02,72.5,75.0,71.39,71.91,277.670213813,125600
2008-06-03,72.42,73.22,70.3,70.91,273.808856369,137600
2008-06-04,70.45,72.5,70.14,72.15,278.5969396,105600
2008-06-05,72.56,73.2858,72.39,73.0628,282.121586675,106000
2008-06-06,71.79,71.92,70.66,71.1,274.542514283,148800
2008-06-09,71.8,72.07,70.3,71.25,275.1217179,128800
2008-06-10,71.68,72.96,71.3,72.4,279.562278961,124400
2008-06-11,72.35,73.0,71.336,72.43,279.678119684,173200
2008-06-12,73.48,74.4,72.62,73.9832,285.675580066,330400
2008-06-13,74.3,74.6,73.3455,74.51,287.709743168,154400
2008-06-16,74.25,74.78,74.0,74.34,287.053312402,144800
2008-06-17,74.13,74.73,73.7004,73.99,285.701837297,63600
2008-06-18,73.95,73.95,72.5,72.68,280.643459045,132000
2008-06-19,73.27,74.0698,72.98,73.78,284.890952234,142400
2008-06-20,72.45,72.92,72.19,72.72,280.797913343,132000
2008-06-23,72.41,72.65,71.82,72.45,279.755346833,89200
2008-06-24,71.85,72.115,71.2,71.3,275.314785772,300400
2008-06-25,71.51,72.7,71.35,71.46,275.932602963,157600
2008-06-26,71.2,71.32,70.15,70.54,272.380154114,199600
2008-06-27,69.8,70.17,68.55,68.73,265.39109714,408000
2008-06-30,68.97,69.0502,68.24,68.57,264.773279949,223200
2008-07-01,67.78,69.36,67.64,69.16,267.051480841,192800
2008-07-02,68.92,68.96,68.11,68.49,264.464371354,105600
2008-07-03,69.5,69.51,68.44,68.78,265.584165013,86800
2008-07-07,68.9,69.39,67.18,68.2,263.344577695,188800
2008-07-08,68.125,68.125,67.17,67.28,259.792128846,202800
2008-07-09,67.49,67.49,66.5,66.5,256.78027004,188800
2008-07-10,66.73,67.38,66.26,66.63,257.282246508,319200
2008-07-11,66.62,69.03,66.35,68.6,264.889120673,376000
2008-07-14,68.27,68.83,66.95,67.25,259.676288123,342800
2008-07-15,67.1954,67.76,66.65,67.36,260.101037442,242400
2008-07-16,68.8,69.95,68.46,69.8,269.522749606,242400
2008-07-17,69.87,71.0,69.5,70.7,272.997971306,342400
2008-07-18,70.9,71.24,70.01,71.23,275.044490751,162000
2008-07-21,71.04,71.62,70.52,70.52,272.302926966,182000
2008-07-22,70.9,71.75,70.76,71.41,275.739535091,269600
2008-07-23,71.34,72.29,71.34,71.72,276.936555899,258800
2008-07-24,71.183,71.183,69.73,70.16,270.912838286,253200
2008-07-25,71.0,71.8,70.5,71.53,276.202897984,150800
2008-07-28,70.48,70.6798,69.5,70.16,270.912838286,166400
2008-07-29,70.84,71.28,70.25,70.78,273.306879901,80400
2008-07-30,71.53,71.8,69.83,70.49,272.187086242,97600
2008-07-31,69.22,69.75,68.99,69.057,266.653761025,140000
2008-08-01,69.6,69.6598,68.9,68.91,266.08614148,138400
2008-08-04,69.51,69.6298,68.7,69.25,267.399003011,73600
2008-08-05,69.05,70.47,68.68,70.47,272.109859093,134000
2008-08-06,70.67,71.4918,70.57,70.896,273.754797365,135200
2008-08-07,70.3,70.59,68.25,68.53,264.618825652,264800
2008-08-08,68.18,68.82,68.01,68.14,263.112896248,168800
2008-08-11,68.61,70.21,68.6,69.49,268.325728798,220800
2008-08-12,68.4,68.51,67.99,68.15,263.151509823,126000
2008-08-13,67.83,68.85,67.52,68.62,264.966347822,206000
2008-08-14,67.74,68.03,67.17,67.617,261.093406305,268400
2008-08-15,67.12,68.0,66.55,66.65,257.359473657,241600
2008-08-18,66.68,66.68,65.81,66.0,254.849591318,140800
2008-08-19,65.8,66.74,65.8,66.611,257.208880716,108000
2008-08-20,66.15,66.49,65.63,66.49,256.741656465,164000
