Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,64.94,65.62,63.06,63.56,21.3539895926,2142400
1999-11-02,63.81,64.56,63.62,63.69,21.3976651534,1432600
1999-11-03,64.0,64.56,62.38,63.25,21.2498401783,1707700
1999-11-04,63.25,64.19,62.31,63.94,21.4816566166,2001400
1999-11-05,65.0,65.69,64.75,65.38,21.9654474444,1272300
1999-11-08,65.25,65.25,62.5,62.88,21.1255328128,1563600
1999-11-09,61.38,62.25,60.81,61.94,20.8097249113,1727500
1999-11-10,61.88,62.25,60.88,61.0,20.4939170099,2201900
1999-11-11,61.0,61.38,60.5,61.31,20.5980664242,1047900
1999-11-12,61.44,61.88,60.62,61.38,20.6215840339,1376700
1999-11-15,61.38,62.44,60.0,62.0,20.8298828625,2469600
1999-11-16,62.0,62.38,59.38,60.75,20.4099255467,3381100
1999-11-17,60.5,63.06,60.5,62.31,20.9676288621,2476800
1999-11-18,62.88,64.0,62.56,63.62,21.4084504607,2647200
1999-11-19,63.62,65.0,63.62,64.56,21.7247651956,1804800
1999-11-22,64.38,64.88,63.75,64.44,21.6843845911,3155400
1999-11-23,66.12,67.06,66.06,66.69,22.4415209246,3221800
1999-11-24,66.5,67.0,65.12,66.56,22.3977752698,1841100
1999-11-26,66.31,67.0,66.25,66.75,22.4617112268,292800
1999-11-29,66.94,71.5,66.69,71.0,23.8918576345,3898600
1999-11-30,70.5,70.75,69.12,70.56,23.7437954182,2574300
1999-12-01,70.38,70.38,68.5,69.31,23.3231641218,3685100
1999-12-02,68.0,68.88,66.38,68.31,22.9866590847,1484900
1999-12-03,69.38,70.0,67.94,67.94,22.862152221,1644700
1999-12-06,68.12,68.5,66.94,67.0,22.5458374861,1252300
1999-12-07,67.62,67.75,66.38,66.62,22.417965572,1311700
1999-12-08,66.38,67.75,66.38,66.88,22.5054568816,1297500
1999-12-09,67.0,67.69,66.0,66.0,22.209332449,2505700
1999-12-10,66.62,69.12,65.88,67.75,22.7982162639,1846300
1999-12-13,68.0,69.25,67.88,68.5,23.0505950418,2753000
1999-12-14,69.38,71.75,69.0,71.25,23.9759838938,2875200
1999-12-15,71.5,75.75,70.75,74.06,24.9215630481,3675400
1999-12-16,74.12,74.62,72.0,74.62,25.1100058688,2054300
1999-12-17,74.88,74.88,73.12,73.62,24.7735008317,2144500
