Date,Open,High,Low,Close,Adj Close,Volume
2002-07-26,82.67,82.8,82.42,82.51,42.9303302541,316300
2002-07-29,82.06,82.16,81.32,81.42,42.3631982704,8400
2002-07-30,81.75,81.9,81.52,81.52,42.4152287276,6100
2002-07-31,81.95,82.8,81.9,82.53,42.9407363456,29400
2002-08-01,82.54,83.02,82.54,83.0,43.1852794945,25000
2002-08-02,83.16,84.1,82.88,83.85,43.6275383809,52800
2002-08-05,84.04,84.44,83.85,84.22,43.8200510726,61100
2002-08-06,83.8,83.9,83.22,83.5,43.4454317806,64900
2002-08-07,83.6,84.14,83.36,83.7,43.5494926951,40300
2002-08-08,83.58,83.77,83.36,83.7,43.5494926951,40900
2002-08-09,84.0,84.88,84.0,84.88,44.1634520903,35900
2002-08-12,85.3,86.7,85.14,85.4,44.4340104678,32100
2002-08-13,85.78,86.47,85.37,86.45,44.9803302687,75400
2002-08-14,87.46,87.9,86.75,86.78,45.1520307775,130000
2002-08-15,86.38,86.5,85.85,86.02,44.7565993026,87100
2002-08-16,86.44,86.52,84.82,85.06,44.2571069133,85000
2002-08-19,85.05,85.34,84.71,85.32,44.3923861021,47300
2002-08-20,85.62,86.29,85.6,86.27,44.8866754457,40800
2002-08-21,85.68,86.1,85.63,85.81,44.6473353424,40000
2002-08-22,85.55,85.55,85.06,85.06,44.2571069133,34400
2002-08-23,85.2,85.95,85.2,85.9,44.6941627539,20100
2002-08-26,85.7,86.21,85.67,85.98,44.7357871197,23900
2002-08-27,85.4,85.68,85.2,85.44,44.4548226507,301800
2002-08-28,86.04,86.18,85.84,85.87,44.6785536168,18100
2002-08-29,86.76,86.86,86.35,86.56,45.0375637716,135700
2002-08-30,86.75,87.13,86.45,87.08,45.3081221492,78100
2002-09-03,87.08,88.04,87.0,88.04,46.0014800221,102100
2002-09-04,88.03,88.3,87.84,88.02,45.9910298903,66300
2002-09-05,88.57,88.65,87.38,88.5,46.2418330527,648400
2002-09-06,87.97,88.19,87.2,87.46,45.698426201,140000
2002-09-09,87.5,87.83,87.26,87.33,45.6305003445,83800
2002-09-10,87.17,88.0,87.0,87.75,45.8499531115,336000
2002-09-11,87.0,87.3,86.75,87.29,45.609600081,177700
2002-09-12,87.48,88.14,87.47,87.97,45.9649045609,43400
2002-09-13,88.33,88.94,88.18,88.78,46.3881348974,155100
2002-09-16,89.2,89.22,88.9,88.93,46.4665108856,73000
2002-09-17,88.64,89.32,88.36,89.1,46.5553370056,75400
2002-09-18,89.46,89.56,89.02,89.12,46.5657871373,196600
2002-09-19,89.7,89.77,89.26,89.72,46.8792910902,109900
2002-09-20,89.45,89.52,89.06,89.3,46.6598383232,113500
2002-09-23,90.0,90.24,89.77,90.1,47.0778435937,163200
2002-09-24,90.3,90.94,90.21,90.68,47.3808974149,251900
2002-09-25,90.1,90.36,89.26,89.58,46.8061401679,127200
2002-09-26,89.05,89.53,88.61,89.37,46.6964137844,429000
2002-09-27,89.53,90.04,89.48,90.04,47.0464931984,298200
2002-09-30,90.66,90.9,90.08,90.4,47.2345955702,297800
2002-10-01,89.16,89.3,88.8,88.94,46.6507989592,257500
2002-10-02,89.24,89.48,88.84,89.45,46.9183041028,91000
2002-10-03,89.3,89.51,88.8,89.23,46.8029097271,29900
2002-10-04,88.4,89.72,88.4,89.51,46.9497752962,131000
2002-10-07,89.9,89.96,89.46,89.66,47.0284532796,433800
2002-10-08,89.5,90.52,89.32,89.69,47.0441888762,530900
2002-10-09,90.3,90.38,89.95,90.15,47.2854680253,402900
2002-10-10,90.17,90.17,89.28,89.44,46.9130589039,97100
2002-10-11,89.1,89.22,88.06,88.38,46.3570678212,421800
2002-10-14,88.5,88.55,88.07,88.25,46.2888802356,18300
2002-10-15,87.0,87.3,86.15,86.16,45.1926336668,297100
2002-10-16,86.6,86.6,85.89,86.2,45.2136144624,125200
2002-10-17,85.14,85.56,85.07,85.15,44.6628685786,233400
2002-10-18,85.02,85.39,84.28,85.37,44.7782629542,459100
2002-10-21,85.5,85.6,84.5,84.54,44.3429114461,134900
2002-10-22,84.85,84.85,84.22,84.3,44.2170266726,205000
2002-10-23,84.75,85.2,84.18,84.33,44.2327622693,127800
2002-10-24,84.16,85.25,84.08,85.07,44.6209069874,339600
2002-10-25,85.35,85.56,85.15,85.38,44.7835081531,146100
2002-10-28,85.56,85.64,85.2,85.26,44.7205657664,97800
2002-10-29,85.82,86.89,85.77,86.37,45.3027828436,125000
2002-10-30,86.37,86.68,86.07,86.34,45.2870472469,31900
2002-10-31,86.05,86.86,86.02,86.73,45.4916100037,512700
2002-11-01,86.3,86.93,85.25,85.98,45.3021534197,125100
2002-11-04,85.48,85.75,85.25,85.6,45.1019345514,342500
2002-11-05,85.6,85.6,85.09,85.27,44.928060271,73800
2002-11-06,85.05,86.13,84.91,85.61,45.107203469,118500
2002-11-07,87.05,87.73,86.85,87.73,46.2242139976,147900
2002-11-08,88.4,88.65,87.95,88.44,46.5983071463,294700
2002-11-11,88.55,88.92,88.4,88.92,46.8512151905,70000
2002-11-12,89.15,89.15,88.37,88.41,46.5825003935,494300
2002-11-13,88.45,88.69,87.96,88.6,46.6826098277,104700
2002-11-14,87.65,87.65,86.76,86.76,45.7131289916,118000
2002-11-15,86.54,87.23,86.26,87.11,45.8975411071,110700
2002-11-18,87.02,87.63,86.96,87.5,46.1030288931,32200
2002-11-19,87.95,88.23,87.51,87.82,46.2716342559,51800
2002-11-20,88.2,88.22,86.81,86.96,45.8185073433,307400
2002-11-21,86.5,86.5,85.86,86.12,45.3759182659,323200
2002-11-22,86.33,86.39,85.88,86.04,45.3337669252,184800
2002-11-25,86.0,86.38,85.8,85.88,45.2494642438,288200
2002-11-26,86.2,87.02,86.15,86.96,45.8185073433,377800
2002-11-27,86.25,86.33,84.96,85.0,44.7857994961,325600
2002-11-29,85.16,85.63,85.14,85.55,45.0755899634,31700
2002-12-02,84.36,85.4,84.15,85.24,45.1174778583,284900
2002-12-03,85.7,85.7,85.12,85.36,45.180993782,113800
2002-12-04,85.9,86.0,85.55,85.8,45.4138855026,129000
2002-12-05,85.28,86.28,85.26,86.02,45.5303313628,206400
2002-12-06,87.0,87.09,85.76,86.17,45.6097262676,440500
2002-12-09,86.2,86.85,86.17,86.65,45.8637899627,400300
2002-12-10,86.61,86.93,86.5,86.88,45.9855288166,151600
