Date,Open,High,Low,Close,Adj Close,Volume
2008-03-19,59.5,69.0,55.0,56.5,12.8683198983,177121500
2008-03-20,58.47,65.0,57.5,64.35,14.6562192116,49746300
2008-03-24,67.24,67.7,59.0,59.73,13.6039778323,37391600
2008-03-25,60.63,64.25,59.82,63.25,14.4056855499,21773000
2008-03-26,62.5,64.48,61.57,63.96,14.5673936406,10777900
2008-03-27,64.05,64.74,62.65,62.91,14.3282478726,9957400
2008-03-28,63.1,63.44,62.16,62.76,14.2940841915,6168800
2008-03-31,62.7,63.48,62.05,62.36,14.2029810417,5539300
2008-04-01,63.0,63.68,60.31,61.61,14.032162636,15102700
2008-04-02,61.79,62.32,60.5,62.32,14.1938707268,10959100
2008-04-03,61.93,66.29,61.82,65.5,14.918140767,25217000
2008-04-04,64.87,65.32,63.75,64.48,14.6858277353,9098600
2008-04-07,65.02,65.8,64.02,65.04,14.8133721449,7075400
2008-04-08,65.2,68.24,64.81,68.09,15.5080336615,13481400
2008-04-09,68.35,68.72,65.61,65.79,14.9841905506,12081100
2008-04-10,66.67,66.73,65.11,66.11,15.0570730704,5593000
2008-04-11,65.25,66.77,65.25,66.11,15.0570730704,6605400
2008-04-14,66.98,67.24,65.53,65.68,14.9591371844,7110900
2008-04-15,66.54,66.55,64.0,64.35,14.6562192116,5972000
2008-04-16,65.0,66.95,64.56,66.14,15.0639058066,6284200
2008-04-17,66.47,67.75,66.01,67.04,15.2688878935,5614900
2008-04-18,68.1,70.447,67.2,69.0,15.7152933271,26024900
2008-04-21,69.7,72.5,68.85,70.97,16.1639763395,14712000
2008-04-22,72.1,72.4,70.0,70.28,16.0068234062,11839400
2008-04-23,71.15,71.7,69.69,70.08,15.9612718314,9329900
2008-04-24,71.2,72.99,70.04,72.3,16.4668943123,9521700
2008-04-25,76.0,76.08,73.91,75.1,17.1046163604,25365000
2008-04-28,76.22,77.29,74.9,75.63,17.2253280338,33129300
2008-04-29,73.28,80.88,71.0,80.88,18.4210568739,49327100
2008-04-30,81.21,84.81,81.07,83.45,19.0063946108,36885900
2008-05-01,84.68,87.64,83.9,85.4,19.4505224657,29098900
2008-05-02,87.25,87.5,81.0,82.75,18.8469640988,34162200
2008-05-05,82.85,85.5,80.82,85.06,19.3730847885,17594300
2008-05-06,85.39,88.15,84.75,87.53,19.935646738,18978300
2008-05-07,88.99,89.84,87.66,88.5,20.1565718761,25116200
2008-05-08,89.5,89.75,85.94,87.3,19.8832624269,23209100
2008-05-09,85.77,86.6699,82.52,82.86,18.872017465,23578000
2008-05-12,83.73,84.48,78.1,81.9,18.6533699057,36867900
2008-05-13,81.75,83.5,80.79,82.38,18.7626936853,13312400
2008-05-14,83.34,84.35,81.45,82.23,18.7285300042,12850100
2008-05-15,82.45,82.93,81.11,82.25,18.7330851617,9172200
