Date,Open,High,Low,Close,Adj Close,Volume
2004-01-30,48.87,49.1,48.8,49.0,38.2629337506,11100
2004-02-02,49.25,49.6,49.1,49.2,38.4191089904,3400
2004-02-03,49.15,49.25,49.07,49.07,38.3175950845,1200
2004-02-04,48.83,48.83,48.05,48.05,37.5211013615,1600
2004-02-05,48.39,48.49,48.1,48.2,37.6382327914,4000
2004-02-06,48.48,49.35,48.48,49.35,38.5362404202,2000
2004-02-09,49.7,49.87,49.69,49.69,38.8017383279,2900
2004-02-10,49.65,49.97,49.6,49.97,39.0203836636,43100
2004-02-11,50.08,50.55,50.04,50.55,39.473291859,35600
2004-02-12,50.48,50.65,50.3,50.3,39.2780728093,4700
2004-02-13,50.5,50.5,49.8,49.8,38.8876347098,1800
2004-02-17,50.15,50.35,50.15,50.35,39.3171166192,600
2004-02-18,50.54,50.54,50.25,50.3,39.2780728093,2900
2004-02-19,50.65,50.65,50.2,50.2,39.1999851894,6200
2004-02-20,49.55,49.65,49.05,49.44,38.6065192781,4200
2004-02-23,49.45,49.45,48.58,48.58,37.934965747,1600
2004-02-24,48.54,48.89,48.25,48.68,38.0130533669,1800
2004-02-25,48.7,48.95,48.7,48.95,38.2238899406,3000
2004-02-26,49.1,49.63,49.1,49.5,38.6533718501,4100
2004-02-27,49.75,50.0,49.69,50.0,39.0438099496,1100
2004-03-01,49.95,50.49,49.95,50.49,39.4264392871,2900
2004-03-02,50.77,50.77,50.5,50.6,39.512335669,2700
2004-03-03,50.32,50.55,50.0,50.55,39.473291859,5500
2004-03-04,50.49,50.84,50.49,50.8,39.6685109088,2100
2004-03-05,50.69,51.24,50.69,51.24,40.0120964363,4600
2004-03-08,51.4,51.4,50.49,50.59,39.504526907,5000
2004-03-09,50.52,50.52,49.98,49.98,39.0281924256,2500
2004-03-10,50.18,50.25,49.0,49.0,38.2629337506,2500
2004-03-11,49.1,49.47,48.75,48.75,38.0677147008,1400
2004-03-12,48.94,49.37,48.94,49.34,38.5284316582,6700
2004-03-15,49.35,49.48,48.47,48.47,37.8490693651,9200
2004-03-16,49.0,49.0,48.3,48.55,37.911539461,5300
2004-03-17,48.94,49.45,48.94,49.45,38.6143280401,2200
2004-03-18,49.25,49.25,48.83,48.95,38.2238899406,11300
2004-03-19,49.1,49.13,48.93,48.93,38.2082724166,2600
2004-03-22,48.55,48.55,47.86,47.9,37.4039699317,12200
2004-03-23,48.29,48.36,47.8,48.12,37.5757626955,2400
2004-03-24,48.15,48.15,47.75,48.04,37.5132925995,2200
2004-03-25,48.19,48.67,48.19,48.64,37.9818183189,2300
2004-03-26,48.85,49.12,48.85,48.97,38.2395074646,7900
2004-03-29,49.35,49.73,49.35,49.51,38.6611806121,2300
2004-03-30,49.88,50.26,49.88,50.21,39.2077939513,5200
2004-03-31,50.25,50.5,50.18,50.4,39.3561604292,11300
2004-04-01,50.65,50.72,50.65,50.7,39.5904232889,1700
2004-04-02,51.8,51.8,51.28,51.42,40.1526541521,10900
2004-04-05,51.52,51.53,51.28,51.34,40.0901840562,5900
2004-04-06,51.28,51.32,51.19,51.2,39.9808613883,2500
2004-04-07,50.94,50.94,50.94,50.94,39.7778335766,700
2004-04-08,51.67,51.67,51.01,51.08,39.8871562445,7200
2004-04-12,51.26,51.3,51.0,51.06,39.8715387205,5000
2004-04-13,51.2,51.2,49.92,49.92,38.9813398536,6600
2004-04-14,49.7,50.13,49.42,49.43,38.5987105161,1300
2004-04-15,49.62,49.62,49.42,49.5,38.6533718501,7800
2004-04-16,49.63,49.96,49.43,49.91,38.9735310916,6200
2004-04-19,49.9,50.17,49.41,50.17,39.1765589034,6100
2004-04-20,50.26,50.49,49.68,49.68,38.7939295659,54500
2004-04-21,49.2,49.64,49.19,49.54,38.684606898,5700
2004-04-22,49.87,50.59,49.85,50.59,39.504526907,1200
2004-04-23,50.39,50.39,50.39,50.39,39.3483516672,200
2004-04-26,50.57,50.65,50.35,50.39,39.3483516672,4800
2004-04-27,50.5,50.69,50.4,50.43,39.3795867151,6300
2004-04-28,49.88,49.91,49.31,49.35,38.5362404202,86000
2004-04-29,49.35,49.35,48.28,48.64,37.9818183189,5800
2004-04-30,48.8,48.8,47.92,48.03,37.5054838375,2900
2004-05-03,48.0,48.36,48.0,48.31,37.7241291733,1600
2004-05-04,48.49,49.13,48.49,49.13,38.3644476564,3300
2004-05-05,48.87,49.12,48.87,49.03,38.2863600365,2700
