Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,65.19,65.31,64.44,64.44,21.7998267987,4260300
1999-11-02,64.31,64.87,63.0,63.0,21.3126798311,2668800
1999-11-03,62.75,63.75,62.56,63.5,21.4818280838,2965100
1999-11-04,63.56,63.69,62.63,62.63,21.1875101242,2207800
1999-11-05,62.81,63.5,62.31,62.31,21.0792552425,4171900
1999-11-08,62.38,64.5,62.38,64.44,21.7998267987,3440800
1999-11-09,64.31,64.31,62.5,62.88,21.2720842505,2853700
1999-11-10,62.75,63.69,62.56,63.63,21.5258066294,2528200
1999-11-11,64.12,64.12,62.94,63.5,21.4818280838,2714600
1999-11-12,63.38,63.69,62.88,62.88,21.2720842505,2531700
1999-11-15,63.25,63.56,62.81,63.38,21.4412325031,2036000
1999-11-16,63.5,64.81,63.38,64.44,21.7998267987,2261300
1999-11-17,64.19,65.44,64.12,65.19,22.0535491776,2598900
1999-11-18,64.94,65.12,63.94,64.0,21.6509763364,2016500
1999-11-19,64.19,65.12,64.12,64.81,21.9249965056,1780900
1999-11-22,64.12,64.25,63.0,63.58,21.5088918042,2267600
1999-11-23,63.63,63.63,61.63,61.88,20.9337877452,2441800
1999-11-24,61.56,62.56,61.56,62.13,21.0183618716,2378700
1999-11-26,62.63,63.63,62.5,62.88,21.2720842505,1168700
1999-11-29,63.63,63.63,62.13,62.63,21.1875101242,4198600
1999-11-30,63.0,64.5,63.0,63.78,21.5765511052,4334800
1999-12-01,63.25,64.87,62.56,64.44,21.7998267987,4393500
1999-12-02,64.19,65.87,63.94,64.83,21.9317624358,3414700
1999-12-03,64.75,66.31,64.69,66.0,22.3275693469,4208100
1999-12-06,65.0,65.94,63.69,64.37,21.7761460433,3198900
1999-12-07,65.19,65.69,63.75,64.0,21.6509763364,3565800
1999-12-08,64.12,64.75,63.56,64.05,21.6678911617,2088600
1999-12-09,64.06,64.37,63.5,64.37,21.7761460433,2545500
1999-12-10,64.75,64.75,63.13,63.25,21.3972539574,2074900
1999-12-13,63.06,65.56,62.75,65.31,22.0941447583,3323100
1999-12-14,64.5,65.56,64.19,64.81,21.9249965056,3276400
1999-12-15,64.5,65.19,64.44,64.69,21.884400925,3204600
1999-12-16,64.5,64.75,63.44,64.31,21.755848253,4029400
1999-12-17,64.87,65.44,64.37,64.94,21.9689750513,6575800
1999-12-20,64.94,65.0,64.0,64.87,21.945294296,2725000
1999-12-21,65.37,67.25,64.87,65.56,22.1787188846,5252600
1999-12-22,67.0,67.25,64.31,64.5,21.820124589,5084200
1999-12-23,64.44,65.5,63.69,63.94,21.6306785461,3487600
1999-12-27,62.63,62.69,59.19,60.13,20.341768861,8822500
1999-12-28,61.0,62.44,60.69,62.19,21.0386596619,4197600
1999-12-29,62.5,62.75,61.38,61.75,20.8898091996,1798400
