Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,47.0,47.19,46.31,46.88,12.8241141159,5041900
1999-11-02,46.69,48.06,46.5,47.38,12.960890077,4988200
1999-11-03,47.19,47.31,46.13,46.13,12.6736605586,4102200
1999-11-04,46.63,47.31,46.63,47.0,12.9126825548,4433500
1999-11-05,48.0,48.38,46.63,46.81,12.8604823488,5443800
1999-11-08,46.0,47.13,45.75,47.13,12.9483984853,5332900
1999-11-09,47.13,47.19,45.0,45.44,12.4840913892,4573000
1999-11-10,44.5,45.44,44.0,44.94,12.3467224258,4090400
1999-11-11,45.0,45.75,44.5,45.44,12.4840913892,3001300
1999-11-12,46.13,47.88,45.75,47.75,13.1187359999,4847200
1999-11-15,47.88,47.94,46.75,47.25,12.9813670365,3201300
1999-11-16,47.06,48.25,47.06,48.13,13.223136412,3096500
1999-11-17,48.0,48.0,47.0,47.13,12.9483984853,2588200
1999-11-18,47.69,48.06,47.19,47.94,13.1709362059,3537900
1999-11-19,47.94,48.13,47.5,47.5,13.0500515182,3359300
1999-11-22,46.81,47.94,46.56,46.81,12.8604823488,3446500
1999-11-23,47.0,47.25,45.81,46.13,12.6736605586,3117300
1999-11-24,46.0,46.63,46.0,46.0,12.6379446281,2324700
1999-11-26,46.25,46.31,45.94,45.94,12.6214603525,1040200
1999-11-29,45.63,45.81,45.0,45.0,12.3632067014,3103800
1999-11-30,45.0,46.94,45.0,46.5,12.7753135915,4779900
1999-12-01,46.38,47.06,46.25,46.88,12.8797140036,3343900
1999-12-02,46.63,47.5,46.63,47.06,12.9291668304,3079800
1999-12-03,47.75,48.63,47.19,47.19,12.9648827609,4833700
1999-12-06,47.44,47.63,45.44,45.75,12.5692601465,4232700
1999-12-07,45.0,45.56,43.94,44.06,12.1049530503,6214400
1999-12-08,43.56,44.0,43.44,43.7,12.0060473967,5712500
1999-12-09,43.56,45.0,43.56,44.75,12.2945222198,4040600
1999-12-10,45.44,45.5,44.88,44.88,12.3302381502,3576900
1999-12-13,44.25,44.56,43.88,44.2,12.1434163601,2733700
1999-12-14,43.88,44.31,43.06,43.5,11.9510998114,2969300
1999-12-15,43.06,43.44,41.63,41.81,11.4867927153,4565100
1999-12-16,38.56,40.63,38.5,39.44,10.835663829,8570100
1999-12-17,39.94,39.94,39.94,39.94,10.9730327923,6781800
1999-12-20,39.94,40.94,39.88,40.66,11.1708440996,3656700
1999-12-21,40.31,41.31,39.5,40.0,10.9895170679,5215700
1999-12-22,40.0,40.69,40.0,40.44,11.1104017557,2767100
1999-12-23,40.81,41.56,40.31,41.5,11.401623958,2716100
1999-12-27,41.06,42.0,40.81,40.88,11.2312864434,2540600
1999-12-28,41.13,41.44,40.75,41.19,11.3164552007,2488200
1999-12-29,41.25,41.44,40.25,40.56,11.1433703069,2203000
1999-12-30,40.63,41.13,40.5,40.63,11.1626019618,1328800
1999-12-31,40.56,40.63,40.13,40.44,11.1104017557,1178400
2000-01-03,40.31,40.38,38.0,39.12,10.7477476925,4518500
2000-01-04,37.25,37.69,36.0,37.19,10.2175034939,7618600
2000-01-05,37.0,37.75,36.06,37.06,10.1817875635,4114100
2000-01-06,37.06,39.0,36.94,38.44,10.5609259023,4163400
2000-01-07,39.25,39.69,38.56,39.13,10.7504950717,3855600
2000-01-10,38.38,38.63,37.75,37.88,10.4070726633,4476600
2000-01-11,37.81,38.0,37.06,37.25,10.2339877695,3085400
2000-01-12,37.31,38.63,37.31,38.31,10.5252099718,3515000
2000-01-13,39.88,40.5,39.69,40.44,11.1104017557,5538500
2000-01-14,43.75,43.75,41.13,41.69,11.4538241641,5748700
2000-01-18,39.75,40.25,38.5,38.88,10.68181059,6372000
2000-01-19,38.38,38.94,36.5,36.75,10.0966188062,8570300
2000-01-20,36.81,37.31,35.81,36.38,9.9949657733,7482600
2000-01-21,36.5,37.63,36.06,36.63,10.063650255,7008300
2000-01-24,37.0,37.44,35.44,35.88,9.85759680995,4770000
2000-01-25,35.81,38.0,35.81,37.63,10.3383881817,5350500
2000-01-26,37.44,38.5,37.0,38.0,10.4400412145,7293600
2000-01-27,38.63,39.75,38.19,39.0,10.7147791412,5127500
2000-01-28,38.88,39.13,38.19,38.75,10.6460946596,4044500
2000-01-31,38.31,40.0,38.31,40.0,10.9895170679,4633700
2000-02-01,40.0,40.69,39.81,40.44,11.1104017557,4764400
2000-02-02,40.44,40.5,39.0,39.0,10.7752214851,3318800
2000-02-03,39.31,39.63,38.06,38.88,10.7420669575,5402800
2000-02-04,39.13,39.13,38.44,38.56,10.6536548838,3573400
2000-02-07,38.25,38.63,38.0,38.19,10.5514284235,4436600
2000-02-08,38.31,39.56,38.31,38.94,10.7586442213,4222500
2000-02-09,38.44,38.63,37.75,37.88,10.4657792271,4501800
2000-02-10,37.88,38.06,36.69,36.75,10.1535740917,7125400
2000-02-11,37.69,38.63,37.13,37.88,10.4657792271,5587400
2000-02-14,38.38,38.63,37.63,37.81,10.446439086,4151900
2000-02-15,37.38,37.94,36.75,37.69,10.4132845583,3787300
2000-02-16,37.75,37.75,36.0,36.0,9.94635829396,3930500
2000-02-17,37.06,37.13,34.38,34.94,9.65349329975,4814500
2000-02-18,34.75,34.75,32.75,33.5,9.25563896799,10309600
2000-02-22,33.75,35.0,32.75,35.0,9.67007056357,5273000
2000-02-23,34.25,34.69,32.75,34.0,9.39378283318,4393100
2000-02-24,33.13,33.56,32.0,32.88,9.08434057515,4898600
2000-02-25,33.19,33.88,32.25,32.69,9.03184590638,4013400
2000-02-28,33.38,34.56,33.0,34.13,9.42970023813,4331800
2000-02-29,34.13,34.19,32.63,33.06,9.13407236662,5566700
2000-03-01,33.06,34.94,33.06,34.69,9.58442136715,5652900
2000-03-02,35.56,35.69,33.44,33.94,9.37720556936,5278100
2000-03-03,34.63,35.0,34.06,34.69,9.58442136715,4415700
2000-03-06,34.69,35.5,34.44,34.44,9.51534943455,3772700
2000-03-07,34.69,34.69,32.63,33.06,9.13407236662,4391300
2000-03-08,32.81,33.94,31.0,31.0,8.56491964202,4655200
2000-03-09,34.31,34.31,32.25,32.81,9.06500043402,4573300
2000-03-10,33.0,33.25,32.0,32.19,8.89370204118,4277000
2000-03-13,31.75,32.94,31.38,32.63,9.01526864255,4271200
2000-03-14,32.44,32.56,31.81,31.88,8.80805284476,3951900
2000-03-15,32.0,36.0,32.0,36.0,9.94635829396,7644300
2000-03-16,35.88,38.75,35.5,38.5,10.6370776199,9810800
2000-03-17,38.13,39.56,38.06,38.5,10.6370776199,7097700
2000-03-20,38.5,38.56,37.38,37.94,10.4823564909,5411100
2000-03-21,37.69,39.94,37.69,39.56,10.9299426141,6204600
2000-03-22,39.44,40.25,39.19,40.0,11.0515092155,5166900
2000-03-23,39.88,41.94,39.75,41.44,11.4493635473,6296600
2000-03-24,41.38,42.62,40.75,41.0,11.3277969459,6364500
2000-03-27,40.88,41.81,40.25,40.91,11.3029310502,7106700
2000-03-28,40.5,41.25,40.25,40.69,11.2421477495,5627900
2000-03-29,40.25,40.69,38.81,39.44,10.8967880865,5410500
2000-03-30,40.25,40.81,39.19,39.19,10.8277161539,4834100
2000-03-31,39.44,41.31,38.75,40.75,11.2587250133,5045400
2000-04-03,40.94,44.38,40.63,43.69,12.0710109406,7704400
2000-04-04,43.69,45.5,42.0,43.25,11.9494443393,8431800
2000-04-05,43.44,43.44,41.63,42.44,11.7256512777,4365600
2000-04-06,41.5,42.0,39.63,40.5,11.1896530807,6787600
2000-04-07,40.0,40.44,39.63,39.75,10.9824372829,4908900
2000-04-10,38.0,40.13,37.88,39.5,10.9133653503,7514800
2000-04-11,39.31,41.38,39.31,40.38,11.1564985531,5529700
2000-04-12,41.19,42.75,40.94,42.0,11.6040846763,6946900
2000-04-13,42.31,42.31,41.19,41.75,11.5350127437,4557600
2000-04-14,41.75,41.81,38.25,40.0,11.0515092155,6655600
2000-04-17,38.63,40.06,38.63,39.38,10.8802108227,4700600
2000-04-18,38.88,41.44,38.81,40.81,11.2753022771,4031800
2000-04-19,40.81,41.06,40.19,40.75,11.2587250133,3079700
2000-04-20,41.38,42.25,40.94,41.81,11.5515900075,3762900
2000-04-24,41.81,43.13,41.69,42.75,11.8113004741,3940100
2000-04-25,43.0,44.56,43.0,43.06,11.8969496705,4471500
2000-04-26,43.06,44.0,43.06,43.06,11.8969496705,3688000
2000-04-27,42.06,42.44,41.63,42.06,11.6206619401,4647400
2000-04-28,42.31,42.69,41.06,41.06,11.3443742097,4923500
2000-05-01,41.13,41.94,40.69,41.13,11.3637143508,4737700
2000-05-02,41.06,41.94,40.75,41.38,11.4327862834,3893400
2000-05-03,41.19,41.81,40.38,40.56,11.2670136452,4355800
2000-05-04,40.63,41.06,39.56,39.75,11.0420067159,3314800
2000-05-05,39.63,40.44,39.25,39.88,11.0781189391,2531700
2000-05-08,39.63,41.75,39.5,41.25,11.4586862146,2769800
2000-05-09,41.38,42.19,41.13,41.5,11.5281327977,2815900
2000-05-10,41.5,41.94,41.19,41.56,11.5447999777,3632700
2000-05-11,42.38,43.5,42.25,42.5,11.8059191302,3072400
2000-05-12,42.31,44.56,42.13,43.69,12.1364848659,4326900
2000-05-15,43.94,45.0,43.75,44.88,12.4670506015,3334300
2000-05-16,45.0,45.0,43.38,43.63,12.1198176859,3822900
2000-05-17,43.06,43.69,42.5,42.94,11.9281451165,2375100
2000-05-18,43.06,44.31,42.88,43.19,11.9975916996,2369000
2000-05-19,42.88,43.44,42.19,43.13,11.9809245197,2496500
2000-05-22,43.5,44.25,42.75,43.88,12.189264269,1994500
2000-05-23,43.88,45.13,43.69,43.81,12.1698192258,3617100
2000-05-24,44.81,45.63,44.19,44.5,12.3614917952,7175600
2000-05-25,44.56,44.56,42.75,43.88,12.189264269,3694400
2000-05-26,43.75,45.06,43.56,44.38,12.3281574353,2968900
2000-05-30,44.81,45.0,43.81,44.88,12.4670506015,3027500
2000-05-31,45.0,45.5,44.5,45.25,12.5698315445,3805300
2000-06-01,45.25,46.88,44.94,45.94,12.7615041139,6567000
2000-06-02,47.0,47.75,46.75,47.75,13.2642973757,4397100
2000-06-05,46.63,47.19,44.88,45.13,12.5364971846,4159000
2000-06-06,45.19,45.19,43.63,44.94,12.4837177815,2694100
2000-06-07,44.69,46.0,44.5,45.5,12.6392781276,2416100
2000-06-08,45.25,45.38,43.81,44.81,12.4476055582,1981400
2000-06-09,45.19,45.19,42.81,43.19,11.9975916996,2348500
2000-06-12,43.75,44.38,43.5,43.96,12.2114871756,1711500
2000-06-13,43.63,43.94,43.06,43.75,12.1531520458,2360600
2000-06-14,43.75,44.75,43.38,44.56,12.3781589751,2620900
2000-06-15,43.63,44.13,41.31,42.06,11.6836931439,7485600
2000-06-16,41.75,41.75,37.31,38.31,10.6419943971,12422600
2000-06-19,38.31,40.44,38.19,40.25,11.1808998821,5927000
2000-06-20,40.13,40.56,38.75,39.13,10.8697791898,4718300
2000-06-21,39.19,39.25,38.06,38.31,10.6419943971,3669300
2000-06-22,39.0,39.88,38.63,39.81,11.0586738959,3484600
2000-06-23,39.88,40.31,39.31,39.44,10.9558929528,2087200
2000-06-26,39.81,40.69,39.56,40.19,11.1642327022,2185700
2000-06-27,41.0,41.88,40.75,41.0,11.3892396315,3831300
2000-06-28,41.0,42.38,40.75,41.1,11.4170182647,3474300
2000-06-29,41.0,41.25,40.5,40.75,11.3197930484,3840000
2000-06-30,40.5,40.88,38.73,38.75,10.7642203834,4869600
2000-07-03,40.25,40.81,39.88,40.69,11.3031258684,1832000
2000-07-05,41.25,42.25,41.0,41.44,11.5114656178,3221400
2000-07-06,41.75,42.88,40.63,42.5,11.8059191302,2977300
2000-07-07,42.94,44.0,42.69,42.69,11.8586985334,4238400
2000-07-10,43.0,43.63,42.63,42.63,11.8420313534,2751200
2000-07-11,42.63,43.38,42.38,42.94,11.9281451165,2685400
2000-07-12,43.56,44.06,42.75,43.13,11.9809245197,2971600
2000-07-13,43.25,43.69,42.06,42.81,11.8920328933,2769100
2000-07-14,42.75,43.94,42.63,43.69,12.1364848659,2661600
2000-07-17,43.88,44.0,43.0,43.38,12.0503711028,2423200
2000-07-18,42.5,42.63,41.69,42.06,11.6836931439,4090900
2000-07-19,42.06,42.38,41.81,42.19,11.7198053671,2645600
2000-07-20,42.25,43.44,42.25,43.31,12.0309260595,3459900
2000-07-21,43.31,43.5,42.0,42.38,11.7725847703,2867000
2000-07-24,42.31,42.88,41.81,41.81,11.6142465608,2701500
2000-07-25,42.5,42.5,41.38,41.81,11.6142465608,1853300
2000-07-26,40.63,41.31,40.63,40.94,11.3725724516,3498000
2000-07-27,41.31,42.25,41.13,42.0,11.667025964,2546900
2000-07-28,41.13,41.88,40.69,41.88,11.6336916041,2452100
2000-07-31,41.94,42.0,41.06,41.5,11.5281327977,2804600
2000-08-01,41.75,41.81,40.94,41.19,11.4420190347,2802200
2000-08-02,41.44,41.63,40.94,41.44,11.5725786109,2380300
2000-08-03,41.38,44.06,41.19,43.94,12.2707312781,5574900
2000-08-04,44.19,44.75,43.94,44.13,12.3237908808,5812600
2000-08-07,44.44,44.88,43.63,44.5,12.4271174755,3575600
2000-08-08,44.81,44.81,43.56,44.31,12.3740578728,2269900
2000-08-09,44.25,45.06,43.19,44.25,12.3573022088,3942700
2000-08-10,44.88,45.56,44.31,44.88,12.533236681,3406900
2000-08-11,44.69,45.38,44.5,45.0,12.566748009,2326300
2000-08-14,44.88,45.5,44.19,45.25,12.6365632757,1551900
2000-08-15,44.88,45.0,43.63,44.44,12.4103618115,4435200
2000-08-16,44.25,44.88,43.94,44.44,12.4103618115,2259700
2000-08-17,44.31,45.0,44.0,44.63,12.4634214142,2486900
2000-08-18,44.44,44.69,44.19,44.25,12.3573022088,2329700
2000-08-21,44.0,44.5,43.88,44.38,12.3936061475,1815300
2000-08-22,44.44,45.81,44.19,45.56,12.7231342064,3868200
2000-08-23,45.25,45.75,44.75,45.19,12.6198076117,2314400
2000-08-24,45.19,45.38,44.56,44.75,12.4969327423,2903300
2000-08-25,44.75,44.94,44.25,44.56,12.4438731396,1579300
2000-08-28,44.19,44.88,44.0,44.06,12.3042426061,2361700
2000-08-29,43.81,43.94,43.06,43.25,12.078041142,2523100
2000-08-30,43.63,43.94,42.88,43.5,12.1478564087,2584800
2000-08-31,43.44,44.44,43.19,43.21,12.0668706993,4525300
2000-09-01,44.0,44.06,42.88,42.94,11.9914702112,2398200
2000-09-05,42.88,43.75,42.69,43.69,12.2009160114,3697200
2000-09-06,43.94,44.88,43.75,44.44,12.4103618115,3311800
2000-09-07,45.0,45.31,44.69,45.0,12.566748009,3540500
2000-09-08,45.25,46.19,45.0,45.89,12.8152903585,4099800
2000-09-11,46.5,47.0,46.06,46.25,12.9158243426,4488900
2000-09-12,46.81,46.81,45.63,46.31,12.9325800066,2799000
2000-09-13,46.31,47.13,46.06,46.75,13.055454876,3925700
2000-09-14,46.13,46.19,44.81,45.44,12.6896228784,4660500
2000-09-15,45.44,46.13,44.94,45.84,12.8013273051,6300900
2000-09-18,45.63,45.63,44.63,44.69,12.4801770783,2891100
2000-09-19,44.88,46.5,44.75,46.5,12.9856396093,2466800
2000-09-20,45.5,45.5,44.44,45.25,12.6365632757,2214000
2000-09-21,45.06,45.19,44.38,44.63,12.4634214142,2569700
2000-09-22,44.88,45.5,44.44,45.25,12.6365632757,2694500
2000-09-25,45.88,46.75,45.31,46.25,12.9158243426,3161400
2000-09-26,46.5,46.56,45.88,46.13,12.8823130145,3554400
2000-09-27,45.56,46.5,45.31,46.31,12.9325800066,3058100
2000-09-28,46.5,47.06,46.19,46.75,13.055454876,3871000
2000-09-29,46.38,47.06,45.69,45.94,12.8292534118,4468900
2000-10-02,46.0,47.06,45.38,47.06,13.1420258067,2992800
2000-10-03,47.38,48.25,47.38,47.75,13.3347159429,5877700
2000-10-04,48.0,48.31,46.69,47.13,13.1615740814,4070300
2000-10-05,47.31,48.25,47.31,47.69,13.3179602788,3745100
2000-10-06,47.81,47.88,45.56,46.56,13.0023952733,4250200
2000-10-09,45.81,46.75,45.69,46.13,12.8823130145,2375500
2000-10-10,46.13,46.13,44.63,44.81,12.5136884063,3536900
2000-10-11,44.5,44.94,43.38,43.88,12.2539756141,4639300
2000-10-12,44.13,44.25,41.94,42.75,11.9384106085,4966300
2000-10-13,42.5,44.19,42.5,43.38,12.1143450807,3189200
2000-10-16,43.94,43.94,43.0,43.56,12.1646120727,2453700
2000-10-17,43.5,43.56,41.44,41.69,11.6423938777,4711300
2000-10-18,41.63,42.81,39.63,42.25,11.7987800751,5308000
2000-10-19,41.56,43.19,41.44,42.69,11.9216549445,3226800
2000-10-20,42.69,43.19,42.0,42.31,11.8155357391,2603000
2000-10-23,42.69,42.69,42.0,42.19,11.7820244111,2188900
2000-10-24,43.13,43.81,42.88,43.31,12.094796806,2465700
2000-10-25,43.5,44.38,42.44,42.5,11.8685953418,5635500
2000-10-26,42.81,43.25,41.75,43.0,12.0082258752,3538100
2000-10-27,42.81,44.06,42.75,43.69,12.2009160114,2537200
2000-10-30,44.31,45.81,44.06,45.81,12.7929494731,4149600
2000-10-31,45.94,46.56,45.06,46.31,12.9325800066,4028300
2000-11-01,45.81,46.38,45.63,46.38,13.0191509373,3238000
2000-11-02,46.38,46.88,46.06,46.5,13.0528356745,2250900
2000-11-03,46.06,46.88,45.94,46.5,13.0528356745,1955900
2000-11-06,46.63,46.94,46.25,46.81,13.139854579,2492900
2000-11-07,46.63,46.69,46.0,46.5,13.0528356745,1743500
2000-11-08,46.5,47.0,45.5,46.94,13.1763463777,3351400
2000-11-09,46.94,47.94,46.88,47.81,13.4205607226,3249800
2000-11-10,47.81,48.0,47.13,47.13,13.229680545,2274200
2000-11-13,46.5,47.31,45.44,46.0,12.9124826028,2859300
2000-11-14,46.06,47.19,45.81,46.63,13.0893274732,3557100
2000-11-15,45.75,46.0,44.31,44.75,12.5615999233,5108700
2000-11-16,44.06,44.94,43.81,44.5,12.4914233875,2365500
2000-11-17,44.38,44.94,43.5,44.75,12.5615999233,2913400
2000-11-20,44.88,44.88,43.75,44.0,12.3510703157,2396500
2000-11-21,44.0,45.31,43.81,45.0,12.6317764592,2687300
2000-11-22,44.5,44.94,43.0,43.25,12.140540708,2995700
