Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,57.25,57.88,56.13,56.25,38.0797747103,4778500
1999-11-02,56.31,57.13,55.63,56.13,37.9985378576,4579600
1999-11-03,55.75,56.44,55.0,55.75,37.741287824,4081300
1999-11-04,56.5,57.0,55.88,56.0,37.9105312671,4150600
1999-11-05,57.5,58.75,57.25,58.06,39.3050972387,6239900
1999-11-08,58.5,59.19,58.31,58.5,39.6029656987,4881400
1999-11-09,58.0,58.19,56.56,58.0,39.2644788124,10026300
1999-11-10,58.0,58.5,57.13,57.13,38.6755116302,6991200
1999-11-11,56.88,57.5,56.69,57.44,38.8853734997,6290200
1999-11-12,57.94,58.88,56.88,58.88,39.8602157323,5607700
1999-11-15,59.0,60.69,58.25,58.94,39.9008341586,9037800
1999-11-16,59.5,60.38,58.75,59.88,40.5371895049,6215300
1999-11-17,59.38,60.63,58.69,58.88,39.8602157323,6465700
1999-11-18,59.19,59.75,58.5,59.38,40.1987026186,5723900
1999-11-19,58.38,59.06,57.75,58.13,39.3524854028,4987500
1999-11-22,57.19,57.25,56.13,56.75,38.4182615966,6322600
1999-11-23,56.63,56.63,55.5,56.0,37.9105312671,6477000
1999-11-24,56.5,58.5,56.44,57.94,39.223860386,5668800
1999-11-26,58.0,58.69,57.63,58.21,39.4066433046,2297100
1999-11-29,58.5,59.38,58.0,59.0,39.941452585,4793000
1999-11-30,58.75,58.94,57.25,57.5,38.9259919261,4376100
1999-12-01,57.69,59.0,57.69,58.57,39.6503538628,5319400
1999-12-02,59.0,59.19,57.0,57.67,39.0410774674,5285000
1999-12-03,58.19,59.25,57.94,59.06,39.9820710114,6172000
1999-12-06,58.56,60.5,58.25,59.58,40.3340973731,5449000
1999-12-07,59.81,60.13,58.0,58.0,39.2644788124,6361700
1999-12-08,58.81,59.31,58.0,58.65,39.7045117646,4600000
1999-12-09,58.5,62.25,57.63,62.25,42.141617346,8808100
1999-12-10,62.5,64.5,61.88,63.25,42.8185911187,12595800
1999-12-13,65.5,69.19,64.75,68.0,46.0342165386,9391000
1999-12-14,67.0,68.5,66.94,67.06,45.3978611924,7505100
1999-12-15,67.0,67.06,65.13,66.01,44.7208874197,7842800
