Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,25.31,25.38,24.69,25.0,18.8655190256,294800
1999-11-02,25.25,25.88,25.06,25.88,19.5295852953,313700
1999-11-03,25.88,25.88,25.38,25.62,19.3333838974,520900
1999-11-04,24.38,25.75,24.0,25.56,19.2881066517,471500
1999-11-05,25.81,25.94,24.94,25.0,18.8655190256,497200
1999-11-08,25.12,25.12,24.5,24.69,18.6315865896,305500
1999-11-09,24.94,24.94,24.56,24.62,18.5787631364,345200
1999-11-10,24.38,24.62,24.12,24.38,18.3976541537,244200
1999-11-11,24.38,24.69,24.25,24.25,18.2995534548,185500
1999-11-12,24.31,24.56,24.12,24.44,18.4429313994,167100
1999-11-15,24.19,25.12,24.12,24.94,19.0088969702,485500
1999-11-16,24.94,25.0,24.25,24.38,18.5820733012,538500
1999-11-17,24.12,25.12,24.06,24.62,18.7649977308,843200
1999-11-18,24.81,25.5,24.69,25.0,19.0546280775,1100100
1999-11-19,25.19,25.19,24.38,24.81,18.9098129042,721400
1999-11-22,24.62,25.19,24.56,25.0,19.0546280775,773400
1999-11-23,25.12,25.25,24.69,24.94,19.0088969702,611900
1999-11-24,25.12,25.12,24.62,24.75,18.8640817968,528100
1999-11-26,24.5,24.75,24.38,24.62,18.7649977308,195000
1999-11-29,24.69,24.75,24.56,24.69,18.8183506894,610000
1999-11-30,24.75,25.69,24.56,25.31,19.2909054657,931100
1999-12-01,25.06,25.44,24.62,25.25,19.2451743583,542600
1999-12-02,25.25,27.56,25.25,27.44,20.9143597779,1541600
1999-12-03,27.69,29.38,27.69,29.25,22.2939148507,2188200
1999-12-06,29.25,29.25,27.31,27.44,20.9143597779,1421200
1999-12-07,27.75,28.12,27.0,27.69,21.1049060587,1681900
1999-12-08,27.75,29.0,27.0,28.12,21.4326456616,840500
1999-12-09,28.25,28.88,28.0,28.25,21.5317297276,564100
1999-12-10,28.5,29.94,28.44,29.5,22.4844611315,862900
1999-12-13,30.0,30.75,29.88,30.12,22.9570159078,1144800
1999-12-14,29.88,30.56,29.81,30.06,22.9112848004,626400
1999-12-15,29.81,30.56,29.81,30.33,23.1170747837,798100
1999-12-16,30.25,30.5,29.12,29.81,22.7207385197,691400
1999-12-17,29.81,31.12,29.12,30.69,23.391461428,1214600
1999-12-20,30.31,30.38,29.38,29.69,22.6292763049,1160100
1999-12-21,29.44,30.62,29.38,30.44,23.2009151472,1034100
1999-12-22,30.38,30.62,30.0,30.38,23.1551840398,888400
1999-12-23,30.31,31.25,30.31,31.06,23.6734699235,519500
1999-12-27,30.88,31.62,30.75,31.5,24.0088313777,491200
1999-12-28,31.25,31.94,31.25,31.81,24.2451087659,528500
1999-12-29,31.81,32.44,31.5,31.94,24.3441928319,736800
1999-12-30,31.94,32.12,31.75,32.0,24.3899239393,343500
1999-12-31,31.75,33.0,31.69,33.0,25.1521090624,195300
2000-01-03,32.75,32.94,31.5,31.81,24.2451087659,494100
2000-01-04,30.81,31.56,30.12,30.62,23.3381084694,1202500
2000-01-05,30.88,31.19,30.0,30.94,23.5820077088,1464500
2000-01-06,31.19,31.62,30.44,31.12,23.7192010309,675000
2000-01-07,32.94,32.94,31.56,31.94,24.3441928319,904600
2000-01-10,31.88,32.25,31.38,31.69,24.1536465511,704700
2000-01-11,31.69,32.0,31.06,31.19,23.7725539895,501200
2000-01-12,31.06,31.38,30.06,30.19,23.0103688664,461400
2000-01-13,31.38,32.31,30.75,31.5,24.0088313777,691900
2000-01-14,31.56,32.25,30.69,30.88,23.5362766014,737400
2000-01-18,30.62,30.62,28.5,28.81,21.9585533966,958000
2000-01-19,29.81,29.94,28.75,28.94,22.0576374626,1007100
2000-01-20,29.0,29.0,27.5,28.0,21.3411834468,522700
2000-01-21,27.88,27.88,27.0,27.12,20.6704605385,657500
2000-01-24,27.5,28.06,25.94,26.19,19.961628374,792500
2000-01-25,26.38,26.81,25.75,26.5,20.1979057622,811100
