Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,28.3,28.3,28.13,28.19,20.3694626474,22400
1999-11-02,28.28,28.33,27.8,27.83,20.1093347101,19900
1999-11-03,28.03,28.03,27.73,27.95,20.1960440225,7400
1999-11-04,28.13,28.38,28.13,28.27,20.4272688557,8800
1999-11-05,28.66,28.66,28.14,28.14,20.3333337672,23600
1999-11-08,28.0,28.25,28.0,28.19,20.3694626474,16600
1999-11-09,28.31,28.33,27.94,28.0,20.2321729027,10000
1999-11-10,27.67,28.19,27.67,28.17,20.3550110953,21300
1999-11-11,28.42,28.59,28.34,28.5,20.5934617045,8000
1999-11-12,28.89,29.13,28.53,29.06,20.9981051626,33500
1999-11-15,29.0,29.34,29.0,29.19,21.0920402511,15700
1999-11-16,29.25,29.61,29.25,29.56,21.3593939644,17700
1999-11-17,29.5,29.5,29.25,29.27,21.1498464594,3300
1999-11-18,29.28,29.66,29.28,29.45,21.279910428,8200
1999-11-19,29.47,29.47,29.27,29.31,21.1787495635,8700
1999-11-22,29.0,29.09,28.88,29.0,20.9547505064,15700
1999-11-23,28.91,28.91,28.47,28.52,20.6079132566,7000
1999-11-24,28.44,28.92,28.44,28.92,20.8969442981,21400
1999-11-26,28.81,28.81,28.69,28.69,20.7307514492,9400
1999-11-29,28.52,28.72,28.52,28.52,20.6079132566,31700
1999-11-30,28.56,28.81,28.41,28.5,20.5934617045,7500
1999-12-01,28.47,28.59,28.38,28.44,20.5501070483,40700
1999-12-02,28.5,28.69,28.5,28.69,20.7307514492,20800
1999-12-03,28.94,29.66,28.94,29.25,21.1353949073,24600
1999-12-06,29.36,29.44,29.25,29.42,21.2582330999,40700
1999-12-07,29.44,29.56,29.34,29.34,21.2004268916,11500
1999-12-08,29.41,29.73,29.41,29.63,21.4099743967,38900
1999-12-09,29.83,30.13,29.83,30.08,21.7351343183,12100
1999-12-10,30.25,30.25,29.77,29.89,21.5978445736,18800
1999-12-13,29.69,29.95,29.69,29.69,21.4533290529,10700
1999-12-14,29.53,29.83,29.53,29.75,21.4966837091,16000
1999-12-15,29.56,29.91,29.45,29.5,21.3160393082,8400
1999-12-16,29.63,29.73,29.38,29.73,21.482232157,9500
1999-12-17,29.97,30.25,29.81,30.25,21.8579725109,485300
1999-12-20,30.16,30.41,29.97,29.97,21.7829472784,301300
1999-12-21,29.81,30.06,29.72,29.78,21.6448505155,558700
1999-12-22,29.86,30.0,29.78,29.81,21.6666552675,153500
1999-12-23,30.0,30.53,30.0,30.44,22.1245550602,445400
1999-12-27,30.75,30.75,30.44,30.44,22.1245550602,500800
1999-12-28,30.41,30.67,30.41,30.5,22.1681645642,112800
1999-12-29,30.31,30.48,30.31,30.48,22.1536280629,27900
1999-12-30,30.41,30.75,30.41,30.59,22.2335788203,7300
1999-12-31,30.59,30.89,30.59,30.89,22.4516263406,7200
2000-01-03,31.0,31.0,30.06,30.3,22.0227995507,246700
2000-01-04,30.19,30.2,29.53,29.61,21.521290254,35300
2000-01-05,29.78,29.78,29.22,29.53,21.4631442486,137600
2000-01-06,29.31,29.56,29.16,29.44,21.3977299925,50000
2000-01-07,29.47,29.8,29.36,29.8,21.6593870169,22100
2000-01-10,32.25,32.94,31.63,32.84,23.8689352226,31800
2000-01-11,32.53,32.53,31.97,31.97,23.2365974137,17900
2000-01-12,32.22,32.22,31.31,31.44,22.8513801278,12400
2000-01-13,31.72,32.44,31.59,32.38,23.5345956915,600000
2000-01-14,32.59,32.59,31.91,32.09,23.3238164218,23600
2000-01-18,31.88,31.88,31.47,31.5,22.8949896319,417300
2000-01-19,31.59,32.25,31.5,32.25,23.4401084327,10400
2000-01-20,32.41,32.5,31.88,32.0,23.2584021657,64200
2000-01-21,31.88,32.05,31.69,31.94,23.2147926617,37300
2000-01-24,32.03,32.19,30.98,30.98,22.5170405967,72100
2000-01-25,31.25,31.44,31.0,31.2,22.6769421116,24400
2000-01-26,31.19,31.3,31.0,31.06,22.5751866021,10500
2000-01-27,31.2,31.39,30.88,30.88,22.4443580899,10700
2000-01-28,30.94,31.03,30.25,30.25,21.9864582973,18100
2000-01-31,30.38,30.38,29.86,30.11,21.8847027878,27500
2000-02-01,30.22,30.53,30.16,30.5,22.1681645642,161600
2000-02-02,30.72,31.25,30.72,31.25,22.713283365,7700
2000-02-03,31.2,31.61,31.02,31.53,22.9167943839,31500
2000-02-04,31.73,31.81,31.56,31.64,22.9967451414,11300
2000-02-07,31.63,31.63,30.98,31.13,22.6260643569,36400
2000-02-08,31.19,31.53,31.19,31.47,22.8731848799,265000
2000-02-09,31.44,31.44,30.77,30.91,22.466162842,19000
2000-02-10,30.88,31.06,30.63,30.64,22.2699200737,5000
2000-02-11,30.64,30.88,30.58,30.66,22.2844565751,9200
2000-02-14,30.31,30.47,29.91,30.09,21.8701662865,14900
2000-02-15,30.03,30.03,29.63,29.86,21.7029965209,23100
2000-02-16,29.63,29.75,29.0,29.02,21.0924634641,35000
2000-02-17,29.16,29.3,28.88,29.0,21.0779269627,15300
2000-02-18,28.94,28.98,28.2,28.2,20.4964669086,109900
2000-02-22,28.45,28.45,27.84,28.0,20.351101895,35300
2000-02-23,27.94,28.63,27.94,28.44,20.6709049248,17500
2000-02-24,28.47,28.59,27.75,28.22,20.5110034099,172800
2000-02-25,28.16,28.19,27.0,27.34,19.8713973504,21200
2000-02-28,27.47,27.83,27.28,27.83,20.2275416335,103600
2000-02-29,27.94,28.36,27.83,28.14,20.4528574045,15500
2000-03-01,28.27,28.53,28.03,28.38,20.6272954207,26700
2000-03-02,28.34,28.44,28.16,28.25,20.532808162,47600
2000-03-03,28.47,28.7,28.34,28.64,20.8162699383,372700
2000-03-06,28.45,28.61,28.08,28.08,20.4092479004,316300
2000-03-07,28.09,28.25,27.5,27.56,20.0312988653,635200
2000-03-08,27.31,27.69,27.31,27.42,19.9295433558,184000
2000-03-09,27.47,28.16,27.38,28.06,20.3947113991,15400
2000-03-10,28.0,28.2,27.81,27.83,20.2275416335,165300
2000-03-13,27.22,27.84,27.22,27.63,20.08217662,64200
2000-03-14,27.81,28.09,27.7,27.7,20.1330543747,36200
2000-03-15,27.84,28.06,27.56,27.84,20.2348098842,42200
2000-03-16,28.13,29.28,28.13,29.28,21.2814379817,168500
2000-03-17,29.16,29.59,29.06,29.31,21.3032427337,62000
2000-03-20,29.81,30.0,29.7,29.88,21.7175330223,8200
2000-03-21,30.0,30.13,29.72,30.06,21.8483615345,18100
2000-03-22,30.31,31.05,30.31,30.83,22.4080168366,29900
