Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,80.0,81.38,78.5,78.56,27.5648347708,2191100
1999-11-02,79.5,81.88,79.38,80.56,28.2665871835,2050200
1999-11-03,80.94,83.63,80.75,81.31,28.5297443383,2344800
1999-11-04,82.56,83.94,81.13,81.38,28.5543056727,3217400
1999-11-05,82.25,85.63,82.25,85.5,29.9999156429,2590500
1999-11-08,84.5,86.5,83.63,86.5,30.3507918493,1799200
1999-11-09,85.94,85.94,84.13,85.25,29.9121965913,2587700
1999-11-10,85.19,86.88,83.0,85.19,29.8911440189,2411800
1999-11-11,85.19,89.5,85.13,89.5,31.4034204683,3338100
1999-11-12,90.0,90.63,88.75,88.88,31.1858772204,3856000
1999-11-15,88.69,89.0,86.75,87.25,30.613949004,1658300
1999-11-16,87.75,88.0,86.31,87.06,30.5472825248,1695000
1999-11-17,86.81,87.38,85.25,86.06,30.1964063185,1594500
1999-11-18,86.06,86.06,85.0,86.0,30.1753537461,1177600
1999-11-19,85.63,85.69,83.81,85.38,29.9578104981,1253000
1999-11-22,85.44,85.5,82.75,82.81,29.0560586478,1392900
1999-11-23,83.38,87.38,83.25,85.84,30.1192135531,2563600
1999-11-24,85.5,87.5,85.31,87.13,30.5718438593,1098000
1999-11-26,87.13,88.94,87.0,88.5,31.0525442619,605100
1999-11-29,88.56,92.5,88.5,92.31,32.3893826081,2792700
1999-11-30,92.13,92.75,91.38,91.69,32.1718393602,1906300
1999-12-01,91.44,97.19,90.63,95.44,33.487625134,3095600
1999-12-02,94.38,95.88,88.0,95.63,33.5542916132,5018800
1999-12-03,96.25,98.75,96.25,98.69,34.6279728047,4081400
1999-12-06,98.06,98.69,96.19,98.0,34.3858682223,1621900
1999-12-07,97.63,98.44,94.88,95.5,33.5086777064,1598200
1999-12-08,95.06,95.25,91.63,92.19,32.3472774634,1348300
1999-12-09,94.5,94.63,90.38,91.94,32.2595584118,4239700
1999-12-10,92.25,92.75,90.75,91.75,32.1928919326,1925400
1999-12-13,92.0,95.13,91.44,93.94,32.9613108245,3162100
1999-12-14,94.13,94.44,91.25,91.44,32.0841203086,1844600
1999-12-15,91.25,91.69,90.5,91.31,32.0385064018,2766300
1999-12-16,90.75,91.13,89.5,90.0,31.5788585715,1300200
1999-12-17,91.19,91.38,89.63,90.56,31.775349247,3419100
1999-12-20,90.56,91.75,88.25,88.31,30.9858777827,1680600
1999-12-21,88.38,88.5,86.38,87.13,30.5718438593,3526200
1999-12-22,87.06,87.63,86.0,87.5,30.7016680556,1997000
1999-12-23,87.88,89.34,87.56,89.13,31.273596272,2142900
1999-12-27,89.06,90.75,88.0,89.5,31.4034204683,2061000
1999-12-28,89.94,92.0,89.63,91.25,32.0174538294,2227200
1999-12-29,91.13,92.06,90.69,90.88,31.8876296331,795700
1999-12-30,91.44,91.56,90.88,91.31,32.0385064018,899300
1999-12-31,91.5,91.5,90.13,91.25,32.0174538294,581500
2000-01-03,91.06,91.06,87.94,89.0,31.2279823651,3028700
2000-01-04,88.94,89.13,83.94,84.13,29.5192152402,2861400
2000-01-05,84.44,85.69,83.69,85.56,30.0209682153,3863200
2000-01-06,86.63,89.13,86.5,87.28,30.6244752902,3610700
2000-01-07,86.88,93.25,86.81,93.06,32.6525397629,2582400
2000-01-10,93.06,95.06,91.81,95.0,33.3332396032,2227000
2000-01-11,94.25,95.13,91.5,91.63,32.1507867878,1477500
2000-01-12,93.13,94.5,89.88,91.5,32.105172881,2343700
2000-01-13,92.56,96.13,90.88,94.94,33.3121870308,2875400
2000-01-14,48.13,50.25,48.0,49.06,34.427973367,2285500
2000-01-18,48.75,51.75,48.25,51.25,35.9648111508,5932000
2000-01-19,51.94,53.13,50.13,51.88,36.4069151708,4130500
2000-01-20,52.38,53.13,50.0,50.0,35.087620635,5551900
