Date,Open,High,Low,Close,Adj Close,Volume
2000-07-14,18.75,18.88,18.75,18.88,10.5305681802,25000
2000-07-17,19.94,20.0,19.94,20.0,11.1552629027,10000
2000-07-18,19.94,19.94,19.94,19.94,11.121797114,10000
2000-07-19,19.44,19.44,19.44,19.44,10.8429155415,10000
2000-07-20,19.88,19.88,19.88,19.88,11.0883313253,5000
2000-07-21,20.0,20.0,20.0,20.0,11.1552629027,200
2000-07-24,20.0,20.0,20.0,20.0,11.1552629027,0
2000-07-25,20.0,20.0,20.0,20.0,11.1552629027,0
2000-07-26,20.0,20.0,20.0,20.0,11.1552629027,0
2000-07-27,19.75,19.75,19.75,19.75,11.0158221165,100
2000-07-28,20.0,20.0,19.38,19.38,10.8094497528,21300
2000-07-31,19.31,19.38,19.31,19.38,10.8094497528,200
2000-08-01,19.0,19.25,19.0,19.25,10.7369405439,7400
2000-08-02,19.0,19.0,19.0,19.0,10.5974997576,100
2000-08-03,18.88,18.88,18.88,18.88,10.5305681802,10000
2000-08-04,19.38,19.63,19.38,19.63,10.948890539,700
2000-08-07,19.56,19.63,19.44,19.63,10.948890539,1100
2000-08-08,19.62,19.62,19.62,19.62,10.9433129076,0
2000-08-09,19.62,19.62,19.62,19.62,10.9433129076,0
2000-08-10,19.0,19.0,19.0,19.0,10.5974997576,200
2000-08-11,19.44,19.44,19.44,19.44,10.8429155415,600
2000-08-14,19.44,19.44,19.44,19.44,10.8429155415,0
2000-08-15,20.25,20.25,20.0,20.0,11.1552629027,5400
2000-08-16,20.0,20.0,20.0,20.0,11.1552629027,0
2000-08-17,20.31,20.31,20.31,20.31,11.3281694777,300
2000-08-18,19.75,19.75,19.75,19.75,11.0158221165,200
2000-08-21,19.75,19.75,19.75,19.75,11.0158221165,300
2000-08-22,19.75,19.75,19.75,19.75,11.0158221165,0
2000-08-23,19.75,19.75,19.75,19.75,11.0158221165,0
2000-08-24,19.25,19.25,19.25,19.25,10.9399105524,15000
2000-08-25,19.5,19.63,19.5,19.63,11.1558672282,2200
2000-08-28,19.75,19.75,19.69,19.69,11.1899656507,500
2000-08-29,19.0,19.38,19.0,19.19,10.9058121299,27300
2000-08-30,19.19,19.19,19.19,19.19,10.9058121299,0
2000-08-31,19.81,19.88,19.75,19.75,11.2240640732,2600
2000-09-01,19.75,19.75,19.75,19.75,11.2240640732,4900
2000-09-05,19.63,19.63,19.63,19.63,11.1558672282,300
2000-09-06,20.19,20.25,20.13,20.25,11.5082175941,2700
2000-09-07,20.38,20.38,20.25,20.31,11.5423160166,4400
2000-09-08,20.0,20.0,19.5,19.5,11.0819873128,1100
2000-09-11,19.5,20.06,19.5,20.0,11.3661408337,1400
2000-09-12,19.69,19.69,19.69,19.69,11.1899656507,500
2000-09-13,19.38,19.44,19.25,19.25,10.9399105524,2100
2000-09-14,19.0,19.0,19.0,19.0,10.797833792,1100
2000-09-15,18.44,18.63,18.44,18.63,10.5875601866,10600
2000-09-18,18.38,18.38,18.13,18.19,10.3375050882,1000
2000-09-19,18.0,18.06,18.0,18.06,10.2636251728,10500
2000-09-20,17.63,17.69,17.63,17.69,10.0533515674,400
2000-09-21,18.0,18.0,18.0,18.0,10.2295267503,10000
2000-09-22,18.06,18.06,18.06,18.06,10.2636251728,1800
2000-09-25,18.44,18.44,18.44,18.44,10.4795818486,2000
2000-09-26,17.75,18.25,17.75,18.25,10.3716035107,10700
2000-09-27,17.94,17.94,17.94,17.94,10.1954283278,100
2000-09-28,17.94,17.94,17.94,17.94,10.1954283278,0
2000-09-29,18.13,18.13,18.13,18.13,10.3034066657,300
2000-10-02,18.06,18.06,17.62,17.81,10.1215484124,500
2000-10-03,17.56,17.56,17.56,17.56,9.97947165196,5100
2000-10-04,17.56,18.0,17.56,18.0,10.2295267503,200
2000-10-05,18.19,18.19,18.19,18.19,10.3375050882,200
2000-10-06,18.0,18.0,18.0,18.0,10.2295267503,200
2000-10-09,17.19,17.19,17.19,17.19,9.76919804653,100
2000-10-10,17.75,17.94,17.5,17.5,9.94537322945,900
2000-10-11,17.69,17.69,17.69,17.69,10.0533515674,200
2000-10-12,17.06,17.06,17.06,17.06,9.69531813111,500
2000-10-13,17.19,17.25,17.13,17.25,9.80329646903,12200
2000-10-16,17.44,17.44,17.13,17.44,9.91127480695,5800
2000-10-17,17.19,17.19,17.0,17.0,9.66121970861,300
2000-10-18,17.0,17.0,17.0,17.0,9.66121970861,0
2000-10-19,17.19,17.19,17.19,17.19,9.76919804653,2000
2000-10-20,16.88,16.94,16.88,16.94,9.62712128611,1500
2000-10-23,16.69,16.69,16.13,16.13,9.16679258235,300
2000-10-24,16.12,16.12,16.12,16.12,9.16110951193,0
2000-10-25,15.13,15.13,15.13,15.13,8.59848554067,200
2000-10-26,15.19,15.19,15.19,15.19,8.63258396317,100
2000-10-27,15.19,15.19,15.19,15.19,8.63258396317,0
2000-10-30,15.19,15.19,15.19,15.19,8.63258396317,0
2000-10-31,16.13,16.13,16.13,16.13,9.16679258235,500
2000-11-01,16.31,16.5,16.31,16.5,9.37706618777,1200
2000-11-02,16.5,16.5,16.5,16.5,9.37706618777,3100
2000-11-03,16.25,16.25,15.75,16.0,9.09291266693,1800
2000-11-06,16.0,16.0,16.0,16.0,9.09291266693,700
2000-11-07,16.0,16.0,16.0,16.0,9.09291266693,12000
2000-11-08,16.69,16.69,16.0,16.0,9.09291266693,7300
2000-11-09,15.56,15.56,15.5,15.5,8.80875914609,1500
2000-11-10,15.5,15.5,15.5,15.5,8.80875914609,0
2000-11-13,15.75,15.75,15.31,15.31,8.70078080817,4400
2000-11-14,16.0,16.0,15.94,15.94,9.05881424443,300
2000-11-15,15.94,15.94,15.94,15.94,9.05881424443,0
2000-11-16,15.81,15.81,15.81,15.81,8.98493432901,200
2000-11-17,15.25,15.44,15.25,15.38,8.74056230109,2800
2000-11-20,15.38,15.38,15.38,15.38,8.74056230109,0
2000-11-21,15.38,15.38,15.38,15.38,8.74056230109,0
2000-11-22,15.38,15.38,15.38,15.38,8.74056230109,0
2000-11-24,15.38,15.38,15.38,15.38,8.74056230109,0
2000-11-27,15.56,15.56,15.31,15.31,8.70078080817,7800
2000-11-28,15.0,15.0,14.69,14.69,8.34843044233,600
2000-11-29,14.69,14.69,14.69,14.69,8.34843044233,0
2000-11-30,14.44,14.44,14.44,14.44,8.2063536819,13900
2000-12-01,14.44,14.44,14.44,14.44,8.2063536819,0
2000-12-04,14.38,14.38,14.38,14.38,8.1722552594,400
2000-12-05,14.38,14.38,14.38,14.38,8.1722552594,0
2000-12-06,15.13,15.13,15.13,15.13,8.59848554067,1900
2000-12-07,15.06,15.31,15.06,15.31,8.70078080817,4400
2000-12-08,15.88,15.88,15.88,15.88,9.02471582193,43500
2000-12-11,16.19,16.19,16.19,16.19,9.20089100485,3700
2000-12-12,16.31,16.31,16.25,16.25,9.23498942735,3500
2000-12-13,15.94,16.0,15.81,16.0,9.09291266693,39900
2000-12-14,16.25,16.25,16.25,16.25,9.23498942735,5300
2000-12-15,16.0,16.06,16.0,16.06,9.12701108943,700
2000-12-18,16.38,16.38,16.38,16.38,9.30886934277,700
2000-12-19,16.38,16.38,16.38,16.38,9.30886934277,600
2000-12-20,15.81,15.81,15.81,15.81,8.98777586422,700
2000-12-21,15.44,15.81,15.44,15.81,8.98777586422,500
2000-12-22,15.88,15.88,15.5,15.5,8.81154496492,4000
2000-12-26,15.5,15.5,15.5,15.5,8.81154496492,0
2000-12-27,15.88,15.88,15.88,15.88,9.02756993825,600
2000-12-28,16.38,16.38,16.38,16.38,9.31181332422,800
2000-12-29,16.38,16.5,16.0,16.5,9.38003173685,24400
2001-01-02,16.88,16.88,16.44,16.69,9.48804422352,27600
2001-01-03,16.63,18.0,16.63,18.0,10.2327618947,2700
2001-01-04,17.88,17.94,17.75,17.75,10.0906402018,4000
2001-01-05,17.38,17.38,17.38,17.38,9.88030009615,500
2001-01-08,17.38,17.38,17.38,17.38,9.88030009615,0
2001-01-09,17.94,17.94,17.88,17.88,10.1645434821,2700
2001-01-10,17.75,17.81,17.75,17.75,10.0906402018,600
2001-01-11,17.75,17.81,17.75,17.81,10.1247494081,300
2001-01-12,17.81,17.94,17.75,17.81,10.1247494081,13700
2001-01-16,17.81,17.81,17.44,17.44,9.91440930247,3300
2001-01-17,17.88,18.25,17.88,18.25,10.3748835877,10800
2001-01-18,18.38,18.44,18.38,18.44,10.4828960744,1100
2001-01-19,18.63,18.69,18.5,18.63,10.5909085611,60200
2001-01-22,18.56,18.56,18.31,18.31,10.408992794,10600
2001-01-23,18.63,18.63,18.38,18.63,10.5909085611,62400
2001-01-24,18.88,19.0,18.63,18.63,10.5909085611,1800
2001-01-25,18.56,18.56,18.56,18.56,10.551114487,2000
2001-01-26,18.38,18.5,18.31,18.5,10.5170052807,700
2001-01-29,18.25,18.7,18.25,18.7,10.6307026351,19100
2001-01-30,18.5,18.55,18.3,18.3,10.4033079263,8200
2001-01-31,18.3,18.75,18.3,18.75,10.6591269737,54600
