Date,Open,High,Low,Close,Adj Close,Volume
2010-05-20,30.11,30.65,30.03,30.65,27.4649366707,34600
2010-05-21,30.71,30.71,30.62,30.62,27.4380541879,2600
2010-05-24,30.16,30.27,30.16,30.23,27.0885819105,1500
2010-05-25,29.8,29.8,29.8,29.8,26.7032663226,100
2010-05-26,29.75,29.76,29.61,29.61,26.5330105977,600
2010-05-27,29.86,30.16,29.86,30.09,26.9631303237,22300
2010-05-28,30.08,30.13,29.79,30.0,26.8824828751,2900
2010-06-01,29.79,29.79,29.79,29.79,26.694305495,700
2010-06-02,29.855,29.9299,29.855,29.91,26.8018354265,900
2010-06-03,29.95,29.95,29.782,29.782,26.6871368329,1700
2010-06-04,29.5,29.5,29.4,29.4,26.3448332176,500
2010-06-07,29.38,29.38,29.38,29.38,26.3269115624,1500
2010-06-08,29.31,29.32,29.31,29.32,26.2731465966,400
2010-06-09,29.24,29.52,29.22,29.491,26.426376749,2000
2010-06-10,29.5,29.5,29.46,29.46,26.3985981834,1000
2010-06-11,29.42,29.42,29.42,29.42,26.3627548729,200
2010-06-14,30.05,30.09,29.892,29.892,26.7857059368,1900
2010-06-15,29.89,29.89,29.89,29.89,26.7839137712,0
2010-06-16,30.1474,30.2,29.91,30.14,27.0079344619,2000
2010-06-17,30.31,30.31,30.24,30.28,27.1333860486,1500
2010-06-18,30.1,30.17,30.1,30.17,27.0348169447,1600
2010-06-21,30.22,30.23,30.05,30.05,26.9272870132,1500
2010-06-22,30.06,30.15,30.058,30.1,26.9720911514,2400
2010-06-23,30.035,30.24,29.968,30.24,27.0975427381,5000
2010-06-24,30.25,30.37,30.25,30.34,27.1871510144,3400
2010-06-25,30.41,30.41,30.4,30.4,27.2409159801,300
2010-06-28,30.22,30.22,30.16,30.18,27.0437777724,10900
2010-06-29,29.96,30.0,29.96,30.0,26.8824828751,1000
2010-06-30,30.12,30.12,30.06,30.06,26.9362478409,900
2010-07-01,30.31,30.5,30.31,30.5,27.3969607285,600
2010-07-02,30.5,30.5,30.5,30.5,27.3969607285,0
2010-07-06,30.81,30.8562,30.81,30.8562,27.7169212993,500
2010-07-07,30.8,30.91,30.79,30.9,27.7562651315,3200
2010-07-08,30.94,30.94,30.87,30.91,27.7652477415,700
