Date,Open,High,Low,Close,Adj Close,Volume
1999-11-01,25.5,25.67,25.19,25.25,13.2226398062,374100
1999-11-02,25.19,25.75,25.14,25.22,13.2069297391,428500
1999-11-03,25.25,25.41,25.03,25.11,13.1493261597,52000
1999-11-04,25.56,25.7,25.33,25.41,13.3064268307,549200
1999-11-05,26.09,26.38,25.91,26.03,13.6311015507,332600
1999-11-08,25.97,26.0,25.75,25.89,13.5577879042,583300
1999-11-09,26.0,26.0,25.25,25.39,13.2959534526,111900
1999-11-10,25.08,25.33,24.95,25.0,13.0917225804,90100
1999-11-11,24.78,24.97,24.64,24.86,13.0184089339,173900
1999-11-12,25.41,25.97,24.72,25.94,13.5839713494,520600
1999-11-15,25.88,26.0,25.73,25.92,13.5734979713,146200
1999-11-16,26.11,26.78,26.08,26.63,13.9453028926,513900
1999-11-17,26.44,26.52,25.94,26.06,13.6468116178,343500
1999-11-18,26.2,26.2,25.66,25.98,13.6049181055,160500
1999-11-19,25.98,26.0,25.56,25.59,13.4006872333,195000
1999-11-22,25.5,25.5,25.28,25.5,13.353557032,176000
1999-11-23,25.31,25.31,24.81,25.09,13.1388527817,172200
1999-11-24,24.81,24.88,24.64,24.8,12.9869887997,103800
1999-11-26,24.97,24.97,24.63,24.63,12.8979650862,73800
1999-11-29,24.28,24.31,24.03,24.03,12.5837637443,777200
1999-11-30,24.03,24.75,24.03,24.44,12.7984679946,115300
1999-12-01,24.19,24.56,24.19,24.25,12.698970903,515800
1999-12-02,24.48,24.56,24.13,24.36,12.7565744823,99300
1999-12-03,25.03,25.41,24.94,24.94,13.0603024462,1195300
1999-12-06,24.81,24.81,24.16,24.27,12.709444281,230500
1999-12-07,24.19,24.22,23.94,24.22,12.6832608359,1032400
1999-12-08,24.16,24.16,23.64,23.64,12.379532872,594900
1999-12-09,23.91,24.03,23.61,23.98,12.5575802991,116700
1999-12-10,24.34,24.55,24.14,24.41,12.7827579275,600700
1999-12-13,24.09,24.28,23.98,24.13,12.6361306346,298600
1999-12-14,23.78,24.0,23.52,23.55,12.3324026707,357900
1999-12-15,23.52,23.63,23.38,23.48,12.2957458475,363700
1999-12-16,23.22,23.34,22.81,22.97,12.0286747069,397500
1999-12-17,22.94,23.27,22.94,23.06,12.11971088,1315400
1999-12-20,23.16,23.23,22.72,22.88,12.0251077595,972700
1999-12-21,22.88,23.66,22.81,23.31,12.2511041029,1278200
1999-12-22,23.41,23.47,23.16,23.31,12.2511041029,1113600
1999-12-23,23.31,23.75,23.31,23.69,12.4508218017,458500
1999-12-27,23.91,23.97,23.5,23.5,12.3509629523,2770300
1999-12-28,23.5,23.53,23.34,23.41,12.3036613921,110700
1999-12-29,23.34,23.8,23.34,23.64,12.4245431571,102200
1999-12-30,23.75,24.0,23.59,23.75,12.4823561752,232300
1999-12-31,24.0,24.0,23.66,23.77,12.492867633,558100
2000-01-03,23.72,23.72,22.72,22.88,12.0251077595,963200
2000-01-04,22.38,22.41,21.67,21.88,11.4995348679,719500
2000-01-05,21.88,22.11,21.47,21.89,11.5047905968,582600
2000-01-06,21.77,22.8,21.77,22.66,11.9094817234,337800
2000-01-07,22.81,23.06,22.5,23.03,12.1039436932,380300
2000-01-10,23.22,23.22,22.56,22.63,11.8937145366,374200
2000-01-11,22.41,22.69,22.25,22.25,11.6939968378,386800
2000-01-12,22.42,22.81,22.42,22.69,11.9252489101,116400
2000-01-13,23.09,23.48,22.97,23.38,12.2878942053,897300
2000-01-14,23.66,24.08,23.64,23.92,12.5717035668,594300
2000-01-18,23.84,23.84,23.13,23.13,12.1565009824,378700
2000-01-19,23.14,23.59,23.0,23.05,12.1144551511,275800
2000-01-20,23.22,23.22,22.5,22.63,11.8937145366,477800
2000-01-21,22.75,22.75,22.22,22.34,11.7412983981,404800
2000-01-24,22.56,22.56,21.75,21.94,11.5310692414,281700
2000-01-25,21.94,22.34,21.91,22.17,11.6519510065,188200
2000-01-26,22.34,23.03,22.31,23.0,12.0881765065,512200
2000-01-27,23.11,23.39,22.88,23.25,12.2195697294,213300
2000-01-28,22.63,22.88,22.25,22.44,11.7938556872,138900
2000-01-31,22.19,23.06,22.19,23.06,12.11971088,440100
2000-02-01,23.19,23.23,22.84,23.19,12.1880353559,269700
2000-02-02,23.13,23.16,22.81,22.95,12.0618978619,324800
2000-02-03,22.94,23.06,22.39,22.81,11.9883176571,284500
2000-02-04,22.89,23.0,22.44,22.58,11.867435892,175900
2000-02-07,22.41,22.53,22.19,22.34,11.7412983981,74400
2000-02-08,22.63,22.75,22.47,22.59,11.872691621,494300
2000-02-09,22.59,22.59,21.91,22.06,11.5941379884,181600
2000-02-10,22.09,22.09,21.25,21.45,11.2735385245,521100
2000-02-11,21.75,22.0,21.31,21.5,11.2998171691,478200
2000-02-14,21.53,21.69,21.08,21.69,11.3996760185,824300
2000-02-15,21.28,21.8,21.13,21.72,11.4154432053,303400
2000-02-16,21.66,21.75,21.14,21.27,11.1789354041,305700
2000-02-17,21.63,21.63,20.78,21.0,11.0370307233,497000
2000-02-18,20.91,20.91,20.06,20.25,10.6428510546,716300
2000-02-22,20.47,20.59,20.0,20.44,10.742709904,458600
2000-02-23,20.5,20.61,20.16,20.36,10.7006640727,318800
2000-02-24,20.16,20.31,19.72,19.94,10.4799234582,354000
2000-02-25,20.09,20.47,19.66,19.81,10.4115989823,494000
2000-02-28,20.31,20.64,20.0,20.45,10.747965633,995400
2000-02-29,20.7,20.73,20.25,20.59,10.8215458378,353500
2000-03-01,20.63,21.06,20.5,20.88,10.9739619763,1282400
2000-03-02,20.75,20.91,20.39,20.75,10.9056375004,487700
2000-03-03,21.19,21.19,20.75,20.94,11.0054963498,339900
2000-03-06,20.83,21.05,20.53,20.73,10.8951260426,1525800
2000-03-07,20.5,20.69,19.88,20.11,10.5692708498,1018100
2000-03-08,19.78,20.0,19.5,19.88,10.4483890847,527400
2000-03-09,19.64,20.09,19.56,19.98,10.5009463739,312900
2000-03-10,19.94,20.25,19.94,20.05,10.5377364763,149000
2000-03-13,19.47,20.47,19.47,20.25,10.6428510546,334400
2000-03-14,20.16,20.55,20.13,20.17,10.6008052233,232500
2000-03-15,20.28,21.5,20.0,21.41,11.2525156089,980200
2000-03-16,21.98,23.25,21.83,23.23,12.2090582716,1739800
2000-03-17,23.19,23.69,23.03,23.17,12.2220803911,873900
2000-03-20,23.23,23.25,22.48,22.73,11.9899821877,343000
2000-03-21,22.48,23.59,22.47,23.56,12.4278037986,757400
2000-03-22,23.52,23.88,23.38,23.77,12.5385779412,674800
2000-03-23,23.72,24.75,23.52,24.59,12.9711245929,588600
2000-03-24,24.91,25.19,24.47,24.88,13.1240984087,536300
2000-03-27,24.86,24.86,23.88,24.06,12.691551757,257200
2000-03-28,23.81,24.53,23.81,24.25,12.7917759812,301800
2000-03-29,24.5,24.5,23.83,24.06,12.691551757,192600
2000-03-30,24.28,24.38,23.91,24.11,12.7179265528,415700
2000-03-31,23.91,24.44,23.75,24.27,12.8023258995,1246000
2000-04-03,24.78,25.44,24.66,25.44,13.4194961221,438600
2000-04-04,25.5,25.63,23.5,24.42,12.881450287,1273800
2000-04-05,24.31,24.69,24.14,24.23,12.7812260629,281400
2000-04-06,24.55,24.56,24.27,24.5,12.9236499604,278700
2000-04-07,24.66,24.66,23.94,24.0,12.659902002,636400
2000-04-10,24.06,24.8,23.83,24.69,13.0238741846,145500
2000-04-11,24.78,24.89,24.34,24.84,13.1029985721,132300
2000-04-12,25.0,25.8,25.0,25.11,13.2454224696,888000
2000-04-13,24.72,24.91,24.39,24.45,12.8972751645,642100
2000-04-14,23.31,23.72,22.13,22.47,11.8528332494,849100
2000-04-17,23.0,23.03,22.25,22.66,11.9530574736,404800
2000-04-18,22.56,23.75,22.56,23.56,12.4278037986,738900
2000-04-19,23.41,23.59,22.94,23.25,12.2642800644,177600
2000-04-20,23.27,23.69,23.13,23.69,12.4963782678,142200
2000-04-24,23.56,24.25,23.44,24.25,12.7917759812,159600
2000-04-25,24.25,25.09,24.25,25.0,13.1873979188,205300
2000-04-26,24.98,24.98,24.39,24.5,12.9236499604,762600
2000-04-27,23.75,24.22,23.58,24.0,12.659902002,138300
2000-04-28,24.0,24.5,23.31,24.5,12.9236499604,354300
2000-05-01,23.38,24.28,23.34,23.95,12.6335272062,95100
2000-05-02,23.69,23.94,23.64,23.72,12.5122031453,145800
2000-05-03,23.78,23.98,23.09,23.3,12.2906548603,345500
2000-05-04,23.13,23.19,22.78,22.94,12.1007563302,146900
2000-05-05,22.69,23.16,22.66,23.09,12.1798807178,60500
2000-05-08,22.84,23.56,22.84,23.55,12.4225288395,40000
2000-05-09,23.69,23.97,23.22,23.48,12.3856041253,569800
2000-05-10,23.42,23.44,22.84,22.86,12.0585566569,283000
2000-05-11,23.16,23.67,23.16,23.55,12.4225288395,238700
2000-05-12,23.5,24.09,23.44,23.81,12.5596777778,496500
2000-05-15,23.94,24.91,23.94,24.88,13.1240984087,400700
2000-05-16,24.89,25.11,24.53,24.73,13.0449740212,176500
2000-05-17,24.27,24.66,24.25,24.31,12.8234257362,95900
2000-05-18,24.47,25.09,24.47,24.63,12.9922244296,230700
2000-05-19,24.66,24.66,24.0,24.19,12.7601262262,148100
2000-05-22,24.3,24.5,23.88,24.5,12.9236499604,146100
2000-05-23,24.38,24.75,24.28,24.66,13.0080493071,165500
2000-05-24,24.52,25.19,24.52,24.97,13.1715730413,270200
2000-05-25,24.92,25.03,24.09,24.34,12.8392506137,432800
2000-05-26,24.13,24.47,24.0,24.25,12.7917759812,523700
2000-05-30,24.7,24.81,24.44,24.75,13.0555239396,256200
2000-05-31,24.78,25.09,24.63,25.05,13.2137727146,123500
2000-06-01,25.17,25.92,25.13,25.88,13.6515943255,472000
2000-06-02,27.13,27.16,26.56,26.94,14.2107399972,1106700
2000-06-05,26.88,26.88,26.06,26.33,13.888967488,174000
2000-06-06,26.13,26.64,25.5,25.75,13.5830198563,237800
2000-06-07,25.67,26.31,25.67,26.13,13.7834683047,94200
2000-06-08,26.16,26.16,25.53,25.69,13.5513701013,248200
2000-06-09,25.94,26.0,25.13,25.25,13.3192718979,227000
2000-06-12,25.31,25.53,25.28,25.47,13.4353209996,85000
2000-06-13,25.25,25.75,25.13,25.44,13.4194961221,559900
2000-06-14,25.69,26.16,25.56,25.88,13.6515943255,234800
2000-06-15,25.5,25.63,24.84,25.27,13.3298218163,952300
2000-06-16,24.81,24.91,23.81,24.0,12.7059792978,1101500
2000-06-19,23.88,24.75,23.88,24.63,13.0395112544,687100
2000-06-20,24.73,24.75,24.25,24.31,12.8700981971,637800
2000-06-21,24.13,24.34,23.88,24.13,12.7748033524,371300
2000-06-22,23.88,24.11,23.63,24.11,12.7642150363,382200
2000-06-23,24.13,24.44,23.91,23.94,12.6742143496,451900
2000-06-26,24.19,24.47,24.06,24.31,12.8700981971,175500
2000-06-27,24.56,24.69,24.34,24.55,12.9971579901,220000
2000-06-28,24.66,24.75,24.31,24.36,12.8965689873,315900
2000-06-29,24.08,24.44,24.0,24.34,12.8859806712,75300
