Date,Open,High,Low,Close,Adj Close,Volume
2005-09-30,81.2000,122.5000,63.3500,64.0200,6.4020,104538100
2005-10-31,64.4400,89.7000,60.0800,69.4400,6.9440,43423400
2005-11-30,69.6300,85.4800,67.5000,77.9800,7.7980,19927100
2005-12-30,79.9800,81.5000,62.7000,62.9200,6.2920,12587600
2006-01-31,64.2500,69.9000,50.4900,54.5100,5.4510,15269800
2006-02-28,53.7000,61.5000,44.4400,51.4200,5.1420,20523400
2006-03-31,52.4800,58.4500,46.0000,56.0700,5.6070,17598600
2006-04-28,57.5500,63.0000,54.2500,57.9600,5.7960,16810400
2006-05-31,58.4000,91.2500,57.9600,77.8200,7.7820,72828300
2006-06-30,78.4400,94.0300,76.2900,82.5300,8.2530,62913000
2006-07-31,83.4500,96.6700,70.2700,71.7000,7.1700,69848800
2006-08-31,70.9700,82.0000,67.9200,77.7100,7.7710,31798600
2006-09-29,77.7900,92.1000,76.3000,87.5400,8.7540,31636100
2006-10-31,86.9000,99.0800,82.2400,87.2800,8.7280,37691100
2006-11-30,86.2500,117.1599,83.6500,115.7800,11.5780,68616700
2006-12-29,115.0000,128.6799,109.7500,112.6900,11.2690,60709400
2007-01-31,118.0000,134.1000,115.0000,124.9400,12.4940,53514800
2007-02-28,126.5000,126.5000,100.8000,106.7000,10.6700,53392200
2007-03-30,104.9900,107.4900,93.4400,96.5500,9.6550,38424700
2007-04-30,96.5000,132.8000,92.8000,121.5800,12.1580,43952700
2007-05-31,121.8700,141.6100,120.2500,140.4901,14.0490,45456700
2007-06-29,142.5000,172.0000,134.6700,167.9800,16.7980,43111100
2007-07-31,172.9500,219.2500,170.2600,201.9800,20.1980,107330800
2007-08-31,200.7700,213.7200,161.0000,208.2000,20.8200,79824700
2007-09-28,209.8300,304.4000,207.8660,289.6500,28.9650,105289600
2007-10-31,292.0300,385.5000,280.6600,382.4900,38.2490,186233900
2007-11-30,376.8300,429.1900,300.9200,381.9600,38.1960,194111500
2007-12-31,378.5600,418.2200,348.9100,389.8000,38.9800,107998600
2008-01-31,394.5000,397.7000,237.0100,279.9500,27.9950,180257600
2008-02-29,282.6600,285.7400,223.1600,251.3300,25.1330,175099900
2008-03-31,249.4200,279.8500,201.1500,239.6300,23.9630,148335000
2008-04-30,244.6500,378.2000,243.0000,365.6000,36.5600,150072700
2008-05-30,366.0000,382.9000,321.8500,345.0600,34.5060,87134200
2008-06-30,342.5200,361.9900,303.2000,312.9600,31.2960,63852400
2008-07-31,306.5200,353.3700,272.5400,347.1500,34.7150,76867900
2008-08-29,346.0300,346.9600,301.7800,313.7200,31.3720,39418200
2008-09-30,319.8000,322.0000,227.0000,248.2300,24.8230,66172400
2008-10-31,248.0400,274.8300,176.3301,206.0000,20.6000,79809400
2008-11-28,210.1300,239.7500,105.5500,135.8800,13.5880,91077900
2008-12-31,123.8600,142.4500,100.5000,130.5700,13.0570,87694500
2009-01-30,132.0000,139.9799,105.0000,128.7700,12.8770,51322600
2009-02-27,128.0000,153.0000,119.6500,148.3200,14.8320,49116900
2009-03-31,147.1125,197.6900,136.2600,176.6000,17.6600,49732800
2009-04-30,174.3100,236.6151,171.0200,232.9000,23.2900,44331000
2009-05-29,233.9900,264.2100,229.5500,263.8000,26.3800,30841100
2009-06-30,268.1900,310.2500,265.5400,301.0900,30.1090,46125800
2009-07-31,302.7900,368.4900,268.0300,348.1400,34.8140,47076900
2009-08-31,354.6200,360.0100,318.5092,330.0600,33.0060,28062100
2009-09-30,327.9100,408.0000,316.4900,391.0500,39.1050,40207100
2009-10-30,390.7300,439.9000,353.0300,377.9200,37.7920,61514300
2009-11-30,379.5000,443.2500,369.1200,433.7400,43.3740,33107200
2009-12-31,438.6300,441.0000,394.5600,411.2300,41.1230,24274600
2010-01-29,415.9800,470.2500,384.6610,411.7100,41.1710,52570900
2010-02-26,417.7800,518.6900,416.8100,518.6800,51.8680,31952100
2010-03-31,520.8500,628.5000,512.5100,597.0000,59.7000,41168800
2010-04-30,603.6600,718.0000,596.7500,688.9600,68.8960,28177100
2010-05-28,696.9700,716.6700,66.0300,73.2100,73.2100,235081650
2010-06-30,72.8450,78.5900,66.4400,68.0800,68.0800,263385000
2010-07-30,69.3500,81.9900,65.9000,81.4100,81.4100,247913200
2010-08-31,83.0300,88.3200,76.0000,78.4300,78.4300,194925300
2010-09-30,80.4400,107.1900,79.9000,102.6200,102.6200,206571300
2010-10-29,103.4600,113.7800,95.1200,110.0100,110.0100,295602400
2010-11-30,111.7600,115.0400,103.1102,105.0500,105.0500,203996700
2010-12-31,107.8400,112.0788,94.3300,96.5300,96.5300,171935200
2011-01-31,97.9500,109.9190,97.5800,108.6300,108.6300,142380600
2011-02-28,116.3900,131.6300,112.9500,121.1600,121.1600,140716100
2011-03-31,119.7200,138.5300,117.0000,137.8100,137.8100,146606800
2011-04-29,138.4500,156.0400,136.0200,148.5200,148.5200,176754800
2011-05-31,149.9300,150.5000,124.6600,135.7100,135.7100,171065000
2011-06-30,135.0000,140.2500,114.1400,140.1300,140.1300,225082800
2011-07-29,139.4400,165.9600,137.7000,157.0700,157.0700,173176100
2011-08-31,161.7000,161.9000,125.1100,145.7800,145.7800,257089500
2011-09-30,145.0304,150.4600,100.9500,106.9100,106.9100,200960700
2011-10-31,104.7100,147.6800,102.0000,140.1800,140.1800,208090900
2011-11-30,133.3700,144.9400,118.0000,130.9900,130.9900,110951700
2011-12-30,130.1500,137.2100,110.6900,116.4700,116.4700,109872300
2012-01-31,120.0001,132.2500,117.1700,127.5200,127.5200,123227800
2012-02-29,129.8101,142.4900,126.0600,136.7000,136.7000,135656900
2012-03-30,137.9800,154.1500,131.4000,145.7700,145.7700,118192200
2012-04-30,144.6300,152.8500,128.9400,132.7000,132.7000,103661400
2012-05-31,132.6500,135.7400,115.0300,117.7700,117.7700,91268800
2012-06-29,115.0000,124.8000,107.5000,114.9800,114.9800,79031200
2012-07-31,115.0700,124.2000,99.7100,120.5200,120.5200,104982800
2012-08-31,122.0500,134.7100,110.1300,111.4400,111.4400,124726900
2012-09-28,112.3600,117.2000,106.6000,116.8900,116.8900,116676200
2012-10-31,114.4700,116.8000,105.9400,106.7300,106.7300,95693900
2012-11-30,107.3600,108.0800,90.5500,96.3100,96.3100,115794000
2012-12-31,96.9300,102.5000,85.9600,100.2900,100.2900,95033800
2013-01-31,103.3300,114.8800,99.3200,108.3000,108.3000,89282600
2013-02-28,108.8600,109.0300,87.5430,90.7600,90.7600,96689100
2013-03-28,90.0000,93.2100,83.3050,87.7000,87.7000,76901900
2013-04-30,87.8200,92.7400,82.9800,85.8500,85.8500,91608800
2013-05-31,85.8500,100.6800,84.4500,96.6400,96.6400,97564200
2013-06-28,97.0400,103.6100,88.0800,94.6020,94.6020,73232600
2013-07-31,95.3500,133.3480,88.8900,132.3100,132.3100,115749200
2013-08-30,133.6500,143.1200,132.1791,135.5300,135.5300,70206100
2013-09-30,137.8900,155.8000,132.3100,155.1800,155.1800,68579600
2013-10-31,155.3000,169.7500,141.5200,160.7990,160.7990,104118900
2013-11-29,162.9900,169.5500,142.7000,166.5700,166.5700,67712000
2013-12-31,167.1400,181.2500,163.3100,177.8800,177.8800,64819700
2014-01-31,177.4900,185.5000,155.2077,156.5000,156.5000,86043400
2014-02-28,156.2600,180.4800,148.6000,170.9300,170.9300,82381900
2014-03-31,168.0000,189.3400,144.1600,152.2700,152.2700,104711500
2014-04-30,155.2000,167.3600,140.6600,153.8500,153.8500,118704800
2014-05-30,154.5900,170.7900,148.4420,165.8101,165.8101,63761700
2014-06-30,166.5000,188.6631,160.8000,186.8100,186.8100,60611500
2014-07-31,188.0500,229.6000,176.6900,216.0500,216.0500,82732100
2014-08-29,216.3200,222.1273,210.1000,214.5200,214.5200,47175300
2014-09-30,215.2700,231.4100,208.3500,218.2300,218.2300,71080499
2014-10-31,218.0000,242.6200,194.3100,238.7700,238.7700,101351061
2014-11-28,239.1800,251.9900,233.0000,245.1100,245.1100,58574398
2014-12-31,242.0000,242.0000,217.5000,227.9700,227.9700,57386356
2015-01-30,229.4600,234.6700,212.8200,217.9200,217.9200,57378096
2015-02-27,218.7700,220.8300,199.7000,203.7500,203.7500,73051262
2015-03-31,204.1900,218.5595,202.2000,208.4000,208.4000,54914636
2015-04-30,210.1400,223.9500,199.6000,200.2800,200.2800,76306064
2015-05-29,200.9000,206.9000,188.6000,197.4000,197.4000,75001938
2015-06-30,198.9400,214.2200,197.5800,199.0800,199.0800,52378454
2015-07-31,200.5900,210.0000,162.0000,172.6600,172.6600,120805045
2015-08-31,170.8200,179.0600,100.0000,147.2500,147.2500,114037123
2015-09-30,142.9300,153.4200,130.7700,137.4100,137.4100,81099883
2015-10-30,138.3200,189.5498,135.3100,187.4700,187.4700,100630640
2015-11-30,185.4000,217.9700,185.3900,217.9700,217.9700,105978918
2015-12-31,213.3900,215.2000,188.3300,189.0400,189.0400,67004241
2016-01-29,181.2900,189.8400,154.5300,163.2700,163.2700,75016800
2016-02-29,160.2700,176.8100,139.6100,173.4200,173.4200,85468018
2016-03-31,175.6900,193.7300,169.2800,190.8800,190.8800,52150390
2016-04-29,188.7900,201.0000,181.4400,194.3000,194.3000,48523428
2016-05-31,185.3300,185.5100,158.3800,178.5400,178.5400,113223430
2016-06-30,176.5300,179.0000,155.2800,165.1500,165.1500,72003011
2016-07-29,165.2400,172.7600,155.2800,159.6000,159.6000,62691698
2016-08-31,159.8000,178.8800,158.6200,171.0700,171.0700,50142838
2016-09-30,171.8500,197.8000,171.7700,182.0700,182.0700,64078783
2016-10-31,182.8400,187.2400,171.8900,176.8600,176.8600,46810818
2016-11-30,176.7500,177.3500,159.5400,166.9500,166.9500,45787317
2016-12-30,167.5200,173.0000,160.7900,164.4100,164.4100,38120866
2017-01-31,166.3000,183.0000,165.8200,175.0700,175.0700,39877561
2017-02-28,176.7300,188.5400,171.7300,174.1300,174.1300,46533798
