Date,Open,High,Low,Close,Adj Close,Volume
2015-02-27,19.1800,21.0000,16.4100,18.6600,18.6600,32673587
2015-03-31,18.6600,20.6500,16.6000,19.7500,19.7500,27501406
2015-04-30,19.6900,19.6900,16.8100,17.1100,17.1100,12269804
2015-05-29,17.1100,17.9900,16.6000,17.6400,17.6400,6936857
2015-06-30,17.7400,20.6000,16.7600,18.6400,18.6400,24381923
2015-07-31,18.9600,19.1400,16.1500,16.3300,16.3300,24168456
2015-08-31,16.2100,16.3499,11.6900,13.4800,13.4800,19733300
2015-09-30,13.2700,14.8000,11.9000,12.5800,12.5800,21725845
2015-10-30,12.6700,13.8700,10.9300,12.4800,12.4800,19787429
2015-11-30,12.4700,14.1400,12.2100,14.0000,14.0000,16086152
2015-12-31,14.0000,14.5200,12.2000,13.9600,13.9600,29327942
2016-01-29,13.4600,14.3600,8.8200,10.7600,10.7600,21198830
2016-02-29,10.7300,12.3000,8.9600,11.5100,11.5100,16104471
2016-03-31,11.6300,14.4000,11.3701,12.2600,12.2600,31439229
2016-04-29,12.3100,13.4818,11.8200,12.9300,12.9300,17830831
2016-05-31,13.1000,13.1600,11.4100,12.5600,12.5600,11580987
2016-06-30,12.5500,12.9300,9.9600,10.3400,10.3400,33618341
2016-07-29,10.3000,11.7800,9.8600,11.6500,11.6500,13804194
2016-08-31,11.6100,13.7700,11.4600,13.7400,13.7400,16008962
2016-09-30,13.2500,15.8500,13.2000,15.7600,15.7600,37909260
2016-10-31,15.7600,16.5900,14.2910,14.4200,14.4200,16381425
2016-11-30,14.4100,16.1200,13.6200,15.2200,15.2200,15796109
2016-12-30,15.6000,15.8970,13.5600,13.8600,13.8600,20761301
2017-01-31,14.0500,17.4800,13.9040,17.0700,17.0700,27515004
2017-02-28,17.0800,18.3600,16.8200,17.6200,17.6200,20333471
2017-03-31,17.8200,18.3100,15.7300,16.3100,16.3100,26901221
2017-04-28,16.2600,17.6050,16.2600,17.2400,17.2400,22114294
2017-05-31,17.2600,19.1800,16.7600,18.7000,18.7000,27922878
2017-06-30,19.8200,20.9100,17.4000,18.2400,18.2400,74294232
