Date,Open,High,Low,Close,Adj Close,Volume
2007-07-31,29.2700,31.9900,23.2700,24.0100,10.4690,123596200
2007-08-31,24.3400,27.2600,22.0400,23.1300,10.0853,119037300
2007-09-28,23.0900,26.7900,21.3000,25.0800,10.9356,84717300
2007-10-31,24.7200,29.7500,24.6500,25.4300,11.0882,68835800
2007-11-30,25.0000,25.3000,20.4000,22.0000,9.7266,71140200
2007-12-31,21.8700,24.2600,21.1700,22.1300,9.7841,47639400
2008-01-31,22.3700,22.5900,17.2500,18.3500,8.1129,90648200
2008-02-29,18.7000,18.9900,15.2500,16.5000,7.2950,71441900
2008-03-31,16.3300,16.9500,13.4000,15.8800,7.1582,91995400
2008-04-30,16.1000,19.7700,15.9100,18.6700,8.4158,53567600
2008-05-30,18.5100,20.9800,18.4300,19.4700,8.9175,38969400
2008-06-30,19.4200,19.6000,16.7700,18.2100,8.3404,37735500
2008-07-31,18.1000,18.7500,14.0200,18.5700,8.5053,48992100
2008-08-29,18.4600,19.4900,16.4100,17.8800,8.3331,25330700
2008-09-30,17.9600,19.5000,14.0000,15.3400,7.1493,47866300
2008-10-31,15.3400,15.9500,6.8800,9.1400,4.2598,73164400
2008-11-28,9.1700,9.1900,4.1500,6.2600,3.0601,40756800
2008-12-31,6.0000,7.3400,5.1800,6.5300,3.1921,28182900
2009-01-30,6.5900,8.1600,4.0500,4.5100,2.2046,40724800
2009-02-27,4.4300,5.5100,3.5500,4.8700,2.3806,40216900
2009-03-31,4.5500,9.1900,4.3200,7.2500,3.5440,95890500
2009-04-30,7.1100,10.0000,6.8900,9.7900,4.7856,64539000
2009-05-29,9.7100,14.4400,9.6200,10.9500,5.4970,90717800
2009-06-30,11.1900,12.0900,10.4200,10.5400,5.2911,51140200
2009-07-31,10.7200,11.9400,8.5400,11.2600,5.6526,44972400
2009-08-31,11.5400,15.3800,11.4000,12.8900,6.6195,88230500
2009-09-30,12.7500,15.3000,12.0100,14.2000,7.2922,93385400
2009-10-30,14.1900,17.2200,12.7100,13.4200,6.8917,91834400
2009-11-30,13.5400,15.9300,13.0600,13.8400,7.2611,77205300
2009-12-31,14.0900,14.1400,12.9000,13.1200,6.8833,54974500
2010-01-29,13.2500,14.2800,12.0600,12.1300,6.3639,59297100
2010-02-26,12.4200,14.2700,12.0300,13.9800,7.3345,51263700
2010-03-31,14.1000,15.1000,13.8900,14.0000,7.4929,86117400
2010-04-30,14.1100,15.4900,13.9800,13.9800,7.4822,95724300
2010-05-28,14.0100,14.5300,9.8800,10.6500,5.7438,111808100
2010-06-30,10.4700,10.8000,9.3400,9.5600,5.1560,58336800
