Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,53.0600,57.5600,53.0000,55.6900,255.6911,188962500
2000-01-31,55.6300,60.1300,49.5000,57.0000,261.7058,225075750
2000-02-29,57.5600,58.6300,47.1300,51.7500,238.2764,249552750
2000-03-31,53.2500,62.3800,47.7500,59.8800,275.7100,277573500
2000-04-28,60.0000,65.4400,56.0000,59.0000,272.3649,213606750
2000-05-31,60.1900,63.3800,56.3800,62.1900,287.0911,181141500
2000-06-30,63.0000,67.6300,60.0000,60.2500,278.1353,176065500
2000-07-31,60.6900,72.0000,60.5600,70.5000,325.4530,140844750
2000-08-31,70.9400,78.3100,56.8100,58.3900,360.1042,156557000
2000-09-29,58.6300,59.0600,51.1300,54.0600,333.4001,242964000
2000-10-31,54.0600,57.1300,44.5000,52.6300,324.5810,304351000
2000-11-30,52.0000,55.8100,46.5000,49.8100,307.9999,249774000
2000-12-29,50.8800,53.6900,46.7500,51.0600,315.7293,289562000
2001-01-31,51.7500,57.3800,50.0600,55.9700,346.0903,326373000
2001-02-28,55.7500,56.6900,45.5000,49.1800,304.8631,234532000
2001-03-30,48.3000,51.5000,39.0000,44.9800,278.8276,364285000
2001-04-30,44.5500,52.4900,41.4000,49.1500,304.6771,271914000
2001-05-31,49.2000,53.0000,48.9100,51.2500,318.5670,231899000
2001-06-29,51.2600,53.7500,47.7500,52.8400,328.4503,235685000
2001-07-31,52.9500,53.7300,47.3000,50.2100,312.1024,237756000
2001-08-31,50.7000,51.4400,44.5000,45.8000,285.5824,229213000
2001-09-28,46.2500,47.3000,34.5100,40.5000,252.5346,292037000
2001-10-31,40.7800,48.7500,40.5000,45.5200,283.8364,350971000
2001-11-30,45.4500,50.9900,44.7000,47.9000,299.7100,254000000
2001-12-31,48.0000,51.8000,46.0000,50.4800,315.8530,240552000
2002-01-31,50.0200,52.2000,25.0000,47.4000,297.5826,272802000
2002-02-28,47.4000,47.4000,41.5000,45.2500,284.0847,319190000
2002-03-28,45.5000,50.4900,44.8200,49.5200,310.8922,260644000
2002-04-30,49.8000,49.8000,42.7500,43.3000,271.8424,276912000
2002-05-31,43.3000,47.0900,42.0900,43.1800,272.1745,266894000
2002-06-28,43.4500,43.7400,36.0000,38.7500,244.2511,370328000
2002-07-31,38.9500,39.7500,24.4800,33.5400,211.4112,724968000
2002-08-30,33.0000,36.6000,25.9500,32.7500,222.1460,432150000
2002-09-30,30.9900,31.8000,24.4200,29.6500,201.1184,470709000
2002-10-31,30.0200,37.2500,25.0800,36.9500,251.8559,544367000
2002-11-29,36.7500,39.5000,34.2900,38.8800,265.0110,343205000
2002-12-31,38.8900,39.4800,34.6000,35.1900,239.8595,291565000
2003-01-31,35.7000,38.9000,33.6500,34.3800,235.7088,333818000
2003-02-28,34.3800,35.0100,31.0500,33.3400,228.5786,279004000
2003-03-31,33.8500,37.2000,30.2500,34.4500,236.1887,335734000
2003-04-30,34.4600,40.4000,34.4600,39.2500,269.0975,330774000
2003-05-30,39.0500,41.6400,38.0900,41.0200,282.6748,300811000
2003-06-30,41.4800,45.7200,40.7000,42.8000,294.9410,278118000
2003-07-31,42.3600,48.1450,42.3500,44.8000,311.1352,300628000
2003-08-29,45.0800,45.5800,42.4800,43.3500,301.0650,248923000
2003-09-30,43.3500,47.4800,43.2500,45.5100,316.0662,266743000
2003-10-31,45.9600,49.1500,45.7400,47.4000,331.6168,284283000
2003-11-28,47.6000,48.9800,44.8400,47.0300,329.0282,224959000
2003-12-31,47.4100,48.6400,46.0000,48.5400,339.5924,213350000
2004-01-30,49.0500,51.1100,48.5400,49.4800,348.9672,269997000
2004-02-27,49.5000,50.3600,47.9900,50.2600,354.4683,219251000
2004-03-31,50.6000,52.0500,48.2300,51.7000,364.6242,328451000
2004-04-30,51.9800,52.8800,47.8500,48.0900,341.9804,277318000
2004-05-28,48.1000,49.1800,44.8300,46.4300,330.1757,288495000
2004-06-30,46.4600,47.6200,46.0600,46.5000,330.6735,227380000
2004-07-30,46.5000,46.7500,43.5500,44.0900,316.3676,294973000
2004-08-31,43.1700,46.8100,42.9900,46.5800,334.2346,216034000
2004-09-30,46.5700,47.4700,43.5400,44.1200,316.5829,280382000
2004-10-29,44.4700,45.1800,42.1000,44.3700,321.2541,296952000
2004-11-30,44.4500,47.1000,44.2100,44.7500,324.0054,302864000
2004-12-31,45.0300,49.0600,44.9300,48.1800,348.8398,289306000
2005-01-31,49.0000,49.3000,47.2500,49.0500,355.1389,309746000
2005-02-28,49.3000,49.9900,29.2000,47.7200,348.6023,260009000
2005-03-31,47.9300,48.6800,44.0500,44.9400,328.2940,365207000
2005-04-29,45.4000,47.1500,43.8000,46.9600,346.3182,318712000
2005-05-31,46.9600,48.1400,44.9000,47.1100,347.4245,244307000
2005-06-30,47.1200,48.1000,46.2000,46.2300,340.9347,235308000
2005-07-29,46.5000,46.8100,43.5000,43.5000,324.0199,371216000
2005-08-31,43.6000,44.4300,42.9100,43.7700,326.0310,347699000
2005-09-30,43.6000,47.7000,43.3800,45.5200,339.0663,290082000
2005-10-31,45.7400,46.2500,44.0000,45.7800,341.0030,319974000
2005-11-30,45.9500,49.7600,45.2100,48.5500,365.1369,333252000
2005-12-30,48.9600,49.7300,48.2200,48.5300,364.9865,278363000
2006-01-31,49.0000,49.5800,45.6300,46.5800,350.3209,337960000
2006-02-28,46.5900,47.1300,44.8100,46.3700,352.5238,269772000
2006-03-31,46.3900,48.0100,45.8000,47.2300,359.0619,310683000
2006-04-28,47.4100,49.9500,47.1500,49.9500,383.6049,300195000
2006-05-31,49.9700,50.7200,48.4300,49.3000,378.6130,351643000
2006-06-30,49.3800,50.4100,47.4700,48.2500,370.5492,348831000
2006-07-31,48.6000,49.7300,46.2200,48.3100,371.0100,310020000
2006-08-31,48.3100,49.7100,47.2200,49.3500,382.8284,268465000
2006-09-29,49.7000,50.3500,48.4200,49.6700,385.3108,255600000
2006-10-31,49.6800,51.3300,49.2800,50.1600,389.1119,376934000
2006-11-30,50.5500,50.9500,49.4300,49.5900,388.4799,306951000
2006-12-29,49.5900,57.0000,48.8300,55.7000,436.3446,434130000
2007-01-31,55.9500,56.2800,53.5000,54.5900,427.6490,359921000
2007-02-28,54.4500,55.5000,49.5600,50.3700,398.4835,363962000
