Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,52.0000,52.4400,42.7500,47.8800,15.9831,25746137
2000-01-31,48.7500,60.8800,45.5000,47.6900,15.9197,29767537
2000-02-29,48.2500,51.5000,41.1900,41.8100,13.9569,21646136
2000-03-31,40.0000,50.8800,37.0000,45.8800,15.3238,34803470
2000-04-28,46.2500,56.8800,44.7500,55.0600,18.3899,21617536
2000-05-31,55.0600,66.9400,55.0000,65.8800,22.0038,22208604
2000-06-30,64.1300,74.1000,61.0000,74.0000,24.7263,24169736
2000-07-31,73.5000,74.9400,67.1900,73.5000,24.5592,18504403
2000-08-31,73.6900,85.0000,69.0000,81.8300,27.3426,20134004
2000-09-29,82.5000,95.3100,81.5000,88.1900,29.4772,23276270
2000-10-31,88.4400,96.5600,86.7500,94.7500,31.6699,27018537
2000-11-30,94.8800,101.9000,88.6900,99.9400,33.4046,26685604
2000-12-29,100.5000,104.9000,88.5000,99.6300,33.3109,32065269
2001-01-31,99.8800,101.3000,87.0000,95.3000,31.8631,31308338
2001-02-28,95.1000,102.4000,94.8000,101.5000,33.9361,24481936
2001-03-30,101.8000,103.8000,85.0000,96.7500,32.3584,33980337
2001-04-30,96.7500,98.0000,62.5000,67.4000,33.8133,29170403
2001-05-31,67.4100,72.9500,64.0000,71.9900,36.1160,35446100
2001-06-29,71.9900,77.3200,68.0000,69.0000,34.6282,41898500
2001-07-31,69.0000,75.2000,66.7500,73.6300,36.9518,32786600
2001-08-31,74.3000,76.6500,71.2700,72.9400,36.6055,25911200
2001-09-28,73.3000,75.1700,66.0500,73.9500,37.1253,27921700
2001-10-31,73.7500,76.6000,66.9900,67.1100,33.6914,50520700
2001-11-30,64.2500,70.1000,60.3000,68.3200,34.2988,69496600
2001-12-31,68.9000,69.1600,62.7900,64.6600,32.4742,35275700
2002-01-31,64.2000,68.7000,60.7000,65.9100,33.1020,53326600
2002-02-28,66.3500,67.7000,62.4300,66.0900,33.1924,30388800
2002-03-28,66.1000,72.0000,63.8000,70.8900,35.6157,34721100
2002-04-30,71.9500,73.7000,67.1000,69.3000,34.8169,43347700
2002-05-31,69.2500,71.9000,65.7500,66.4600,33.3900,30291900
2002-06-28,66.3500,67.2000,59.4500,61.4100,30.8651,46940000
2002-07-31,61.4100,61.5500,46.6000,57.6000,28.9502,84333900
2002-08-30,57.6500,68.5000,51.2500,64.8400,32.5890,52388900
2002-09-30,64.2600,67.2300,59.6500,62.2000,31.2744,49393200
2002-10-31,62.9000,71.9500,60.5000,69.2100,34.7990,66803200
2002-11-29,69.3000,72.3000,61.0300,61.5400,30.9425,73153700
2002-12-31,62.7600,64.6500,56.8000,59.1900,29.7738,55955600
2003-01-31,60.0000,63.7200,54.9600,58.3300,29.3412,57809100
2003-02-28,58.7000,60.2000,52.5000,57.2900,28.8180,59007900
2003-03-31,57.2900,58.6300,50.0000,56.9700,28.6695,68954600
2003-04-30,56.9000,60.0000,52.0000,55.2800,27.8928,75585100
2003-05-30,55.2700,58.7200,54.8500,57.7100,29.1189,55656300
2003-06-30,57.9000,66.9500,57.7100,64.3000,32.4591,65637300
2003-07-31,64.3000,67.9600,54.7500,54.7500,27.6381,65460800
2003-08-29,54.1300,60.9000,54.1300,56.9300,28.7386,81335400
2003-09-30,57.1000,59.0900,55.9900,58.3900,29.4909,42670600
2003-10-31,58.5000,59.5300,55.6500,59.3400,29.9707,53332000
2003-11-28,59.4000,62.0500,56.7500,61.1400,30.8798,36913100
2003-12-31,61.4700,64.7300,60.9800,61.1600,30.9046,40322000
2004-01-30,60.0800,64.9300,58.6900,64.1100,32.3952,59544300
2004-02-27,64.1200,65.9900,63.6000,65.2300,32.9612,28528600
2004-03-31,65.2300,69.4900,63.5500,68.9000,34.8310,44161900
2004-04-30,68.9000,73.9100,68.8700,73.2500,37.0301,39131000
2004-05-28,73.1500,76.5400,65.3910,67.7100,34.2294,52603300
2004-06-30,67.7500,70.4000,66.5200,70.0500,35.4276,27647600
2004-07-30,59.2500,59.2600,42.9500,44.5000,22.5058,136768400
2004-08-31,44.1000,45.9000,42.2000,45.2000,22.8598,54419600
2004-09-30,45.2800,48.7100,43.3300,43.7700,22.1515,61287100
2004-10-29,43.7800,48.5500,36.0800,46.7500,23.6597,76904400
2004-11-30,46.6500,52.5500,45.5300,52.2800,26.4583,46105000
2004-12-31,52.3800,58.7600,51.8400,58.1500,29.4444,46846200
2005-01-31,58.2000,58.4400,53.6200,56.3200,28.5178,37463600
2005-02-28,56.6600,60.6700,55.2500,58.5500,29.6470,44477700
2005-03-31,58.5500,59.1400,52.8500,55.8000,28.2700,37986100
2005-04-29,55.1000,56.8800,53.2000,55.5700,28.1534,40684100
2005-05-31,55.5700,59.6600,54.9800,57.9300,29.3491,31508400
2005-06-30,57.8500,61.1000,55.1500,57.5800,29.2023,46884600
