Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,44.1900,50.5000,43.4400,47.8100,28.7831,26803800
2000-01-31,46.0000,51.2500,41.8800,45.0600,27.1275,40287700
2000-02-29,45.0600,48.2500,27.2500,28.8100,17.4095,64788300
2000-03-31,28.8100,29.0600,21.1900,24.8100,14.9924,111640100
2000-04-28,24.8100,25.2500,21.5000,24.8800,15.0347,44193600
2000-05-31,24.5600,28.8800,24.0000,27.2500,16.5362,32767800
2000-06-30,27.1300,27.5000,18.3100,19.5000,11.8332,75853200
2000-07-31,19.1300,21.8100,18.6300,18.6300,11.3053,36506900
2000-08-31,18.6900,23.8800,18.6900,19.9600,12.1731,42497500
2000-09-29,20.0000,25.8800,19.5600,24.6300,15.0212,40168200
2000-10-31,24.5000,25.3100,19.7500,24.8100,15.1310,22822000
2000-11-30,24.6900,25.0000,21.1300,22.6900,13.9021,19860700
2000-12-29,22.5600,32.2500,21.9400,30.8100,18.8772,42300000
2001-01-31,30.0000,34.9400,27.5600,32.2600,19.7656,39942100
2001-02-28,32.7000,34.9000,28.8500,33.3400,20.4963,31080800
2001-03-30,33.4000,33.4000,23.6000,27.6700,17.0106,43246000
2001-04-30,27.7500,29.5000,24.5000,26.5000,16.2913,44072800
2001-05-31,26.4000,30.0000,26.4000,28.2300,17.4189,29430100
2001-06-29,28.1000,30.7200,25.8900,30.7000,18.9429,28841000
2001-07-31,30.7000,33.7400,29.0100,33.4000,20.6089,28500900
2001-08-31,33.2000,33.5500,29.9000,31.2800,19.3648,26271700
2001-09-28,30.7500,31.4700,16.9500,22.0200,13.6321,68310800
2001-10-31,22.0300,23.9900,19.8000,21.7800,13.4836,54502900
2001-11-30,22.0000,26.5900,21.6000,26.1100,16.2308,37270900
2001-12-31,26.3500,28.4400,25.7500,28.0800,17.4554,26510800
2002-01-31,27.8300,28.6200,25.3500,27.0400,16.8089,36404200
2002-02-28,27.2400,27.8500,25.0500,27.2900,17.0314,27556500
2002-03-28,27.4000,33.5900,27.4000,32.6500,20.3765,41715400
2002-04-30,32.5100,33.4800,30.5500,33.3100,20.7884,37799600
2002-05-31,33.5000,34.6400,29.8100,30.4000,19.0374,31497500
2002-06-28,30.6500,30.9000,26.9100,27.6900,17.3403,35569300
2002-07-31,27.6000,28.6400,22.8100,26.5000,16.5951,45040600
2002-08-30,26.3000,26.8300,23.2800,24.4700,15.3882,37816800
2002-09-30,24.2800,25.8000,23.2500,25.1000,15.7844,66549700
2002-10-31,25.0500,27.4500,22.0700,26.1200,16.4258,74622200
2002-11-29,26.2000,29.7800,26.0700,28.0500,17.7073,49533800
2002-12-31,28.0500,28.1500,24.5100,24.9500,16.0095,49647600
2003-01-31,24.9600,26.1000,23.4000,24.1000,15.4641,60989600
2003-02-28,24.1000,24.3900,21.8500,22.9700,14.8087,54101400
2003-03-31,23.0100,26.9400,20.3400,24.1100,15.5437,77708500
2003-04-30,23.9800,27.8300,23.6700,27.5900,17.7873,81281100
2003-05-30,27.5900,30.7400,27.1500,30.6000,19.8004,64822500
2003-06-30,30.7500,33.0000,30.0500,32.5100,21.0363,61517700
2003-07-31,32.2600,34.6800,30.9500,34.3100,22.2010,52402900
2003-08-29,34.3100,36.0400,33.5000,34.5900,22.4482,43079200
2003-09-30,34.0500,35.9000,32.7600,32.8900,21.3450,59409100
2003-10-31,33.0000,35.3700,32.4700,34.9100,22.6559,52425500
2003-11-28,34.9100,35.9900,33.7700,35.1900,22.9213,37265000
2003-12-31,35.2400,39.8400,34.9500,39.7300,25.8784,52707100
2004-01-30,39.9100,44.8500,39.7500,44.4200,28.9333,54952400
2004-02-27,44.4100,46.3000,43.1500,44.3700,28.9808,51267900
2004-03-31,44.8000,45.9500,40.6400,44.9100,29.3335,64568400
2004-04-30,44.9500,46.5000,42.4600,42.6700,27.8704,50377700
2004-05-28,42.6700,43.3300,40.0500,42.6100,27.9177,47629700
2004-06-30,42.6200,47.1800,41.5500,47.0000,30.7940,50925400
2004-07-30,47.0100,48.0500,43.8800,46.6100,30.5384,50454500
2004-08-31,46.4700,46.5100,42.5400,45.7900,30.0852,37297800
2004-09-30,45.6600,49.1400,45.2900,47.2900,31.0708,52101300
2004-10-29,47.5200,50.7500,47.2900,50.5600,33.2192,51918600
2004-11-30,50.7000,53.6500,50.5500,53.0100,34.9302,48975900
2004-12-31,53.2500,58.7500,53.2500,57.6300,37.9744,51654600
2005-01-31,58.2400,58.9800,54.7800,57.6000,37.9547,71768300
2005-02-28,56.8000,57.1400,48.9000,54.3800,35.9283,53265200
2005-03-31,54.3000,55.9600,51.0700,51.8100,34.2303,85025600
2005-04-29,51.7700,51.7800,46.7600,48.8800,32.2945,70969600
2005-05-31,48.7900,53.4200,48.5000,52.9000,35.0825,57724000
2005-06-30,52.9000,55.7500,50.5700,54.5500,36.1767,63347700
2005-07-29,54.6700,55.5700,52.3900,52.4000,34.7509,40342200
2005-08-31,52.5500,53.0300,48.7600,49.3400,32.8530,62211500
2005-09-30,49.3400,51.2700,48.2100,49.9800,33.2791,72946200
2005-10-31,49.6900,50.2500,45.7800,49.6700,33.0727,79811500
2005-11-30,49.6200,54.9800,49.5200,54.4900,36.4553,47582200
2005-12-30,54.7300,56.0300,52.0900,53.4700,35.7729,54956600
2006-01-31,53.8300,56.1400,51.4800,51.7600,34.6289,58200100
2006-02-28,51.7700,53.9800,50.8100,51.6500,34.7173,64488700
2006-03-31,51.6400,52.1600,46.7000,47.3700,31.8405,96832600
2006-04-28,47.4000,48.5600,46.5800,46.8200,31.4708,61150700
2006-05-31,47.0400,49.3000,39.2000,39.9100,26.9896,124650200
2006-06-30,39.9100,41.7800,36.4000,41.7400,28.2271,98135700
2006-07-31,41.8700,42.1400,38.7400,38.9600,26.3471,69249300
2006-08-31,38.9600,42.1200,36.6900,41.9000,28.5205,69896200
2006-09-29,42.0000,47.3700,41.6300,47.0300,32.0124,77019400
2006-10-31,47.5300,49.6300,46.7400,48.8200,33.2308,56661800
2006-11-30,48.8800,50.9900,47.3200,48.9900,33.5311,42731300
2006-12-29,48.2500,50.3100,46.8100,49.0500,33.5721,41933300
2007-01-31,50.5300,52.7300,49.6900,51.5600,35.2901,59785300
2007-02-28,52.0900,52.4100,45.7500,46.4400,31.9644,54351200
2007-03-30,45.9100,48.2800,44.3900,46.8600,32.2534,68082300
2007-04-30,47.2400,49.1800,45.0500,48.8900,33.6507,59398400
2007-05-31,48.8000,51.3500,47.1800,50.4400,34.9713,52581300
2007-06-29,50.7000,51.8500,47.8400,48.7700,33.8134,100306300
2007-07-31,48.1000,48.5000,44.0500,44.3100,30.7212,73614800
2007-08-31,44.2000,47.9300,41.7000,45.5900,31.8538,90647800
2007-09-28,46.2000,50.3000,43.6300,48.4300,33.8381,61947600
2007-10-31,48.5200,52.1000,47.1400,47.9800,33.5237,68931300
2007-11-30,47.6400,47.8800,42.0600,45.1200,31.8153,88164100
2007-12-31,44.8000,46.2000,43.5600,44.4900,31.3710,63700700
2008-01-31,44.2000,44.8900,37.6100,44.4000,31.3076,116214000
2008-02-29,44.4000,45.2200,39.1200,39.3500,28.0130,87694100
2008-03-31,39.1500,43.3300,36.1000,40.4800,28.8174,97295800
2008-04-30,41.0600,43.5400,38.5500,40.1700,28.5967,80755400
2008-05-30,39.8900,42.7100,36.9200,40.0600,28.8232,89729400
2008-06-30,39.4500,39.6000,32.4300,32.9600,23.7147,123272000
2008-07-31,31.8300,41.1500,29.2200,36.9400,26.5783,173470000
2008-08-29,37.8300,41.4900,35.3600,37.0600,26.9629,106803200
2008-09-30,38.0600,42.3900,32.5600,35.3500,25.7188,167272200
2008-10-31,35.0800,36.1800,21.9200,25.4000,18.4797,221096400
2008-11-28,24.9800,25.4600,14.8500,21.0000,15.6496,169383100
2008-12-31,19.8500,24.9046,19.2300,24.3200,18.1237,135758100
2009-01-30,24.1800,25.7600,18.1400,18.1900,13.5555,119753600
2009-02-27,17.8000,21.9900,17.5900,19.5600,14.5765,140210700
2009-03-31,19.1600,24.9400,16.8000,21.6000,16.0967,181968700
2009-04-30,21.4300,28.7500,21.2500,26.8800,20.0315,153402400
2009-05-29,27.1000,29.7600,23.7900,25.4400,18.9583,116151900
2009-06-30,25.8700,27.0900,22.1800,25.7700,19.2043,133332300
2009-07-31,25.8100,28.9100,23.9900,27.9900,20.8587,105794700
2009-08-31,28.6400,31.6400,28.1000,29.2500,21.7976,83110300
2009-09-30,29.3400,34.9500,28.2600,33.2800,24.8009,114169800
2009-10-30,33.0600,34.0599,29.0400,29.1200,21.7007,121637500
2009-11-30,29.3900,33.0700,28.7100,32.0300,23.8693,73363300
2009-12-31,32.4300,34.6400,31.1400,31.6900,23.6160,83969200
2010-01-29,32.2900,35.4000,31.7500,33.3300,24.8381,79977700
2010-02-26,33.7600,36.1600,31.8400,35.9600,26.8768,91195900
2010-03-31,35.7100,39.3500,35.5500,38.8800,29.0593,78360900
2010-04-30,39.3900,44.2100,37.8400,41.7000,31.1670,109076100
2010-05-28,42.0600,42.5000,34.0600,36.2300,27.1518,123386900
2010-06-30,36.4000,37.5300,29.9800,30.2400,22.6627,138969300
2010-07-30,30.3800,35.1900,29.6800,34.6800,25.9902,111344700
2010-08-31,35.4200,36.0800,29.9500,31.1800,23.4379,87482800
2010-09-30,31.8700,39.0800,31.7400,38.1850,28.7035,98011800
2010-10-29,38.5200,43.6700,37.6450,43.1700,32.4507,121285400
2010-11-30,43.5900,44.9000,40.5600,41.3100,31.1272,79530900
2010-12-31,42.0500,47.2200,41.6200,46.1100,34.7440,71478300
2011-01-31,46.4400,48.1400,44.5000,44.7100,33.6891,69110400
2011-02-28,45.1000,47.7100,40.5200,42.6700,32.3232,69684000
2011-03-31,42.4900,42.5800,37.8600,38.3600,29.0583,160496700
