Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,47.1300,51.5000,44.6900,48.1900,37.8378,19176500
2000-01-31,48.1200,48.1900,39.1900,41.0000,32.1924,25077300
2000-02-29,41.5000,41.5600,32.0600,36.8100,28.9228,30157200
2000-03-31,36.8800,48.8100,33.8800,47.9400,37.6680,30655000
2000-04-28,47.6900,53.0000,42.2500,43.7500,34.3758,21301800
2000-05-31,42.5000,47.5000,39.3800,46.5000,36.5597,18508200
2000-06-30,47.0000,53.7500,43.5000,44.6300,35.0894,23949400
2000-07-31,45.0000,59.2500,44.6300,58.5900,46.0652,19696400
2000-08-31,58.0000,61.6300,54.3100,60.3300,47.4548,21309100
2000-09-29,61.5600,71.7500,59.6300,70.0600,55.1083,26516200
2000-10-31,69.8800,73.2500,51.8100,63.1300,49.6573,39910400
2000-11-30,62.7500,65.7500,45.8800,55.8100,43.9177,35632800
2000-12-29,56.0600,68.0000,52.9400,65.8100,51.7869,27782200
2001-01-31,64.6300,70.4400,60.1900,63.0200,49.5914,40704400
2001-02-28,63.1000,64.3000,50.6000,55.2500,43.4958,29027400
2001-03-30,55.8000,59.1000,46.9000,55.5000,43.6926,38058000
2001-04-30,53.6000,66.3500,51.6100,62.8600,49.4868,35433400
2001-05-31,62.6100,72.5800,61.6500,65.1100,51.2791,33730700
2001-06-29,65.8000,69.0000,58.0000,60.1500,47.3727,37828200
2001-07-31,60.6000,67.2500,57.3300,64.2700,50.6175,38775900
2001-08-31,64.2500,66.7400,54.3500,55.6100,43.8151,34421600
2001-09-28,53.0000,54.5700,36.4000,46.0300,36.2670,54469500
2001-10-31,46.2500,50.2500,41.0000,41.3100,32.5481,90925400
2001-11-30,41.8000,55.6000,41.2500,50.0300,39.4421,64728600
2001-12-31,49.4100,55.2000,46.5000,53.9500,42.5325,41673000
2002-01-31,54.1500,57.8000,44.8600,50.1700,39.5525,67730000
2002-02-28,49.4000,50.3000,43.0100,49.2700,38.8663,68323200
2002-03-28,49.4500,64.9100,48.8500,63.8500,50.3676,67807100
2002-04-30,65.0000,66.5000,58.5500,59.8900,47.2438,69150900
2002-05-31,59.5500,64.9300,57.2000,62.4400,49.2782,46060700
2002-06-28,62.1000,62.8500,52.0000,61.0500,48.1812,52550100
2002-07-31,60.8000,61.1000,26.5500,31.7000,25.0179,192161400
2002-08-30,31.8000,38.0000,24.0500,35.6700,28.1792,117082900
2002-09-30,34.9200,41.5000,32.3800,34.9200,27.5867,85725300
2002-10-31,35.4000,36.5000,25.4900,30.4700,24.0712,137269200
2002-11-29,30.4800,34.9700,27.1400,33.8000,26.7234,105692900
2002-12-31,33.8000,36.4500,29.3600,29.7200,23.4976,66993800
2003-01-31,30.2000,39.7000,29.9000,31.0500,24.5492,118100500
2003-02-28,31.0600,32.7400,28.1200,30.9700,24.5078,57118600
2003-03-31,27.4000,32.9500,24.9100,30.0100,23.7481,96907200
2003-04-30,30.1000,42.5700,30.0500,41.8700,33.1335,80967500
2003-05-30,41.8700,49.5500,40.3000,48.1700,38.1407,113042100
2003-06-30,49.0000,54.9900,48.1800,49.1800,38.9404,79620400
2003-07-31,49.1800,55.9000,44.5100,47.9100,37.9349,88545100
2003-08-29,47.4100,53.4000,45.5500,53.4000,42.3060,49990700
2003-09-30,53.1000,62.0200,53.0800,57.0400,45.1898,63388400
2003-10-31,57.0400,64.2500,57.0200,60.8000,48.1687,64551800
2003-11-28,60.8000,62.0000,56.4800,59.7200,47.3336,36684500
2003-12-31,60.0100,61.7100,55.1500,61.2900,48.5780,37681600
2004-01-30,61.3300,74.3000,60.0400,71.0800,56.3375,65118500
2004-02-27,70.9500,74.4900,68.0300,70.7200,56.0730,32938300
2004-03-31,71.0500,76.7100,70.0000,75.4300,59.8075,50512900
2004-04-30,77.0100,77.6700,65.0400,65.5300,51.9579,53951800
2004-05-28,65.4000,70.4500,61.1500,70.0600,55.5720,45826800
2004-06-30,69.8000,72.3000,67.6500,68.3800,54.2394,33177200
