Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,39.5600,40.1900,30.0000,39.8800,14.6629,64289800
2000-01-31,40.0000,40.1900,32.6300,34.9400,12.8687,60695400
2000-02-29,34.8100,41.5000,34.0600,35.0000,12.8908,59565600
2000-03-31,35.1900,38.0000,27.7500,37.5600,13.8337,73100400
2000-04-28,37.5600,46.8100,37.5000,43.5000,16.0426,43339100
2000-05-31,43.5000,45.6300,39.4400,41.8800,15.4452,40734400
2000-06-30,43.2500,45.8100,35.8100,40.0000,14.7519,46600100
2000-07-31,39.3800,45.0000,38.9400,39.5000,14.5869,28820400
2000-08-31,37.5600,39.8100,33.2500,37.1400,13.7154,52822200
2000-09-29,36.7500,46.9400,36.4400,46.3100,17.1018,43412600
2000-10-31,46.1900,54.1300,43.5600,52.9400,19.5746,51226000
2000-11-30,52.6300,59.1300,49.8800,56.8800,21.0314,62597600
2000-12-29,57.1300,60.4400,50.8100,59.9400,22.1629,42147900
2001-01-31,59.8100,59.8100,49.5000,59.2000,21.9124,55720200
2001-02-28,59.2000,63.7500,56.4000,61.0000,22.5786,45119800
2001-03-30,61.0000,62.4000,52.5500,58.4900,21.6496,44530600
2001-04-30,58.4500,60.3000,53.4800,58.9500,21.8419,41354100
2001-05-31,59.0000,59.7500,51.5800,54.9000,20.3413,63069800
2001-06-29,54.7500,56.9500,36.2500,38.6000,14.3019,101832500
2001-07-31,38.2500,41.0400,35.9500,36.0100,13.3612,78367500
2001-08-31,34.7500,38.1500,34.7500,36.1100,13.3983,67072300
2001-09-28,36.1200,38.8100,30.4600,33.2000,12.3186,61888600
2001-10-31,33.3000,34.5500,23.0000,23.9000,8.8838,94287600
2001-11-30,23.9000,27.9500,22.8900,26.9500,10.0175,92334200
2001-12-31,27.1200,30.4800,25.0000,29.6000,11.0025,54042200
2002-01-31,29.8500,30.1900,25.8000,27.2000,10.1312,45292100
2002-02-28,27.1900,28.9700,25.5800,27.3200,10.1759,43032300
2002-03-28,27.4000,35.5500,27.4000,34.3300,12.7869,57316500
2002-04-30,34.5400,35.7000,31.6800,33.4800,12.4912,40983200
2002-05-31,33.2800,35.6500,31.8600,32.0300,11.9502,37634200
2002-06-28,32.0000,33.8400,30.2400,30.6000,11.4167,44945200
2002-07-31,30.4000,30.7400,23.5500,28.6000,10.6940,55455700
2002-08-30,28.9000,31.4000,26.4400,29.3900,10.9894,43997000
2002-09-30,29.3900,30.0800,24.5000,25.3500,9.4788,38479200
2002-10-31,25.3600,28.9400,23.0300,27.7300,10.3900,56749900
2002-11-29,27.7800,28.5600,25.1000,26.8800,10.0715,49143200
2002-12-31,27.2000,27.8000,23.8200,24.9700,9.3559,46353200
2003-01-31,25.4500,26.3900,21.8400,22.6200,8.4951,47228100
2003-02-28,23.0000,26.0700,22.9500,24.9000,9.3513,57074600
2003-03-31,24.9000,26.6800,22.3300,23.8500,8.9570,47353600
2003-04-30,23.7800,24.9000,22.5000,24.2100,9.1148,54597000
2003-05-30,24.1500,27.4900,23.8500,26.1000,9.8263,57363700
2003-06-30,26.3000,28.7000,26.1700,28.0300,10.5529,46189800
2003-07-31,28.0300,30.4200,27.2400,29.9900,11.3144,47878700
2003-08-29,29.9800,32.8400,29.0500,32.6000,12.2991,34665700
2003-09-30,32.5500,32.7000,29.5500,31.0600,11.7181,43108600
2003-10-31,31.1600,36.2100,29.4700,35.1800,13.2950,51091800
2003-11-28,35.2500,37.5500,34.1900,37.4600,14.1566,35212100
2003-12-31,37.4700,37.5300,32.9000,36.1200,13.6502,47093500
2004-01-30,36.2900,38.3800,34.8400,35.7200,13.5242,40771600
2004-02-27,36.0500,38.5100,35.5000,37.5000,14.1981,36365700
2004-03-31,37.6000,37.9000,33.7300,35.3000,13.3651,40434500
2004-04-30,35.3000,39.8000,34.5300,38.6300,14.6510,64526300
2004-05-28,38.6300,42.1300,38.6300,41.6800,15.8077,53455600
2004-06-30,41.6000,43.0000,41.0000,42.0200,15.9367,36280100
2004-07-30,42.0300,44.1400,41.1000,41.8700,15.9040,35856700
2004-08-31,41.8800,42.8900,38.6100,40.0000,15.1937,33358500
2004-09-30,39.7500,43.1400,39.3300,42.1300,16.0028,35273000
2004-10-29,42.5000,44.4400,41.7100,43.4600,16.5333,32001200
2004-11-30,43.6800,47.3400,42.7900,45.3700,17.2599,43299700
2004-12-31,45.3600,46.2700,43.8300,45.0700,17.1458,36451500
2005-01-31,45.4000,47.6500,44.0400,46.3500,17.6601,39880200
2005-02-28,46.4700,50.2400,46.2700,49.8300,18.9860,40462800
2005-03-31,50.0900,53.7800,49.8700,52.6200,20.0491,49304900
2005-04-29,52.6200,52.8300,50.0300,51.5800,19.6807,45015300
2005-05-31,51.5800,55.5000,51.5800,54.8500,20.9284,47255600
2005-06-30,54.7500,58.5000,28.4300,29.0700,22.1837,83050850
2005-07-29,29.0500,31.6000,28.7800,31.0300,23.7071,72479000
2005-08-31,31.1600,31.4600,28.1500,29.3700,22.4389,83700800
2005-09-30,29.4900,30.3500,27.6700,29.0100,22.1638,84006500
2005-10-31,28.9700,29.1000,24.1200,24.4100,18.6754,160668500
2005-11-30,24.4100,28.2300,23.8900,27.0200,20.6722,113060200
2005-12-30,27.4500,29.3000,26.3900,26.4200,20.2132,87016900
2006-01-31,26.6700,28.5000,26.0600,27.7600,21.2684,116058000
2006-02-28,27.6500,29.4000,27.4500,28.3300,21.7051,72693100
2006-03-31,28.5000,30.9800,28.1357,29.8700,22.8850,95846800
2006-04-28,29.9700,31.8900,28.7500,29.7200,22.7998,80508900
2006-05-31,29.7200,31.1800,27.0100,27.9000,21.4036,95258700
2006-06-30,28.2500,31.0500,28.2000,30.7000,23.5516,100484000
2006-07-31,30.7000,33.5400,29.8500,32.7200,25.1316,98588000
2006-08-31,32.8400,35.0000,32.4100,33.5500,25.7691,97593500
2006-09-29,33.7800,36.1400,30.6000,32.1200,24.6707,178055300
2006-10-31,32.0100,32.2600,28.4800,31.3800,24.1321,277680100
2006-11-30,29.6000,30.1100,27.0900,28.7700,22.1249,467893800
2006-12-29,28.6300,31.8300,28.4700,30.9100,23.7706,236945500
2007-01-31,30.9500,33.7200,30.4600,33.6500,25.9165,252341500
2007-02-28,33.5000,33.5800,30.7600,31.4200,24.1990,208563600
2007-03-30,31.0000,34.9300,30.4500,34.1400,26.2939,606991700
2007-04-30,34.3800,37.2000,34.1400,36.2400,27.9591,351844000
2007-05-31,35.9000,39.4400,35.2000,38.5400,29.7336,389768100
2007-06-29,38.5000,38.9000,35.1700,36.4500,28.1211,233045600
2007-07-31,36.4500,36.9500,34.8000,35.1900,27.1947,200392400
2007-08-31,34.8500,39.0300,34.8500,37.8200,29.2271,305379600
2007-09-28,38.0800,39.8500,36.6300,39.6300,30.6259,177253600
2007-10-31,37.5100,42.0800,36.4300,41.6600,32.2428,261863700
2007-11-30,41.6600,42.6000,39.6700,40.0900,31.0277,294000100
2007-12-31,40.1600,40.5800,38.3900,39.7500,30.7645,216442100
2008-01-31,39.8200,39.9600,34.9100,38.9100,30.1633,447633100
2008-02-29,39.0000,41.1500,37.8800,40.3800,31.3029,240713200
2008-03-31,40.0200,41.5300,37.4000,40.5100,31.4036,203578400
2008-04-30,41.3000,41.7000,39.3800,40.3700,31.3416,165109700
2008-05-30,40.1000,43.7500,39.0200,42.7900,33.2203,187168200
2008-06-30,42.6500,44.2900,39.2500,39.5700,30.7205,177916000
2008-07-31,39.2000,39.6900,36.4500,36.5000,28.3877,244080400
2008-08-29,37.1700,39.3400,35.3900,36.6000,28.4655,213582500
2008-09-30,37.0700,38.7400,31.0200,33.6600,26.1789,255305000
2008-10-31,33.2900,34.4900,24.2500,30.6500,23.8990,353762000
2008-11-28,30.6400,32.5300,23.1900,28.9300,22.5579,225541500
2008-12-31,28.2300,29.6500,24.8300,28.7400,22.4097,228695600
2009-01-30,28.8100,30.4700,24.1600,26.8800,21.0201,305805200
2009-02-27,26.5600,29.6100,25.5200,25.7400,20.1286,212588500
2009-03-31,25.6000,29.7400,23.7400,27.4900,21.4971,258801300
2009-04-30,27.2500,31.8900,27.0800,31.7800,24.9169,218561400
2009-05-29,31.8300,34.2200,28.9600,29.8000,23.3645,245974200
2009-06-30,29.8500,32.4500,29.7000,31.8700,24.9874,220418500
2009-07-31,31.9400,34.5900,30.5800,33.4800,26.3107,211718400
2009-08-31,33.7900,37.5900,33.0300,37.5200,29.4856,207829100
2009-09-30,37.4300,37.7500,34.4500,35.7400,28.0867,236538700
2009-10-30,35.6100,38.2700,33.9200,35.3000,27.7969,229205400
