Date,Open,High,Low,Close,Adj Close,Volume
2014-10-31,4.2100,4.2900,3.7401,4.1200,4.1200,930505
2014-11-28,4.1800,4.4000,4.0200,4.1400,4.1400,402841
2014-12-31,4.0000,4.4000,3.8000,4.0500,4.0500,597628
2015-01-30,4.2400,4.2900,3.8100,3.9650,3.9650,120377
2015-02-27,3.9300,4.6500,3.8900,4.6000,4.6000,861818
2015-03-31,4.6200,5.6800,4.4523,5.0300,5.0300,2632205
2015-04-30,5.0000,7.6900,5.0000,7.0500,7.0500,3596075
2015-05-29,7.0000,8.7600,6.9000,8.1600,8.1600,3877143
2015-06-30,8.1000,8.5500,7.3500,7.8200,7.8200,6057135
2015-07-31,7.8400,9.2500,7.5600,8.4500,8.4500,4237367
2015-08-31,8.4200,10.0434,8.3600,9.4200,9.4200,3612302
2015-09-30,9.2700,9.8900,8.6900,9.0200,9.0200,2878052
2015-10-30,9.0800,10.3200,8.4900,9.9000,9.9000,3608203
2015-11-30,10.0000,10.2100,8.4700,9.6900,9.6900,2217207
2015-12-31,9.7300,11.6100,9.0183,11.0000,11.0000,4359225
2016-01-29,10.8500,11.2500,9.6000,10.3200,10.3200,4005682
2016-02-29,10.3000,10.9650,8.9400,10.0100,10.0100,2936050
2016-03-31,10.0600,11.6500,9.5000,11.4400,11.4400,8376849
2016-04-29,11.4100,13.3027,11.0501,13.1100,13.1100,5428597
2016-05-31,13.1500,15.0000,12.5100,14.9000,14.9000,5096724
2016-06-30,14.7800,15.3700,13.4500,15.1950,15.1950,6562583
2016-07-29,15.2000,15.6000,14.2800,14.4500,14.4500,2554105
2016-08-31,14.4600,15.0000,13.3400,13.9600,13.9600,5636341
2016-09-30,13.9300,15.2000,13.3100,14.0600,14.0600,12108551
2016-10-31,14.0400,14.3720,11.8500,12.1000,12.1000,6331585
2016-11-30,12.0500,14.0000,10.6500,13.7500,13.7500,9547627
2016-12-30,13.7500,17.0000,13.6500,16.9500,16.9500,9806502
2017-01-31,17.1000,17.5000,14.9000,15.5000,15.5000,6831978
2017-02-28,15.5500,16.8000,15.1000,16.3000,16.3000,5003126
2017-03-31,16.4500,19.8500,16.4000,18.9250,18.9250,12491069
2017-04-28,18.8000,19.7500,17.3000,19.1250,19.1250,12603305
2017-05-31,19.2000,21.1500,18.0500,20.7500,20.7500,22542629
2017-06-30,20.8000,21.8250,19.5000,20.0000,20.0000,15338142
2017-07-31,20.1000,21.0500,18.8000,20.4000,20.4000,12114477
2017-08-31,20.6000,23.5000,19.8000,23.0000,23.0000,19418478
2017-09-29,23.1500,25.9750,22.8500,25.6500,25.6500,20154052
2017-10-31,25.5500,27.1500,23.9500,25.7000,25.7000,18225696
2017-11-30,25.7000,30.7000,25.3000,30.6000,30.6000,20051969
2017-12-29,30.5000,34.0310,30.1000,33.1500,33.1500,16180054
2018-01-31,33.3000,35.1500,31.2000,34.5500,34.5500,13679784
2018-02-28,34.4500,35.3000,29.1600,34.1000,34.1000,15563915
2018-03-29,34.1500,38.4500,31.2500,33.0000,33.0000,16973799
2018-04-30,32.9500,43.1500,31.8000,40.5000,40.5000,15275659
2018-05-31,40.7000,45.9500,39.2900,45.2000,45.2000,15822115
2018-06-29,45.3500,46.4500,38.6500,39.1000,39.1000,19057202
2018-07-31,39.1000,46.8500,38.2000,42.8500,42.8500,15976087
2018-08-31,42.7000,50.0000,40.3250,48.0500,48.0500,37128395
2018-09-28,48.2000,49.8500,44.9500,48.6000,48.6000,17794317
2018-10-31,48.9800,50.6400,31.9600,36.5000,36.5000,37116802
2018-11-30,36.4300,44.2900,32.7800,43.9800,43.9800,31028050
2018-12-31,44.7700,45.5800,31.8650,36.2100,36.2100,19954703
2019-01-31,35.4300,46.6800,34.6400,46.6200,46.6200,19718195
2019-02-28,46.6600,50.9700,44.8910,48.2100,48.2100,14501684
2019-03-29,48.4100,51.0500,43.7600,46.6900,46.6900,19108468
2019-04-30,47.2200,51.6700,46.9550,49.3700,49.3700,11875220
2019-05-31,49.7700,50.8800,45.4100,49.1700,49.1700,15062280
2019-06-28,48.8100,54.9900,43.0400,46.0700,46.0700,51054955
2019-07-31,47.2900,49.9300,43.4100,45.1200,45.1200,38196280
2019-08-30,45.1500,46.3100,36.2000,38.5100,38.5100,31205567
2019-09-30,37.5500,43.9800,35.4100,39.8700,39.8700,34514780
2019-10-31,39.9100,45.4500,37.9500,44.7700,44.7700,32623614
2019-11-29,45.0200,54.4630,44.3300,53.5100,53.5100,28257414
2019-12-31,53.4600,59.9200,51.3900,59.6400,59.6400,24879989
2020-01-31,60.2600,61.5500,56.9700,59.7800,59.7800,30516226
2020-02-28,60.2900,70.7400,46.7000,50.1800,50.1800,41123339
2020-03-31,50.1500,50.2000,6.0200,14.4000,14.4000,190109693
2020-04-30,13.6800,24.3100,9.5700,21.4400,21.4400,164366920
2020-05-29,19.7200,37.5300,16.9100,35.4600,35.4600,176958625
2020-06-30,35.6900,47.1800,33.0000,40.0600,40.0600,199641428
2020-07-31,40.6500,43.2700,29.0600,31.0500,31.0500,197712312
2020-08-31,30.6700,49.6700,30.2500,45.8000,45.8000,103476456
2020-09-30,45.8500,60.0800,45.3569,56.0600,56.0600,129265591
2020-10-30,56.4400,58.0000,43.0700,44.8200,44.8200,81354293
