Date,Open,High,Low,Close,Adj Close,Volume
2007-06-29,19.1000,19.8900,18.0200,19.7000,17.5029,80677500
2007-07-31,19.5700,21.8000,17.3200,17.8200,15.8326,91511400
2007-08-31,18.0000,19.5000,14.9400,16.8800,14.9974,79576300
2007-09-28,17.0400,18.3400,15.9000,17.9500,15.9481,42781800
2007-10-31,18.0000,21.0500,17.8100,20.8000,18.4802,77783500
2007-11-30,20.4500,21.1000,16.2000,19.7600,17.5562,103365300
2007-12-31,19.7500,20.0000,14.0400,14.8900,13.2293,75324400
2008-01-31,14.7300,17.0000,11.5000,16.8200,14.9441,123823500
2008-02-29,16.8000,18.9900,13.2400,13.3500,11.8611,86989700
2008-03-31,12.6800,14.6000,7.9400,8.6000,7.6409,145022500
2008-04-30,8.9500,10.8900,6.5000,8.5100,7.5609,259364300
2008-05-30,8.6400,9.0200,5.3700,6.1500,5.4641,217144800
2008-06-30,6.2500,7.0300,4.7970,5.7000,5.0643,294082900
2008-07-31,5.4700,8.7900,4.0000,7.5400,6.6991,414284600
2008-08-29,7.8100,10.2600,6.9200,8.1300,7.2233,366022300
2008-09-30,9.3200,10.1000,6.4600,7.4500,6.6191,413846300
2008-10-31,7.6400,11.9000,5.1000,10.9800,9.7554,434949100
2008-11-28,11.1400,12.0000,6.2900,8.8100,7.8274,255987000
2008-12-31,8.6000,11.6400,7.8000,11.4600,10.1819,249927900
2009-01-30,11.3100,12.6500,6.7400,6.9000,6.1304,268512000
2009-02-27,7.0900,7.6700,4.8600,5.0300,4.4690,275129100
2009-03-31,4.8500,6.4500,3.5100,5.6300,5.0021,302426500
2009-04-30,5.5200,8.2700,5.3600,6.1700,5.4819,329175000
2009-05-29,6.2800,7.8800,5.4000,5.8100,5.1620,285442300
2009-06-30,6.0900,7.2500,5.3100,5.7900,5.1442,273395900
2009-07-31,5.8200,6.9500,5.5600,6.9300,6.1571,236887900
2009-08-31,7.0400,7.7900,6.5500,7.2200,6.4148,203721800
2009-09-30,7.1200,9.8800,6.7400,8.9600,7.9607,317881100
2009-10-30,8.9500,9.2000,6.9200,7.1400,6.3437,277153900
2009-11-30,7.1400,8.1900,6.7800,8.1900,7.2766,155565700
2009-12-31,8.3100,12.0800,8.2000,11.3800,10.1108,326898000
2010-01-29,11.2200,13.7300,10.9500,12.2300,10.8660,334450000
2010-02-26,12.3700,13.2125,10.9300,12.9200,11.4790,215161100
2010-03-31,12.9300,14.9000,12.3300,14.5900,12.9628,236270900
2010-04-30,14.6300,14.9400,11.9500,12.0800,10.7327,320889200
2010-05-28,12.3000,14.4800,10.9000,13.5800,12.0654,291751900
2010-06-30,13.3100,14.5000,11.2400,11.7500,10.4395,242373500
2010-07-30,11.9700,12.4000,10.4000,11.8800,10.5550,214598200
2010-08-31,12.0800,12.8000,9.6000,10.4600,9.2934,190329500
2010-09-30,10.8300,12.0000,10.4000,11.6400,10.3418,163448700
2010-10-29,11.7500,14.1000,10.9600,13.8850,12.3364,230192000
2010-11-30,13.9000,14.5400,12.8700,13.6800,12.1543,206887700
2010-12-31,13.9600,14.1000,12.1500,12.6000,11.1947,198093300
2011-01-31,12.6900,13.2100,11.1100,11.6700,10.3685,324281300
2011-02-28,11.7500,12.1300,10.3700,11.2400,9.9864,341922300
2011-03-31,11.2600,11.6400,9.7100,9.8000,8.7070,452248800
2011-04-29,9.8900,10.7000,8.9100,10.3800,9.2223,375167700
2011-05-31,10.6600,11.6000,9.9100,10.0800,8.9558,331129700
2011-06-30,10.0800,10.1800,9.1000,9.1700,8.1473,295128600
2011-07-29,9.2400,9.4100,7.2800,7.8900,7.0100,318176700
2011-08-31,8.2000,8.2400,6.4100,7.5300,6.6902,397106500
2011-09-30,7.5500,8.5700,7.0600,7.5000,6.6635,242961900
2011-10-31,7.3850,8.9800,6.6400,8.5200,7.5698,269119600
2011-11-30,8.2000,8.4950,7.0800,8.1200,7.2144,263450700
2011-12-30,8.0400,9.1300,7.9300,8.0900,7.1877,232763800
2012-01-31,8.2300,10.8799,7.8300,10.5500,9.3734,264433700
2012-02-29,10.6800,11.5800,9.4000,9.8100,8.7159,211720500
2012-03-30,9.8000,10.2800,9.0700,9.9150,8.8092,277353800
2012-04-30,9.8800,11.1200,9.7750,10.9600,9.7376,224817200
2012-05-31,11.1400,12.2500,10.0300,12.1000,10.7505,292242800
2012-06-29,12.0200,12.0400,9.8900,10.9500,9.7288,291373700
2012-07-31,11.1100,11.2500,9.0800,9.6500,8.5737,265618800
2012-08-31,9.4900,9.9300,8.4550,8.6500,7.6853,277357400
2012-09-28,8.6600,9.7000,8.4200,9.1600,8.1384,200072700
2012-10-31,9.1200,10.4900,9.1100,9.6300,8.5560,215469500
2012-11-30,9.6400,10.5000,9.2100,10.0000,8.8847,186004300
2012-12-31,9.9900,12.0500,9.5000,11.8700,10.5462,260632000
2013-01-31,12.0700,14.2000,11.9700,13.8900,12.3409,306972100
2013-02-28,13.9700,14.9000,13.1600,14.2700,12.6785,235243800
2013-03-28,14.2600,17.2500,14.2600,16.5100,14.6687,238636500
2013-04-30,16.4300,17.3300,13.9400,17.1400,15.2284,376827200
2013-05-31,17.2600,19.4300,16.6790,18.0100,16.0014,266439500
2013-06-28,18.1200,19.0500,16.9400,18.7100,16.6233,179688400
2013-07-31,18.8000,22.0100,18.3000,21.2300,18.8622,200654800
2013-08-30,21.5300,22.0500,18.5300,19.7300,17.5797,307844600
2013-09-30,20.0500,24.1000,19.5700,23.5900,21.0190,524337300
2013-10-31,23.6800,26.7200,23.6300,26.3800,23.5049,313710900
2013-11-29,26.4600,29.4350,26.0500,28.9800,25.8780,263298600
