Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,42.0000,43.8800,39.6900,43.3800,13.8403,20757100
2000-01-31,43.6200,48.3100,42.4400,43.6900,13.9392,29887900
2000-02-29,43.6300,44.5000,35.5600,35.7500,11.4060,29828800
2000-03-31,35.8800,41.5000,30.3100,38.0000,12.1954,31692100
2000-04-28,38.0000,44.6300,36.6900,40.3800,12.9593,19578700
2000-05-31,39.5000,49.6300,38.8800,41.5600,13.3380,36975400
2000-06-30,42.3800,43.9400,36.3100,37.0000,11.9419,26963600
2000-07-31,37.0600,41.3800,36.8100,38.5600,12.4454,15336500
2000-08-31,38.6900,38.9400,32.1300,32.9400,10.6999,33961100
2000-09-29,33.1300,34.8100,30.6900,33.2500,10.8757,18972800
2000-10-31,32.4400,37.1900,31.6300,36.8100,12.0402,18705700
2000-11-30,36.8800,41.1300,35.3100,40.6900,13.3093,18486800
2000-12-29,40.5600,47.1300,39.5000,45.8100,15.0548,19957300
2001-01-31,45.5000,66.7500,38.3800,42.9200,14.1050,21763500
2001-02-28,42.9100,43.4000,38.7000,40.7000,13.3755,18274300
2001-03-30,40.0000,45.9600,35.8500,36.3400,12.0129,34915500
2001-04-30,36.4000,41.7500,34.4500,41.0700,13.5765,20715400
2001-05-31,41.0000,41.7500,36.1100,37.3600,12.3501,20435400
2001-06-29,37.1500,39.9500,36.4100,37.8500,12.5845,19285400
2001-07-31,37.5000,42.8000,36.0400,41.9500,13.9477,28228300
2001-08-31,42.0500,45.0000,40.1200,43.1700,14.3533,25651900
2001-09-28,43.2000,44.1300,33.5000,37.6100,12.5799,25086800
2001-10-31,37.4000,42.1000,36.7000,36.9900,12.3726,23159300
2001-11-30,37.0000,42.2500,36.6000,39.9900,13.3760,22044800
2001-12-31,40.7300,44.3000,39.9500,43.6600,14.6765,22967700
2002-01-31,44.3500,45.1500,41.2400,43.9700,14.7807,24177100
2002-02-28,44.4000,49.1400,41.1000,47.9300,16.1119,33814700
2002-03-28,48.1000,49.9800,43.8000,45.5500,15.3883,26562900
2002-04-30,45.8200,47.2000,41.6300,44.7600,15.1214,23751200
2002-05-31,44.4000,48.4000,42.0900,47.0000,15.8781,29498900
2002-06-28,46.9000,47.9400,42.2900,47.9000,16.2595,28323800
2002-07-31,47.8900,49.1800,37.5000,42.0200,14.2636,43600900
2002-08-30,42.0600,47.9900,39.5000,45.9200,15.5874,41710500
2002-09-30,45.9000,48.5000,43.5200,45.4500,15.5012,32628800
2002-10-31,45.8500,49.2500,41.7000,46.3900,15.8218,39497900
2002-11-29,46.3200,51.5800,45.9800,51.1500,17.4453,34441700
2002-12-31,51.6000,51.6000,45.0400,45.8500,15.7124,30095300
2003-01-31,46.0000,47.6000,40.8000,42.2000,14.4616,30869900
2003-02-28,42.2000,43.7200,40.0100,41.3800,14.1806,24853300
2003-03-31,41.5000,43.8000,37.5600,39.2600,13.5283,34884200
2003-04-30,39.2600,44.4400,38.8200,44.0300,15.1720,28403200
2003-05-30,44.0300,45.5000,42.6120,43.6700,15.0480,34656900
2003-06-30,44.0000,48.7000,44.0000,45.7000,15.8228,27447900
2003-07-31,45.6400,51.0000,44.2300,50.7800,17.5817,39060700
2003-08-29,50.7000,58.5500,48.2500,56.5100,19.5656,49426900
2003-09-30,56.5800,56.9000,51.8400,53.3100,18.5354,29624600
2003-10-31,53.3100,60.7500,53.3100,60.6200,21.0770,36302800
2003-11-28,60.5300,63.7900,59.2000,61.2300,21.2891,27253900
2003-12-31,61.4800,67.4100,60.3300,65.0500,22.6944,31926200
2004-01-30,64.9500,67.1900,61.4800,62.6000,21.8396,36575300
2004-02-27,62.6000,67.8000,60.0000,64.2300,22.4083,39141400
2004-03-31,65.0500,71.0500,61.8100,69.3100,24.2775,40426400
2004-04-30,69.4000,74.9300,67.1400,68.0400,23.8327,39817100
2004-05-28,68.5000,69.6400,62.0000,65.7000,23.0130,41884600
2004-06-30,65.6000,70.4900,65.4500,70.1400,24.6700,29868100
2004-07-30,69.9900,69.9900,60.6000,62.8100,22.0919,39519500
2004-08-31,62.5600,63.6600,57.2200,63.2700,22.2537,40786400
2004-09-30,63.2700,65.6500,61.2900,64.5500,22.8044,30342000
2004-10-29,64.5500,65.9500,56.7230,59.7800,21.1192,48203700
2004-11-30,61.5500,73.4500,61.4700,71.7300,25.3410,54766300
2004-12-31,71.7700,74.7300,68.2500,74.4000,26.3837,35787400
2005-01-31,74.4100,74.4100,65.2000,69.4300,24.6212,35497300
2005-02-28,69.5200,71.6800,65.3900,71.1100,25.2170,44360200
2005-03-31,70.9800,72.4900,65.2100,67.1300,23.9172,43370800
2005-04-29,67.6100,67.7600,61.0100,62.5400,22.2818,40300900
2005-05-31,62.5400,66.5900,58.7000,66.1500,23.5680,42789200
2005-06-30,65.7000,69.4000,64.1800,65.4900,23.4419,33901400
2005-07-29,65.5600,73.9800,65.4000,73.5300,26.3198,35659200
2005-08-31,73.5400,73.8500,63.1400,65.3800,23.4026,57661600
2005-09-30,65.4600,66.2400,59.8100,61.2000,22.0180,43372700
2005-10-31,61.2000,63.2500,56.9900,60.6800,21.8309,38303600
