Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,3.0000,3.2500,2.5630,2.6250,0.8750,268800
2000-01-31,2.6250,3.2500,2.5000,2.7500,0.9167,197900
2000-02-29,2.8750,4.0000,2.6250,3.5000,1.1667,437800
2000-03-31,3.5000,4.1250,3.0000,4.0000,1.3333,337700
2000-04-28,4.0310,4.0940,3.2500,4.0000,1.3333,172800
2000-05-31,4.0000,4.1250,2.9380,3.2500,1.0833,159500
2000-06-30,3.2500,3.9380,3.0000,3.1900,1.0633,96600
2000-07-31,3.2500,3.9380,3.0000,3.6880,1.2293,433200
2000-08-31,3.8130,6.5000,3.5310,5.4380,1.8127,1170500
2000-09-29,5.4690,6.0940,4.5000,5.4380,1.8127,306700
2000-10-31,5.4380,5.8590,4.1880,5.0000,1.6667,332200
2000-11-30,5.0000,5.6250,4.1250,4.4840,1.4947,134100
2000-12-29,4.2500,5.2500,4.1250,5.2500,1.7500,140400
2001-01-31,5.0000,5.1250,3.6250,3.7190,1.2397,293900
2001-02-28,4.0000,4.3130,3.7190,4.0000,1.3333,158500
2001-03-30,4.1250,4.2500,3.3750,3.5000,1.1667,223400
2001-04-30,3.5000,4.0000,3.4060,3.5100,1.1700,229800
2001-05-31,3.6400,4.2000,3.5000,3.9300,1.3100,797200
2001-06-29,4.0000,4.8000,3.6500,3.9300,1.3100,691400
2001-07-31,3.7900,4.3300,3.5000,4.2000,1.4000,316600
2001-08-31,4.1500,4.9000,3.8100,4.4000,1.4667,297600
2001-09-28,4.4900,4.7400,3.2300,3.9900,1.3300,154300
2001-10-31,3.8100,4.5900,3.6000,3.9300,1.3100,158100
2001-11-30,3.9400,4.0000,3.4100,3.8000,1.2667,168900
2001-12-31,3.8500,4.7500,3.6000,4.2500,1.4167,214800
2002-01-31,4.4200,6.3000,3.9900,5.2000,1.7333,1228200
2002-02-28,5.2700,5.3500,4.4100,5.0000,1.6667,276600
2002-03-28,5.0000,5.4900,4.9310,5.2400,1.7467,270700
2002-04-30,5.1600,5.7900,5.0000,5.3000,1.7667,383300
2002-05-31,5.3810,5.4990,4.3000,4.6000,1.5333,329300
2002-06-28,4.6010,5.3100,4.2500,4.4100,1.4700,103000
2002-07-31,4.4100,4.9000,3.5600,4.4500,1.4833,146800
2002-08-30,4.4500,5.2500,4.2000,4.7190,1.5730,130100
2002-09-30,4.7900,4.8000,3.9500,4.4400,1.4800,110700
2002-10-31,4.5300,4.5300,2.5600,3.7200,1.2400,263400
2002-11-29,3.7500,3.9300,3.3500,3.8600,1.2867,97600
2002-12-31,3.6500,3.8700,2.9400,3.3400,1.1133,165800
2003-01-31,3.3100,4.4500,3.3090,4.3800,1.4600,80200
2003-02-28,4.3500,5.0500,3.9800,4.6010,1.5337,332600
2003-03-31,4.6600,4.6600,3.7000,4.2000,1.4000,265600
2003-04-30,4.1500,6.4200,4.1000,6.0000,2.0000,553000
2003-05-30,5.8840,6.8300,5.6100,6.3400,2.1133,595500
2003-06-30,6.2100,7.0500,5.2000,6.4900,2.1633,368200
2003-07-31,6.3000,8.6400,6.3000,8.1900,2.7300,1075100
2003-08-29,8.2900,9.4900,8.0000,9.2400,3.0800,387200
2003-09-30,9.2500,10.4000,9.0000,10.0000,3.3333,399900
