Date,Open,High,Low,Close,Adj Close,Volume
2003-05-30,105.1500,115.0700,105.0000,115.0700,9.2408,600500
2003-06-30,115.4000,123.3500,114.0700,119.9000,9.6287,852200
2003-07-31,120.3500,129.2000,120.0000,126.7000,10.1748,1856700
2003-08-29,126.9500,137.1000,124.1800,136.8200,10.9875,1381800
2003-09-30,138.0000,143.2800,135.4000,135.9300,10.9160,2697900
2003-10-31,137.8100,150.9900,137.7100,148.4100,11.9182,2498300
2003-11-28,151.0000,153.0000,145.0000,151.2000,12.1423,2084300
2003-12-31,153.4000,164.1000,151.7000,163.9300,13.2322,2545300
2004-01-30,165.1000,175.0300,165.1000,167.9000,13.5527,3993800
2004-02-27,168.1200,177.9100,164.7500,174.5400,14.0887,3221700
2004-03-31,175.8400,179.0000,164.9900,175.5000,14.1662,4949900
2004-04-30,175.8900,182.4000,158.0900,158.3000,12.7778,4789800
2004-05-28,158.7800,164.2300,142.9500,160.1500,12.9271,7593400
2004-06-30,160.3000,163.4500,151.0000,161.6300,13.0466,4568000
2004-07-30,160.5100,160.8500,152.3000,155.7500,12.5720,4053500
2004-08-31,155.0200,162.1600,153.0000,161.2500,13.0159,3955700
2004-09-30,162.4900,172.7800,161.3000,172.5000,13.9240,4117600
2004-10-29,173.5800,179.5300,169.8500,177.4100,14.3203,5847700
2004-11-30,178.9300,196.3000,177.8700,195.0600,15.7450,6159400
2004-12-31,196.2000,201.9000,187.2600,201.8500,16.4909,5617500
2005-01-31,201.7000,202.4500,190.1300,200.7800,16.4035,7220400
2005-02-28,201.9800,222.5285,201.2800,220.2200,17.9917,6181300
2005-03-31,220.5300,222.4000,195.8500,202.8000,16.5685,16256200
2005-04-29,203.5000,209.5900,193.7700,200.2700,16.3618,18223800
2005-05-31,201.2500,209.3600,199.0200,206.6000,16.8790,13747800
2005-06-30,206.0000,212.5400,69.4100,71.6000,17.5489,21999933
2005-07-29,72.2400,77.4100,71.0000,77.1000,18.8970,32194800
2005-08-31,77.7000,80.7800,75.7500,78.1200,19.1470,44126500
2005-09-30,78.5000,85.1400,78.5000,84.8800,20.8038,34005000
2005-10-31,85.2500,85.9200,74.8500,79.5000,19.4852,72123400
2005-11-30,79.6500,85.7300,79.6500,84.1000,20.6127,49633100
2005-12-30,84.8500,90.0000,84.8500,88.2500,21.8697,39645100
2006-01-31,90.1800,101.3900,90.0000,100.7800,24.9748,69806400
2006-02-28,100.9000,101.0000,94.2000,96.9000,24.0133,71303000
2006-03-31,97.7500,100.8200,91.5000,99.0000,24.5337,118316700
2006-04-28,100.3300,109.5600,100.0000,105.4500,26.1321,80570900
2006-05-31,106.0000,111.2500,90.6500,93.7000,23.2203,142732000
2006-06-30,93.9300,97.5700,79.9000,93.9000,23.2699,181395500
2006-07-31,95.6000,97.2700,87.0700,96.1000,23.8150,140369000
2006-08-31,94.9900,100.0000,94.1100,97.6200,24.1917,107829800
2006-09-29,97.8000,99.6000,93.3200,96.7700,23.9811,145965100
2006-10-31,96.4800,105.8000,94.9000,103.6000,25.6737,126575400
2006-11-30,104.2500,110.5700,102.3500,109.8000,27.2101,112736700
2006-12-29,110.4500,114.8000,108.5000,114.1700,28.6912,98174200
2007-01-31,115.5500,116.5000,106.5400,114.3000,28.7239,200510900
2007-02-28,115.0000,119.5800,104.8400,109.7500,27.5804,176802800
2007-03-30,107.0000,117.6300,103.5600,116.5000,29.2767,241459500
2007-04-30,116.8500,124.3900,116.2200,120.8400,30.3674,139112600
2007-05-31,121.3000,128.4000,120.3000,126.8000,31.8652,187836300
2007-06-29,128.1000,133.9300,123.2400,131.6500,33.0840,215542500
2007-07-31,132.0000,144.1000,129.7700,132.5700,33.3152,271583700
2007-08-31,130.9200,136.4700,111.4100,133.9500,33.6620,480228600
2007-09-28,132.6500,152.0000,130.2600,149.4500,37.5572,218834600
2007-10-31,150.1700,167.4800,148.9900,167.1900,42.0153,370626500
2007-11-30,162.5600,163.6700,141.5300,154.4000,38.8011,434393400
2007-12-31,154.1100,162.1500,143.4400,150.3000,38.2472,314377100
2008-01-31,151.3200,152.2600,122.0300,136.8900,34.8347,639408300
2008-02-29,137.4900,147.8500,128.6100,139.6200,35.5294,444513500
2008-03-31,139.5400,141.3400,124.7800,134.3800,34.1960,483314800
2008-04-30,135.8200,147.4800,135.5800,146.6600,37.3209,316860900
2008-05-30,147.4000,157.4600,145.7400,151.3000,38.5017,245424400
2008-06-30,150.8300,151.1800,133.3000,135.7200,34.9249,374354900
2008-07-31,132.3600,134.3200,41.5800,42.7500,33.0027,607987733
2008-08-29,43.2000,43.2000,38.7300,40.0500,30.9183,787781600
2008-09-30,39.3700,39.7500,30.8800,34.1700,26.3790,1931562400
2008-10-31,33.8100,34.5800,19.1600,25.4300,19.6318,3261227900
2008-11-28,25.6400,27.6300,18.2200,22.9500,17.7172,2879009800
2008-12-31,22.1500,26.4600,20.6900,24.9700,19.5507,1886231700
2009-01-30,25.2000,27.2800,21.0900,22.6500,17.7342,1641660300
2009-02-27,22.1700,25.1100,20.9500,21.2300,16.6224,1460682200
2009-03-31,20.6200,26.4800,19.8600,24.8100,19.4254,1894751100
2009-04-30,24.8000,29.0300,24.7200,28.6700,22.4476,1412067800
2009-05-29,28.7100,33.4100,28.5800,33.2400,26.0258,1361219200
2009-06-30,34.2600,34.8900,30.1200,32.2300,25.4393,1645537100
