Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,15.5000,18.1300,15.5000,18.0600,12.1170,655900
2000-01-31,18.5000,18.7500,15.8100,16.2500,10.9027,552900
2000-02-29,16.1900,19.4400,15.9400,17.7500,11.9091,439200
2000-03-31,18.0000,20.8100,17.7500,18.4400,12.3720,671600
2000-04-28,18.4400,19.0600,15.1900,16.6900,11.1979,357900
2000-05-31,16.3100,16.8100,13.9400,15.2500,10.2317,280300
2000-06-30,15.1300,16.8100,14.9400,16.4400,11.0301,895200
2000-07-31,17.8800,19.1900,16.0000,16.3800,10.9899,1293900
2000-08-31,16.4400,17.1900,15.6300,16.7500,11.5378,632500
2000-09-29,16.5600,17.3100,15.1300,15.1900,10.4632,581000
2000-10-31,15.1300,15.8100,13.3800,15.8100,10.8903,1024200
2000-11-30,15.2500,15.8100,13.9400,14.2500,9.8157,484000
2000-12-29,13.8100,14.7500,12.3800,13.3100,9.2207,674100
2001-01-31,13.4400,15.6500,12.7500,15.3500,10.6339,1141100
2001-02-28,15.3500,15.5000,13.7000,14.2600,9.8788,913100
2001-03-30,14.2500,15.3500,13.0000,13.9900,9.6918,1216500
2001-04-30,14.1000,16.0500,13.3500,15.0100,10.3984,2167200
2001-05-31,14.9000,17.1000,14.8600,16.3600,11.3336,1258400
2001-06-29,16.2600,17.0900,15.7000,16.8500,11.6731,625000
2001-07-31,16.6000,17.3500,15.1500,15.9100,11.0219,871700
2001-08-31,15.7000,16.4500,15.0000,15.3800,10.7298,252100
2001-09-28,15.4000,15.5000,11.0000,12.3500,8.6160,551500
2001-10-31,12.5000,13.8900,12.2000,13.0100,9.0764,882300
2001-11-30,13.0500,14.0900,13.0000,13.8100,9.6345,432900
2001-12-31,13.9800,15.4400,13.7500,15.1800,10.6391,1034200
2002-01-31,15.1900,16.6800,14.9800,16.5800,11.6203,1950200
2002-02-28,16.6800,16.6800,15.4000,16.1600,11.3259,3964600
2002-03-28,16.1900,18.1300,16.1500,17.8500,12.5104,7634100
2002-04-30,17.9900,18.4000,17.1500,17.3500,12.1599,8411100
2002-05-31,17.4500,17.8800,16.0400,16.1300,11.3049,9378700
2002-06-28,16.0000,16.2900,13.4600,14.5900,10.2256,6682200
2002-07-31,14.6000,14.6900,12.7600,13.2000,9.2514,3924700
2002-08-30,13.3300,14.2400,12.1000,13.6100,9.5387,2825600
