Date,Open,High,Low,Close,Adj Close,Volume
2000-08-31,19.0000,20.3100,18.8800,19.7500,11.2241,73900
2000-09-29,19.7500,20.3800,17.6300,18.1300,10.3034,65900
2000-10-31,18.0600,18.1900,15.1300,16.1300,9.1668,30800
2000-11-30,16.3100,16.6900,14.4400,14.4400,8.2064,57600
2000-12-29,14.4400,16.5000,14.3800,16.5000,9.3800,135600
2001-01-31,16.8800,19.0000,16.4400,18.7500,10.6591,286900
2001-02-28,18.2200,18.2700,16.2400,16.5000,9.3800,453200
2001-03-30,16.5000,17.7500,13.9700,14.9800,8.5159,1946700
2001-04-30,14.7500,16.0000,13.5000,15.2500,8.6694,885300
2001-05-31,15.2600,15.6500,14.2500,14.7300,8.3738,1220600
2001-06-29,14.5500,15.3000,13.0000,14.3800,8.1748,332900
2001-07-31,14.4000,14.5000,12.0200,12.7000,7.2198,433700
2001-08-31,13.0000,13.2900,11.0800,11.0800,6.6444,624200
2001-09-28,11.2500,11.2500,8.4000,9.2000,5.5170,536500
2001-10-31,9.0200,9.9400,8.5500,9.5000,5.6969,840600
2001-11-30,9.6400,11.9900,9.3500,11.2900,6.7703,643100
2001-12-31,11.8200,12.9700,11.3000,12.7000,7.6158,1756200
2002-01-31,13.1000,13.4500,11.1700,11.5500,6.9262,1602300
2002-02-28,11.6900,13.7000,11.2800,13.6500,8.1855,2636300
2002-03-28,13.7000,14.2500,12.5500,13.2300,7.9337,17172700
2002-04-30,13.8000,13.9000,12.8600,13.0500,7.8257,19125600
2002-05-31,13.2500,13.2500,11.4100,12.1000,7.2560,10641600
2002-06-28,12.1100,12.1100,8.5500,9.7000,5.8168,13393600
2002-07-31,9.7500,9.7500,6.5000,6.9800,4.1857,14325400
2002-08-30,6.9800,8.9200,6.7700,8.0500,4.8274,8642000
2002-09-30,8.0500,8.2000,5.4000,5.7900,3.4721,5013000
2002-10-31,5.8500,7.4700,5.3500,7.4300,4.4556,9962300
2002-11-29,7.4400,7.8900,6.8100,7.3100,4.3836,3627300
2002-12-31,7.6900,8.6900,7.0500,7.9800,4.8506,2634400
2003-01-31,8.1100,9.0400,7.0100,7.8700,4.7837,3402700
2003-02-28,7.8700,7.9300,7.1600,7.4500,4.5284,1047100
2003-03-31,7.3100,8.4100,7.3100,8.3500,5.0755,2798200
2003-04-30,8.4900,10.4000,8.4200,10.1000,6.1392,4152800
2003-05-30,10.1500,10.9900,9.8000,10.6200,6.4552,6121800
2003-06-30,10.5400,11.3500,10.3000,10.6100,6.4492,3624400
2003-07-31,10.5700,11.3700,10.5400,10.9200,6.6376,2509600
2003-08-29,10.9500,12.3100,9.8700,12.2600,7.4521,8014900
2003-09-30,12.3300,13.4400,12.1300,12.6900,7.7135,11374100
2003-10-31,12.8700,14.6100,12.7200,13.9700,8.4915,14669400
2003-11-28,14.1200,14.9300,13.7200,14.7700,8.9778,9595100
2003-12-31,14.9300,17.1700,14.8000,17.0000,10.5015,10067100
2004-01-30,16.9800,18.8100,15.8000,15.9600,9.8590,31718100
2004-02-27,15.7400,17.5600,15.0000,16.7000,10.3162,27179200
2004-03-31,17.0200,17.5200,15.5300,16.8000,10.3779,11990200
2004-04-30,16.9400,17.4300,14.1500,14.3000,8.8336,13804000
2004-05-28,14.2300,14.8200,12.1300,14.1400,8.7348,13902500
2004-06-30,13.8100,14.7400,13.4600,14.7100,9.0869,5968900
2004-07-30,14.8400,16.2000,14.6400,15.7500,9.7293,5713000
2004-08-31,15.5400,17.4500,15.0500,17.0200,10.5138,9142200
2004-09-30,16.9700,18.5900,16.7200,18.5400,11.4528,7864800
2004-10-29,18.7000,19.6700,17.9500,18.7900,11.6072,10206000
2004-11-30,18.6700,20.8500,18.6600,20.8500,12.8798,11166700
2004-12-31,21.0000,22.3500,19.8000,22.2400,14.0313,12025300
2005-01-31,22.3200,22.3600,19.8000,21.5400,13.5897,24304800
2005-02-28,21.4100,25.9900,21.4100,25.0600,15.8105,16030300
2005-03-31,24.8700,25.8500,21.7100,22.7800,14.3720,26258900
2005-04-29,23.4000,23.5700,21.0000,21.8500,13.7853,16203300
2005-05-31,21.9500,24.3300,21.5000,23.7900,15.0092,15043000
2005-06-30,23.5500,25.2000,22.5100,24.8200,15.6591,19599900
2005-07-29,24.9500,25.8300,23.5000,25.3700,16.0061,19768600
2005-08-31,25.5900,28.5200,25.1000,28.0900,17.7221,26263200
2005-09-30,28.4900,33.6000,27.5000,33.3200,21.0218,25500500
2005-10-31,33.3500,33.8500,28.8000,31.5800,19.9240,40695000
2005-11-30,32.0000,34.6300,31.4900,33.8000,21.3246,27387900
2005-12-30,34.2900,36.2300,32.2501,33.3700,21.4193,27895700
2006-01-31,33.9500,41.5000,33.8500,41.3400,26.5350,51724100
2006-02-28,41.3400,43.0000,38.4000,41.2100,26.4516,57619800
2006-03-31,41.6100,43.2000,34.1900,39.9500,25.6428,88468400
2006-04-28,40.5200,44.8500,40.2100,44.2500,28.4029,61220700
2006-05-31,44.4100,48.7500,33.7000,36.9500,23.7172,137724400
2006-06-30,36.0000,39.7282,31.5000,39.1200,25.1100,129096300
2006-07-31,39.4800,40.0800,35.8800,39.4700,25.3347,79135800
2006-08-31,38.8600,41.1500,37.5000,39.1700,25.1421,80039800
2006-09-29,39.3700,40.6800,34.9900,38.4700,24.6928,84717100
2006-10-31,39.3500,42.6300,38.0300,41.9800,26.9458,75037100
2006-11-30,42.4500,44.6400,41.6112,44.3600,28.4735,70724400
2006-12-29,44.5700,46.9600,43.4400,46.8500,30.6948,52272000
2007-01-31,47.4900,47.8000,43.1100,47.2500,30.9569,117617100
2007-02-28,48.1000,49.9800,43.4000,45.8200,30.0200,121258100
2007-03-30,43.7600,49.6300,39.8000,49.2200,32.2476,170772300
2007-04-30,49.8200,54.5500,48.8500,52.5600,34.4358,119892700
2007-05-31,52.8000,60.1000,52.0200,59.2900,38.8451,186159000
2007-06-29,60.2001,63.3500,55.5500,61.4200,40.2407,184217100
2007-07-31,61.9400,70.0000,60.1300,63.6000,41.6689,219760000
2007-08-31,62.6600,64.9300,46.6100,61.5500,40.3258,421268400
2007-09-28,61.8000,74.7300,59.3600,73.5500,48.1879,199149800
2007-10-31,74.6400,86.8000,72.2600,85.6000,56.0827,318668400
2007-11-30,83.4500,87.6700,71.0000,80.9500,53.0362,369777500
2007-12-31,80.9000,87.0000,74.9900,80.7000,53.6441,235167600
2008-01-31,82.0000,82.2800,64.0000,76.4900,50.8456,395160800
2008-02-29,76.7600,88.7700,72.1000,83.5300,55.5253,312670100
2008-03-31,85.1500,86.2300,72.1100,77.0300,51.2045,368774300
2008-04-30,77.9000,93.5100,77.4800,90.3200,60.0389,269807600
2008-05-30,91.5500,102.2100,90.1300,99.2400,65.9683,266094900
2008-06-30,98.2500,99.4800,87.8400,89.2900,59.7649,295807600
2008-07-31,87.3000,88.9700,76.3300,81.2400,54.3767,307486300
2008-08-29,80.9900,81.1700,67.6600,73.3800,49.1158,196622100
2008-09-30,70.7900,71.8901,48.6600,56.3100,37.6902,463669500
2008-10-31,56.0900,56.6400,28.3927,37.6600,25.2071,664164300
2008-11-28,38.3700,43.3500,26.6400,35.1600,23.5338,444447300
2008-12-31,32.6900,39.4475,28.6500,34.9900,24.5173,334604600
2009-01-30,34.8500,40.7900,31.9600,35.5000,24.8746,388984400
2009-02-27,34.5900,41.0300,31.6800,34.2000,23.9637,435934400
2009-03-31,33.1100,40.9900,31.1400,37.7000,26.4162,537909400
2009-04-30,37.4800,46.4100,37.2400,45.1000,31.6013,396000700
2009-05-29,45.3200,56.0000,45.0700,55.2000,38.6783,463623700
2009-06-30,57.1500,58.6200,49.3900,52.9700,37.4195,483332100
2009-07-31,54.2900,58.4400,48.0300,57.6000,40.6903,401015000
2009-08-31,59.8700,62.4400,56.8300,58.2100,41.1212,310153200
2009-09-30,58.3300,68.5000,56.5000,67.6400,47.7828,318423500
2009-10-30,67.7600,77.0700,65.0700,68.8300,48.6235,488877200
2009-11-30,69.6200,78.2600,67.7400,76.4700,54.0206,335632200
2009-12-31,78.0000,80.9300,71.1293,74.6100,54.3946,289766300
2010-01-29,76.2400,78.2900,64.3200,64.6900,47.1624,347690900
2010-02-26,65.5900,70.3200,60.8500,68.3700,49.8453,418873700
2010-03-31,69.0600,74.7000,68.8300,73.6400,53.6874,387252500
2010-04-30,74.7200,76.2600,69.3100,72.2575,52.6795,387642400
2010-05-28,72.7000,73.1700,57.1800,63.5200,46.3094,708104000
2010-06-30,63.3500,69.0000,60.7700,61.8300,45.2634,434693800
2010-07-30,62.2400,70.7300,60.8800,70.3800,51.5226,340524800
2010-08-31,71.5800,72.3700,66.0100,67.7500,49.5972,324830200
