Date,Open,High,Low,Close,Adj Close,Volume
2006-12-29,28.3000,30.0000,26.4000,29.8400,29.8400,10819600
2007-01-31,30.1700,33.8900,27.5400,32.3700,32.3700,7595000
2007-02-28,32.5300,52.7000,31.1401,47.7500,47.7500,21926900
2007-03-30,46.1500,59.8800,42.6000,52.0100,52.0100,35374100
2007-04-30,52.1000,65.6000,52.0800,59.9900,59.9900,30722200
2007-05-31,58.9900,72.4800,54.2000,68.0400,68.0400,52934900
2007-06-29,68.5500,91.1000,67.2240,89.2900,89.2900,40049300
2007-07-31,89.3500,123.2100,88.6000,112.5700,112.5700,59251900
2007-08-31,102.8700,112.8000,74.7700,103.7400,103.7400,68413200
2007-09-28,103.5000,121.4900,93.6900,117.7399,117.7399,53128000
2007-10-31,120.0000,159.7800,119.9100,158.8100,158.8100,65411400
2007-11-30,157.2900,252.3900,141.4900,237.1500,237.1500,109669100
2007-12-31,237.8900,283.0000,211.0000,267.1400,267.1400,81447300
2008-01-31,269.4600,272.7899,143.3101,181.7700,181.7700,145592100
2008-02-29,182.3000,236.5700,157.6600,205.1512,205.1512,132229100
2008-03-31,204.5000,237.3500,176.0100,231.1400,231.1400,95433600
2008-04-30,237.3200,308.2400,232.2000,291.9900,291.9900,113818200
2008-05-30,285.0000,317.0000,251.8100,267.5400,267.5400,90136600
2008-06-30,259.8700,292.8800,233.9700,272.8200,272.8200,78784300
2008-07-31,265.9000,301.3000,234.0000,285.0300,285.0300,60758200
2008-08-29,286.6400,290.4000,243.0300,276.6500,276.6500,43482800
2008-09-30,270.4000,271.4800,175.4800,188.9100,188.9100,68274900
2008-10-31,198.0000,202.9300,95.3200,143.7000,143.7000,121171100
2008-11-28,146.8400,179.6000,85.2800,124.8400,124.8400,112919300
2008-12-31,118.7200,149.0000,109.7500,137.9600,137.9600,91730200
2009-01-30,137.0000,165.2000,128.8900,142.8000,142.8000,80358900
2009-02-27,139.6300,154.9200,101.1000,105.7400,105.7400,85786700
2009-03-31,103.5200,158.4900,100.9000,132.7000,132.7000,101544100
2009-04-30,130.0000,190.6300,129.8800,187.2900,187.2900,70816100
2009-05-29,187.9200,207.5100,176.2600,190.2900,190.2900,69841100
2009-06-30,194.4800,196.2500,155.7300,162.2000,162.2000,69452700
2009-07-31,163.8150,176.0500,139.9000,154.3900,154.3900,80538500
2009-08-31,156.2500,158.5000,118.8500,121.5800,121.5800,75569300
2009-09-30,121.1500,163.3200,112.0901,152.8600,152.8600,74435800
2009-10-30,147.6000,162.2000,121.3200,121.9300,121.9300,89708400
2009-11-30,121.2400,127.9900,115.0900,119.1100,119.1100,46920300
2009-12-31,121.0900,142.6600,119.1100,135.4000,135.4000,50034700
2010-01-29,136.0000,142.4600,109.7700,113.3000,113.3000,57238900
2010-02-26,114.8900,126.9950,98.7100,105.7500,105.7500,58287900
2010-03-31,107.5900,123.4000,104.3600,122.6500,122.6500,47160500
2010-04-30,122.3300,152.5300,118.8800,143.9800,143.9800,47180000
2010-05-28,145.7500,148.1100,103.7000,112.3600,112.3600,54793700
2010-06-30,112.2200,126.4900,100.1900,113.8300,113.8300,50654800
2010-07-30,113.6100,140.0000,112.0600,125.4500,125.4500,39912400
2010-08-31,126.3400,132.0000,121.7200,127.8500,127.8500,26952900
2010-09-30,129.3000,151.3900,127.7100,147.3500,147.3500,29118700
2010-10-29,148.9600,153.3000,136.2000,137.6800,137.6800,38537500
2010-11-30,137.8400,142.4200,120.9000,122.8500,122.8500,44339400
2010-12-31,124.9900,140.7300,124.5600,130.1400,130.1400,29625100
2011-01-31,131.8500,158.7100,130.2400,154.5800,154.5800,31614000
2011-02-28,155.9000,175.4490,146.7900,147.3900,147.3900,36134500
2011-03-31,148.3000,161.0100,137.1000,160.8400,160.8400,44598400
2011-04-29,163.0000,163.0000,132.1701,139.5700,139.5700,33306700
2011-05-31,140.8400,140.8700,114.4000,124.2500,124.2500,44185500
2011-06-30,125.8300,142.2200,111.4000,132.2700,132.2700,39912100
2011-07-29,130.6600,134.2100,115.6200,118.2300,118.2300,23793400
2011-08-31,121.3500,123.8600,87.2900,99.9800,99.9800,51323800
2011-09-30,99.5000,99.5000,61.5500,63.2100,63.2100,67697500
2011-10-31,61.8250,67.7200,42.5000,49.7700,49.7700,115942500
2011-11-30,47.5000,52.7000,40.0500,47.8600,47.8600,66853600
2011-12-30,47.6300,51.8900,29.8700,33.7600,33.7600,99366800
2012-01-31,35.0000,47.1000,33.5000,42.2800,42.2800,89373600
2012-02-29,43.4900,50.2000,31.8600,32.3000,32.3000,110332700
2012-03-30,32.4600,32.5500,24.5000,25.0500,25.0500,136783300
2012-04-30,25.1400,25.1600,17.8100,18.4000,18.4000,145729000
2012-05-31,19.1700,19.4800,12.1900,12.5600,12.5600,133657300
2012-06-29,12.1300,16.4200,11.4300,15.0600,15.0600,157435400
2012-07-31,15.1900,16.1900,13.8100,15.5400,15.5400,69338800
2012-08-31,15.6000,26.3100,14.5900,19.9900,19.9900,219640300
2012-09-28,19.8000,24.9300,18.3000,22.1450,22.1450,153937900
2012-10-31,22.4300,25.9400,19.6800,24.3000,24.3000,115687500
2012-11-30,24.5000,27.7500,22.2000,26.9900,26.9900,94949700
2012-12-31,27.2300,33.3800,26.9200,30.8556,30.8556,90973700
2013-01-31,32.0200,35.6000,27.6700,28.1800,28.1800,80737400
2013-02-28,28.4100,36.9800,25.5000,25.8400,25.8400,132689900
2013-03-28,25.4800,29.7100,24.4600,26.9600,26.9600,91384300
2013-04-30,27.2700,47.4600,25.6600,46.5600,46.5600,199864900
2013-05-31,46.7000,59.0000,42.6100,54.3930,54.3930,166858000
2013-06-28,54.2400,56.7000,40.4600,44.8100,44.8100,153512700
2013-07-31,45.3800,51.6000,44.1700,49.2200,49.2200,94275700
2013-08-30,49.6400,49.9000,36.6000,36.7200,36.7200,103041600
2013-09-30,37.1500,41.9200,35.5900,40.2100,40.2100,73094400
2013-10-31,40.3100,56.2500,40.0000,50.3060,50.3060,141424400
2013-11-29,55.6400,65.9900,54.7700,59.8200,59.8200,117602300
2013-12-31,59.7700,61.8500,53.0700,54.6400,54.6400,67799700
2014-01-31,54.2800,58.3000,47.7500,50.5800,50.5800,88341300
2014-02-28,50.4100,58.8500,47.0411,57.0700,57.0700,89680600
2014-03-31,55.7100,74.8400,52.4200,69.7900,69.7900,139517400
2014-04-30,70.0400,74.1800,63.3100,67.4900,67.4900,82968200
2014-05-30,66.9600,70.0000,57.8000,61.7800,61.7800,63850100
2014-06-30,62.2900,72.6800,61.1200,71.0600,71.0600,66350500
2014-07-31,71.5200,71.8000,60.7500,63.1100,63.1100,50927900
2014-08-29,62.4900,71.7500,60.1500,69.6800,69.6800,52091400
2014-09-30,69.7100,73.7800,64.9300,65.8100,65.8100,37819140
2014-10-31,65.8200,65.8700,50.1300,58.9000,58.9000,62700852
2014-11-28,58.7800,59.7800,45.9400,48.8000,48.8000,57853985
2014-12-31,48.2900,48.7800,40.5400,44.5950,44.5950,50767422
2015-01-30,44.7200,45.3400,39.1800,42.3200,42.3200,46955363
2015-02-27,42.6800,60.2100,42.5900,59.7450,59.7450,100778673
