Date,Open,High,Low,Close,Adj Close,Volume
2006-01-31,119.0800,123.1900,119.0800,121.7500,110.8065,3557300
2006-02-28,121.0000,121.1900,118.5800,119.2400,108.6780,2144600
2006-03-31,119.6400,122.2500,118.7900,121.2600,110.6640,5583400
2006-04-28,120.5400,126.6100,120.5000,126.6100,115.7304,2317600
2006-05-31,126.8100,129.4600,125.6100,128.4400,117.5958,3751500
2006-06-30,127.4700,129.7200,125.1900,128.1000,117.4773,3603800
2006-07-31,127.9300,130.0000,124.9000,127.9700,117.5563,1782000
2006-08-31,127.5600,129.5500,127.2500,128.1900,117.9756,2235300
2006-09-29,127.8000,128.5200,126.4500,127.0900,117.1944,1825600
2006-10-31,127.2300,128.1600,124.9500,127.6900,117.9798,3812400
2006-11-30,127.7300,133.1100,126.9000,132.4800,122.6812,1728400
2006-12-29,132.7800,133.7720,130.7500,132.3100,122.7936,2105800
2007-01-31,132.4300,132.5000,129.0100,130.4200,121.3372,1574900
2007-02-28,130.3300,132.9000,128.7200,132.3500,123.4405,1552609
2007-03-30,132.3200,136.3500,130.8800,133.5800,124.8698,2005000
2007-04-30,133.7600,138.1400,133.2000,136.9100,128.3159,1611700
2007-05-31,136.5500,136.7700,133.9100,134.8600,126.7280,1799000
2007-06-29,134.2800,135.7900,132.6800,135.7100,127.8709,2041500
2007-07-31,135.9800,138.6800,135.8900,137.2400,129.6644,1848700
2007-08-31,136.9100,138.3800,133.9800,136.6200,129.4572,4157500
2007-09-28,135.6700,143.1799,135.6032,143.0300,135.9225,2968600
2007-10-31,142.3100,145.5300,140.4800,145.1200,138.2976,5266600
2007-11-30,144.5100,149.5900,144.0613,146.7600,140.2545,4824318
2007-12-31,146.5300,147.7700,143.4600,146.4000,140.3013,3421184
2008-01-31,146.5200,149.5700,145.5900,149.2600,143.4327,4397971
2008-02-29,148.5700,152.7500,144.6100,152.2900,146.7679,5184601
2008-03-31,151.9000,159.3900,151.6800,158.2900,152.9628,12821998
2008-04-30,156.1000,160.5000,155.5900,156.5300,152.1639,11258317
2008-05-30,154.8600,158.3400,153.7400,156.0700,152.1404,19488778
2008-06-30,155.1500,158.3000,153.4000,157.8200,154.2899,17396883
2008-07-31,158.0100,160.4400,155.7500,156.5300,153.4511,22308515
2008-08-29,155.5700,156.3900,146.5900,147.2000,144.7442,28361834
2008-09-30,144.9700,149.2700,139.0400,140.9300,139.0173,30119619
2008-10-31,140.0000,140.7500,124.0400,127.6900,126.3371,12785002
2008-11-28,127.4900,131.1800,124.5900,127.3600,126.3552,10446115
2008-12-31,126.2606,145.2700,125.9300,139.8900,139.0775,10197354
2009-01-30,139.0400,139.9700,127.9300,128.2300,127.6829,15678692
2009-02-27,127.7900,130.9500,125.1600,126.8000,126.3864,13164512
2009-03-31,126.1100,137.4094,125.0700,132.8700,132.4982,15600831
2009-04-30,132.5400,135.1700,128.9000,132.3300,132.0044,6155556
2009-05-29,132.6100,141.6500,132.4100,141.3840,141.0584,6167383
2009-06-30,142.0300,143.3300,137.5500,140.3300,140.0189,10261946
2009-07-31,141.5400,142.8600,138.3200,142.4700,142.1564,5058245
2009-08-31,143.1900,144.4100,140.4200,143.2900,142.9746,5628923
2009-09-30,142.9300,148.3100,141.7000,146.2300,145.9081,5638410
2009-10-30,145.5700,150.3100,145.0600,147.0200,146.6964,5848705
2009-11-30,147.3600,151.2700,146.1800,149.9200,149.5900,5599791
2009-12-31,150.7300,150.9700,141.9800,142.9100,142.5954,8348385
2010-01-29,144.1300,145.3700,138.3500,138.3900,138.0854,9227094
2010-02-26,138.9400,139.4700,134.3800,135.8500,135.5510,16500297
2010-03-31,135.0600,137.5300,132.3700,134.7300,134.4334,14703923
2010-04-30,134.6000,136.4400,130.7900,132.7700,132.4777,17301944
2010-05-28,131.9400,132.0200,121.2700,122.3700,122.1006,65976944
2010-06-30,121.5800,123.7200,118.7900,121.8700,121.6017,51723203
2010-07-30,123.5200,130.6300,123.5000,129.8800,129.5941,28508543
2010-08-31,130.7500,132.8805,125.7100,126.2500,125.9721,24608403
2010-09-30,127.8800,136.1100,126.3700,135.8100,135.5110,35058634
2010-10-29,136.7900,140.4300,136.2200,138.6900,138.3847,37235936
2010-11-30,138.8100,142.2800,129.2300,129.3000,129.0235,32891670
2010-12-31,130.5600,133.9000,130.0000,133.0900,132.8054,26453123
2011-01-31,132.8300,137.0400,128.4200,136.3800,136.0884,27686425
2011-02-28,137.1400,137.9100,134.0200,137.4300,137.1361,15948459
2011-03-31,137.7900,141.8300,137.0900,141.1600,140.8587,32048847
2011-04-29,140.4900,148.0900,140.0600,147.5400,147.2253,21489799
2011-05-31,147.8900,148.8100,139.4400,143.3800,143.1134,34471602
2011-06-30,143.6400,146.3900,140.6000,144.4800,144.2571,41986395
2011-07-29,144.2700,144.7700,139.0200,143.1400,142.9749,39975568
2011-08-31,143.2500,144.9300,140.5900,143.1200,142.9969,42479511
2011-09-30,142.3400,142.5900,133.4620,133.4700,133.3821,57185135
2011-10-31,132.7400,141.9300,131.1900,137.8700,137.8178,44883032
2011-11-30,135.7800,137.9800,131.7600,133.8500,133.8365,42725405
2011-12-30,134.2700,134.6150,128.5200,128.9200,128.9200,31468407
2012-01-31,129.8500,131.6500,125.7500,130.2700,130.2700,28764334
2012-02-29,131.1000,134.2600,129.5300,132.6200,132.6200,27191623
