Date,Open,High,Low,Close,Adj Close,Volume
2001-03-30,95.9000,97.9400,61.0000,76.4000,24.7470,416900
2001-04-30,75.6000,93.2000,66.8000,91.2500,29.5571,731300
2001-05-31,91.4500,104.6000,85.1000,99.1500,32.1161,806800
2001-06-29,99.8000,109.3000,94.8500,99.8000,32.3266,2519900
2001-07-31,99.9000,100.3000,81.6500,87.0000,28.1805,4458900
2001-08-31,87.2500,91.4000,79.9000,87.8000,28.4396,2965700
2001-09-28,87.8000,90.7500,68.0000,74.3500,24.0830,2971900
2001-10-31,74.5000,91.4000,72.4100,86.3000,27.9538,3028300
2001-11-30,86.4000,96.5500,82.5500,94.5500,30.6260,4168300
2001-12-31,94.0000,98.0200,87.6500,91.0500,29.4924,4987900
2002-01-31,90.5000,90.8500,74.4000,78.3000,25.3625,6798400
2002-02-28,80.0000,81.3500,71.1500,74.4500,24.1154,6052500
2002-03-28,73.0000,82.7400,72.3500,77.1000,24.9738,3079300
2002-04-30,78.0000,78.1000,61.8000,64.9000,21.0220,8062700
2002-05-31,65.4000,65.5900,56.8100,57.9500,18.7708,11853900
2002-06-28,57.5200,58.1500,46.4100,51.0000,16.5196,12574100
2002-07-31,50.2500,52.2800,39.6500,51.6000,16.7140,24699900
2002-08-30,51.6000,55.2400,46.6000,49.0000,15.8718,20641000
2002-09-30,47.8000,50.8000,42.8800,46.2500,14.9810,11757300
2002-10-31,46.4500,52.0800,44.1000,51.1000,16.5520,14607300
2002-11-29,51.0800,57.0200,50.5500,55.8800,18.1003,7026400
2002-12-31,57.0000,57.1000,48.9500,49.3500,15.9851,7075500
2003-01-31,50.2500,54.0000,48.2500,48.5700,15.7325,8038900
2003-02-28,48.4000,48.8000,45.9700,47.8500,15.4993,3928700
2003-03-31,47.9800,52.9000,46.2000,51.2000,16.5844,6233800
2003-04-30,51.2000,58.0000,50.0000,57.3000,18.5603,6811600
2003-05-30,57.0000,68.3000,56.2700,68.0600,22.0456,9863100
2003-06-30,71.3000,77.5100,65.1500,66.9900,21.6990,17910500
2003-07-31,66.1000,74.3700,65.1000,73.1500,23.6943,11205200
2003-08-29,72.9000,74.2000,64.7100,73.7600,23.8919,10814100
2003-09-30,73.8600,79.8100,69.3200,71.7500,23.2408,13802800
2003-10-31,72.0000,76.4500,68.3000,70.9900,22.9946,14544800
2003-11-28,71.9000,71.9000,65.7000,69.3500,22.4634,10548800
2003-12-31,70.0500,73.2900,67.2000,71.9500,23.3056,10616800
2004-01-30,73.0400,79.6200,72.6200,76.8500,24.8928,9265200
2004-02-27,77.5500,79.8400,75.0000,77.5000,25.1033,9937400
2004-03-31,78.1100,81.6500,72.8600,77.2900,25.0353,14934100
2004-04-30,77.4000,85.0000,77.2900,77.7600,25.1875,18463700
2004-05-28,77.3200,80.0000,72.7500,75.6000,24.4879,25302800
2004-06-30,75.7000,76.8000,71.2000,75.1000,24.3259,20797900
2004-07-30,75.5000,75.5000,63.7500,67.8500,21.9776,17167600
2004-08-31,67.2000,69.3500,61.2200,67.7000,21.9290,15680500
2004-09-30,68.0500,72.4800,67.7600,69.9300,22.6513,14613700
2004-10-29,70.5000,72.1800,64.5000,68.0700,22.0488,19249400
2004-11-30,68.2000,72.5100,66.7500,70.5000,22.8359,12571900
2004-12-31,70.6100,76.1900,70.6100,75.4000,24.4231,15824000
2005-01-31,75.8500,75.9400,69.4400,71.2400,23.0756,18248600
2005-02-28,71.3500,73.1200,67.5900,68.3000,22.1233,18681700
2005-03-31,68.1500,69.3500,63.0000,63.5500,20.5847,33928600
2005-04-29,64.3000,66.7600,62.3000,63.4700,20.5588,22461600
2005-05-31,63.5500,67.8100,63.5500,66.7000,21.6051,16874000
2005-06-30,66.9000,68.9500,64.2800,67.9000,21.9937,19599200
2005-07-29,68.1000,77.9000,67.5300,76.0000,24.6174,23386800
2005-08-31,76.1800,78.0000,73.4500,76.2600,24.7017,20184300
2005-09-30,76.5500,79.4000,75.5000,77.0000,24.9414,18777300
2005-10-31,77.1000,79.0500,70.2800,74.2400,24.0474,37921800
2005-11-30,73.8500,80.4500,73.0100,76.7100,24.8474,16657900
2005-12-30,77.1000,79.4600,74.8100,77.2400,25.0191,16503900
2006-01-31,78.2300,81.8400,76.6100,80.3100,26.0135,21050400
2006-02-28,82.8000,85.7000,78.1700,84.1100,27.2444,21171500
2006-03-31,83.8500,85.0400,80.8000,82.3800,26.6840,23111800
2006-04-28,82.1600,82.1600,75.8400,77.6500,25.1519,29516600
2006-05-31,77.6500,78.2000,69.2700,73.2000,23.7105,47700900
2006-06-30,73.8500,75.7600,68.7800,72.7000,23.5485,36864100
2006-07-31,72.8600,73.2100,67.1900,71.4900,23.1566,29731900
2006-08-31,71.0200,75.0800,68.6200,73.7400,23.8854,22633500
2006-09-29,73.8400,74.5200,71.0000,73.7800,23.8984,22335500
2006-10-31,73.5500,80.0000,72.3000,79.7000,25.8159,24510500
2006-11-30,79.9000,82.1500,77.7000,80.0800,25.9390,22629300
2006-12-29,80.2500,81.5100,77.6700,77.7600,25.1875,19975200
2007-01-31,78.5000,81.7500,76.3700,79.8400,25.8613,20299000
2007-02-28,80.5000,81.1200,76.5800,76.9500,24.9252,20760600
2007-03-30,75.2900,76.5000,72.3700,75.7800,24.5462,30976500
2007-04-30,75.9300,83.7000,75.5000,81.9200,26.5350,22264800
2007-05-31,82.0500,83.6300,79.0000,81.3800,26.3601,23792500
2007-06-29,81.3000,81.9900,77.0000,78.1200,25.3328,38164200
2007-07-31,78.6100,80.7500,76.2300,76.2900,24.7394,30827100
2007-08-31,76.2400,80.3700,74.8000,79.0500,25.6344,42312500
2007-09-28,79.1100,84.0200,78.8700,83.0000,26.9153,24008500
2007-10-31,83.3800,89.0000,83.2800,86.6100,28.0860,32218900
