Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,102.5600,122.1200,102.2500,107.8700,66.2652,158626300
2000-01-31,112.4400,124.7500,109.6200,112.2500,68.9558,175259600
2000-02-29,112.3700,119.7500,100.9400,102.7500,63.1837,133524400
2000-03-31,102.0000,128.2500,99.5000,118.3700,72.7888,194329000
2000-04-28,120.0000,128.0000,101.2500,111.5000,68.5643,168464800
2000-05-31,112.5000,113.6200,102.0000,107.3100,66.0659,123803200
2000-06-30,107.5600,122.3100,105.5000,109.5600,67.4511,136216300
2000-07-31,108.7500,117.8100,100.0000,112.2500,69.1072,150130400
2000-08-31,112.0000,134.2500,110.2500,132.0200,81.3676,121998000
2000-09-29,133.0600,134.9400,110.2500,112.6200,69.4109,107468400
2000-10-31,112.6200,119.6200,86.9400,98.5000,60.7083,223510000
2000-11-30,98.4400,104.3700,91.6200,93.5000,57.7016,130411900
2000-12-29,94.4400,104.7500,80.0600,85.0000,52.4560,167790700
2001-01-31,84.5000,116.7500,83.7500,112.0000,69.1185,198962600
2001-02-28,112.4000,118.6400,99.1000,99.9000,61.7198,156438900
2001-03-30,99.3000,108.4000,87.6500,96.1800,59.4215,254550000
2001-04-30,97.4500,118.0500,90.0500,115.1400,71.1353,226210900
2001-05-31,115.8500,119.9000,110.9600,111.8000,69.1539,159356200
2001-06-29,112.5000,119.0000,111.1000,113.5000,70.2055,142929700
2001-07-31,113.5000,115.4000,101.5600,105.2100,65.0777,161016400
2001-08-31,105.3500,110.0900,98.8600,99.9500,61.9072,143401500
2001-09-28,100.1500,103.1300,87.4900,91.7200,56.8097,189312500
2001-10-31,91.7200,112.1000,91.3400,108.0700,66.9366,224351500
2001-11-30,107.2500,117.0000,106.9000,115.5900,71.6823,135136300
2001-12-31,114.8000,124.7000,113.2100,120.9600,75.0125,133393800
2002-01-31,120.6000,126.3900,101.0000,107.8900,66.9072,193562900
2002-02-28,107.6400,109.3000,95.7600,98.1200,60.9283,172321000
2002-03-28,98.6000,108.8500,98.5000,104.0000,64.5796,151268500
2002-04-30,104.0000,104.0000,83.3400,83.7600,52.0114,246503300
2002-05-31,83.8500,86.4900,75.9200,80.4500,50.0469,172738400
2002-06-28,80.7500,80.9500,66.1000,72.0000,44.7903,190980700
2002-07-31,72.0100,74.2000,65.7000,70.4000,43.7949,246256900
2002-08-30,70.4000,82.8500,65.8500,75.3800,46.9946,166322300
2002-09-30,74.2000,77.5000,57.9900,58.3100,36.3526,185664400
2002-10-31,59.2000,79.7900,54.0100,78.9400,49.2140,285626300
2002-11-29,78.9000,88.1100,76.7000,86.9200,54.2888,184438100
2002-12-31,88.6000,89.4600,75.6000,77.5000,48.4052,151563500
2003-01-31,78.8000,88.9500,77.0200,78.2000,48.8424,193933500
2003-02-28,78.2000,80.0500,74.3100,77.9500,48.7805,145672700
2003-03-31,78.9000,84.9000,73.1700,78.4300,49.0808,191937200
2003-04-30,78.5000,86.4900,78.1200,84.9000,53.1297,177874300
2003-05-30,85.3000,90.4000,84.4500,88.0400,55.1964,149548000
2003-06-30,89.0000,89.0800,79.8100,82.5000,51.7231,184488300
2003-07-31,81.4000,87.0300,80.5800,81.2500,50.9394,153915600
2003-08-29,81.1500,84.7200,78.7300,82.0100,51.5191,113895200
2003-09-30,82.4000,93.4700,82.3000,88.3300,55.4893,171943100
2003-10-31,88.7500,94.5400,87.5300,89.4800,56.2118,156145400
2003-11-28,89.9000,91.4800,87.7200,90.5400,56.9795,97966100
2003-12-31,90.9000,94.1200,90.0300,92.6800,58.3263,116103600
2004-01-30,92.8600,99.8500,89.0100,99.2300,62.4484,139368500
2004-02-27,99.1500,100.4300,95.2000,96.5000,60.8285,97741900
2004-03-31,96.5000,97.6000,90.2800,91.8400,57.8911,124483700
2004-04-30,91.6700,94.5500,88.0100,88.1700,55.5777,110632000
2004-05-28,88.1300,89.7500,85.1200,88.5900,55.9562,104707300
2004-06-30,88.0900,91.2100,87.3000,88.1500,55.6783,91968600
2004-07-30,88.2800,88.4400,83.4200,87.0700,54.9962,121001000
2004-08-31,86.8700,87.3900,81.9000,84.6900,53.6082,91169700
2004-09-30,84.0500,87.2800,83.2400,85.7400,54.2729,93906300
2004-10-29,85.9500,90.2700,84.2900,89.7500,56.8112,118116100
2004-11-30,89.3300,96.6300,89.2300,94.2400,59.7683,114982100
2004-12-31,94.5000,99.0000,94.4700,98.5800,62.5208,108170400
2005-01-31,98.9700,99.1000,91.4400,93.4200,59.2482,114459000
2005-02-28,93.6700,94.9700,91.5500,92.5800,58.8278,79707700
2005-03-31,92.6400,93.7300,89.0900,91.3800,58.0653,106145200
2005-04-29,91.4900,91.7600,71.8500,76.3800,48.5339,216745500
2005-05-31,76.8800,78.1100,72.5000,75.5500,48.1340,138416000
2005-06-30,75.5700,77.7300,73.4500,74.2000,47.2739,135542800
2005-07-29,74.3000,85.1100,74.1600,83.4600,53.1736,156801500
2005-08-31,83.0000,84.2000,79.8700,80.6200,51.4875,105031100
2005-09-30,80.1600,82.1100,76.9300,80.2200,51.2320,115681400
2005-10-31,80.2200,84.6000,78.7000,81.8800,52.2921,139881800
2005-11-30,81.8500,89.9400,80.6400,88.9000,56.9120,110664500
2005-12-30,89.1500,89.9200,81.5600,82.2000,52.6228,120052400
