Date,Open,High,Low,Close,Adj Close,Volume
2000-06-30,97.1100,106.0000,97.1100,103.4000,39.3007,1581800
2000-07-31,103.1000,109.2000,97.3800,100.5000,38.1985,1101300
2000-08-31,99.7500,108.3000,98.0600,107.5000,40.8591,2795900
2000-09-29,108.0000,108.8000,100.0000,103.6000,39.5117,1316400
2000-10-31,104.4000,104.4000,91.2500,99.0000,37.7573,2740700
2000-11-30,98.6900,102.2000,87.9400,89.1300,33.9931,2236800
2000-12-29,90.3800,99.2200,87.5000,95.7500,36.6876,5361800
2001-01-31,95.7500,103.1000,90.6900,100.9000,38.6608,8873600
2001-02-28,101.0000,102.5000,92.4500,94.1500,36.0745,6773000
2001-03-30,94.0500,97.2000,83.1500,89.6000,34.4020,7190800
2001-04-30,89.5500,98.1000,84.2500,97.0000,37.2432,5513800
2001-05-31,96.6500,103.8000,95.4700,99.1000,38.0495,5997700
2001-06-29,99.7500,103.5000,95.8500,101.9000,39.2337,9251900
2001-07-31,101.6000,101.6000,93.4900,96.2300,37.0507,8433900
2001-08-31,97.0500,98.5000,92.6100,93.8900,36.1497,13497600
2001-09-28,93.7000,94.4900,73.5000,80.2000,30.8788,14041800
2001-10-31,80.2000,87.6500,78.0500,85.1000,32.8865,10539300
2001-11-30,85.3400,92.7000,84.5000,91.6000,35.3984,5303500
2001-12-31,91.4100,98.5300,90.6000,96.3500,37.3411,12321100
2002-01-31,97.1000,100.1000,92.8000,96.2000,37.2829,13788900
2002-02-28,96.3700,96.3700,90.7500,93.2000,36.1203,11891000
2002-03-28,93.6500,101.4000,93.3000,100.1000,38.8393,12499900
2002-04-30,100.8000,104.8000,98.0000,101.3000,39.3049,25995400
2002-05-31,101.5000,102.8000,96.0400,96.5000,37.4425,27745300
2002-06-28,96.9500,97.0000,87.9000,90.6500,35.2654,27972900
2002-07-31,90.9000,91.6300,69.5000,78.5500,30.5582,31680900
2002-08-30,78.3000,82.2500,72.9700,78.0500,30.3637,29276300
2002-09-30,76.6500,80.0000,70.4800,71.5500,27.9267,23412000
2002-10-31,72.5000,75.4000,64.6000,74.5000,29.0781,46341400
2002-11-29,74.2700,82.2300,73.5800,80.8100,31.5409,27605500
