Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,103.3000,103.4000,90.1300,93.2500,27.0343,71283600
2000-01-31,93.1300,96.9400,80.5000,86.0600,24.9498,76758100
2000-02-29,85.4400,86.3100,70.0600,72.0000,20.9491,93261000
2000-03-31,72.2500,82.2500,66.1300,70.2500,20.4399,139902700
2000-04-28,70.6300,84.4400,70.0000,82.5000,24.0042,85393700
2000-05-31,82.2500,90.0000,81.8800,89.5000,26.1348,60104100
2000-06-30,89.2500,102.0000,82.5000,101.9000,29.7557,74942800
2000-07-31,101.3000,101.4000,90.2500,93.0600,27.1744,67023900
2000-08-31,92.5000,98.8800,91.2500,91.9600,26.9423,50177300
2000-09-29,92.5000,97.8100,90.3100,93.9400,27.5224,48267500
2000-10-31,94.1900,97.5000,90.3100,92.1300,26.9921,71004700
2000-11-30,92.0000,103.0000,89.1900,100.0000,29.3348,69216000
2000-12-29,99.2500,105.9000,95.2500,105.1000,30.8309,69949800
2001-01-31,104.0000,104.7000,90.3800,93.1300,27.3195,84223300
2001-02-28,93.1300,98.2500,93.1300,97.3300,28.6485,58485900
2001-03-30,97.8000,99.8500,80.5000,87.4700,25.7463,147648000
2001-04-30,87.5000,96.7000,85.1900,96.4800,28.3984,104800400
2001-05-31,96.6000,102.0000,95.8200,96.9500,28.6384,92320700
2001-06-29,96.9600,103.5000,49.1300,49.9600,29.5157,150360550
2001-07-31,50.1000,54.9800,50.0000,54.1000,31.9616,164167000
2001-08-31,54.1000,57.6000,52.3000,52.7100,31.2447,163136000
2001-09-28,55.7500,57.1600,50.2000,55.4000,32.8392,176432200
2001-10-31,55.4000,59.6600,53.0500,57.9100,34.3271,181677000
2001-11-30,57.5800,60.9700,57.5100,58.2500,34.6323,144831900
2001-12-31,58.7400,60.1800,55.4200,59.1000,35.1377,169195500
2002-01-31,58.9000,60.1000,56.6000,57.5100,34.1924,131885400
2002-02-28,58.3300,60.9700,54.7000,60.9000,36.3216,131715000
2002-03-28,60.9000,65.8900,60.6000,64.9500,38.7371,154776300
2002-04-30,65.2900,65.2900,61.7800,63.8600,38.0870,160057900
2002-05-31,63.9700,64.6300,59.1600,61.3500,36.7120,162571200
2002-06-28,61.1000,61.7400,52.0000,52.2600,31.2725,185599200
2002-07-31,51.7000,54.8500,41.0200,53.0000,31.7154,343494700
2002-08-30,53.0000,56.5000,49.7500,54.3100,32.6197,159253500
2002-09-30,53.8800,56.2500,51.4500,54.0800,32.4816,146893100
2002-10-31,54.9500,61.3000,54.3000,58.7500,35.2865,223245600
2002-11-29,58.3300,61.2500,56.3000,57.0200,34.3641,134767300
2002-12-31,56.5900,57.0700,53.0000,53.7100,32.3693,143258800
2003-01-31,54.2500,57.5500,51.5400,53.6100,32.3090,157116600
2003-02-28,53.5000,53.9500,49.1000,52.4500,31.7362,139008100
2003-03-31,53.1600,58.6800,51.5000,57.8700,35.0157,160153900
2003-04-30,57.8700,59.0800,53.9500,56.3600,34.1020,159363100
2003-05-30,56.3600,57.5200,52.5500,54.3500,33.0267,161675800
2003-06-30,54.3500,55.5700,50.7500,51.7000,31.4164,216949500
2003-07-31,51.7000,54.2400,50.5500,51.7900,31.4711,180959900
2003-08-29,50.9500,52.2500,49.0000,49.5800,30.2698,154672000
2003-09-30,49.7800,52.5000,49.0900,49.5200,30.2331,197900400
2003-10-31,49.7100,51.1500,48.0500,50.3300,30.7276,200619900
2003-11-28,50.0800,52.8900,48.2600,49.3000,30.2374,164719400
2003-12-31,50.3000,51.7400,48.7900,51.6600,31.6849,185895500
2004-01-30,51.6600,54.0400,50.4300,53.4200,32.7643,172050600
2004-02-27,53.4100,54.9000,52.7900,53.9100,33.2102,126994200
2004-03-31,54.4900,54.4900,49.2500,50.7200,31.2451,172924700
2004-04-30,51.0500,54.7700,49.9000,54.0300,33.2841,166843100
2004-05-28,54.2200,56.3900,54.0200,55.7100,34.4985,140688600
2004-06-30,55.2300,57.2800,54.5000,55.7000,34.4923,125332400
2004-07-30,55.3500,58.1400,54.4300,55.2700,34.2260,141900800
2004-08-31,55.0000,58.1000,54.3700,58.1000,36.1631,107083900
2004-09-30,58.0000,58.8000,56.0900,56.3300,35.0614,110410900
2004-10-29,56.3900,58.4800,54.8100,58.3800,36.3374,139893100
2004-11-30,58.3500,61.4900,57.8100,60.3200,37.7203,123981200
2004-12-31,60.3300,64.2500,59.6000,63.4200,39.6589,173950700
2005-01-31,63.3500,64.9800,61.2000,64.7000,40.4593,136191800
2005-02-28,64.6100,66.8900,64.5200,65.6000,41.1976,107556700
2005-03-31,66.4700,68.6800,66.1200,67.1600,42.1773,158100100
2005-04-29,67.3200,69.9900,66.6500,68.6300,43.1005,158634500
2005-05-31,68.6800,68.8700,66.7550,67.1000,42.3469,125789400
2005-06-30,67.1000,67.6100,64.4300,65.0000,41.0216,162476400
2005-07-29,64.8200,65.4300,62.6700,63.9600,40.3652,149908400
2005-08-31,64.2500,65.3500,61.6500,63.3900,40.2132,138029400
2005-09-30,63.1800,65.3300,62.8500,63.2800,40.1434,139445700
2005-10-31,63.1800,64.5999,60.5300,62.6200,39.7247,224158000
2005-11-30,62.4800,63.7800,60.0000,61.7500,39.3795,241169500
2005-12-30,61.8500,62.0600,59.7600,60.1000,38.3272,189869600
2006-01-31,61.0700,63.1000,57.4500,57.5400,36.6947,220695200
2006-02-28,57.6700,59.7100,56.6500,57.6500,36.9749,183341700
2006-03-31,57.6200,61.1000,57.4500,59.2200,37.9818,181202600
2006-04-28,59.4900,59.7600,57.3200,58.6100,37.5906,171133300
2006-05-31,58.7100,60.9300,58.1900,60.2200,38.8628,196603700
2006-06-30,60.2500,62.0000,58.9700,59.9200,38.6692,199396300
2006-07-31,60.1300,63.0000,59.6842,62.5500,40.3664,134968800
2006-08-31,62.3800,65.1300,62.2900,64.6600,41.9701,150477100
2006-09-29,64.8700,65.0400,63.2500,64.9400,42.1518,128522300
2006-10-31,65.0000,69.4100,64.5000,67.4000,43.7486,189511300
2006-11-30,67.3800,69.0300,65.2200,65.9100,43.0251,196072100
2006-12-29,65.9100,67.2500,65.2900,66.0200,43.0969,157532600
2007-01-31,66.1300,68.2200,65.9000,66.8000,43.6060,175594400
2007-02-28,66.8000,67.1500,62.7200,62.9300,41.3199,192375400
2007-03-30,62.3000,62.9300,59.8700,60.2600,39.5668,318147400
2007-04-30,60.2600,65.4500,60.0300,64.2200,42.1669,248968100
2007-05-31,64.5300,64.9400,61.6500,63.2700,41.8147,280281700
2007-06-29,63.3500,63.7700,60.7300,61.6200,40.7243,259962000
2007-07-31,61.9400,63.8800,59.7200,60.5000,39.9841,290358700
2007-08-31,60.5100,62.9800,60.3100,61.7900,41.1105,331077300
2007-09-28,61.6300,65.7500,61.2600,65.7000,43.7119,220556400
2007-10-31,65.6600,66.8000,63.5500,65.1700,43.3593,232885800
2007-11-30,64.8000,68.7500,63.7300,67.7400,45.3488,284874000
2007-12-31,67.4700,68.5000,66.5500,66.7000,44.6526,197170400
2008-01-31,66.5600,68.8500,61.7200,63.1400,42.2693,339978400
2008-02-29,63.3100,64.0900,61.3600,61.9600,41.7518,218925600
2008-03-31,62.1400,65.8100,61.1700,64.8700,43.7128,259617600
2008-04-30,65.0000,67.7400,64.5100,67.0900,45.2087,221952400
2008-05-30,67.1300,68.3200,64.5400,66.7400,45.2891,219962000
2008-06-30,66.5500,67.1000,63.1000,64.3400,43.6605,228287700
2008-07-31,63.7500,69.2500,63.7400,68.4700,46.4631,308621600
2008-08-29,68.5000,71.9000,67.9300,70.4300,48.1010,224063800
2008-09-30,71.0900,72.7600,66.9000,69.2800,47.3156,367504200
2008-10-31,69.0700,69.0700,52.0600,61.3400,41.8928,640425500
2008-11-28,61.4900,63.0100,54.4900,58.5800,40.3233,375653400
2008-12-31,57.6600,60.2500,54.9500,59.8300,41.1837,315194900
2009-01-30,60.1300,61.0000,55.0900,57.6900,39.7106,349391400
2009-02-27,57.4100,59.1300,49.9400,50.0000,34.7070,308348500
2009-03-31,49.0000,53.7000,46.2500,52.6000,36.5117,423319700
2009-04-30,52.3000,54.1300,50.1200,52.3600,36.3451,306396300
2009-05-29,52.5300,56.4800,51.6700,55.1600,38.6299,257261500
2009-06-30,55.7500,57.2300,54.5400,56.8000,39.7784,301738000
2009-07-31,56.8200,62.4700,55.7100,60.8900,42.6428,270356100
2009-08-31,61.1600,61.4900,59.5000,60.4400,42.6675,211869300
2009-09-30,60.3500,61.5400,59.2800,60.8900,42.9851,197460800
2009-10-30,60.9300,62.7400,58.7800,59.0500,41.6862,280297200
2009-11-30,59.1500,63.4400,58.8000,62.8400,44.7106,233417400
2009-12-31,62.9500,65.4100,62.9500,64.4100,45.8276,212286400
2010-01-29,64.7100,65.9500,62.2200,62.8600,44.7248,245125300
2010-02-26,63.2600,64.7000,61.8900,63.0000,45.1686,213341500
2010-03-31,63.2700,65.4900,63.0200,65.2000,46.7459,249947500
2010-04-30,65.3700,66.2000,64.2100,64.3000,46.1007,235860700
2010-05-28,65.1600,65.6200,58.1900,58.3000,42.1813,357775800
2010-06-30,58.2100,60.1500,57.5500,59.0600,42.7312,313888500
2010-07-30,59.0700,61.7300,56.8600,58.0900,42.0293,310708000
2010-08-31,58.5000,60.2500,56.9900,57.0200,41.6419,239384600
2010-09-30,57.6700,62.7000,57.4400,61.9600,45.2496,209239500
2010-10-29,62.0900,64.2300,61.3000,63.7400,46.5496,208721800
2010-11-30,63.8800,64.9200,61.2500,61.5500,45.3398,221392600
2010-12-31,62.1800,63.1600,61.5600,61.8500,45.5608,212152900
2011-01-31,62.6300,63.5400,59.6900,59.7700,44.0286,257253400
2011-02-28,59.7000,61.4500,59.3600,61.4400,45.6686,199932400
2011-03-31,61.2500,61.5000,57.5000,59.2500,44.0408,241612737
2011-04-29,59.6300,65.9750,59.0600,65.7200,48.8499,270819500
2011-05-31,65.9200,67.3700,64.8000,67.2900,50.4521,270892200
2011-06-30,67.0200,67.3600,64.6900,66.5200,49.8748,231770300
2011-07-29,66.4800,68.0500,64.1300,64.7900,48.5777,202614600
2011-08-31,65.2800,66.2300,59.0800,65.8000,49.7724,491488700
2011-09-30,65.6600,66.1400,61.0000,63.6900,48.1764,264862000
2011-10-31,63.6500,65.8600,60.8300,64.3900,48.7059,251590300
2011-11-30,63.6800,65.4900,61.0500,64.7200,49.4109,236914800
2011-12-30,64.6800,66.3150,62.8500,65.5800,50.0675,210285200
2012-01-31,65.5900,66.0000,64.3400,65.9100,50.3195,212136100
2012-02-29,65.9700,66.3200,64.0200,65.0800,50.1251,192370000
2012-03-30,65.1100,66.1800,64.1200,65.9600,50.8029,208163900
2012-04-30,66.0400,66.3000,62.7600,65.1000,50.1405,229665900
2012-05-31,64.9100,65.4850,62.0000,62.4300,48.5489,278010100
2012-06-29,62.0400,67.7000,61.7100,67.5600,52.5383,451142100
2012-07-31,67.4200,69.7000,67.0000,69.2200,53.8292,273347200
2012-08-31,69.4800,69.7500,66.8500,67.4300,52.9104,224101500
2012-09-28,67.4900,69.6400,66.9700,68.9100,54.0717,200224200
2012-10-31,68.9200,72.7400,67.8000,70.8200,55.5704,267146700
2012-11-30,71.1000,71.9000,68.5100,69.7300,55.1949,211662500
2012-12-31,69.8000,71.6200,69.1750,70.1000,55.4878,232603000
2013-01-31,71.0200,74.8000,70.3000,73.9200,58.5115,196795059
2013-02-28,74.1400,77.0200,73.5600,76.1100,60.7270,177978400
2013-03-28,75.7900,81.5900,75.7300,81.5300,65.0515,193396300
2013-04-30,81.3900,85.8900,80.3100,85.2300,68.0037,218722300
2013-05-31,84.5000,89.9900,83.8800,84.1800,67.6742,220724300
2013-06-28,84.2800,87.8224,82.1200,85.8600,69.0248,210552200
2013-07-31,85.7200,94.4200,85.5000,93.5000,75.1668,200315600
2013-08-30,94.1600,94.4000,85.8500,86.4100,69.9856,204260800
2013-09-30,86.8900,90.7200,86.0000,86.6900,70.2123,158876500
2013-10-31,86.5900,93.4500,85.5000,92.6100,75.0071,173024000
2013-11-29,92.3801,95.9900,92.2800,94.6600,77.1987,131026200
2013-12-31,94.4100,94.7900,89.7700,91.5900,74.6950,151086000
2014-01-31,91.1400,95.3800,88.1500,88.4700,72.1505,192804300
2014-02-28,88.7500,92.9900,86.0900,92.1200,75.6690,150415074
2014-03-31,91.1300,98.6000,90.8300,98.2300,80.6879,181324400
2014-04-30,98.3100,101.9800,96.0500,101.2900,83.2014,180242400
2014-05-30,100.7700,101.5400,98.8800,101.4600,83.9189,124656300
2014-06-30,101.5400,106.0000,101.0100,104.6200,86.5326,123993600
2014-07-31,105.1500,106.7400,100.0500,100.0900,82.7857,148795100
2014-08-29,99.7600,104.4200,98.8000,103.7300,86.3789,120163600
2014-09-30,103.3000,108.7700,103.0200,106.5900,88.7605,130486054
2014-10-31,105.9800,108.1800,95.1000,107.7800,89.7515,232663082
2014-11-28,107.8300,109.4900,106.6000,108.2500,90.7279,125674760
2014-12-31,107.8900,108.9900,102.5000,104.5700,87.6436,175580889
2015-01-30,105.0500,106.5000,100.0900,100.1400,83.9306,195027355
2015-02-27,100.4900,103.3300,97.1500,102.5100,86.5169,191363861
2015-03-31,102.8600,103.4100,98.2200,100.6000,84.9049,177429841
2015-04-30,100.4600,102.1400,98.0400,99.2000,83.7233,171541632
2015-05-29,99.6200,104.4800,98.6600,100.1400,85.1355,143760078
2015-06-30,100.2800,100.8400,97.0100,97.4600,82.8571,170008492
2015-07-31,98.3000,101.3600,96.6400,100.2100,85.1950,151829212
2015-08-31,100.0000,101.0000,81.7900,93.9800,80.5256,194750801
2015-09-30,92.2700,96.1900,89.9000,93.3500,79.9858,201657631
2015-10-30,93.4300,102.1200,91.7600,101.0300,86.5663,191792688
2015-11-30,101.1800,103.0000,99.7400,101.2400,87.3811,126157452
2015-12-31,101.7300,105.4900,100.3100,102.7200,88.6585,161973865
2016-01-29,101.7100,104.7500,94.2800,104.4400,90.1430,211264010
2016-02-29,103.6100,106.9200,99.7800,105.2100,91.4615,201534921
2016-03-31,105.9000,109.5600,105.4400,108.2000,94.0608,172912906
2016-04-29,108.0000,114.1900,107.6900,112.0800,97.4337,158171281
2016-05-31,112.2200,115.0000,111.7000,112.6900,98.6598,141092715
2016-06-30,112.5700,121.4100,112.0700,121.3000,106.1978,167568126
2016-07-29,121.5400,126.0700,120.7900,125.2300,109.6385,124602401
2016-08-31,125.3100,125.9000,118.3300,119.3400,105.1789,138567506
2016-09-30,119.1900,119.9700,117.0434,118.1300,104.1124,130379636
2016-10-31,118.0000,120.1955,112.9900,115.9900,102.2264,140052892
2016-11-30,114.7600,122.5000,111.3000,111.3000,98.7732,171881719
2016-12-30,111.3600,117.3000,109.3200,115.2100,102.2431,138043546
2017-01-31,115.7800,117.0000,110.7600,113.2500,100.5037,143309802
2017-02-28,112.4800,122.8800,112.4700,122.2100,109.1622,133813250
2017-03-31,122.4900,129.0000,122.3900,124.5500,111.2523,166552677
2017-04-28,124.7300,125.8100,120.9500,123.4700,110.2877,92734522
2017-05-31,123.4000,128.8000,122.3400,128.2500,115.3119,111435425
2017-06-30,128.3200,137.0000,128.1200,132.2900,118.9443,143335525
2017-07-31,132.7900,137.0800,129.5711,132.7200,119.3309,105498131
2017-08-31,133.1700,134.9700,130.9000,132.3700,119.7755,103707554
2017-09-29,132.6000,135.7900,129.0500,130.0100,117.6400,112551362
2017-10-31,130.1600,144.3523,130.0200,139.4100,126.1456,119394799
2017-11-30,139.8300,141.8700,136.6000,139.3300,126.8401,92222302
2017-12-29,139.5700,143.8000,138.6000,139.7200,127.1951,110005044
2018-01-31,139.6600,148.3200,138.1000,138.1900,125.8023,165186233
2018-02-28,137.5300,140.6700,122.1500,129.8800,118.9892,175166385
2018-03-29,129.1100,135.7000,124.9000,128.1500,117.4043,147871674
2018-04-30,127.8200,132.8800,123.5400,126.4900,115.8835,144126787
2018-05-31,126.3200,127.6100,118.6200,119.6200,110.4015,139533228
2018-06-29,120.3800,124.8500,119.9700,121.3400,111.9890,139906981
2018-07-31,121.3400,132.6400,120.1100,132.5200,122.3074,145911110
2018-08-31,132.3900,137.4300,128.9300,134.6900,125.1394,123999399
2018-09-28,134.6900,143.1300,133.4400,138.1700,128.3726,122169102
2018-10-31,138.2600,141.4300,132.2300,139.9900,130.0636,167966504
2018-11-30,140.0700,148.7500,139.0000,146.9000,137.3525,152747742
2018-12-31,145.5700,148.9900,121.0000,129.0500,120.6626,289169133
2019-01-31,128.1300,135.1900,125.0000,133.0800,124.4307,174394739
2019-02-28,134.0200,137.9500,131.2600,136.6400,128.6035,119454752
2019-03-29,137.2200,140.0000,135.7400,139.7900,131.5683,137356242
2019-04-30,139.9900,141.4500,134.4200,141.2000,132.8953,124330820
2019-05-31,140.9500,142.3500,128.5200,131.1500,124.2810,159035154
2019-06-28,131.5000,144.9800,131.0400,139.2800,131.9852,150884200
2019-07-31,140.2000,142.4700,127.8400,130.2200,123.3997,159852777
2019-08-30,130.2600,134.1000,126.6300,128.3600,122.5413,175236850
2019-09-30,127.9900,132.7800,126.3400,129.3800,123.5151,124079875
2019-10-31,130.0200,137.4900,126.1000,132.0400,126.0545,208044111
2019-11-29,132.0500,138.6300,129.6800,137.4900,132.1664,127783294
2019-12-31,137.7200,147.8400,136.1600,145.8700,140.2219,127539619
2020-01-31,145.8700,151.1900,141.3800,148.8700,143.1058,150447700
2020-02-28,149.4200,154.5000,130.8200,134.4800,130.1146,147282695
2020-03-31,134.7800,143.6400,109.1600,131.1300,126.8734,355130991
2020-04-30,127.7000,157.0000,125.5000,150.0400,145.1695,234258695
2020-05-29,149.6200,153.6200,143.0100,148.7500,144.9283,136220967
2020-06-30,147.2900,150.0300,137.0200,140.6300,137.0169,173851578
2020-07-31,140.6900,151.6700,140.0600,145.7600,142.0151,137813607
2020-08-31,146.3900,154.4000,145.8247,153.4100,150.4607,109838615
2020-09-30,153.8700,155.4700,142.9600,148.8800,146.0178,138804749
2020-10-30,149.3100,153.1420,133.6500,137.1100,134.4741,137289386
2020-11-30,138.9800,151.3000,137.4900,144.6800,142.8947,153632314
2020-12-31,146.2900,157.6600,145.8600,157.3800,155.4380,158848089
2021-01-29,157.2400,173.6500,154.1300,163.1300,161.1171,184468267
2021-02-26,165.3100,167.9400,157.9700,158.4600,157.4812,145703168
2021-03-31,161.4500,167.0300,151.4700,164.3500,163.3348,175075046
2021-04-30,162.6000,167.7899,156.5300,162.7300,161.7248,162666701
2021-05-28,163.6000,172.7400,163.1200,169.2500,169.2500,131244877
2021-06-30,170.1500,170.2000,161.7900,164.7400,164.7400,145663761
2021-07-30,164.7400,173.3801,164.6300,172.2000,172.2000,133719594
2021-08-10,172.4700,174.5900,171.3000,173.7700,173.7700,31048624
